# ADR90 WP-A2 tau=0 band, build any, leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
0.0057525,0.00287625,83.1455713,-83.1465656,0.32,0,11.9856493
0.0059125,0.00295625,85.2270874,-85.2412058,0.16,0,12.4736953
0.0060725,0.00303625,87.2997707,-87.3235595,0.16,0,12.7021947
0.0062325,0.00311625,89.3540007,-89.3837005,0.16,0,12.9032848
0.0063925,0.00319625,91.3956768,-91.4243582,0.16,0,13.1363223
0.0065525,0.00327625,93.4363287,-93.4525763,0.16,0,13.3342166
0.0067125,0.00335625,95.4657224,-95.4762005,0.32,0,13.5274162
0.0068725,0.00343625,97.4857367,-97.4908967,0.16,0,14.0044518
0.0070325,0.00351625,99.5092033,-99.4971531,0.16,0,14.2250988
0.0071925,0.00359625,101.506938,-101.5023,0.16,0,14.4619737
0.0073525,0.00367625,103.516158,-103.503033,0.16,0,14.6686246
0.0075125,0.00375625,105.523137,-105.503013,0.16,0,14.846436
0.0076725,0.00383625,107.535352,-107.501581,0.32,0,15.0312486
0.0078325,0.00391625,109.531797,-109.501811,0.16,0,15.5107605
0.0079925,0.00399625,111.525814,-111.499112,0.16,0,15.7026432
0.0081525,0.00407625,113.536788,-113.500419,0.16,0,15.9092078
0.0083125,0.00415625,115.529591,-115.500603,0.16,0,16.1042726
0.0084725,0.00423625,117.525491,-117.501212,0.16,0,16.2912884
0.0086325,0.00431625,119.521215,-119.500091,0.32,0,16.5040803
0.0087925,0.00439625,121.519115,-121.497333,0.16,0,16.9375527
0.0089525,0.00447625,123.520487,-123.495024,0.16,0,17.1042526
0.0091125,0.00455625,125.5078,-125.490534,0.16,0,17.272938
0.0092725,0.00463625,127.496179,-127.483194,0.16,0,17.4861865
0.0094325,0.00471625,129.478977,-129.470552,0.16,0,17.6932812
0.0095925,0.00479625,131.464501,-131.458272,0.32,0,17.8875875
0.0099125,0.00495625,141.701716,-141.881264,0.32,0,18.2323117
0.0100725,0.00503625,138.144619,-138.703307,0.16,0,18.7357862
