# ADR90 WP-A2 tau=0 band, build 5c01bb5f7a580be9f73568a2e8f98b3a2b263c39, leg h1.0_e0.60
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
0.0531,0.02655,1153.89756,-1154.08984,0.625,1,1939.62185
0.0534125,0.02670625,1169.0722,-1169.68172,0.3125,1,1957.7639
0.053725,0.0268625,1171.93663,-1171.78227,0.3125,1,1968.90249
0.0540375,0.02701875,1185.2615,-1186.40708,0.3125,1,1975.77172
0.05435,0.027175,1184.90123,-1184.89268,0.3125,1,1984.48697
0.0546625,0.02733125,1197.57331,-1197.98756,0.3125,1,2003.86572
0.05481875,0.027409375,1202.92772,-1203.73651,0.15625,1,2018.72003
0.054975,0.0274875,1207.83228,-1208.50508,0.15625,1,2025.21247
0.05513125,0.027565625,1212.53981,-1213.09068,0.15625,1,2026.7144
0.0552875,0.02764375,1216.85487,-1217.94909,0.15625,1,2042.39247
0.05544375,0.027721875,1220.9782,-1221.84689,0.15625,1,2051.03097
0.0556,0.0278,1226.84697,-1227.45633,0.3125,1,2068.73343
0.05575625,0.027878125,1228.76657,-1228.13376,0.15625,1,2093.92269
0.0559125,0.02795625,1233.87013,-1234.71444,0.15625,1,2095.71568
0.05606875,0.028034375,1238.0496,-1238.99668,0.15625,1,2110.98815
0.056225,0.0281125,1242.27913,-1243.2661,0.15625,1,2117.48625
0.05638125,0.028190625,1246.5867,-1247.58212,0.15625,1,2125.2284
0.0565375,0.02826875,1250.89916,-1251.87901,0.3125,1,2132.27206
0.05685,0.028425,1259.16036,-1259.75455,0.3125,1,2144.41563
0.0571625,0.02858125,1267.74387,-1268.31994,0.3125,1,2149.81124
0.057475,0.0287375,1276.23791,-1276.90657,0.3125,1,2159.73921
0.0577875,0.02889375,1277.60155,-1278.29638,0.3125,1,2170.75398
0.0581,0.02905,1290.51558,-1290.97967,0.3125,1,2179.00961
0.0584125,0.02920625,1292.24721,-1292.63415,0.625,1,2197.27924
0.0590375,0.02951875,1308.01177,-1308.22091,0.625,1,2219.42002
0.0596625,0.02983125,1325.35249,-1325.75436,0.625,1,2240.27435
0.0602875,0.03014375,1342.71033,-1343.00577,0.625,1,2260.89484
0.0609125,0.03045625,1359.70142,-1359.66626,0.625,1,2282.45025
0.0615375,0.03076875,1376.54351,-1376.75387,0.625,1,2303.30632
0.06185,0.030925,1389.26268,-1389.36419,0.3125,1,2362.46764
0.0621625,0.03108125,1395.50286,-1395.26498,0.3125,1,2386.73192
0.062475,0.0312375,1407.29625,-1407.50931,0.3125,1,2398.21864
0.0627875,0.03139375,1409.64606,-1410.05532,0.3125,1,2415.75769
0.0631,0.03155,1423.03707,-1423.5368,0.3125,1,2419.12994
0.0634125,0.03170625,1427.41418,-1427.52382,0.625,1,2456.18537
0.063725,0.0318625,1440.55717,-1440.45185,0.3125,1,2482.33154
0.0640375,0.03201875,1444.79248,-1445.0394,0.3125,1,2512.91168
0.06435,0.032175,1458.15966,-1457.99919,0.3125,1,2516.70853
0.06450625,0.032253125,1463.42215,-1464.10775,0.15625,1,2534.71761
0.0646625,0.03233125,1468.23264,-1469.03248,0.15625,1,2542.67674
0.06481875,0.032409375,1466.5345,-1465.95651,0.15625,1,2555.61945
0.064975,0.0324875,1476.66028,-1477.26671,0.15625,1,2561.14165
0.06513125,0.032565625,1476.26121,-1475.31635,0.15625,1,2572.64839
0.0652875,0.03264375,1485.39652,-1486.03356,0.3125,1,2589.43802
0.0656,0.0328,1489.32851,-1489.46314,0.3125,1,2612.52236
0.0659125,0.03295625,1504.13457,-1504.26675,0.3125,1,2620.98913
0.06606875,0.033034375,1506.19989,-1504.11128,0.15625,1,2631.43269
0.066225,0.0331125,1514.7577,-1515.50739,0.15625,1,2639.53415
0.06638125,0.033190625,1513.80319,-1512.85761,0.15625,1,2646.59486
0.0665375,0.03326875,1523.45184,-1524.03093,0.15625,1,2654.56915
0.06669375,0.033346875,1523.03548,-1523.42989,0.15625,1,2667.87394
0.06685,0.033425,1533.24405,-1533.89772,0.3125,1,2681.26827
0.0671625,0.03358125,1535.90067,-1535.81126,0.3125,1,2699.91771
0.067475,0.0337375,1551.45821,-1551.60714,0.3125,1,2718.11844
