# build: cc4aa6db01c7ae86155b425182021722ab55db50
# pyd: C:\Users\nmb\Documents\Github\OpenSees\.claude\worktrees\wp-106-sanisand-pre\dist\bin\opensees.pyd
# python: 3.12.10
# p0: 0.1
# e_init: 0.6944
# scheme: 1
# tan_type: 2
# tol: 1e-10
# nstep: 40
# ez_max: 0.016
# pRe: 1.0
# Pmin: 0.0101
# Presidual: 0.0
# honorTolR: 0
# max_substeps: 20000
# consts: {'G0': 264.32, 'nu': 0.3129, 'e_init': 0.6944, 'Mc': 1.3309, 'c': 0.71, 'lambda_c': 0.027, 'e0': 0.83, 'ksi': 0.45, 'P_atm': 101.0, 'm': 0.005, 'h0': 1.3, 'ch': 0.968, 'nb': 3.5, 'A0': 0.05, 'nd': 5.75, 'z_max': 12.5, 'cz': 1100.0, 'rho': 2.0}
step,pseudo_time,eps0,eps1,eps2,eps3,eps4,eps5,sig0,sig1,sig2,sig3,sig4,sig5,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,psi,yieldDistance,substeps_me,substeps_capHit
0,0.0,-1.7466859718797517e-07,-1.746685971879758e-07,-1.746685971879755e-07,-1.9852334701272664e-22,4.2020775117693806e-22,-1.3400325923359048e-22,-0.10000000000000003,-0.10000000000000006,-0.10000000000000003,1.4528022357866371e-18,4.545011573671141e-18,1.7603830296359794e-18,1.7466859718797517e-07,1.746685971879758e-07,1.746685971879755e-07,1.9852334701272664e-22,-4.2020775117693806e-22,1.3400325923359048e-22,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6943991121245868,0.0,-0.13440023035359794,-0.0004082482904638489,0.0,0.0
1,0.0004,0.00012493104888268298,0.00012493104888268295,-0.00039999999999999996,4.235164736271502e-21,1.3552527156068805e-20,0.0,-0.10000000000005775,-0.10000000000005789,-9.039078615752,3.9329562211719356e-17,1.1661206487174195e-16,2.8189696578673968e-18,-0.00012493005662490587,-0.00012493005662490584,0.0003999980154239541,-4.249938389208684e-21,-1.3581998749253912e-20,9.676835506869918e-24,-11.966723672576,-11.966723672576007,23.933447345152967,3.0398882852108946e-14,1.715428855491695e-13,-5.582146471092847e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6941456063384537,0.0,-0.13024071589992514,82.96178745239757,3.0,0.0
2,0.0008,0.00011576524083345115,0.00011576524083345072,-0.0008000000000000004,5.014435047745458e-19,2.710505431213761e-20,-7.724940478959219e-19,-0.10000000016956412,-0.10000000016957855,-28.577224626196973,1.0127395342490755e-14,-3.4143872804786414e-14,-1.2647040628897305e-15,-0.00026691651127340715,-0.0002669165112734067,0.0008537738372534085,-6.19465837723525e-19,2.075777395786085e-18,7.730896684610017e-20,-11.988846975723522,-11.98884697572353,23.977693951448014,3.045533351877245e-14,1.7186095924548074e-13,-5.5925033573964566e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6934367852481365,1.4472876097507496e-06,-0.12720298326446633,258.4052917134551,16.0,0.0
3,0.0012000000000000001,0.00019144177111812564,0.00019144177111812515,-0.0012000000000000008,7.758821796849391e-19,1.0842021724855044e-19,-9.554531645028508e-19,-0.09999999992289388,-0.09999999992291153,-57.69896536161012,1.853739926253204e-14,-5.2388765738963484e-14,6.605552801338656e-16,-0.0003982565910438595,-0.0003982565910438591,0.001273524811266531,-9.3776260196498e-19,2.766299117308878e-18,4.442910535506686e-21,-11.994140142203664,-11.99414014220367,23.9882802844083,3.0468845944740793e-14,1.719370468044442e-13,-5.594981255872523e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6930154778739651,1.2847712352256248e-05,-0.12416368323741356,519.9065175697622,6.0,0.0
4,0.0016,0.0002897875680000005,0.0002897875679999999,-0.0016000000000000003,1.052014920489841e-18,3.2526065174565133e-19,-9.486769009248164e-19,-0.0999999999473753,-0.09999999994740039,-97.1434570747357,2.9504923109911647e-14,-5.982874677045532e-14,5.964732354627307e-15,-0.0005267613861419901,-0.0005267613861419895,0.001684214472814169,-1.2376081725277871e-18,2.9697037680220048e-18,-1.4057013191597046e-19,-11.996272572860823,-11.99627257286083,23.99254514572262,3.047428891776132e-14,1.719677055565827e-13,-5.595979377295507e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6926709921104384,8.924027340526994e-06,-0.12113133493436379,874.1028218110205,4.0,0.0
5,0.002,0.0003979898691429132,0.00039798986914291314,-0.0020000000000000005,1.3688052427629493e-18,5.963111948670274e-19,-8.267041565201971e-19,-0.09999999999916775,-0.09999999999914255,-147.2904270664816,4.508233712410507e-14,-5.963136320471011e-14,1.5785356922227716e-14,-0.0006540349173519744,-0.0006540349173519744,0.002090969126729768,-1.5693840758905382e-18,2.965499789699646e-18,-3.497349255417474e-19,-11.997344861455387,-11.997344861455394,23.994689722911748,3.047702571730442e-14,1.719831245614369e-13,-5.5964812143996114e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6923599080685515,8.196805926488407e-06,-0.11811206765758786,1324.4042173387413,3.0,0.0
6,0.0024000000000000002,0.0005112608994688978,0.0005112608994688979,-0.0024000000000000002,1.7381116077658243e-18,8.673617379884035e-19,-6.911788849595091e-19,-0.09999999999217513,-0.0999999999921326,-208.3972854778881,6.692159177691536e-14,-5.483295599092224e-14,2.708613707207888e-14,-0.0007806756591788348,-0.0007806756591788349,0.0024957014432105532,-1.9492036849397165e-18,2.8820478046858104e-18,-5.462735879962765e-19,-11.997969799264295,-11.997969799264302,23.995939598529564,3.0478620726428966e-14,1.7199211169083706e-13,-5.596773659063005e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6920660009361203,1.481125717389982e-05,-0.11510938331293075,1873.1239765430619,1.0,0.0
7,0.0028000000000000004,0.0006278452752110205,0.0006278452752110208,-0.0028000000000000004,2.100641709190665e-18,1.1926223897340549e-18,-5.149960319306146e-19,-0.10000000000185472,-0.10000000000178377,-280.6194879059718,9.215662213832349e-14,-4.190145213970982e-14,4.209499564403858e-14,-0.0009069030510210948,-0.0009069030510210951,0.002899112730657938,-2.3193238890628436e-18,2.6923824555071827e-18,-7.664073353605849e-19,-11.998353279230967,-11.998353279230974,23.996706558462908,3.047959947133337e-14,1.7199762679372918e-13,-5.5969530976600394e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6917833220686351,1.067811892186043e-05,-0.11212470972198474,2521.654897557393,1.0,0.0
8,0.0032000000000000006,0.000746529324895947,0.0007465293248959476,-0.0032,2.5614276324970042e-18,1.734723475976807e-18,-2.710505431213761e-19,-0.100000000003715,-0.10000000000359077,-364.0903685321264,1.289951848476827e-13,-7.19645824565269e-15,6.397489269290612e-14,-0.001032868609320845,-0.0010328686093208457,0.0033016872218684036,-2.7858495950870698e-18,2.252876389357701e-18,-1.0434956272951393e-18,-11.998605093333673,-11.99860509333368,23.99721018666832,3.04802421805348e-14,1.7200124851009367e-13,-5.597070917610452e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6915077585762074,8.060198382187079e-06,-0.10915859577282971,3271.194553053059,1.0,0.0
9,0.0036000000000000008,0.0008666281958817927,0.000866628195881794,-0.0036,2.927345865710862e-18,2.168404344971009e-18,-1.0842021724855044e-19,-0.10000000000458742,-0.10000000000434595,-458.9125986472425,1.622681723927582e-13,2.4546282216078286e-14,8.090824928049002e-14,-0.001158657799680428,-0.0011586577996804293,0.003703698057149916,-3.1562581724454985e-18,1.8995031516837732e-18,-1.2320047148849685e-18,-11.998779099031724,-11.998779099031731,23.99755819806442,3.0480686301180344e-14,1.720037512469597e-13,-5.5971523273706604e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6912369896302042,6.296862983921412e-06,-0.10621096920302386,4122.665041823954,1.0,0.0
10,0.004000000000000001,0.000987725628611215,0.000987725628611217,-0.004,3.3406979439709605e-18,2.3852447794681098e-18,2.710505431213761e-19,-0.10000000000632159,-0.10000000000595244,-565.1676192571233,2.0427996368716442e-13,3.989567238085191e-14,1.2123343353652908e-13,-0.001284322552684787,-0.0012843225526847888,0.004105311201938546,-3.573215204105473e-18,1.747164106770281e-18,-1.6322225730265781e-18,-11.998904227787447,-11.998904227787454,23.997808455575868,3.04810056609679e-14,1.7200555098272957e-13,-5.597210865756321e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6909696046102377,5.052740180855547e-06,-0.10328142811058061,5076.797758925408,1.0,0.0
11,0.004400000000000001,0.0011095539226318339,0.0011095539226318352,-0.004399999999999999,3.8285889215894375e-18,2.927345865710862e-18,4.336808689942018e-19,-0.10000000000852527,-0.10000000000830533,-682.9215574357817,2.591291088285642e-13,9.455755132600539e-14,1.4130557981383998e-13,-0.0014098962563263828,-0.001409896256326384,0.004506633361227774,-4.064065669190541e-18,1.2579895055347819e-18,-1.8118502100676707e-18,-11.998997139828248,-11.998997139828255,23.99799427965747,3.048124279640435e-14,1.7200688733732233e-13,-5.5972543296179774e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6907046963330148,4.142413098590204e-06,-0.10036940236482228,6134.186552605268,1.0,0.0
12,0.004800000000000001,0.0012319330749884258,0.0012319330749884284,-0.004799999999999999,4.289374844895777e-18,3.469446951953614e-18,7.047314121155779e-19,-0.10000000001094056,-0.10000000001040088,-812.2291351988854,3.1600526677311354e-13,1.5568520292960445e-13,1.763248807704268e-13,-0.0015354013553209058,-0.0015354013553209084,0.004907736266291779,-4.5273245211747525e-18,7.601020474195142e-19,-2.097083983668455e-18,-11.999067972640745,-11.999067972640752,23.998135945282463,3.048142358140314e-14,1.7200790613522374e-13,-5.597287463942961e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6904416548045208,3.4564653009890878e-06,-0.09747424444366948,7295.322839193483,1.0,0.0
13,0.0052000000000000015,0.00135473759594616,0.0013547375959461628,-0.005199999999999998,4.743384504624082e-18,3.903127820947816e-18,1.0299920638612292e-18,-0.10000000001285081,-0.10000000001225429,-953.1363574324355,3.770522807199501e-13,2.0871576129297125e-13,2.2146562418459365e-13,-0.0016608534935066946,-0.0016608534935066974,0.00530866991341799,-4.983430033269751e-18,3.638905308321327e-19,-2.4343476852017947e-18,-11.999123177955076,-11.999123177955083,23.998246355911128,3.048156447862243e-14,1.7200870015676408e-13,-5.5973132866346324e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6901800547651423,2.926903815050313e-06,-0.09459528096065406,8560.619747344663,1.0,0.0
14,0.005600000000000002,0.0014778773379563513,0.001477877337956354,-0.005599999999999998,5.244828009398628e-18,4.445228907190568e-18,1.4094628242311558e-18,-0.10000000001488019,-0.10000000001434761,-1105.6824208278822,4.4999608754976126e-13,2.8263224291648907e-13,2.779595627081653e-13,-0.0017862639064455974,-0.0017862639064456,0.005709470210442296,-5.486672287117126e-18,-1.460622454943819e-19,-2.824101636728468e-18,-11.999167017962508,-11.999167017962515,23.998334035925993,3.0481676367508777e-14,1.7200933070337782e-13,-5.597333791864467e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6899195907228665,2.5096590362105253e-06,-0.09173184179907201,9930.429263792857,1.0,0.0
15,0.006000000000000002,0.0016012858835387268,0.0016012858835387305,-0.005999999999999997,5.705613932704967e-18,4.9873299934333204e-18,1.734723475976807e-18,-0.10000000001725651,-0.10000000001638998,-1269.901106416587,5.221593257231953e-13,3.628919317066482e-13,3.301165482521031e-13,-0.0019116408703701985,-0.0019116408703702022,0.006110163607452856,-5.9490184643022174e-18,-6.602819677996916e-19,-3.158268776259842e-18,-11.999202398658161,-11.999202398658168,23.9984047973173,3.0481766665067895e-14,1.7200983957547918e-13,-5.5973503395372246e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.689660037602136,2.1751480078643356e-06,-0.08888327625816705,11405.054740248092,1.0,0.0
16,0.006400000000000002,0.0017249132281094294,0.001724913228109433,-0.006399999999999999,6.288372600415926e-18,5.421010862427522e-18,2.0599841277224584e-18,-0.10000000001952924,-0.10000000001866294,-1445.8218187708833,6.19847801522765e-13,4.313392424828082e-13,3.8581542036811966e-13,-0.0020369906150536103,-0.002036990615053614,0.006510770014239096,-6.5331435975725035e-18,-1.0695604850646044e-18,-3.49131841012378e-18,-11.99923135569542,-11.999231355695427,23.998462711391817,3.048184056794633e-14,1.7201025605030476e-13,-5.5973638822926805e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6894012259474173,1.9029140386889577e-06,-0.08604896156831288,12984.760226520728,1.0,0.0
17,0.006800000000000002,0.001848721011804448,0.0018487210118044524,-0.006799999999999997,6.69494841509799e-18,6.071532165918825e-18,2.222614453595284e-18,-0.10000000002223874,-0.10000000002114506,-1633.4703768778502,6.926042324197809e-13,5.435631742072926e-13,4.1605793841843793e-13,-0.00216231791857823,-0.0021623179185782343,0.006911304701118683,-6.940925484651027e-18,-1.6985479998419213e-18,-3.660820279972523e-18,-11.999255348890703,-11.99925534889071,23.998510697782383,3.048190180113197e-14,1.720106011269284e-13,-5.5973751033110815e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.387778780781445e-16,1.387778780781445e-16,0.0,-1.8896687674025626e-17,-7.018769707495234e-17,-9.448343837012819e-18,0.6891430257648029,1.6784461875883457e-06,-0.08322830689184035,14669.777573204527,1.0,0.0
