# ADR90 WP-A2 tau=0 band, build cc4aa6db01c7ae86155b425182021722ab55db50 (expected any), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res,guard_ctlf,substeps_tot,substeps_max,substeps_max_ele,substeps_ring_tot,substeps_ring_max,wall_step_s
0.02548,0.01274,337.626172,-337.492347,2.56,0,389.783999,0,0,0,0,0,0,0,93970,561,130,20307,561,37.0176048
0.02804,0.01402,368.860723,-368.883099,2.56,0,426.283207,0,0,0,0,0,0,0,93109,586,130,19870,586,36.4992075
0.0306,0.0153,400.003457,-399.928148,5,0,463.337254,0,0,0,0,0,0,0,92809,644,130,19816,644,37.0540469
0.0356,0.0178,461.267567,-460.736373,5,1,557.824717,0,0,0,0,0,0,0,172845,1271,130,36271,1271,94.4874637
0.0406,0.0203,521.006436,-520.832084,5,1,653.379065,0,0,0,0,0,0,0,175399,1775,130,38846,1775,95.5543473
0.0456,0.0228,581.080058,-580.827194,5,1,689.991633,0,0,0,0,0,0,0,178306,2811,130,42133,2811,36.6125689
0.0506,0.0253,640.677834,-640.814462,5,1,757.461576,0,0,0,0,0,0,0,195906,12997,130,59842,12997,67.469943
0.051225,0.0256125,648.162595,-648.204256,0.625,1,786.153125,0,0,0,0,0,0,0,37740,6693,130,18057,6693,28.6915488
0.05185,0.025925,655.64114,-656.149986,0.625,1,807.926596,0,0,0,0,0,0,0,33373,4492,130,13929,4492,21.7734704
0.052475,0.0262375,663.266273,-663.805499,0.625,1,831.204525,0,0,0,0,0,0,0,36097,5985,130,16711,5985,23.2779291
0.0531,0.02655,670.46227,-670.740547,0.625,1,855.473551,0,0,0,0,0,0,0,34600,4098,130,14299,4098,24.269026
0.053725,0.0268625,677.667078,-678.187139,0.625,1,881.234825,0,0,0,0,0,0,0,35264,4779,130,15615,4779,25.7612739
0.05435,0.027175,685.504229,-686.302672,1.25,1,906.282221,0,0,0,0,0,0,0,35406,4805,130,15678,4805,25.0473962
0.054975,0.0274875,693.005819,-693.778362,0.625,1,922.88361,0,0,0,0,0,0,0,40501,5593,130,18096,5593,16.6013894
0.0556,0.0278,700.139754,-700.46824,0.625,1,941.892601,0,0,0,0,0,0,0,43764,4414,130,16975,4414,19.008991
0.056225,0.0281125,708.36113,-709.13759,0.625,1,960.386443,0,0,0,0,0,0,0,58193,8618,80,22090,5845,18.4938416
0.0565375,0.02826875,713.765777,-713.735194,0.3125,1,997.257462,0,0,0,0,0,0,0,51895,13954,130,41541,13954,36.8710189
0.05685,0.028425,718.279308,-718.324579,0.3125,1,1022.8399,0,0,0,0,0,0,0,58536,13772,130,48224,13772,25.5824378
0.0571625,0.02858125,723.577933,-723.334014,0.3125,1,1045.96326,0,0,0,0,0,0,0,56092,14281,130,45288,14281,23.1233623
0.057475,0.0287375,722.99646,-723.233685,0.3125,1,1055.22085,0,0,0,0,0,0,0,44762,12464,130,28235,12464,9.25759172
0.0577875,0.02889375,729.855642,-729.465555,0.3125,1,1057.66746,0,0,0,0,0,0,0,45764,16441,130,35064,16441,2.4466083
0.0581,0.02905,733.924054,-733.841956,0.625,1,1064.8783,0,0,0,0,0,0,0,42750,14650,130,32257,14650,7.21083403
0.0584125,0.02920625,737.958796,-738.036571,0.3125,1,1069.4826,0,0,0,0,0,0,0,44573,14840,130,33260,14840,4.60430789
0.058725,0.0293625,743.828799,-743.577867,0.3125,1,1071.36233,0,0,0,0,0,0,0,48678,15863,130,37279,15863,1.87972355
0.05888125,0.029440625,745.180121,-745.163561,0.15625,1,1077.98545,0,0,0,0,0,0,0,62156,15666,130,54688,15666,6.62312245
0.0590375,0.02951875,747.006485,-746.611014,0.15625,1,1092.99519,0,0,0,0,0,0,0,29251,10642,130,22475,10642,15.0097418
0.05919375,0.029596875,750.569697,-750.802459,0.15625,1,1109.73909,0,0,0,0,0,0,0,17461,5592,130,12013,5592,16.7438989
0.05935,0.029675,750.624147,-750.748506,0.15625,1,1127.57603,0,0,0,0,0,0,0,29992,10795,130,22915,10795,17.836942
0.05950625,0.029753125,754.435748,-754.555294,0.15625,1,1139.54951,0,0,0,0,0,0,0,17365,5553,130,11924,5553,11.9734797
0.0596625,0.02983125,754.410288,-754.663081,0.3125,1,1155.64925,0,0,0,0,0,0,0,28396,9958,130,21275,9958,16.0997348
0.059975,0.0299875,758.249265,-758.563179,0.3125,1,1166.69675,0,0,0,0,0,0,0,35438,10962,130,23812,10962,11.0475078
0.0602875,0.03014375,761.925931,-762.3259,0.3125,1,1168.74548,0,0,0,0,0,0,0,35062,11585,130,25106,11585,2.04872489
0.0606,0.0303,766.294633,-766.307572,0.3125,1,1170.93438,0,0,0,0,0,0,0,46618,11653,130,25250,11653,2.18890071
0.0609125,0.03045625,770.083609,-770.363451,0.3125,1,1189.01269,0,0,0,0,0,0,0,52300,11781,130,25604,11781,18.0783126
0.061225,0.0306125,773.972375,-774.252072,0.3125,1,1206.32643,0,0,0,0,0,0,0,46190,11694,130,25276,11694,17.313736
0.0615375,0.03076875,777.85916,-778.200727,0.625,1,1208.67966,0,0,0,0,0,0,0,50789,11810,130,25638,11810,2.35322714
0.0621625,0.03108125,782.565522,-782.925799,0.625,1,1214.56859,0,0,0,0,0,0,0,78182,16792,130,37909,16792,5.88893723
0.062475,0.0312375,789.106339,-789.140663,0.3125,1,1221.2567,0,0,0,0,0,0,0,69225,16163,80,23394,10891,6.68811107
0.0627875,0.03139375,793.239117,-793.585236,0.3125,1,1223.88988,0,0,0,0,0,0,0,71023,15921,80,24520,11316,2.63317275
0.0631,0.03155,797.529314,-797.746077,0.3125,1,1226.66251,0,0,0,0,0,0,0,74591,12251,80,25699,11861,2.77262807
0.0634125,0.03170625,801.317545,-801.586085,0.3125,1,1229.46903,0,0,0,0,0,0,0,66758,11807,130,25532,11807,2.80652404
0.063725,0.0318625,805.89097,-805.623026,0.3125,1,1232.9168,0,0,0,0,0,0,0,96548,17046,80,25221,11643,3.44777441
0.0640375,0.03201875,809.248823,-809.608897,0.625,1,1235.98402,0,0,0,0,0,0,0,82111,15494,80,25694,11846,3.06722045
0.06435,0.032175,813.60779,-813.580749,0.3125,1,1243.24535,0,0,0,0,0,0,0,92142,17080,80,25730,11853,7.26132298
0.0646625,0.03233125,817.7229,-817.625048,0.3125,1,1252.75645,0,0,0,0,0,0,0,89379,16317,80,25110,11576,9.51109982
0.064975,0.0324875,821.336749,-821.643039,0.3125,1,1255.7006,0,0,0,0,0,0,0,87135,16041,80,25902,11929,2.94414926
0.0652875,0.03264375,825.149874,-825.554094,0.3125,1,1259.70973,0,0,0,0,0,0,0,88574,16546,80,25345,11665,4.00913095
