# ADR90 WP-A2 tau=0 band, build afb95c40c9e3da1cc97d6aabe8168644c53d0e82 (expected afb95c40c9e3da1cc97d6aabe8168644c53d0e82), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals
0.00132,0.00066,23.21214,-23.2260744,0.16,0,3.61575699,5.47821539e-05,100
0.0014,0.0007,24.3934663,-24.4382999,0.08,0,4.07323146,5.43226011e-05,160
0.00148,0.00074,25.5629768,-25.565175,0.08,0,4.23367143,5.25118344e-05,160
0.00156,0.00078,26.680387,-26.5312663,0.08,0,4.4082067,4.62657466e-05,160
0.00164,0.00082,27.8079292,-27.7720049,0.08,0,4.57193804,3.90575841e-05,160
0.00172,0.00086,28.9457054,-28.9189997,0.08,0,4.76037979,3.48576053e-05,160
0.0018,0.0009,30.0833767,-30.0548973,0.16,0,4.93981338,3.08552045e-05,160
0.00188,0.00094,31.2138995,-31.1804247,0.08,0,5.37896562,3.09887105e-05,220
0.00196,0.00098,32.3410558,-32.3052567,0.08,0,5.55782485,3.01268988e-05,220
0.00204,0.00102,33.4525813,-33.4297091,0.08,0,5.7547853,2.91227879e-05,220
0.00212,0.00106,34.5631998,-34.5442485,0.08,0,5.9298048,2.83282399e-05,220
0.0022,0.0011,35.6706041,-35.651129,0.08,0,6.11087584,2.69518749e-05,220
0.00228,0.00114,36.7711648,-36.7502414,0.16,0,6.33816195,2.85342822e-05,220
0.00236,0.00118,37.8702191,-37.8525095,0.08,0,6.80887771,2.6507868e-05,292
0.00244,0.00122,38.9637099,-38.9467525,0.08,0,7.00393033,2.57708853e-05,292
0.00252,0.00126,40.055431,-40.029899,0.08,0,7.19855356,2.46797443e-05,292
0.0026,0.0013,41.1437034,-41.1249644,0.08,0,7.39573812,2.53634666e-05,292
0.00268,0.00134,42.2308865,-42.2163758,0.08,0,7.58497381,2.42936266e-05,292
0.00276,0.00138,43.3143633,-43.3060528,0.16,0,7.77694154,2.22415709e-05,292
0.00284,0.00142,44.3959394,-44.3900281,0.08,0,8.23147917,2.34360595e-05,376
0.00292,0.00146,45.4716126,-45.469555,0.08,0,8.42985106,2.3044275e-05,376
0.003,0.0015,46.5431307,-46.5432433,0.08,0,8.61075902,2.38972657e-05,376
0.00308,0.00154,47.6163781,-47.61401,0.08,0,8.78341579,2.25742018e-05,376
0.00316,0.00158,48.6853165,-48.6797371,0.08,0,8.96010399,2.40600148e-05,376
0.00324,0.00162,49.7483883,-49.7460143,0.16,0,9.15337372,2.14862749e-05,376
0.00332,0.00166,50.8118301,-50.8080352,0.08,0,9.61080408,2.09515028e-05,460
0.0034,0.0017,51.8730096,-51.8652161,0.08,0,9.80698442,2.14394325e-05,460
0.00348,0.00174,52.9297915,-52.9247551,0.08,0,9.99687171,2.1252996e-05,460
0.00356,0.00178,53.9862632,-53.9801832,0.08,0,10.1889591,2.21649134e-05,460
0.00364,0.00182,55.0395002,-55.0339283,0.08,0,10.4048853,2.07413522e-05,460
0.00372,0.00186,56.091693,-56.087792,0.16,0,10.6078265,1.80433574e-05,460
0.0038,0.0019,57.1406159,-57.138952,0.08,0,11.0733249,1.89008195e-05,544
0.00388,0.00194,58.1863466,-58.1859594,0.08,0,11.2452343,1.88262661e-05,544
0.00396,0.00198,59.2308613,-59.230197,0.08,0,11.4305079,1.96862155e-05,544
0.00404,0.00202,60.2756973,-60.2743734,0.08,0,11.6305065,1.83614036e-05,544
0.00412,0.00206,61.3195087,-61.3171302,0.08,0,11.8221197,1.79374525e-05,544
0.0042,0.0021,62.358958,-62.3574434,0.16,0,12.0124803,2.09339676e-05,544
0.00428,0.00214,63.4039645,-63.3935269,0.08,0,12.4424026,2.02279649e-05,628
0.00436,0.00218,64.4416669,-64.4303455,0.08,0,12.6438122,1.97022332e-05,628
0.00444,0.00222,65.4794974,-65.4655045,0.08,0,12.8150702,1.74959347e-05,628
0.00452,0.00226,66.5134078,-66.4960874,0.08,0,12.994067,2.05724634e-05,628
0.0046,0.0023,67.5369265,-67.5287315,0.08,0,13.1685088,1.81355549e-05,628
0.00468,0.00234,68.5660111,-68.5582676,0.16,0,13.3409986,1.87834551e-05,628
0.00476,0.00238,69.5887487,-69.5847725,0.08,0,13.7830389,1.88074402e-05,712
0.00484,0.00242,70.6131827,-70.6098298,0.08,0,13.9585516,1.9058028e-05,712
0.00492,0.00246,71.6430934,-71.6345358,0.08,0,14.1562219,1.80361066e-05,712
0.005,0.0025,72.6638923,-72.657936,0.08,0,14.32847,1.99221452e-05,712
0.00508,0.00254,73.6833773,-73.6794622,0.08,0,14.4909668,1.95369921e-05,712
0.00516,0.00258,74.7063685,-74.6999237,0.16,0,14.6759045,2.03979004e-05,712
0.00524,0.00262,75.7248809,-75.7203658,0.08,0,15.1040573,1.93920203e-05,796
0.00532,0.00266,76.746895,-76.7398816,0.08,0,15.2773042,1.84239214e-05,796
0.0054,0.0027,77.7686336,-77.7591786,0.08,0,15.4467866,1.85042106e-05,796
0.00548,0.00274,78.7818444,-78.7773511,0.08,0,15.6343443,1.91543934e-05,796
0.00556,0.00278,79.7951564,-79.7931949,0.08,0,15.8275187,1.75811491e-05,796
0.00564,0.00282,80.8074432,-80.8075389,0.16,0,16.0089326,1.68649202e-05,796
0.00572,0.00286,81.8204974,-81.8179578,0.08,0,16.4454069,1.78672975e-05,880
0.0058,0.0029,82.8343738,-82.8304775,0.08,0,16.600529,1.58663202e-05,880
0.00588,0.00294,83.8441216,-83.8390368,0.08,0,16.7818964,1.84064192e-05,880
0.00596,0.00298,84.8520855,-84.8481207,0.08,0,16.973244,1.79961107e-05,880
0.00604,0.00302,85.8539171,-85.8524371,0.08,0,17.133189,1.88777049e-05,880
0.00612,0.00306,86.8624493,-86.8598142,0.16,0,17.3044801,1.67891016e-05,880
0.0062,0.0031,87.8682438,-87.8636585,0.08,0,17.6925519,1.83943727e-05,964
0.00628,0.00314,88.8766449,-88.8701773,0.08,0,17.8656096,1.75442879e-05,964
0.00636,0.00318,89.8817922,-89.8755279,0.08,0,18.0352526,1.75769453e-05,964
0.00644,0.00322,90.8845492,-90.8791842,0.08,0,18.2440882,1.70349157e-05,964
0.00652,0.00326,91.8857271,-91.8809486,0.08,0,18.4246073,1.74518442e-05,964
0.0066,0.0033,92.8872232,-92.8832858,0.16,0,18.5976598,1.53647886e-05,964
0.00668,0.00334,93.8879823,-93.8837211,0.08,0,19.0043161,1.62832998e-05,1048
0.00676,0.00338,94.8870718,-94.8821408,0.08,0,19.1811783,1.5593541e-05,1048
0.00684,0.00342,95.8942206,-95.8768088,0.08,0,19.3696914,1.64975705e-05,1048
0.00692,0.00346,96.8862386,-96.8732444,0.08,0,19.5446792,1.72888913e-05,1048
0.007,0.0035,97.8809535,-97.8682687,0.08,0,19.7179623,1.55176136e-05,1048
0.00708,0.00354,98.8801577,-98.8618965,0.16,0,19.8902755,1.6820621e-05,1048
0.00716,0.00358,99.8689502,-99.8565063,0.08,0,20.2994843,1.65534579e-05,1132
0.00724,0.00362,100.863483,-100.8523,0.08,0,20.494395,1.62981033e-05,1132
0.00732,0.00366,101.855756,-101.84424,0.08,0,20.6864951,1.86639319e-05,1132
0.0074,0.0037,102.845206,-102.837512,0.08,0,20.8604705,1.59498503e-05,1132
0.00748,0.00374,103.837974,-103.829108,0.08,0,21.0642219,1.58332579e-05,1132
0.00756,0.00378,104.830139,-104.821148,0.16,0,21.2554357,1.52778839e-05,1132
0.00764,0.00382,105.816175,-105.809848,0.08,0,21.6732464,1.67884146e-05,1216
0.00772,0.00386,106.804847,-106.796149,0.08,0,21.8857622,1.78209286e-05,1216
0.0078,0.0039,107.792094,-107.785074,0.08,0,22.0628104,1.66413183e-05,1216
0.00788,0.00394,108.778733,-108.772133,0.08,0,22.2273891,1.72710117e-05,1216
0.00796,0.00398,109.765281,-109.758933,0.08,0,22.3802786,1.84270248e-05,1216
0.00804,0.00402,110.753134,-110.747233,0.16,0,22.5445659,1.61306643e-05,1216
0.00812,0.00406,111.735548,-111.73249,0.08,0,22.9583814,1.68293289e-05,1300
0.0082,0.0041,112.722726,-112.719928,0.08,0,23.1236379,1.39922354e-05,1300
0.00828,0.00414,113.703496,-113.698135,0.08,0,23.3022416,1.97033056e-05,1300
0.00836,0.00418,114.686639,-114.680328,0.08,0,23.4935324,1.67896905e-05,1300
0.00844,0.00422,115.667083,-115.661154,0.08,0,23.7261469,1.68880194e-05,1300
0.00852,0.00426,116.650717,-116.644339,0.16,0,23.9014783,1.63122789e-05,1300
0.0086,0.0043,117.630533,-117.626036,0.08,0,24.3023369,1.61661528e-05,1384
0.00868,0.00434,118.612112,-118.608716,0.08,0,24.4780765,1.47852439e-05,1384
0.00876,0.00438,119.592134,-119.587382,0.08,0,24.6487291,1.58683997e-05,1384
0.00884,0.00442,120.571571,-120.566836,0.08,0,24.8197505,1.57295664e-05,1384
0.00892,0.00446,121.546514,-121.542912,0.08,0,24.9929194,1.7210932e-05,1384
0.009,0.0045,122.525299,-122.521483,0.16,0,25.1502759,1.61595649e-05,1384
0.00908,0.00454,123.507568,-123.49905,0.08,0,25.5541792,1.52722427e-05,1468
0.00916,0.00458,124.482647,-124.475924,0.08,0,25.7150829,1.73079963e-05,1468
0.00924,0.00462,125.458832,-125.451404,0.08,0,25.892396,1.70975762e-05,1468
0.00932,0.00466,126.435394,-126.428041,0.08,0,26.0843081,1.58025396e-05,1468
0.0094,0.0047,127.412338,-127.405355,0.08,0,26.2380137,1.62463897e-05,1468
0.00948,0.00474,128.388846,-128.383929,0.16,0,26.4261413,1.5051875e-05,1468
0.00956,0.00478,129.36748,-129.361089,0.08,0,26.8039103,1.51819913e-05,1552
0.00964,0.00482,130.344748,-130.339669,0.08,0,26.9859917,1.47244032e-05,1552
0.00972,0.00486,131.317569,-131.31358,0.08,0,27.1488335,1.63161338e-05,1552
0.0098,0.0049,132.292726,-132.289272,0.08,0,27.3103635,1.34160816e-05,1552
0.00988,0.00494,133.260838,-133.259269,0.08,0,27.4790354,1.58714368e-05,1552
0.00996,0.00498,134.231491,-134.229813,0.16,0,27.649066,1.51914551e-05,1552
0.01004,0.00502,135.200396,-135.198984,0.08,0,28.021467,1.41756015e-05,1624
0.01012,0.00506,136.172004,-136.171473,0.08,0,28.2039361,1.46435086e-05,1624
0.0102,0.0051,137.14084,-137.141196,0.08,0,28.3799827,1.35103424e-05,1624
0.01028,0.00514,138.111682,-138.111906,0.08,0,28.5553563,1.38001248e-05,1624
0.01036,0.00518,139.080072,-139.07893,0.08,0,28.7075255,1.47013002e-05,1624
0.01044,0.00522,140.049138,-140.046692,0.16,0,28.8679562,1.39447368e-05,1624
0.01052,0.00526,141.014864,-141.012084,0.08,0,29.2945886,1.48684615e-05,1708
0.0106,0.0053,141.981192,-141.980144,0.08,0,29.4557869,1.41959547e-05,1708
0.01068,0.00534,142.949217,-142.945224,0.08,0,29.627248,1.59839946e-05,1708
