# ADR90 WP-A2 tau=0 band, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.60
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
0.077475,0.0387375,1806.74234,-1807.01563,0.625,1,2202.90986
0.0781,0.03905,1824.51406,-1824.81798,0.625,1,2236.4036
0.0784125,0.03920625,1836.81431,-1837.0127,0.3125,1,2255.20542
0.078725,0.0393625,1847.17914,-1846.79377,0.3125,1,2267.38659
0.0790375,0.03951875,1856.58286,-1856.20111,0.3125,1,2281.09773
0.07935,0.039675,1857.67507,-1857.98518,0.3125,1,2299.59154
0.0796625,0.03983125,1871.30471,-1871.81146,0.3125,1,2315.48514
0.079975,0.0399875,1881.87301,-1881.23935,0.625,1,2331.38081
0.0806,0.0403,1892.14225,-1892.48356,0.625,1,2348.7378
0.081225,0.0406125,1909.31285,-1909.86401,0.625,1,2369.77756
0.0815375,0.04076875,1922.2381,-1922.17803,0.3125,1,2407.71741
0.08185,0.040925,1932.5407,-1932.18653,0.3125,1,2423.27002
0.0821625,0.04108125,1942.27778,-1941.80993,0.3125,1,2430.61341
0.082475,0.0412375,1942.97719,-1943.13043,0.3125,1,2440.32421
0.0827875,0.04139375,1956.31594,-1957.08747,0.3125,1,2476.16981
0.0831,0.04155,1967.39123,-1966.71736,0.625,1,2504.2775
0.083725,0.0418625,1977.60496,-1977.84254,0.625,1,2538.71498
0.0840375,0.04201875,1991.00786,-1991.24516,0.3125,1,2629.02501
0.08435,0.042175,2001.73345,-2000.95609,0.3125,1,2644.83344
0.0846625,0.04233125,2004.90204,-2005.28757,0.3125,1,2678.43405
0.084975,0.0424875,2017.89188,-2018.0463,0.3125,1,2696.13385
0.0852875,0.04264375,2028.3597,-2027.96489,0.3125,1,2714.75156
0.0856,0.0428,2030.01033,-2030.15359,0.625,1,2749.00719
0.086225,0.0431125,2046.81755,-2046.7404,0.625,1,2798.4197
0.08685,0.043425,2065.01219,-2065.12423,0.625,1,2846.21103
0.087475,0.0437375,2082.86964,-2083.04296,0.625,1,2887.28964
0.0881,0.04405,2098.31971,-2098.65533,0.625,1,2930.25509
0.0884125,0.04420625,2112.18919,-2112.13071,0.3125,1,2981.33691
0.088725,0.0443625,2123.0874,-2122.27708,0.3125,1,2989.22694
0.0890375,0.04451875,2125.78011,-2126.2779,0.3125,1,3003.91081
0.08935,0.044675,2139.33554,-2139.53799,0.3125,1,3012.70252
