# ADR90 WP-A2 tau=0 band, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,1.33615168,-1.21413234,0.02,0,0.168185234
4e-05,2e-05,1.83558693,-1.70801113,0.02,0,0.281650066
6e-05,3e-05,2.29499439,-2.19033966,0.02,0,0.400451899
8e-05,4e-05,2.76790383,-2.62075683,0.02,0,0.507152081
0.0001,5e-05,3.1773303,-3.04430732,0.02,0,0.608577967
0.00012,6e-05,3.59337668,-3.45017107,0.04,0,0.713536024
0.00016,8e-05,4.39278716,-4.22932916,0.04,0,0.894375324
0.0002,0.0001,5.06838308,-4.97809563,0.04,0,1.07815671
0.00024,0.00012,5.84866103,-5.69085533,0.04,0,1.23968577
0.00028,0.00014,6.48224485,-6.4020033,0.04,0,1.46363163
0.00032,0.00016,7.26596523,-7.08886608,0.04,0,1.64192486
0.00036,0.00018,7.92833605,-7.76880572,0.08,0,1.83438325
0.00044,0.00022,9.20988389,-9.0947458,0.08,0,2.21089149
0.00052,0.00026,10.4771099,-10.3876743,0.08,0,2.62477279
0.0006,0.0003,11.758723,-11.6609697,0.08,0,3.04301095
0.00068,0.00034,13.0206384,-12.9116597,0.08,0,3.48255992
0.00076,0.00038,14.2540072,-14.1350734,0.08,0,3.92410421
0.00084,0.00042,15.4762335,-15.3348666,0.16,0,4.32979751
0.001,0.0005,17.7527684,-17.7196429,0.16,0,5.25677252
0.00116,0.00058,20.0535367,-20.0555428,0.16,0,6.84580398
0.00132,0.00066,22.4162868,-22.3643715,0.16,0,7.74784493
0.00148,0.00074,24.6981812,-24.6431034,0.16,0,8.63269377
0.00164,0.00082,26.879667,-26.8499716,0.16,0,12.8924072
0.0018,0.0009,29.170976,-29.1300763,0.32,0,13.8062565
0.00212,0.00106,33.5002575,-33.5095312,0.32,0,16.1888659
0.00244,0.00122,37.8106546,-37.8277927,0.32,0,18.4857607
0.00276,0.00138,42.0596921,-41.9813179,0.32,0,21.1270659
0.00308,0.00154,46.2755899,-46.2863528,0.32,0,23.5226951
0.0034,0.0017,50.4451255,-50.4600421,0.32,0,25.9731581
0.00372,0.00186,54.583553,-54.5989808,0.64,0,28.4595392
0.00436,0.00218,62.7540831,-62.7631535,0.64,0,35.5397248
0.005,0.0025,70.8280427,-70.8338822,0.64,0,42.9429002
0.00564,0.00282,78.8230158,-78.8317154,0.64,0,49.2257762
0.00628,0.00314,86.7364382,-86.7431298,0.64,0,56.5420675
0.00692,0.00346,94.443689,-94.5649561,0.64,0,68.8923223
0.00756,0.00378,102.285962,-102.381281,1.28,0,81.2979727
0.00884,0.00442,117.950594,-117.894379,1.28,0,113.266388
0.01012,0.00506,133.2763,-133.24732,1.28,0,146.608079
0.0114,0.0057,148.491658,-148.444289,1.28,0,168.614085
0.01268,0.00634,163.489561,-163.531591,1.28,0,191.543589
0.01396,0.00698,178.672829,-178.639832,1.28,0,213.199594
0.01524,0.00762,193.648561,-193.63787,2.56,0,235.420752
0.0178,0.0089,223.952337,-224.117525,2.56,1,269.726627
0.02036,0.01018,253.51635,-253.597716,2.56,1,302.76855
0.02292,0.01146,282.432788,-282.46128,2.56,0,350.977797
0.02548,0.01274,311.816227,-311.772398,2.56,0,404.466903
0.02804,0.01402,341.98531,-342.189078,2.56,1,478.006329
0.0306,0.0153,371.107562,-371.292069,5,1,513.293427
0.0331,0.01655,398.821825,-398.793662,2.5,0,596.418069
0.0356,0.0178,427.258288,-427.319643,2.5,0,649.37105
0.0381,0.01905,456.536921,-456.799236,2.5,1,681.209014
0.0406,0.0203,484.074779,-484.096913,2.5,0,738.315497
0.0431,0.02155,512.422657,-512.304273,2.5,0,788.625377
0.0456,0.0228,541.670106,-541.884057,5,1,852.25517
0.0481,0.02405,570.528154,-570.616958,2.5,1,949.011788
0.0506,0.0253,598.947866,-599.026459,2.5,1,981.26212
0.0531,0.02655,625.267939,-625.302233,2.5,0,1036.21728
0.0556,0.0278,654.955436,-654.979755,2.5,1,1092.26609
0.0581,0.02905,682.185598,-682.291878,2.5,1,1132.13601
0.0606,0.0303,711.066286,-711.195171,5,1,1188.55909
0.0631,0.03155,737.551193,-737.528811,2.5,0,1266.05775
0.0656,0.0328,766.079093,-766.437788,2.5,1,1339.64931
0.0681,0.03405,795.655276,-796.077232,2.5,1,1379.52494
0.0706,0.0353,823.40306,-823.903975,2.5,1,1421.0467
0.0731,0.03655,849.963249,-850.415198,2.5,1,1490.75875
0.0756,0.0378,878.134936,-878.301435,5,1,1568.09584
0.0806,0.0403,934.172611,-934.28251,5,1,1616.51917
0.0856,0.0428,989.406898,-989.531178,5,1,1652.82146
0.0906,0.0453,1043.44335,-1044.03554,5,1,1698.42363
0.0956,0.0478,1098.58118,-1098.94322,5,1,1775.62031
0.1006,0.0503,1153.99092,-1154.00484,5,1,1816.42788
0.1056,0.0528,1208.56132,-1208.73406,5,1,1899.28626
0.1106,0.0553,1263.03637,-1263.18902,5,1,1963.66644
0.1131,0.05655,1290.11961,-1290.47638,2.5,1,2057.81893
0.11435,0.057175,1302.93062,-1303.12307,1.25,1,2137.19086
0.1156,0.0578,1316.75391,-1316.88746,1.25,1,2166.82638
0.11685,0.058425,1330.36194,-1330.46783,1.25,1,2215.01758
0.117475,0.0587375,1337.96989,-1338.62653,0.625,1,2260.34677
0.1181,0.05905,1343.70345,-1343.92492,0.625,1,2275.8657
0.118725,0.0593625,1349.33321,-1349.39881,0.625,1,2293.46456
0.11935,0.059675,1357.27096,-1357.86405,0.625,1,2314.0816
0.119975,0.0599875,1363.27613,-1363.36261,0.625,1,2340.86706
0.1206,0.0603,1373.97415,-1374.01594,1.25,1,2356.53337
0.12185,0.060925,1384.23815,-1384.72032,1.25,1,2385.83961
