# ADR90 WP-A2 plastic field at CHECKPOINT s/B=0.01 (actual 0.010180), build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.6944, q_foot=253.5164 kPa
ele,xc,zc,hx,hz,vol,eps_q_p,eta_grav
27,-15.2163765,-3.5,4.33795336,1,2.16897668,4.48470304e-05,0.855053698
28,-15.2163765,-2.5,4.33795336,1,2.16897668,4.56241899e-05,0.855053698
29,-15.2163765,-1.5,4.33795336,1,2.16897668,4.71421696e-05,0.855053698
30,-15.2163765,-0.5,4.33795336,1,2.16897668,4.86492504e-05,0.855053698
31,-11.3489969,-17.706199,3.39680591,4.58760194,7.79159669,2.83060398e-05,0.855053698
32,-11.3489969,-13.6329249,3.39680591,3.55894634,6.04452498,2.74307504e-05,0.855053698
33,-11.3489969,-10.4729811,3.39680591,2.76094116,4.68919063,4.75992965e-05,0.855053698
34,-11.3489969,-8.02157615,3.39680591,2.1418688,3.63775629,6.35379109e-05,0.855053698
35,-11.3489969,-6.11983775,3.39680591,1.66160801,2.82207995,6.94715444e-05,0.855053698
36,-11.3489969,-4.64451687,3.39680591,1.28903375,2.18929873,6.9490853e-05,0.855053698
37,-11.3489969,-3.5,3.39680591,1,1.69840295,6.63422287e-05,0.855053698
38,-11.3489969,-2.5,3.39680591,1,1.69840295,5.91880507e-05,0.855053698
39,-11.3489969,-1.5,3.39680591,1,1.69840295,4.92839189e-05,0.855053698
40,-11.3489969,-0.5,3.39680591,1,1.69840295,4.32532518e-05,0.855053698
41,-8.32067065,-17.706199,2.65984657,4.58760194,6.10115865,5.33792651e-05,0.855053698
42,-8.32067065,-13.6329249,2.65984657,3.55894634,4.73312561,4.58865863e-05,0.855053698
43,-8.32067065,-10.4729811,2.65984657,2.76094116,3.67183995,6.31098866e-05,0.855053698
44,-8.32067065,-8.02157615,2.65984657,2.1418688,2.84852119,0.000100235462,0.855053698
45,-8.32067065,-6.11983775,2.65984657,1.66160801,2.20981118,0.000125199303,0.855053698
46,-8.32067065,-4.64451687,2.65984657,1.28903375,1.714316,0.000127095932,0.855053698
47,-8.32067065,-3.5,2.65984657,1,1.32992329,0.000111675986,0.855053698
48,-8.32067065,-2.5,2.65984657,1,1.32992329,9.06618934e-05,0.855053698
49,-8.32067065,-1.5,2.65984657,1,1.32992329,6.1663936e-05,0.855053698
50,-8.32067065,-0.5,2.65984657,1,1.32992329,2.49480709e-05,0.855053698
51,-5.94935967,-17.706199,2.0827754,4.58760194,4.77747223,7.32431064e-05,0.855053698
52,-5.94935967,-13.6329249,2.0827754,3.55894634,3.70624294,0.000121075034,0.855053698
53,-5.94935967,-10.4729811,2.0827754,2.76094116,2.87521017,0.000177253785,0.855053698
54,-5.94935967,-8.02157615,2.0827754,2.1418688,2.23051582,0.00020319591,0.855053698
55,-5.94935967,-6.11983775,2.0827754,1.66160801,1.73037814,0.000241663131,0.855053698
56,-5.94935967,-4.64451687,2.0827754,1.28903375,1.34238389,0.000267329163,0.855053698
57,-5.94935967,-3.5,2.0827754,1,1.0413877,0.000252821113,0.855053698
58,-5.94935967,-2.5,2.0827754,1,1.0413877,0.000183664245,0.855053698
59,-5.94935967,-1.5,2.0827754,1,1.0413877,9.40699708e-05,0.855053698
60,-5.94935967,-0.5,2.0827754,1,1.0413877,4.59126984e-05,0.855053698
61,-4.09252017,-17.706199,1.63090361,4.58760194,3.74096828,8.37581618e-05,0.855053698
62,-4.09252017,-13.6329249,1.63090361,3.55894634,2.90214921,0.000180849113,0.855053698
63,-4.09252017,-10.4729811,1.63090361,2.76094116,2.25141445,0.000315060009,0.855053698
64,-4.09252017,-8.02157615,1.63090361,2.1418688,1.74659077,0.000465184248,0.855053698
65,-4.09252017,-6.11983775,1.63090361,1.66160801,1.35496124,0.0005785212,0.855053698
66,-4.09252017,-4.64451687,1.63090361,1.28903375,1.05114489,0.000617000508,0.855053698
