# ADR90 WP-A2 tau=0 band, build 87b9cf846aa6e75f96d620f24a15b24ba4503a52 (expected 87b9cf846aa6e75f96d620f24a15b24ba4503a52), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res
0.0066,0.0033,92.8993142,-92.8692812,0.16,0,12.4579456,4.34172178e-05,216,0,0,0,0
0.00676,0.00338,94.8985314,-94.8764314,0.16,0,12.7229073,4.13011329e-05,216,0,0,0,0
0.00692,0.00346,96.8961619,-96.8775987,0.32,0,12.9851735,4.07603624e-05,216,0,0,0,0
0.00708,0.00354,98.8916092,-98.8717003,0.16,0,13.5700991,3.89858191e-05,276,0,0,0,0
0.00724,0.00362,100.879885,-100.863743,0.16,0,13.8131185,3.58749145e-05,276,0,0,0,0
0.0074,0.0037,102.88104,-102.851283,0.16,0,14.070442,3.40126582e-05,276,0,0,0,0
0.00756,0.00378,104.853552,-104.843764,0.16,0,14.3182149,3.30274821e-05,276,0,0,0,0
0.00772,0.00386,106.837701,-106.828871,0.16,0,14.573276,2.88577118e-05,276,0,0,0,0
0.00788,0.00394,108.817561,-108.810359,0.32,0,14.8236251,3.0403538e-05,276,0,0,0,0
0.00804,0.00402,110.790716,-110.785961,0.16,0,15.4012134,2.93118137e-05,336,0,0,0,0
0.0082,0.0041,112.770986,-112.755524,0.16,0,15.6573431,3.04675635e-05,336,0,0,0,0
0.00836,0.00418,114.73371,-114.727161,0.16,0,15.8945496,3.05797706e-05,336,0,0,0,0
0.00852,0.00426,116.705097,-116.693427,0.16,0,16.1448805,2.99324048e-05,336,0,0,0,0
0.00868,0.00434,118.674108,-118.662072,0.16,0,16.4055703,2.78872211e-05,336,0,0,0,0
0.00884,0.00442,120.636626,-120.630558,0.32,0,16.6537938,2.57906082e-05,336,0,0,0,0
0.009,0.0045,122.602656,-122.591538,0.16,0,17.2163622,2.98291385e-05,408,0,0,0,0
0.00916,0.00458,124.563446,-124.553683,0.16,0,17.4728594,2.71167179e-05,408,0,0,0,0
0.00932,0.00466,126.522005,-126.512046,0.16,0,17.7178938,2.7243094e-05,408,0,0,0,0
0.00948,0.00474,128.485132,-128.467256,0.16,0,17.9782329,2.92110698e-05,408,0,0,0,0
0.00964,0.00482,130.438095,-130.418787,0.16,0,18.2268696,3.08798591e-05,408,0,0,0,0
0.0098,0.0049,132.384685,-132.371474,0.32,0,18.4694085,3.14025122e-05,408,0,0,0,0
0.01012,0.00506,136.27946,-136.265317,0.32,0,18.8415577,5.17176301e-05,412,0,0,0,0
0.01044,0.00522,140.204896,-140.176129,0.32,0,19.1973636,4.61075347e-05,416,0,0,0,0
0.01076,0.00538,144.124176,-144.080514,0.32,0,19.5440047,5.34832564e-05,420,0,0,0,0
0.01108,0.00554,147.995453,-147.964491,0.32,0,19.9224844,6.26488044e-05,424,0,0,0,0
0.0114,0.0057,151.870613,-151.826042,0.32,0,20.2923775,6.84422862e-05,428,0,0,0,0
0.01172,0.00586,155.712032,-155.675507,0.64,0,20.6658421,7.23118524e-05,428,0,2,0,0
0.01204,0.00602,159.554843,-159.511134,0.32,0,21.4295278,7.83382945e-05,596,0,8,0,0
0.01236,0.00618,163.399361,-163.351233,0.32,0,21.8111522,7.4177297e-05,596,0,0,0,0
0.01268,0.00634,167.249305,-167.190474,0.32,0,22.1868258,7.62810178e-05,596,0,0,0,0
0.013,0.0065,171.074011,-171.026717,0.32,0,22.5589042,7.31341703e-05,596,0,0,0,0
0.01332,0.00666,174.901368,-174.859093,0.32,0,22.9538193,7.33031225e-05,596,0,0,0,0
0.01364,0.00682,178.724836,-178.685262,0.64,0,23.3396015,7.19140586e-05,596,0,0,0,0
0.01396,0.00698,182.553203,-182.502551,0.32,0,24.1056366,6.63942737e-05,764,0,0,0,0
0.01428,0.00714,186.364642,-186.327755,0.32,0,24.4845865,6.33784972e-05,764,0,0,0,0
0.0146,0.0073,190.187887,-190.144172,0.32,0,24.8536057,6.73484182e-05,764,0,0,0,0
0.01492,0.00746,194.000439,-193.95946,0.32,0,25.223382,5.9511462e-05,764,0,0,0,0
0.01524,0.00762,197.819095,-197.769013,0.32,0,25.6181695,6.19948297e-05,764,0,0,0,0
0.01556,0.00778,201.607397,-201.577666,0.64,0,26.003063,5.90140064e-05,764,0,0,0,0
0.01588,0.00794,205.409849,-205.374396,0.32,0,26.76826,5.82950971e-05,917,0,0,0,0
0.0162,0.0081,209.232993,-209.163322,0.32,0,27.1420975,5.64346409e-05,917,0,0,0,0
0.01652,0.00826,212.987837,-212.968849,0.32,0,27.5108399,5.4565836e-05,917,0,0,0,0
0.01684,0.00842,216.789128,-216.753248,0.32,0,27.8702986,5.04909075e-05,917,0,0,0,0
0.01716,0.00858,220.564621,-220.542827,0.32,0,28.2530761,5.09901129e-05,917,0,0,0,0
0.01748,0.00874,224.346126,-224.324823,0.64,0,28.6323662,4.86937257e-05,917,0,0,0,0
0.0178,0.0089,228.129185,-228.109306,0.32,0,29.4133098,4.80656415e-05,1073,0,0,0,0
0.01812,0.00906,231.916195,-231.883088,0.32,0,29.7793088,4.95342207e-05,1073,0,0,0,0
0.01844,0.00922,235.689517,-235.656206,0.32,0,30.1494615,5.00460739e-05,1073,0,0,0,0
0.01876,0.00938,239.456372,-239.427988,0.32,0,30.5175176,5.00235893e-05,1073,0,0,0,0
0.01908,0.00954,243.230344,-243.196711,0.32,0,30.8618784,5.21298149e-05,1077,0,0,0,0
0.0194,0.0097,246.988853,-246.956545,0.64,0,31.2384009,5.30118141e-05,1081,0,0,0,0
