# ADR90 WP-A2 tau=0 band, build a6a53948ef316f7eb6662ea09f2e1fb52d2b607f (expected a6a53948ef316f7eb6662ea09f2e1fb52d2b607f), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res,guard_ctlf
0.00564,0.00282,83.8800636,-85.1322724,0.32,0,10.5936615,0.00229212866,60,0,0,0,1568,212
0.0058,0.0029,85.9317038,-87.2127499,0.16,0,11.1519718,0.00229879804,72,0,0,0,11072,1514
0.00596,0.00298,87.9789255,-89.2882535,0.16,0,11.3682473,0.00230443378,72,0,0,0,1568,212
0.00612,0.00306,90.0225474,-91.3593304,0.16,0,11.626276,0.00230956449,72,0,0,0,1568,212
0.00628,0.00314,92.0619253,-93.4267781,0.16,0,11.8499165,0.00231533095,72,0,0,0,1568,212
0.00644,0.00322,94.0974867,-95.4894509,0.16,0,12.0700715,0.00232059908,72,0,0,0,1568,212
0.0066,0.0033,96.1296899,-97.548765,0.32,0,12.3144629,0.00232617938,72,0,0,0,1568,212
0.00676,0.00338,98.1579816,-99.6037061,0.16,0,12.8880675,0.00233098489,84,0,0,0,11072,1532
0.00692,0.00346,100.183393,-101.65529,0.16,0,13.1588535,0.00233600467,84,0,0,0,1568,212
0.00708,0.00354,102.191829,-103.715725,0.16,0,13.3788626,0.0023500715,84,0,0,0,1568,214
0.00724,0.00362,104.20933,-105.759668,0.16,0,13.6112306,0.00235431894,84,0,0,0,1568,212
0.0074,0.0037,106.224577,-107.799751,0.16,0,13.8319006,0.00235910831,84,0,0,0,1568,216
0.00756,0.00378,108.238661,-109.836648,0.32,0,14.0773914,0.00236292917,84,0,0,0,1568,216
0.00772,0.00386,110.24966,-111.870275,0.16,0,15.060884,0.00236597454,108,0,0,0,11072,1548
0.00788,0.00394,112.257919,-113.901135,0.16,0,15.3152049,0.00236994998,108,0,0,0,1568,216
0.00804,0.00402,114.263395,-115.92846,0.16,0,15.6094642,0.00237246699,108,0,0,0,1568,216
0.0082,0.0041,116.265383,-117.952934,0.16,0,15.9314373,0.00237616056,108,0,0,0,1568,216
0.00836,0.00418,118.265332,-119.974217,0.16,0,16.2037055,0.00237821481,108,0,0,0,1568,216
0.00852,0.00426,120.261331,-121.992209,0.32,0,16.4741344,0.00238182808,108,0,0,0,1568,216
0.00868,0.00434,122.255097,-124.007087,0.16,0,17.3954661,0.0023836785,120,0,0,0,11072,1608
0.00884,0.00442,124.245561,-126.019503,0.16,0,17.6329653,0.00238840218,120,0,0,0,1568,216
0.009,0.0045,126.234662,-128.028589,0.16,0,17.8623517,0.00238918886,120,0,0,0,1568,216
0.00916,0.00458,128.220646,-130.035384,0.16,0,18.09834,0.00239273914,120,0,0,0,1568,220
0.00932,0.00466,130.204622,-132.039598,0.16,0,18.3224261,0.00239363078,120,0,0,0,1568,220
0.00948,0.00474,132.185845,-134.040843,0.32,0,18.5709558,0.00239586616,120,0,0,0,1568,220
0.00964,0.00482,134.164904,-136.03996,0.16,0,19.5517006,0.00239825659,132,0,0,0,11072,1624
0.0098,0.0049,136.142189,-138.036445,0.16,0,19.8259735,0.00239950759,132,0,0,0,1568,220
0.00996,0.00498,138.117028,-140.03055,0.16,0,20.0574322,0.00240108759,132,0,0,0,1568,220
0.01012,0.00506,140.090039,-142.021322,0.16,0,20.2647257,0.00240156942,132,0,0,0,1568,220
0.01028,0.00514,142.060431,-144.00913,0.16,0,20.5055511,0.0024019908,132,0,0,0,1568,224
0.01044,0.00522,144.028568,-145.994839,0.32,0,20.7841167,0.00240347744,132,0,0,0,1568,224
0.0106,0.0053,145.995746,-147.979182,0.16,0,21.7537885,0.0024034606,144,0,0,0,11072,1646
0.01076,0.00538,147.961002,-149.961533,0.16,0,21.9936078,0.00240431946,144,0,0,0,1568,224
0.01092,0.00546,149.924564,-151.942091,0.16,0,22.2173283,0.00240439704,144,0,0,0,1568,224
0.01108,0.00554,151.885873,-153.920332,0.16,0,22.4760959,0.00240504384,144,0,0,0,1568,224
0.01124,0.00562,153.846138,-155.897066,0.16,0,22.7571609,0.0024056265,144,0,0,0,1568,224
0.0114,0.0057,155.804191,-157.871805,0.32,0,23.0164587,0.00240650204,144,0,0,0,1568,224
0.01172,0.00586,163.752464,-165.917407,0.32,0,23.3576944,0.00379294897,144,0,0,0,1568,478
0.01188,0.00594,162.872046,-165.47121,0.16,0,24.3632205,0.00298120374,156,0,32,0,11072,327
0.01204,0.00602,164.217388,-166.692573,0.16,0,24.6287203,0.00266028657,156,0,68,0,1568,340
0.0122,0.0061,166.009937,-168.419298,0.16,0,24.8945665,0.0025501067,156,0,12,0,1568,300
0.01236,0.00618,167.909798,-170.306409,0.16,0,25.1243665,0.00251201624,156,0,0,0,1568,280
0.01252,0.00626,169.845253,-172.244262,0.16,0,25.3760469,0.00249199137,156,0,0,0,1568,248
0.01268,0.00634,171.796456,-174.201946,0.32,0,25.6524014,0.00248001217,156,0,0,0,1568,248
0.013,0.0065,180.010067,-182.581541,0.32,0,25.9922247,0.00385490535,156,0,0,0,1568,524
0.01316,0.00658,179.037692,-182.024706,0.16,0,26.9620225,0.00306661684,168,0,32,0,11072,344
0.01332,0.00666,180.287062,-183.060329,0.16,0,27.223747,0.00272800878,168,0,16,0,1568,384
0.01348,0.00674,182.02152,-184.690819,0.16,0,27.4541187,0.00260168129,168,0,4,0,1568,316
0.01364,0.00682,183.879611,-186.512928,0.16,0,27.6943364,0.00255165273,168,0,4,0,1568,292
0.0138,0.0069,185.78588,-188.408964,0.16,0,27.9109495,0.00252326916,168,0,0,0,1568,268
0.01396,0.00698,187.718496,-190.336195,0.32,0,28.1469841,0.00250670375,168,0,0,0,1568,252
