s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s,p_exc_kPa
0.0315125,0.0315125,2634.57018,658.642545,1.03320148,0.05,8218.38281,0.035219937
0.0315375,0.0315375,2635.67591,658.918977,1.03363512,0.025,8282.65834,0.0352427664
0.0315625,0.0315625,2636.77962,659.194905,1.03406796,0.025,8306.41553,0.0352655223
0.0315875,0.0315875,2637.88138,659.470345,1.03450004,0.025,8329.76693,0.035288282
0.0316125,0.0316125,2638.98218,659.745545,1.03493174,0.025,8351.18053,0.0353110855
0.0316375,0.0316375,2640.08196,660.020491,1.03536304,0.05,8374.40958,0.0353339304
0.0316625,0.0316625,2641.18111,660.295277,1.03579409,0.025,8440.64746,0.0353568005
0.0316875,0.0316875,2642.27968,660.56992,1.03622492,0.025,8463.77172,0.0353796051
0.0317125,0.0317125,2643.37758,660.844395,1.03665549,0.025,8485.05779,0.0354024702
0.0317375,0.0317375,2644.47472,661.118679,1.03708575,0.025,8510.43584,0.0354253006
0.0317625,0.0317625,2645.57154,661.392885,1.03751589,0.05,8533.75827,0.0354481523
0.0317875,0.0317875,2646.66765,661.666913,1.03794576,0.025,8598.9515,0.0354709754
0.0318125,0.0318125,2647.76318,661.940794,1.03837539,0.025,8622.08171,0.0354938042
0.0318375,0.0318375,2648.85744,662.214359,1.03880453,0.025,8646.53287,0.0355165702
0.0318625,0.0318625,2649.95067,662.487668,1.03923326,0.025,8666.31735,0.035539344
0.0318875,0.0318875,2651.0419,662.760475,1.03966121,0.05,8689.98934,0.0355619593
0.0319125,0.0319125,2652.13174,663.032936,1.04008861,0.025,8759.50286,0.0355846515
0.0319375,0.0319375,2653.22125,663.305313,1.04051589,0.025,8784.26819,0.0356074529
0.0319625,0.0319625,2654.31045,663.577613,1.04094304,0.025,8808.89195,0.035630246
0.0319875,0.0319875,2655.39864,663.84966,1.0413698,0.025,8835.06856,0.035652985
0.0320125,0.0320125,2656.48624,664.121561,1.04179632,0.05,8852.56612,0.0356757584
0.0320375,0.0320375,2657.57308,664.393271,1.04222255,0.025,8922.69952,0.0356984267
