s_m,s_over_B,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.01616,0.00808,88.0937116,88.0937116,0.04,0,459.352114
0.0162,0.0081,88.1981011,88.1981011,0.04,1,463.127494
0.01624,0.00812,88.2417736,88.2417736,0.04,0,464.278759
0.01628,0.00814,88.2922373,88.2922373,0.04,0,465.457137
0.01632,0.00816,88.3428116,88.3428116,0.04,0,466.582645
0.01636,0.00818,88.3911573,88.3911573,0.08,0,467.575191
0.0164,0.0082,88.4410541,88.4410541,0.04,0,474.241147
0.01644,0.00822,88.4984028,88.4984028,0.04,0,475.42613
0.01648,0.00824,88.5576722,88.5576722,0.04,0,476.554949
0.01652,0.00826,88.6216958,88.6216958,0.04,0,477.659772
0.01656,0.00828,88.6992162,88.6992162,0.04,0,478.728007
0.0166,0.0083,88.7788455,88.7788455,0.08,0,479.817951
0.01664,0.00832,88.8454941,88.8454941,0.04,0,485.759758
0.01668,0.00834,88.904041,88.904041,0.04,0,487.103731
0.01672,0.00836,88.9748841,88.9748841,0.04,1,490.967195
0.01676,0.00838,89.0433676,89.0433676,0.04,1,495.062872
0.0168,0.0084,89.0927367,89.0927367,0.04,0,496.155398
0.01684,0.00842,89.1503095,89.1503095,0.08,0,497.380083
0.01688,0.00844,89.214319,89.214319,0.04,0,503.310146
0.01692,0.00846,89.2847401,89.2847401,0.04,0,504.001108
0.01696,0.00848,89.3584342,89.3584342,0.04,0,505.074942
0.017,0.0085,89.4470949,89.4470949,0.04,0,506.235301
0.01704,0.00852,89.5476174,89.5476174,0.04,0,506.827972
0.01708,0.00854,89.640346,89.640346,0.08,0,508.053543
0.01712,0.00856,89.7315018,89.7315018,0.04,0,513.989491
0.01716,0.00858,89.8291798,89.8291798,0.04,0,514.568776
0.0172,0.0086,89.920175,89.920175,0.04,0,515.669936
0.01724,0.00862,90.0138255,90.0138255,0.04,0,516.854866
0.01728,0.00864,90.1015627,90.1015627,0.04,0,517.410958
0.01732,0.00866,90.1896211,90.1896211,0.08,0,518.933672
0.01736,0.00868,90.2733288,90.2733288,0.04,0,525.646353
0.0174,0.0087,90.3494052,90.3494052,0.04,0,526.352902
0.01742,0.00871,90.3982975,90.3982975,0.02,0,532.317988
0.01744,0.00872,90.4351657,90.4351657,0.02,0,532.926461
0.01746,0.00873,90.4878194,90.4878194,0.02,0,533.399033
0.01748,0.00874,90.5329842,90.5329842,0.02,0,533.750449
0.0175,0.00875,90.5792201,90.5792201,0.02,0,534.238669
0.01752,0.00876,90.6251118,90.6251118,0.04,0,534.631512
0.01756,0.00878,90.6914671,90.6914671,0.04,0,535.35034
0.0176,0.0088,90.7823232,90.7823232,0.04,0,536.037253
0.01764,0.00882,90.8711453,90.8711453,0.04,0,536.480815
0.01768,0.00884,90.9584639,90.9584639,0.04,0,537.666301
0.01772,0.00886,91.044347,91.044347,0.04,0,538.788258
0.01776,0.00888,91.1294493,91.1294493,0.08,0,539.918364
0.0178,0.0089,91.2133995,91.2133995,0.04,0,546.467168
0.01784,0.00892,91.2936728,91.2936728,0.04,1,550.379148
0.01786,0.00893,91.3371538,91.3371538,0.02,0,556.124304
0.01788,0.00894,91.3781904,91.3781904,0.02,0,556.534992
0.0179,0.00895,91.4188214,91.4188214,0.02,0,556.909625
0.01792,0.00896,91.458716,91.458716,0.02,0,557.27134
0.01794,0.00897,91.498005,91.498005,0.02,0,557.673211
0.01796,0.00898,91.5365543,91.5365543,0.04,0,558.136741
0.018,0.009,91.5593664,91.5593664,0.04,0,560.367326
0.01802,0.00901,91.5634445,91.5634445,0.02,0,566.521204
0.01804,0.00902,91.5673343,91.5673343,0.02,0,567.617403
0.01806,0.00903,91.5702078,91.5702078,0.02,0,568.224064
0.01808,0.00904,91.5735228,91.5735228,0.02,0,568.776077
0.0181,0.00905,91.5781436,91.5781436,0.02,0,569.312055
0.01812,0.00906,91.5834268,91.5834268,0.04,0,569.824262
0.01816,0.00908,91.6148747,91.6148747,0.04,1,573.882024
0.0182,0.0091,91.6425352,91.6425352,0.04,0,574.679265
0.01824,0.00912,91.6898391,91.6898391,0.04,0,575.156317
0.01826,0.00913,91.7126214,91.7126214,0.02,0,580.992043
0.01828,0.00914,91.7381067,91.7381067,0.02,0,581.426443
0.0183,0.00915,91.7664177,91.7664177,0.02,0,581.831551
0.01832,0.00916,91.7967746,91.7967746,0.02,0,582.317003
0.01834,0.00917,91.827522,91.827522,0.02,0,582.712906
0.01836,0.00918,91.8602094,91.8602094,0.04,0,583.217901
0.01838,0.00919,91.8944034,91.8944034,0.02,0,588.594813
0.0184,0.0092,91.9327188,91.9327188,0.02,0,589.105556
0.01842,0.00921,91.9713324,91.9713324,0.02,0,589.493321
0.01844,0.00922,92.0109612,92.0109612,0.02,0,589.877822
0.01846,0.00923,92.0524206,92.0524206,0.02,0,590.279643
0.01848,0.00924,92.0934336,92.0934336,0.04,0,590.619437
0.01852,0.00926,92.1770259,92.1770259,0.04,0,591.784235
0.01856,0.00928,92.2780314,92.2780314,0.04,0,592.411891
0.0186,0.0093,92.370767,92.370767,0.04,0,593.085025
0.01864,0.00932,92.4711301,92.4711301,0.04,0,593.8157
0.01868,0.00934,92.5626907,92.5626907,0.04,0,594.362318
0.01872,0.00936,92.6536149,92.6536149,0.08,0,595.573478
0.01876,0.00938,92.7425074,92.7425074,0.04,0,601.424534
0.0188,0.0094,92.7611074,92.7611074,0.04,0,602.772842
0.01884,0.00942,92.805075,92.805075,0.04,0,603.964642
0.01888,0.00944,92.8595998,92.8595998,0.04,0,605.110595
0.01892,0.00946,92.922261,92.922261,0.04,0,606.376847
0.01896,0.00948,92.9867105,92.9867105,0.08,0,607.431242
0.019,0.0095,93.0819199,93.0819199,0.04,0,613.989547
0.01904,0.00952,93.1754151,93.1754151,0.04,0,614.735711
0.01908,0.00954,93.2332637,93.2332637,0.04,0,615.218176
0.01912,0.00956,93.2962828,93.2962828,0.04,0,615.753488
0.01916,0.00958,93.3517885,93.3517885,0.04,0,617.944562
0.01918,0.00959,93.3958722,93.3958722,0.02,0,628.229333
0.0192,0.0096,93.439513,93.439513,0.02,0,628.66904
0.01922,0.00961,93.4841641,93.4841641,0.02,0,631.440038
0.01924,0.00962,93.4950941,93.4950941,0.02,0,633.07895
0.01926,0.00963,93.5049871,93.5049871,0.02,0,634.679132
0.01928,0.00964,93.5104261,93.5104261,0.04,0,637.09128
0.01932,0.00966,93.518326,93.518326,0.04,0,640.553899
0.01936,0.00968,93.5211584,93.5211584,0.04,0,642.142238
0.0194,0.0097,93.5241141,93.5241141,0.04,0,642.990475
0.01944,0.00972,93.5354375,93.5354375,0.04,1,647.017348
0.01948,0.00974,93.5539174,93.5539174,0.04,1,651.767382
0.01952,0.00976,93.5809881,93.5809881,0.08,0,652.404692
0.01956,0.00978,93.6228151,93.6228151,0.04,0,658.612954
0.0196,0.0098,93.6706201,93.6706201,0.04,0,659.388791
0.01964,0.00982,93.7333722,93.7333722,0.04,0,660.047142
0.01968,0.00984,93.8056621,93.8056621,0.04,0,660.60963
0.01972,0.00986,93.8795152,93.8795152,0.04,0,661.800787
0.01976,0.00988,93.9527163,93.9527163,0.08,0,664.71507
0.0198,0.0099,94.0296718,94.0296718,0.04,0,672.186094
0.01984,0.00992,94.1081396,94.1081396,0.04,0,672.748868
0.01988,0.00994,94.1914014,94.1914014,0.04,0,674.014734
0.0199,0.00995,94.232755,94.232755,0.02,0,680.480103
0.01992,0.00996,94.2747913,94.2747913,0.02,0,680.912461
0.01994,0.00997,94.3211488,94.3211488,0.02,0,681.316192
0.01996,0.00998,94.3660298,94.3660298,0.02,0,681.716266
0.01998,0.00999,94.4094609,94.4094609,0.02,0,682.952655
