s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s,p_exc_kPa
0.09439375,0.09439375,514.907333,128.726833,0.201931618,0.4,4042.19371,68.5964426
0.09479375,0.09479375,514.99744,128.74936,0.201966955,0.4,4058.71725,68.5759863
0.09519375,0.09519375,515.0869,128.771725,0.202002039,0.4,4075.41957,68.5553323
0.09559375,0.09559375,515.176317,128.794079,0.202037106,0.4,4091.50148,68.5344439
0.09599375,0.09599375,515.265712,128.816428,0.202072164,0.4,4109.57275,68.513323
0.09639375,0.09639375,515.355083,128.838771,0.202107212,0.4,4126.42034,68.4919729
0.09679375,0.09679375,515.444437,128.861109,0.202142255,0.4,4145.8835,68.4703847
0.09719375,0.09719375,515.533776,128.883444,0.202177291,0.4,4166.09265,68.4485673
0.09759375,0.09759375,515.623084,128.905771,0.202212315,0.4,4184.83132,68.4265264
0.09799375,0.09799375,515.712361,128.92809,0.202247327,0.4,4205.98502,68.4042643
0.09839375,0.09839375,515.801449,128.950362,0.202282264,0.4,4223.13973,68.3817923
0.09879375,0.09879375,515.890153,128.972538,0.202317051,0.4,4240.18884,68.3591214
0.09899375,0.09899375,515.93342,128.983355,0.20233402,0.2,4276.45107,68.3475433
0.09919375,0.09919375,515.977082,128.99427,0.202351142,0.2,4294.68455,68.3359452
0.09939375,0.09939375,516.020957,129.005239,0.202368349,0.2,4309.33998,68.32432
0.09959375,0.09959375,516.064945,129.016236,0.2023856,0.2,4323.69907,68.3126621
0.09979375,0.09979375,516.108988,129.027247,0.202402872,0.4,4341.49217,68.3009677
0.10019375,0.10019375,516.198508,129.049627,0.202437979,0.4,4362.29532,68.2777406
0.10059375,0.10059375,516.287246,129.071811,0.20247278,0.4,4377.94308,68.2542344
0.10099375,0.10099375,516.375701,129.093925,0.202507469,0.4,4398.41692,68.2304705
0.10139375,0.10139375,516.464059,129.116015,0.202542121,0.4,4414.94427,68.2064642
0.10179375,0.10179375,516.55238,129.138095,0.202576757,0.4,4436.31789,68.1822278
0.10219375,0.10219375,516.640733,129.160183,0.202611407,0.4,4456.01601,68.1577675
0.10259375,0.10259375,516.729102,129.182275,0.202646063,0.4,4475.38939,68.1330769
0.10299375,0.10299375,516.817388,129.204347,0.202680686,0.4,4497.62678,68.1081798
0.10339375,0.10339375,516.905607,129.226402,0.202715283,0.4,4518.51226,68.0830794
0.10359375,0.10359375,516.948864,129.237216,0.202732247,0.2,4562.99255,68.0702751
0.10379375,0.10379375,516.99248,129.24812,0.202749352,0.2,4582.52568,68.0574579
0.10399375,0.10399375,517.036174,129.259043,0.202766487,0.2,4600.50906,68.0446276
0.10419375,0.10419375,517.079939,129.269985,0.202783651,0.2,4622.03424,68.03177
0.10439375,0.10439375,517.123722,129.280931,0.202800821,0.4,4643.44634,68.0188825
0.10479375,0.10479375,517.211913,129.302978,0.202835407,0.4,4664.91377,67.9933365
0.10519375,0.10519375,517.299189,129.324797,0.202869634,0.4,4685.96544,67.9675301
0.10539375,0.10539375,517.341956,129.335489,0.202886406,0.2,4727.91509,67.9543542
0.10559375,0.10559375,517.385009,129.346252,0.20290329,0.2,4744.21378,67.9411557
0.10579375,0.10579375,517.428212,129.357053,0.202920233,0.2,4762.7828,67.9279284
0.10599375,0.10599375,517.47148,129.36787,0.202937202,0.2,4782.94703,67.9146678
0.10619375,0.10619375,517.514641,129.37866,0.202954128,0.4,4801.78008,67.9013724
0.10659375,0.10659375,517.601964,129.400491,0.202988373,0.4,4820.47598,67.8749662
0.10699375,0.10699375,517.688651,129.422163,0.20302237,0.4,4838.89196,67.8482703
0.10739375,0.10739375,517.775134,129.443783,0.203056286,0.4,4859.7681,67.8213124
0.10779375,0.10779375,517.861566,129.465391,0.203090182,0.4,4881.98296,67.7941103
0.10819375,0.10819375,517.948003,129.487001,0.20312408,0.4,4903.14804,67.766677
0.10859375,0.10859375,518.034445,129.508611,0.20315798,0.4,4922.59933,67.7390229
0.10899375,0.10899375,518.120914,129.530228,0.203191891,0.4,4941.76684,67.7111517
0.10939375,0.10939375,518.207383,129.551846,0.203225801,0.4,4961.77092,67.6830613
0.10979375,0.10979375,518.293851,129.573463,0.203259712,0.4,4978.91565,67.6547508
0.11019375,0.11019375,518.380326,129.595082,0.203293625,0.4,5000.15509,67.626216
0.11059375,0.11059375,518.466817,129.616704,0.203327544,0.4,5019.91748,67.597452
0.11099375,0.11099375,518.553332,129.638333,0.203361472,0.4,5040.71039,67.5684561
0.11139375,0.11139375,518.639879,129.65997,0.203395414,0.4,5062.16775,67.539221
0.11179375,0.11179375,518.726151,129.681538,0.203429247,0.4,5080.56817,67.5097331
0.11219375,0.11219375,518.812338,129.703085,0.203463047,0.4,5101.52114,67.4799803
0.11259375,0.11259375,518.89864,129.72466,0.203496892,0.4,5121.25235,67.4499595
0.11299375,0.11299375,518.98507,129.746267,0.203530787,0.4,5142.5703,67.4196672
0.11339375,0.11339375,519.071648,129.767912,0.203564741,0.4,5163.87102,67.3890974
0.11379375,0.11379375,519.158401,129.7896,0.203598763,0.4,5187.06864,67.3582441
0.11399375,0.11399375,519.201435,129.800359,0.203615639,0.2,5228.83427,67.3425294
0.11419375,0.11419375,519.244784,129.811196,0.20363264,0.2,5248.15861,67.326785
0.11439375,0.11439375,519.288312,129.822078,0.20364971,0.2,5265.64892,67.3109981
0.11459375,0.11459375,519.331951,129.832988,0.203666824,0.2,5284.07731,67.2951596
0.11479375,0.11479375,519.375665,129.843916,0.203683967,0.4,5300.46663,67.2792629
0.11519375,0.11519375,519.463769,129.865942,0.203718519,0.4,5321.44708,67.2475537
0.11539375,0.11539375,519.507362,129.876841,0.203735615,0.2,5366.44648,67.2313783
0.11559375,0.11559375,519.551208,129.887802,0.20375281,0.2,5382.49296,67.215145
0.11569375,0.11569375,519.573053,129.893263,0.203761377,0.1,5424.83798,67.206951
0.11579375,0.11579375,519.594995,129.898749,0.203769982,0.1,5443.20371,67.1987481
0.11589375,0.11589375,519.617005,129.904251,0.203778614,0.1,5458.12634,67.1905338
0.11599375,0.11599375,519.639076,129.909769,0.20378727,0.1,5473.12789,67.1823057
0.11609375,0.11609375,519.661183,129.915296,0.203795939,0.2,5489.374,67.1740628
0.11629375,0.11629375,519.705686,129.926422,0.203813392,0.2,5508.04773,67.157619
0.11649375,0.11649375,519.750166,129.937542,0.203830836,0.2,5527.12212,67.1410785
0.11669375,0.11669375,519.794691,129.948673,0.203848297,0.2,5543.55315,67.1244385
0.11689375,0.11689375,519.839294,129.959824,0.203865789,0.2,5562.39273,67.1076956
0.11699375,0.11699375,519.861512,129.965378,0.203874502,0.1,5600.84614,67.099235
0.11709375,0.11709375,519.883809,129.970952,0.203883246,0.1,5617.86935,67.090756
0.11719375,0.11719375,519.906172,129.976543,0.203892017,0.1,5633.30623,67.0822573
0.11729375,0.11729375,519.928589,129.982147,0.203900808,0.1,5648.3166,67.0737372
0.11739375,0.11739375,519.951055,129.987764,0.203909618,0.2,5665.0818,67.0651947
0.11759375,0.11759375,519.996287,129.999072,0.203927357,0.2,5682.73875,67.0481268
0.11779375,0.11779375,520.041592,130.010398,0.203945125,0.2,5701.3355,67.0309177
0.11799375,0.11799375,520.087071,130.021768,0.20396296,0.2,5719.02136,67.0135499
0.11819375,0.11819375,520.132675,130.033169,0.203980845,0.2,5737.37335,66.995965
0.11839375,0.11839375,520.178325,130.044581,0.203998747,0.4,5755.54422,66.9781145
0.11859375,0.11859375,520.224014,130.056004,0.204016665,0.2,5800.01045,66.9599606
0.11879375,0.11879375,520.269701,130.067425,0.204034582,0.2,5817.1615,66.9414207
0.11889375,0.11889375,520.292424,130.073106,0.204043493,0.1,5859.44022,66.9319539
0.11899375,0.11899375,520.315104,130.078776,0.204052388,0.1,5874.54866,66.9223714
0.11909375,0.11909375,520.337612,130.084403,0.204061215,0.1,5890.64727,66.9126601
0.11919375,0.11919375,520.359931,130.089983,0.204069968,0.1,5905.94151,66.9028239
0.11929375,0.11929375,520.382073,130.095518,0.204078651,0.2,5923.03418,66.8928683
0.11949375,0.11949375,520.425899,130.106475,0.204095838,0.2,5939.87148,66.8727087
0.11969375,0.11969375,520.469111,130.117278,0.204112785,0.2,5956.50595,66.8521433
0.11989375,0.11989375,520.511892,130.127973,0.204129562,0.2,5973.51456,66.831244
0.12009375,0.12009375,520.554266,130.138567,0.20414618,0.2,5991.3396,66.8100603
0.12029375,0.12029375,520.596277,130.149069,0.204162656,0.4,6008.85019,66.7886359
0.12069375,0.12069375,520.678876,130.169719,0.204195049,0.4,6028.05046,66.7455453
0.12109375,0.12109375,520.759988,130.189997,0.204226859,0.4,6047.68351,66.7016869
0.12149375,0.12149375,520.839796,130.209949,0.204258157,0.4,6066.90791,66.6572856
0.12189375,0.12189375,520.918521,130.22963,0.204289031,0.4,6083.52216,66.6125128
0.12229375,0.12229375,520.996201,130.24905,0.204319494,0.4,6100.55738,66.5674688
0.12269375,0.12269375,521.072814,130.268204,0.20434954,0.4,6120.47824,66.5222089
0.12309375,0.12309375,521.148274,130.287068,0.204379133,0.4,6138.82389,66.4767599
0.12349375,0.12349375,521.222546,130.305637,0.20440826,0.4,6155.82969,66.4311516
0.12389375,0.12389375,521.295688,130.323922,0.204436944,0.4,6174.08228,66.3854005
0.12429375,0.12429375,521.367724,130.341931,0.204465195,0.4,6191.04563,66.3395206
0.12469375,0.12469375,521.438697,130.359674,0.204493028,0.4,6212.36675,66.2935245
0.12509375,0.12509375,521.508645,130.377161,0.20452046,0.4,6231.26757,66.2474186
0.12549375,0.12549375,521.577603,130.394401,0.204547503,0.4,6250.15166,66.2012098
0.12589375,0.12589375,521.645601,130.4114,0.20457417,0.4,6267.32997,66.1549013
0.12629375,0.12629375,521.712685,130.428171,0.204600478,0.4,6285.99832,66.1084997
0.12669375,0.12669375,521.778919,130.44473,0.204626454,0.4,6302.466,66.0620154
0.12709375,0.12709375,521.844319,130.46108,0.204652101,0.4,6319.27867,66.0154483
0.12749375,0.12749375,521.908927,130.477232,0.204677439,0.4,6336.82559,65.9688028
0.12789375,0.12789375,521.972783,130.493196,0.204702481,0.4,6353.01743,65.9220832
0.12829375,0.12829375,522.03592,130.50898,0.204727242,0.4,6371.86027,65.8752918
0.12869375,0.12869375,522.098383,130.524596,0.204751738,0.4,6389.03793,65.8284341
0.12909375,0.12909375,522.160207,130.540052,0.204775984,0.4,6406.57899,65.7815149
0.12949375,0.12949375,522.221425,130.555356,0.204799991,0.4,6421.62465,65.734537
0.12989375,0.12989375,522.282071,130.570518,0.204823775,0.4,6440.84044,65.6875039
0.13029375,0.13029375,522.342179,130.585545,0.204847348,0.4,6458.30998,65.6404196
0.13069375,0.13069375,522.401777,130.600444,0.20487072,0.4,6476.05318,65.5932872
0.13109375,0.13109375,522.460761,130.61519,0.204893852,0.4,6491.96929,65.5460952
0.13149375,0.13149375,522.519293,130.629823,0.204916806,0.4,6509.02065,65.4988596
0.13189375,0.13189375,522.577409,130.644352,0.204939598,0.4,6526.79872,65.4515861
0.13229375,0.13229375,522.635135,130.658784,0.204962236,0.4,6543.58376,65.4042783
0.13269375,0.13269375,522.692478,130.67312,0.204984725,0.4,6560.36935,65.3569356
0.13309375,0.13309375,522.749402,130.68735,0.205007048,0.4,6576.94115,65.3095514
0.13349375,0.13349375,522.805934,130.701484,0.205029219,0.4,6593.4897,65.2621292
0.13389375,0.13389375,522.862202,130.71555,0.205051285,0.4,6610.82018,65.2146861
0.13429375,0.13429375,522.918239,130.72956,0.205073262,0.4,6630.00361,65.1672302
0.13469375,0.13469375,522.974054,130.743513,0.20509515,0.4,6646.44612,65.1197608
0.13509375,0.13509375,523.029655,130.757414,0.205116956,0.4,6663.60765,65.0722769
0.13549375,0.13549375,523.084561,130.77114,0.205138488,0.4,6678.58507,65.0247192
0.13589375,0.13589375,523.138767,130.784692,0.205159746,0.4,6695.30149,64.9771094
0.13629375,0.13629375,523.19283,130.798207,0.205180948,0.4,6711.90436,64.9294841
0.13669375,0.13669375,523.246776,130.811694,0.205202104,0.4,6728.87165,64.8818482
0.13709375,0.13709375,523.300641,130.82516,0.205223228,0.4,6746.98345,64.8342093
0.13749375,0.13749375,523.354447,130.838612,0.20524433,0.4,6763.29751,64.7865727
0.13769375,0.13769375,523.381709,130.845427,0.205255021,0.2,6802.05336,64.7624892
0.13789375,0.13789375,523.409062,130.852266,0.205265748,0.2,6815.2205,64.738511
0.13809375,0.13809375,523.436431,130.859108,0.205276481,0.2,6828.42501,64.714599
0.13829375,0.13829375,523.463772,130.865943,0.205287203,0.2,6842.08711,64.6907307
0.13849375,0.13849375,523.491046,130.872761,0.205297899,0.4,6855.36234,64.6668882
0.13889375,0.13889375,523.544211,130.886053,0.20531875,0.4,6873.50099,64.6196057
0.13929375,0.13929375,523.597193,130.899298,0.205339527,0.4,6889.81916,64.5721367
0.13969375,0.13969375,523.649954,130.912489,0.205360219,0.4,6904.91659,64.5245549
0.14009375,0.14009375,523.702327,130.925582,0.205380758,0.4,6919.94319,64.4768797
0.14049375,0.14049375,523.754871,130.938718,0.205401364,0.4,6934.69527,64.4292011
