s_m,s_meas_m,R_kN,q_kPa,ds_mm,wall_s
0.0297,0.0297,3095.11663,773.779158,0.1,6057.13488
0.0298,0.0298,3098.62511,774.656279,0.1,6070.82724
0.0299,0.0299,3101.88906,775.472265,0.1,6083.65102
0.03,0.03,3105.06965,776.267412,0.1,6095.86898
0.0301,0.0301,3108.2769,777.069224,0.1,6110.52496
0.0302,0.0302,3111.41795,777.854488,0.2,6123.24524
0.0304,0.0304,3118.24231,779.560578,0.2,6137.40396
0.0306,0.0306,3125.02461,781.256152,0.2,6152.48324
0.0308,0.0308,3131.06516,782.766289,0.2,6167.11793
0.0309,0.0309,3132.82415,783.206038,0.1,6227.35822
0.031,0.031,3136.36625,784.091562,0.1,6242.90865
0.0311,0.0311,3139.33859,784.834649,0.1,6255.43433
0.0312,0.0312,3142.46976,785.61744,0.1,6268.88583
0.0313,0.0313,3145.54569,786.386422,0.1,6284.12022
0.0314,0.0314,3148.475,787.118751,0.2,6297.24491
0.0316,0.0316,3155.22934,788.807334,0.2,6311.58122
0.0318,0.0318,3160.89033,790.222583,0.2,6325.56781
0.0319,0.0319,3163.0482,790.762049,0.1,6387.26885
0.032,0.032,3166.10877,791.527192,0.1,6400.74967
0.0321,0.0321,3169.33853,792.334631,0.1,6416.79222
0.0322,0.0322,3172.20871,793.052177,0.1,6431.58414
0.0323,0.0323,3175.28224,793.820559,0.1,6444.17342
0.0324,0.0324,3178.06149,794.515374,0.2,6458.83644
0.0326,0.0326,3184.61716,796.15429,0.2,6471.65141
0.0328,0.0328,3190.08155,797.520386,0.2,6487.64877
0.0329,0.0329,3192.00547,798.001367,0.1,6554.72976
0.033,0.033,3194.93985,798.734961,0.1,6568.87723
0.0331,0.0331,3198.08612,799.52153,0.1,6583.09676
0.0332,0.0332,3201.04786,800.261964,0.1,6596.99942
0.0333,0.0333,3203.73231,800.933078,0.1,6608.85068
0.0334,0.0334,3206.60042,801.650106,0.2,6622.15139
0.0336,0.0336,3212.90906,803.227264,0.2,6635.37698
0.0338,0.0338,3217.80377,804.450943,0.2,6647.03262
0.0339,0.0339,3219.8511,804.962775,0.1,6699.48451
0.034,0.034,3222.66021,805.665052,0.1,6710.67468
0.0341,0.0341,3225.73324,806.433309,0.1,6723.57883
0.0342,0.0342,3228.57157,807.142893,0.1,6735.97754
0.0343,0.0343,3231.14911,807.787278,0.1,6748.3852
