s_over_B,q_kPa,n_seen,n_tension,n_nan,first_nan_ele,first_nan_gp,I1_min,I1_max,s_min_rel,cond,lam_min_sym_rel
0.0986,133.7,1600,6,0,,,-276.448,0.777141,,,
0.0996,133.602,1600,6,0,,,-276.668,0.777141,,,
0.1006,133.586,1600,6,0,,,-276.367,0.777141,,,
0.1016,133.581,1600,6,0,,,-276.159,0.777141,,,
0.1026,133.603,1600,6,0,,,-276.012,0.777141,,,
0.1036,133.757,1600,6,0,,,-275.616,0.777141,,,
0.1046,134.217,1600,6,0,,,-274.142,0.777141,,,
0.1056,134.459,1600,4,0,,,-271.408,0.777141,,,
0.1066,133.963,1600,4,0,,,-275.873,0.777141,,,
0.1076,133.732,1600,4,0,,,-275.909,0.777141,,,
0.1086,133.74,1600,6,0,,,-276.288,0.777141,,,
0.1096,133.635,1600,6,0,,,-276.622,0.777141,,,
0.1106,133.582,1600,6,0,,,-276.387,0.777141,,,
0.1116,133.61,1600,6,0,,,-276.037,0.777141,,,
0.1126,133.638,1600,6,0,,,-275.934,0.777141,,,
0.1136,133.813,1600,6,0,,,-275.528,0.777141,,,
0.1146,134.318,1600,6,0,,,-273.629,0.777141,,,
0.1156,134.454,1600,4,0,,,-272.936,0.777141,,,
0.1166,133.81,1600,4,0,,,-276.089,0.777141,,,
0.1176,133.743,1600,4,0,,,-275.908,0.777141,,,
0.1186,133.713,1600,6,0,,,-276.412,0.777141,,,
0.1196,133.606,1600,6,0,,,-276.566,0.777141,,,
0.1206,133.556,1600,6,0,,,-276.259,0.777141,,,
0.1216,133.587,1600,6,0,,,-275.962,0.777141,,,
0.1226,133.616,1600,6,0,,,-275.857,0.777141,,,
0.1236,133.836,1600,6,0,,,-275.33,0.777141,,,
0.1246,134.336,1600,6,0,,,-273.405,0.777141,,,
0.1256,134.438,1600,4,0,,,-272.944,0.777141,,,
0.1266,133.814,1600,4,0,,,-275.968,0.777141,,,
0.1276,133.793,1600,4,0,,,-275.859,0.777141,,,
0.1286,133.71,1600,6,0,,,-276.387,0.777141,,,
0.1296,133.609,1600,6,0,,,-276.5,0.777141,,,
0.1306,133.566,1600,6,0,,,-276.152,0.777141,,,
0.1316,133.616,1600,6,0,,,-275.909,0.777141,,,
0.1326,133.655,1600,6,0,,,-275.77,0.777141,,,
0.1336,133.979,1600,6,0,,,-274.929,0.777141,,,
0.1346,134.463,1600,4,0,,,-272.279,0.777141,,,
0.1356,134.264,1600,4,0,,,-274.867,0.777141,,,
0.1366,133.748,1600,4,0,,,-275.94,0.777141,,,
0.1376,133.808,1600,6,0,,,-275.967,0.777141,,,
0.1386,133.662,1600,6,0,,,-276.465,0.777141,,,
0.1396,133.562,1600,6,0,,,-276.428,0.777141,,,
0.1406,133.56,1600,6,0,,,-275.997,0.777141,,,
0.1416,133.589,1600,6,0,,,-275.87,0.777141,,,
0.1426,133.63,1600,6,0,,,-275.687,0.777141,,,
0.1436,134.016,1600,6,0,,,-274.741,0.777141,,,
0.1446,134.473,1600,4,0,,,-271.977,0.777141,,,
0.1456,134.222,1600,4,0,,,-274.857,0.777141,,,
0.1466,133.753,1600,4,0,,,-275.791,0.777141,,,
0.1476,133.792,1600,6,0,,,-275.86,0.777141,,,
0.1486,133.65,1600,6,0,,,-276.38,0.777141,,,
0.1496,133.56,1600,6,0,,,-276.33,0.777141,,,
