# ladrunoBranch census, one row per sampling station (tet10 family, ADR-95 P3). SAME column layout as quad_path_diag.py's qpd_<tag>_branch.csv.
# station = cadence (every 25 converged steps once ds < 0.5 mm).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
0.001,43.9989971,0.000401229562,31039.4601,0.000400246908,4800,0,4673,127,0,0,0,-0.0640175178,34,-103.562152,8.88233935e-08,0,1151,1,-0.0640175178,1.50000002,-0.5,1152,4,-0.0241852485,1.75000003,-0.25,640,1,-0.0191509105,-0.75,-1.25,1150,1,-0.0180695392,1.25000001,-0.25,641,2,-0.0166930332,-0.5,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0035,72.2973898,0.000390422532,31984.4451,-0.00401891597,4800,0,4339,461,0,0,0,-0.0752152517,327,-160.656611,1.67862514e-07,0,1152,3,-0.0752152517,1.75000003,-0.25,1093,4,-0.0744817913,1.25000001,-1.75,1151,3,-0.0719271205,1.50000002,-0.5,1147,4,-0.0703985149,1.25000001,-0.75,1096,3,-0.0695999807,1.25000001,-1.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.006,88.8495197,0.00037639744,33301.3036,-0.00974400708,4800,0,4102,698,0,0,0,-0.0773579188,499,-192.145062,4.55435017e-08,0,1147,4,-0.0773579188,1.25000001,-0.75,660,1,-0.0714762271,0.75,-0.25,482,2,-0.0706228463,-1.49999999,-1.5,1151,3,-0.0704069572,1.50000002,-0.5,1096,3,-0.0677393479,1.25000001,-1.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0085,101.233423,0.000391490967,31919.5617,-0.0029898818,4800,0,4409,391,0,0,0,-0.076702791,352,-220.344776,3.88579353e-07,0,1147,4,-0.076702791,1.25000001,-0.75,1097,1,-0.0764132161,1.50000002,-1.5,539,2,-0.0760746706,-1.49999999,-0.5,1152,4,-0.0760364834,1.75000003,-0.25,1096,3,-0.075649792,1.25000001,-1.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.011,111.213072,0.000395969926,31499.122,-0.00275814154,4800,0,4441,359,0,0,0,-0.0785737751,344,-249.097106,1.27640195e-08,0,1152,4,-0.0785737751,1.75000003,-0.25,482,1,-0.0785617558,-1.49999999,-1.5,1094,3,-0.078458361,1.50000002,-1.5,1151,4,-0.0765898395,1.50000002,-0.5,1097,1,-0.0765579452,1.50000002,-1.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0135,119.583289,0.000391395921,31883.948,-0.00424480363,4800,0,4386,414,0,0,0,-0.078889203,394,-272.706329,1.50630406e-08,0,1152,4,-0.078889203,1.75000003,-0.25,1151,4,-0.0783140705,1.50000002,-0.5,1094,3,-0.078125134,1.50000002,-1.5,1093,4,-0.0774714654,1.25000001,-1.75,1043,1,-0.076066599,1.50000002,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.016,126.527027,0.000390007273,32012.134,-0.00396294186,4800,0,4338,462,0,0,0,-0.0779300435,404,-292.619105,1.3342304e-08,0,1093,4,-0.0779300435,1.25000001,-1.75,537,3,-0.0769956665,-1.25,-0.75,1151,4,-0.0761908013,1.50000002,-0.5,1094,3,-0.0760496797,1.50000002,-1.5,1043,1,-0.0758129111,1.50000002,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0185,132.210276,0.000386641625,32313.8661,-0.00455637337,4800,0,4273,527,0,0,0,-0.0794335909,467,-309.590132,1.26257645e-08,0,532,4,-0.0794335909,-2.95780126,-0.25,1093,4,-0.0781865388,1.25000001,-1.75,537,3,-0.0779744741,-1.25,-0.75,1094,3,-0.0771833223,1.50000002,-1.5,1043,1,-0.0762892548,1.50000002,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.02,135.098207,0.000385103619,32455.6469,-0.00452975228,4800,0,4258,542,0,0,0,-0.0785490797,471,-318.734171,1.49937797e-08,0,537,3,-0.0785490797,-1.25,-0.75,1093,4,-0.078448381,1.25000001,-1.75,532,4,-0.0780593776,-2.95780126,-0.25,1094,3,-0.077625776,1.50000002,-1.5,1043,1,-0.0768497267,1.50000002,-2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
