s_m,s_over_B,R_kN,q_kPa,dr_iters,settled,ke,res_kN,wall_s
0.001,0.0005,25.1519398,25.1519398,1500,1,4.22736377e-23,7.98952904e-10,19.8834698
0.002,0.001,33.9340593,33.9340593,1250,1,2.83382397e-19,1.5768931e-08,35.8489988
0.003,0.0015,41.8194444,41.8194444,1250,1,5.42019732e-20,6.49068888e-09,51.9309034
0.004,0.002,48.4218628,48.4218628,1250,1,1.78458089e-22,6.24594598e-10,67.8456111
0.005,0.0025,54.2643613,54.2643613,1250,1,3.23872436e-19,8.92960372e-09,84.2487729
0.006,0.003,59.2189954,59.2189954,1250,1,7.80457465e-21,4.61212046e-09,100.663893
