s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.062475,0.062475,5481.81607,1370.45402,2.14980817,0.2,2430.87779
0.062675,0.062675,5492.52978,1373.13245,2.15400977,0.2,2438.55272
0.062875,0.062875,5503.22874,1375.80719,2.15820559,0.2,2447.68973
0.063075,0.063075,5513.91986,1378.47997,2.16239833,0.2,2456.26492
0.063275,0.063275,5524.59701,1381.14925,2.1665856,0.2,2463.52423
0.063375,0.063375,5529.93204,1382.48301,2.16867785,0.1,2491.13911
0.063475,0.063475,5535.26124,1383.81531,2.1707678,0.1,2497.87351
0.063575,0.063575,5540.5867,1385.14667,2.17285629,0.1,2504.79384
0.063675,0.063675,5545.90825,1386.47706,2.17494325,0.1,2511.26849
0.063775,0.063775,5551.22313,1387.80578,2.17702759,0.2,2517.1169
0.063975,0.063975,5561.8263,1390.45657,2.18118584,0.2,2524.27235
0.064175,0.064175,5572.40931,1393.10233,2.18533619,0.2,2532.00216
0.064375,0.064375,5582.97922,1395.74481,2.1894814,0.2,2541.11432
0.064575,0.064575,5593.53074,1398.38268,2.1936194,0.2,2549.64807
0.064775,0.064775,5604.05773,1401.01443,2.19774777,0.4,2556.84646
0.064975,0.064975,5614.56827,1403.64207,2.2018697,0.2,2585.57087
0.065175,0.065175,5625.06421,1406.26605,2.2059859,0.2,2592.58821
0.065375,0.065375,5635.54758,1408.8869,2.21009718,0.2,2601.07737
0.065575,0.065575,5646.02234,1411.50558,2.21420507,0.2,2609.57395
0.065775,0.065775,5656.47005,1414.11751,2.21830236,0.4,2617.4057
0.065975,0.065975,5666.90561,1416.7264,2.22239488,0.2,2641.58309
0.066175,0.066175,5677.32833,1419.33208,2.22648236,0.2,2648.65868
0.066375,0.066375,5687.72526,1421.93132,2.23055974,0.2,2655.95313
0.066575,0.066575,5698.10724,1424.52681,2.23463125,0.2,2665.14932
0.066775,0.066775,5708.47227,1427.11807,2.23869611,0.4,2674.89437
0.066975,0.066975,5718.82036,1429.70509,2.24275433,0.2,2705.37971
0.067175,0.067175,5729.15849,1432.28962,2.24680864,0.2,2713.56711
0.067375,0.067375,5739.47954,1434.86989,2.25085626,0.2,2722.64991
0.067575,0.067575,5749.77504,1437.44376,2.25489385,0.2,2731.80323
0.067775,0.067775,5760.05832,1440.01458,2.25892665,0.4,2741.53391
0.067975,0.067975,5770.31004,1442.57751,2.26294708,0.2,2769.7072
