s_m,s_over_B,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.008425,0.0042125,79.6649068,79.6649068,0.025,0,429.005997
0.00845,0.004225,79.7756425,79.7756425,0.025,0,429.27293
0.008475,0.0042375,79.8861948,79.8861948,0.025,0,429.501752
0.0085,0.00425,79.9964878,79.9964878,0.05,0,429.744429
0.008525,0.0042625,80.1061635,80.1061635,0.025,0,435.697275
0.00855,0.004275,80.2158273,80.2158273,0.025,0,435.9073
0.008575,0.0042875,80.3252458,80.3252458,0.025,0,436.139761
0.0086,0.0043,80.4345391,80.4345391,0.025,0,436.357076
0.008625,0.0043125,80.5435312,80.5435312,0.025,0,436.604704
0.00865,0.004325,80.6520318,80.6520318,0.05,0,436.878746
0.008675,0.0043375,80.7611977,80.7611977,0.025,0,442.544623
0.0087,0.00435,80.8692091,80.8692091,0.025,0,442.818643
0.008725,0.0043625,80.9775581,80.9775581,0.025,0,443.110147
0.00875,0.004375,81.0857307,81.0857307,0.025,0,443.535698
0.008775,0.0043875,81.2222953,81.2222953,0.025,1,447.202263
0.0088,0.0044,81.3384386,81.3384386,0.05,1,450.518434
0.008825,0.0044125,81.4481399,81.4481399,0.025,1,458.889897
