s_m,s_meas_m,R_kN,q_kPa,ds_mm,wall_s
0.0115,0.0115,714.977139,178.744285,0.1,970.687437
0.01155,0.01155,715.320201,178.83005,0.05,996.9004
0.0116,0.0116,715.282564,178.820641,0.05,1002.45702
0.01165,0.01165,715.720229,178.930057,0.05,1007.23454
0.0117,0.0117,715.965636,178.991409,0.05,1011.62639
0.01175,0.01175,716.381771,179.095443,0.05,1015.87992
0.0118,0.0118,716.652101,179.163025,0.1,1021.25813
0.0119,0.0119,717.459377,179.364844,0.1,1025.71069
0.01195,0.01195,718.004185,179.501046,0.05,1050.13504
0.012,0.012,717.918458,179.479615,0.05,1055.58972
0.01205,0.01205,718.321629,179.580407,0.05,1059.71179
0.0121,0.0121,718.550722,179.637681,0.05,1064.03607
0.01215,0.01215,718.952798,179.7382,0.05,1067.73745
0.0122,0.0122,719.168595,179.792149,0.1,1071.35932
0.0123,0.0123,719.964999,179.99125,0.1,1074.85266
0.0124,0.0124,719.895339,179.973835,0.1,1080.93155
0.0125,0.0125,721.083608,180.270902,0.1,1085.78863
