s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s,p_exc_kPa
0.062675,0.062675,3182.58133,795.645332,1.24811545,0.4,4618.71027,0.084455142
0.063075,0.063075,3189.0269,797.256724,1.25064321,0.4,4655.2036,0.084774688
0.063475,0.063475,3195.43078,798.857694,1.25315463,0.4,4694.89086,0.0850923646
0.063875,0.063875,3201.77927,800.444817,1.25564432,0.4,4748.20958,0.085407901
0.064075,0.064075,3204.9385,801.234625,1.25688328,0.2,4864.86907,0.0855648866
0.064275,0.064275,3208.08317,802.020793,1.25811653,0.2,4916.71046,0.0857214238
0.064475,0.064475,3211.22335,802.805838,1.25934801,0.2,4967.11131,0.0858777718
0.064675,0.064675,3214.3548,803.588699,1.26057608,0.2,5008.34296,0.0860336654
0.064875,0.064875,3217.47738,804.369344,1.26180066,0.4,5036.72493,0.0861891272
0.065075,0.065075,3220.5875,805.146874,1.26302036,0.2,5132.36709,0.0863439887
0.065275,0.065275,3223.68962,805.922405,1.26423692,0.2,5185.36294,0.0864985768
0.065475,0.065475,3226.77218,806.693045,1.26544581,0.2,5233.14648,0.086652393
0.065675,0.065675,3229.84669,807.461671,1.26665154,0.2,5284.94652,0.0868060037
0.065875,0.065875,3232.90477,808.226192,1.26785083,0.4,5320.24044,0.0869589305
0.066275,0.066275,3238.96992,809.742479,1.27022941,0.4,5362.61426,0.0872633206
0.066675,0.066675,3244.98462,811.246154,1.2725882,0.4,5414.66398,0.08756582
0.066875,0.066875,3247.97848,811.994619,1.2737623,0.2,5493.53641,0.0877163307
0.067075,0.067075,3250.96501,812.741253,1.27493353,0.2,5548.57172,0.0878666574
0.067275,0.067275,3253.93489,813.483722,1.27609823,0.2,5588.89251,0.0880162188
0.067475,0.067475,3256.89546,814.223866,1.27725928,0.2,5628.34307,0.0881655054
0.067675,0.067675,3259.84629,814.961574,1.27841651,0.4,5666.60726,0.0883143185
0.067875,0.067875,3262.78755,815.696886,1.27956999,0.2,5774.55069,0.0884627205
0.068075,0.068075,3265.72113,816.430282,1.28072045,0.2,5832.41416,0.0886107297
0.068275,0.068275,3268.64618,817.161546,1.28186757,0.2,5881.68917,0.0887583316
0.068475,0.068475,3271.55404,817.888511,1.28300795,0.2,5927.45931,0.0889052815
0.068675,0.068675,3274.45182,818.612954,1.28414437,0.4,5974.11863,0.0890518645
0.068875,0.068875,3277.33864,819.334659,1.2852765,0.2,6075.95418,0.0891979956
0.069075,0.069075,3280.21337,820.053343,1.28640389,0.2,6125.9061,0.0893436358
0.069275,0.069275,3283.08104,820.770261,1.2875285,0.2,6177.55347,0.0894890693
0.069475,0.069475,3285.92207,821.480518,1.28864267,0.2,6228.37375,0.0896334917
