s_m,s_over_B,R_kN,q_kPa,dr_iters,settled,ke,res_kN,dR_kN,wall_s
0.0005,0.00025,21.1883656,21.1883656,1000,0,1.11750366e-06,0.0507317216,nan,33.1168926
0.001,0.0005,29.0562753,29.0562753,1000,0,2.53537121e-06,0.0260864392,nan,67.4733996
0.0015,0.00075,36.8727448,36.8727448,1000,0,1.65614751e-05,0.0270705716,nan,118.001307
0.002,0.001,43.7430082,43.7430082,1000,0,8.30619689e-06,0.0655882482,nan,158.634769
0.0025,0.00125,48.2521205,48.2521205,1000,0,1.36673006e-05,0.0497679006,nan,258.213702
0.003,0.0015,51.9629145,51.9629145,1000,0,1.25273725e-05,0.0454854314,nan,289.743094
0.0035,0.00175,55.3524384,55.3524384,1000,0,8.42859748e-06,0.0432209578,nan,319.698828
0.004,0.002,57.7112604,57.7112604,1000,0,9.82712861e-06,0.0270888033,nan,350.38373
