# ladrunoBranch census, one row per sampling station (tet10 family, ADR-95 P3). SAME column layout as quad_path_diag.py's qpd_<tag>_branch.csv.
# station = cadence (every 50 converged steps once ds < 5 mm).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
0.0535,162.660813,0.000205421814,54209.0165,-0.015571882,4800,0,2935,1825,0,40,0,-0.0728398283,1609,-826.36355,1.02735842e-07,2.75489777e-08,538,1,-0.0728398283,-1.74999999,-0.25,1152,2,-0.0709960268,1.75000003,-0.25,1148,3,-0.0700767361,1.50000002,-0.5,1009,1,-0.0651647851,7.65570899,-3.75000001,954,1,-0.0627269433,6.47005351,-4.32225845,416,2,-4.09252014,-2.5,430,3,-1.74999999,-2.25,474,3,-3.68479425,-1.25,475,4,-2.95780126,-1.75,476,2,-2.63853417,-1.5
0.0585,162.886943,0.00023998782,46340.7035,-0.0111070252,4800,0,3204,1555,0,41,0,-0.0721471777,1352,-854.118629,8.66284957e-08,2.38096371e-08,1152,2,-0.0721471777,1.75000003,-0.25,538,1,-0.0715577606,-1.74999999,-0.25,1148,3,-0.0704827955,1.50000002,-0.5,1009,1,-0.0659932312,7.65570899,-3.75000001,377,4,-0.0648333781,-1.49999999,-3.50000001,430,3,-1.74999999,-2.25,432,1,-1.25,-2.25,469,4,-4.50024603,-1.75,474,3,-3.68479425,-1.25,476,2,-2.63853417,-1.5
0.0635,163.068308,0.000282166911,38959.1154,-0.00517087578,4800,0,3887,853,0,60,0,-0.0732800081,769,-875.665132,4.3272623e-09,1.34154935e-09,432,4,-0.0732800081,-1.25,-2.25,1152,2,-0.0728828409,1.75000003,-0.25,528,3,-0.0728237096,-3.68479425,-0.25,1148,3,-0.0705458945,1.50000002,-0.5,538,1,-0.0703418177,-1.74999999,-0.25,321,3,-1.25,-4.96677532,322,3,-1.74999999,-4.32225845,366,4,-3.68479425,-3.25,373,1,-1.74999999,-3.75000001,374,1,-1.49999999,-3.50000001
0.0685,163.222119,0.000303834819,36390.0212,-0.0052901245,4800,0,3662,1076,0,62,0,-0.0773744052,955,-893.16398,6.54661205e-09,2.0746184e-09,534,1,-0.0773744052,-2.31926708,-0.25,1152,2,-0.073502851,1.75000003,-0.25,528,3,-0.072474463,-3.68479425,-0.25,1148,3,-0.0704289761,1.50000002,-0.5,538,1,-0.0692233599,-1.74999999,-0.25,321,3,-1.25,-4.96677532,322,3,-1.74999999,-4.32225845,374,1,-1.49999999,-3.50000001,375,3,-1.25,-3.75000001,415,4,-4.50024603,-2.75
0.0735,163.369169,0.000278650713,39514.4599,-0.00893442842,4800,0,3636,1096,0,68,0,-0.0777087502,1012,-906.26971,7.074469e-09,2.23712818e-09,534,1,-0.0777087502,-2.31926708,-0.25,1152,2,-0.0739938722,1.75000003,-0.25,432,4,-0.072036409,-1.25,-2.25,528,3,-0.0715655196,-3.68479425,-0.25,1148,3,-0.0703576685,1.50000002,-0.5,321,3,-1.25,-4.96677532,322,3,-1.74999999,-4.32225845,374,1,-1.49999999,-3.50000001,375,3,-1.25,-3.75000001,376,3,-1.74999999,-3.25
0.0785,163.488126,0.000270487054,40769.8382,-0.0113915677,4800,0,3634,1079,0,87,0,-0.0778490824,991,-916.394113,8.61379108e-09,2.58807987e-09,534,1,-0.0778490824,-2.31926708,-0.25,1152,2,-0.0744040944,1.75000003,-0.25,432,4,-0.0716082551,-1.25,-2.25,528,3,-0.070687053,-3.68479425,-0.25,1148,3,-0.0702902144,1.50000002,-0.5,321,3,-1.25,-4.96677532,322,3,-1.74999999,-4.32225845,373,1,-1.74999999,-3.75000001,374,1,-1.49999999,-3.50000001,375,3,-1.25,-3.75000001
0.0835,163.587056,0.000275400919,40084.2502,-0.0117530248,4800,0,3624,1078,0,98,0,-0.0747842973,982,-924.405175,4.10573233e-09,6.57242524e-10,1152,2,-0.0747842973,1.75000003,-0.25,432,4,-0.0713938491,-1.25,-2.25,1148,3,-0.0702176291,1.50000002,-0.5,528,3,-0.0700811309,-3.68479425,-0.25,532,3,-0.06970713,-2.95780126,-0.25,321,3,-1.25,-4.96677532,322,3,-1.74999999,-4.32225845,358,1,-6.47005344,-3.25,373,1,-1.74999999,-3.75000001,374,1,-1.49999999,-3.50000001
0.0885,163.669982,0.000291597093,37845.1376,-0.0118887915,4800,0,3720,984,0,96,0,-0.0777458852,899,-930.870488,1.33961529e-08,2.14537028e-09,534,1,-0.0777458852,-2.31926708,-0.25,1152,2,-0.0751363507,1.75000003,-0.25,432,4,-0.0712627101,-1.25,-2.25,532,3,-0.0704406972,-2.95780126,-0.25,1148,3,-0.070147378,1.50000002,-0.5,321,3,-1.25,-4.96677532,322,3,-1.74999999,-4.32225845,357,1,-5.42866576,-3.75000001,358,1,-6.47005344,-3.25,373,1,-1.74999999,-3.75000001
0.0935,163.742113,0.000254482695,43368.169,-0.0127643166,4800,0,3650,1039,0,111,0,-0.0754224029,966,-936.165974,1.28205016e-08,3.0111424e-09,1152,2,-0.0754224029,1.75000003,-0.25,532,3,-0.0709871886,-2.95780126,-0.25,432,4,-0.0706974987,-1.25,-2.25,1148,3,-0.0701033536,1.50000002,-0.5,528,3,-0.0694341592,-3.68479425,-0.25,321,3,-1.25,-4.96677532,322,3,-1.74999999,-4.32225845,357,1,-5.42866576,-3.75000001,358,1,-6.47005344,-3.25,373,1,-1.74999999,-3.75000001
0.0985,163.809596,0.000273898406,40388.5648,-0.0111062846,4800,0,3564,1127,0,109,0,-0.0775945407,1036,-940.567834,4.4333367e-08,1.41324343e-09,534,1,-0.0775945407,-2.31926708,-0.25,1152,2,-0.0756910176,1.75000003,-0.25,532,3,-0.0713968786,-2.95780126,-0.25,432,4,-0.0704551309,-1.25,-2.25,1148,3,-0.070059453,1.50000002,-0.5,321,3,-1.25,-4.96677532,322,3,-1.74999999,-4.32225845,357,1,-5.42866576,-3.75000001,358,1,-6.47005344,-3.25,366,4,-3.68479425,-3.25
