s_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.0989625,1624.03683,1624.03683,0.0625,1,2535.07503
0.099025,1624.44796,1624.44796,0.0625,1,2552.12858
0.0990875,1625.52905,1625.52905,0.0625,1,2563.99074
0.09915,1625.42057,1625.42057,0.0625,1,2577.5783
0.09918125,1626.13701,1626.13701,0.03125,1,2607.20023
0.0992125,1627.30774,1627.30774,0.03125,1,2619.16681
0.09924375,1628.18034,1628.18034,0.03125,1,2630.38109
0.099275,1626.58596,1626.58596,0.03125,1,2643.73404
0.09930625,1627.52979,1627.52979,0.03125,1,2656.32851
0.0993375,1626.88414,1626.88414,0.0625,1,2669.60236
0.0994,1629.53763,1629.53763,0.0625,1,2680.95009
0.0994625,1627.85994,1627.85994,0.0625,1,2693.47406
0.099525,1629.13182,1629.13182,0.0625,1,2706.66774
0.0995875,1629.19173,1629.19173,0.0625,1,2719.24001
0.09965,1629.65739,1629.65739,0.0625,1,2731.59948
0.0997125,1631.93662,1631.93662,0.125,1,2743.65518
0.0998375,1631.30862,1631.30862,0.125,1,2756.22615
0.0999625,1632.49441,1632.49441,0.125,1,2769.67451
0.1000875,1634.87529,1634.87529,0.125,1,2782.95982
0.1002125,1639.31271,1639.31271,0.125,1,2793.64675
0.1003375,1636.00485,1636.00485,0.125,1,2806.48592
0.1004625,1637.28314,1637.28314,0.25,1,2822.17426
0.1007125,1638.79827,1638.79827,0.25,1,2833.10852
0.1009625,1641.57577,1641.57577,0.25,1,2844.15581
0.1012125,1643.32916,1643.32916,0.25,1,2856.92453
0.1014625,1646.18353,1646.18353,0.25,1,2868.70773
0.1017125,1648.8119,1648.8119,0.25,1,2880.5331
0.1019625,1654.74685,1654.74685,0.5,1,2891.65274
0.1022125,1655.24025,1655.24025,0.25,1,2922.31441
0.1024625,1658.67417,1658.67417,0.25,1,2934.56883
0.1027125,1660.46379,1660.46379,0.25,1,2948.25099
0.1029625,1663.42119,1663.42119,0.25,1,2960.08288
0.1032125,1666.73865,1666.73865,0.25,1,2971.35533
0.1034625,1669.0258,1669.0258,0.5,1,2982.66108
0.1039625,1676.218,1676.218,0.5,1,2996.42261
0.104025,1677.53169,1677.53169,0.0625,1,3065.92211
0.10405625,1678.13774,1678.13774,0.03125,1,3096.57843
0.104060156,1678.14742,1678.14742,0.00390625,1,3153.10562
0.104064062,1678.11904,1678.11904,0.00390625,1,3163.63498
