s_m,s_over_B,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.16605,0.083025,138.589013,138.589013,0.25,0,861.14087
0.1663,0.08315,138.58777,138.58777,0.25,0,862.025697
0.16655,0.083275,138.587651,138.587651,0.25,0,862.913353
0.1668,0.0834,138.587443,138.587443,0.5,0,863.733493
0.16705,0.083525,138.588691,138.588691,0.25,0,868.154285
0.1673,0.08365,138.588129,138.588129,0.25,0,868.850574
0.16755,0.083775,138.588847,138.588847,0.25,0,869.332784
0.1678,0.0839,138.588248,138.588248,0.25,0,870.186822
0.16805,0.084025,138.588603,138.588603,0.25,0,871.138777
0.1683,0.08415,138.589027,138.589027,0.5,0,871.719808
0.16855,0.084275,138.587872,138.587872,0.25,0,877.023676
0.1688,0.0844,138.588511,138.588511,0.25,0,877.892365
0.16905,0.084525,138.587797,138.587797,0.25,0,878.752112
0.1693,0.08465,138.588921,138.588921,0.25,0,879.165745
0.16955,0.084775,138.589171,138.589171,0.25,0,879.644133
0.1698,0.0849,138.58932,138.58932,0.5,0,880.187539
0.17005,0.085025,138.589458,138.589458,0.25,0,884.330051
0.1703,0.08515,138.58804,138.58804,0.25,0,885.159273
0.17055,0.085275,138.588557,138.588557,0.25,0,885.949397
0.1708,0.0854,138.589367,138.589367,0.25,0,886.432421
0.17105,0.085525,138.589511,138.589511,0.25,0,886.946462
0.1713,0.08565,138.589329,138.589329,0.5,0,887.935062
0.17155,0.085775,138.588712,138.588712,0.25,0,893.230389
0.1718,0.0859,138.588335,138.588335,0.25,0,894.105158
0.17205,0.086025,138.58935,138.58935,0.25,0,894.431055
0.1723,0.08615,138.589633,138.589633,0.25,0,894.947067
0.17255,0.086275,138.589684,138.589684,0.25,0,895.384581
0.1728,0.0864,138.589932,138.589932,0.5,0,895.937322
0.17305,0.086525,138.588716,138.588716,0.25,0,901.290795
0.1733,0.08665,138.589829,138.589829,0.25,0,901.748957
0.17355,0.086775,138.590079,138.590079,0.25,0,902.248108
0.1738,0.0869,138.58947,138.58947,0.25,0,902.954867
0.17405,0.087025,138.589999,138.589999,0.25,0,903.301345
0.1743,0.08715,138.588847,138.588847,0.5,0,904.020741
0.17455,0.087275,138.59004,138.59004,0.25,0,908.48158
0.1748,0.0874,138.589242,138.589242,0.25,0,909.26069
0.17505,0.087525,138.588788,138.588788,0.25,0,909.977801
0.1753,0.08765,138.589978,138.589978,0.25,0,910.532041
0.17555,0.087775,138.590078,138.590078,0.25,0,910.798141
0.1758,0.0879,138.590172,138.590172,0.5,0,911.290921
0.17605,0.088025,138.589438,138.589438,0.25,0,916.652592
0.1763,0.08815,138.590202,138.590202,0.25,0,917.208067
0.17655,0.088275,138.590327,138.590327,0.25,0,917.638147
0.1768,0.0884,138.589197,138.589197,0.25,0,918.582507
0.17705,0.088525,138.590323,138.590323,0.25,0,919.011984
0.1773,0.08865,138.590435,138.590435,0.5,0,919.53614
0.17755,0.088775,138.590545,138.590545,0.25,0,923.997776
0.1778,0.0889,138.589375,138.589375,0.25,0,924.818168
0.17805,0.089025,138.589642,138.589642,0.25,0,925.613354
0.1783,0.08915,138.589143,138.589143,0.25,0,926.567367
0.17855,0.089275,138.59036,138.59036,0.25,0,927.035155
0.1788,0.0894,138.590465,138.590465,0.5,0,927.510803
0.17905,0.089525,138.589649,138.589649,0.25,0,932.454695
0.1793,0.08965,138.589291,138.589291,0.25,0,933.331751
0.17955,0.089775,138.590436,138.590436,0.25,0,933.823208
0.1798,0.0899,138.590572,138.590572,0.25,0,934.35993
0.18005,0.090025,138.589179,138.589179,0.25,0,935.173567
0.1803,0.09015,138.590539,138.590539,0.5,0,935.669618
0.18055,0.090275,138.590621,138.590621,0.25,0,940.127836
0.1808,0.0904,138.590782,138.590782,0.25,0,940.623403
0.18105,0.090525,138.589754,138.589754,0.25,0,941.440059
0.1813,0.09065,138.590742,138.590742,0.25,0,941.905334
0.18155,0.090775,138.590867,138.590867,0.25,0,942.377717
0.1818,0.0909,138.590255,138.590255,0.5,0,943.246006
0.18205,0.091025,138.590889,138.590889,0.25,0,948.049594
0.1823,0.09115,138.589694,138.589694,0.25,0,948.861805
0.18255,0.091275,138.590168,138.590168,0.25,0,949.677853
0.1828,0.0914,138.590855,138.590855,0.25,0,950.257309
0.18305,0.091525,138.590228,138.590228,0.25,0,951.194175
0.1833,0.09165,138.590929,138.590929,0.5,0,951.736766
0.18355,0.091775,138.590101,138.590101,0.25,0,956.739012
0.1838,0.0919,138.590116,138.590116,0.25,0,957.543921
0.18405,0.092025,138.590838,138.590838,0.25,0,958.007411
0.1843,0.09215,138.591035,138.591035,0.25,0,958.578211
0.18455,0.092275,138.591152,138.591152,0.25,0,958.996379
0.1848,0.0924,138.591256,138.591256,0.5,0,959.528947
0.18505,0.092525,138.591057,138.591057,0.25,0,964.603134
0.1853,0.09265,138.591369,138.591369,0.25,0,965.127569
0.18555,0.092775,138.590123,138.590123,0.25,0,965.985426
0.1858,0.0929,138.591055,138.591055,0.25,0,966.911719
0.18605,0.093025,138.591312,138.591312,0.25,0,967.499224
0.1863,0.09315,138.590325,138.590325,0.5,0,968.326472
0.18655,0.093275,138.591306,138.591306,0.25,0,973.109154
0.1868,0.0934,138.591285,138.591285,0.25,0,973.527943
0.18705,0.093525,138.59115,138.59115,0.25,0,974.423301
0.1873,0.09365,138.591499,138.591499,0.25,0,974.975191
0.18755,0.093775,138.590046,138.590046,0.25,0,975.775905
0.1878,0.0939,138.590154,138.590154,0.5,0,976.59669
0.18805,0.094025,138.589776,138.589776,0.25,0,981.776102
0.1883,0.09415,138.591157,138.591157,0.25,0,982.345433
0.18855,0.094275,138.590639,138.590639,0.25,0,983.280439
0.1888,0.0944,138.591294,138.591294,0.25,0,983.824395
0.18905,0.094525,138.591106,138.591106,0.25,0,984.673932
0.1893,0.09465,138.590162,138.590162,0.5,0,985.44377
0.18955,0.094775,138.591325,138.591325,0.25,0,989.93436
0.1898,0.0949,138.591423,138.591423,0.25,0,990.515051
0.19005,0.095025,138.591112,138.591112,0.25,0,991.526642
0.1903,0.09515,138.589882,138.589882,0.25,0,992.464324
0.19055,0.095275,138.59136,138.59136,0.25,0,992.907914
0.1908,0.0954,138.590166,138.590166,0.5,0,993.751293
0.19105,0.095525,138.591182,138.591182,0.25,0,998.73284
0.1913,0.09565,138.591505,138.591505,0.25,0,999.259119
0.19155,0.095775,138.591537,138.591537,0.25,0,999.584982
0.1918,0.0959,138.590791,138.590791,0.25,0,1000.36671
0.19205,0.096025,138.591624,138.591624,0.25,0,1000.93878
0.1923,0.09615,138.591459,138.591459,0.5,0,1001.78176
0.19255,0.096275,138.591768,138.591768,0.25,0,1006.44718
0.1928,0.0964,138.590946,138.590946,0.25,0,1007.36552
0.19305,0.096525,138.591911,138.591911,0.25,0,1008.21215
0.1933,0.09665,138.591882,138.591882,0.25,0,1008.68841
0.19355,0.096775,138.592018,138.592018,0.25,0,1009.21325
0.1938,0.0969,138.592145,138.592145,0.5,0,1009.58592
0.19405,0.097025,138.590864,138.590864,0.25,0,1014.57384
0.1943,0.09715,138.592007,138.592007,0.25,0,1015.16076
0.19455,0.097275,138.590616,138.590616,0.25,0,1016.03417
0.1948,0.0974,138.590188,138.590188,0.25,0,1016.7776
0.19505,0.097525,138.591717,138.591717,0.25,0,1017.23981
0.1953,0.09765,138.590509,138.590509,0.5,0,1018.14044
0.19555,0.097775,138.590991,138.590991,0.25,0,1023.1632
0.1958,0.0979,138.591665,138.591665,0.25,0,1023.64679
0.19605,0.098025,138.590475,138.590475,0.25,0,1024.43745
0.1963,0.09815,138.591572,138.591572,0.25,0,1024.93459
0.19655,0.098275,138.591771,138.591771,0.25,0,1025.43355
0.1968,0.0984,138.591889,138.591889,0.5,0,1025.90119
0.19705,0.098525,138.592043,138.592043,0.25,0,1031.16515
0.1973,0.09865,138.592168,138.592168,0.25,0,1031.66799
0.19755,0.098775,138.59227,138.59227,0.25,0,1032.22566
0.1978,0.0989,138.592378,138.592378,0.25,0,1032.73738
0.19805,0.099025,138.592418,138.592418,0.25,0,1033.27898
0.1983,0.09915,138.590805,138.590805,0.5,0,1034.19384
0.19855,0.099275,138.590491,138.590491,0.25,0,1039.30355
0.1988,0.0994,138.590698,138.590698,0.25,0,1040.14517
0.19905,0.099525,138.591865,138.591865,0.25,0,1040.67871
0.1993,0.09965,138.591952,138.591952,0.25,0,1041.15778
0.19955,0.099775,138.592087,138.592087,0.25,0,1041.72991
0.1998,0.0999,138.592247,138.592247,0.5,0,1042.20841
0.20005,0.100025,138.590707,138.590707,0.25,0,1047.05848
0.2003,0.10015,138.592114,138.592114,0.25,0,1047.63189
0.20055,0.100275,138.590881,138.590881,0.25,0,1048.58474
0.2008,0.1004,138.590334,138.590334,0.25,0,1049.42944
0.20105,0.100525,138.590382,138.590382,0.25,0,1050.20722
0.2013,0.10065,138.591718,138.591718,0.5,0,1050.74324
0.20155,0.100775,138.591858,138.591858,0.25,0,1055.36109
0.2018,0.1009,138.590664,138.590664,0.25,0,1056.25085
0.20205,0.101025,138.591114,138.591114,0.25,0,1057.05026
0.2023,0.10115,138.590932,138.590932,0.25,0,1057.94048
0.20255,0.101275,138.590891,138.590891,0.25,0,1058.84495
0.2028,0.1014,138.591757,138.591757,0.5,0,1059.40596
0.20305,0.101525,138.591606,138.591606,0.25,0,1064.5944
0.2033,0.10165,138.591182,138.591182,0.25,0,1065.50232
0.20355,0.101775,138.591922,138.591922,0.25,0,1066.01617
0.2038,0.1019,138.590501,138.590501,0.25,0,1066.96951
0.20405,0.102025,138.591964,138.591964,0.25,0,1067.4605
0.2043,0.10215,138.592126,138.592126,0.5,0,1068.04543
0.20455,0.102275,138.5908,138.5908,0.25,0,1072.51909
0.2048,0.1024,138.590467,138.590467,0.25,0,1073.47865
0.20505,0.102525,138.591926,138.591926,0.25,0,1074.01294
0.2053,0.10265,138.592157,138.592157,0.25,0,1074.42849
0.20555,0.102775,138.592232,138.592232,0.25,0,1074.93126
0.2058,0.1029,138.590993,138.590993,0.5,0,1075.84519
0.20605,0.103025,138.590906,138.590906,0.25,0,1080.65971
0.2063,0.10315,138.592121,138.592121,0.25,0,1081.15858
0.20655,0.103275,138.592257,138.592257,0.25,0,1081.53294
0.2068,0.1034,138.592369,138.592369,0.25,0,1082.11868
0.20705,0.103525,138.590991,138.590991,0.25,0,1083.07603
0.2073,0.10365,138.590732,138.590732,0.5,0,1083.86023
0.20755,0.103775,138.591692,138.591692,0.25,0,1088.739
0.2078,0.1039,138.592182,138.592182,0.25,0,1089.25132
0.20805,0.104025,138.592284,138.592284,0.25,0,1089.8103
0.2083,0.10415,138.592377,138.592377,0.25,0,1090.35066
0.20855,0.104275,138.592573,138.592573,0.25,0,1091.12601
0.2088,0.1044,138.591013,138.591013,0.5,0,1091.98925
0.20905,0.104525,138.592407,138.592407,0.25,0,1096.60838
0.2093,0.10465,138.592533,138.592533,0.25,0,1097.16817
0.20955,0.104775,138.592666,138.592666,0.25,0,1097.83368
0.2098,0.1049,138.592726,138.592726,0.25,0,1098.6799
0.21005,0.105025,138.592907,138.592907,0.25,0,1099.92778
0.2103,0.10515,138.59287,138.59287,0.5,0,1100.78092
0.21055,0.105275,138.592916,138.592916,0.25,0,1107.22952
0.2108,0.1054,138.591423,138.591423,0.25,0,1108.453
0.21105,0.105525,138.591811,138.591811,0.25,0,1109.42642
0.2113,0.10565,138.591233,138.591233,0.25,0,1110.44649
0.21155,0.105775,138.59248,138.59248,0.25,0,1111.30736
