s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
0.0002,0.0001,18.3063204,0.2,0,0.016020298
0.0004,0.0002,21.6126407,0.2,0,0.0350313187
0.0006,0.0003,24.9189611,0.2,0,0.0530490875
0.0008,0.0004,28.2252815,0.2,0,0.0725607872
0.001,0.0005,31.5316019,0.2,0,0.0904536247
0.0012,0.0006,34.8379222,0.4,0,0.109208584
0.0016,0.0008,41.291666,0.4,0,0.137789726
0.002,0.001,47.0776912,0.4,0,0.192369699
0.0024,0.0012,51.8532368,0.4,0,0.244031191
0.0028,0.0014,56.043828,0.4,0,0.295064211
0.0032,0.0016,59.4104554,0.4,0,0.357941628
0.0036,0.0018,62.3641285,0.8,0,0.408986568
0.0044,0.0022,67.5929661,0.8,0,0.483131409
0.0052,0.0026,72.0198368,0.8,0,0.559578657
0.006,0.003,76.052081,0.8,0,0.635138273
0.0068,0.0034,79.8144946,0.8,0,0.712776184
0.0076,0.0038,83.2750491,0.8,0,0.791084051
0.0084,0.0042,86.5727209,1,0,0.872067213
0.0094,0.0047,90.3412458,1,0,0.963061571
0.0104,0.0052,93.8428188,1,0,1.05142999
0.0114,0.0057,97.163233,1,0,1.14527345
0.0124,0.0062,100.337594,1,0,1.23330426
0.0134,0.0067,103.319339,1,0,1.3241241
0.0144,0.0072,106.061464,1,0,1.41432786
0.0154,0.0077,108.631194,1,0,1.50305295
0.0164,0.0082,111.062947,1,0,1.59226894
0.0174,0.0087,113.33491,1,0,1.68002391
0.0184,0.0092,115.465568,1,0,1.76756716
0.0194,0.0097,117.461109,1,0,1.85428596
0.0204,0.0102,119.34335,1,0,1.94485188
0.0214,0.0107,121.145516,1,0,2.04316688
0.0224,0.0112,122.857655,1,0,2.12975907
0.0234,0.0117,124.478896,1,0,2.21799922
0.0244,0.0122,126.005986,1,0,2.31867075
0.0254,0.0127,127.471405,1,0,2.40447426
0.0264,0.0132,128.859537,1,0,2.50083041
0.0274,0.0137,130.161076,1,0,2.59984946
0.0284,0.0142,131.40461,1,0,2.69957542
0.0294,0.0147,132.605281,1,0,2.80155969
0.0304,0.0152,133.762111,1,0,2.90695906
0.0314,0.0157,134.88794,1,0,3.03870964
0.0324,0.0162,135.981115,1,0,3.14727497
0.0334,0.0167,137.038281,1,0,3.26026869
0.0344,0.0172,138.044835,1,0,3.37466335
0.0354,0.0177,139.01208,1,0,3.48907638
0.0364,0.0182,139.937561,1,0,3.60581827
0.0374,0.0187,140.81975,1,0,3.70839095
0.0384,0.0192,141.641958,1,0,3.83161783
0.0394,0.0197,142.419622,1,0,3.93574786
0.0404,0.0202,143.134952,1,0,4.03795385
0.0414,0.0207,143.791257,1,0,4.16206503
0.0424,0.0212,144.404451,1,0,4.26444364
0.0434,0.0217,144.999099,1,0,4.36920381
0.0444,0.0222,145.556775,1,0,4.47772026
0.0454,0.0227,146.027896,1,0,4.59052062
0.0464,0.0232,146.475246,1,0,4.69232941
0.0474,0.0237,146.880358,1,0,4.81933451
0.0484,0.0242,147.236205,1,0,4.97380996
0.0494,0.0247,147.531987,1,0,5.10723591
0.0504,0.0252,147.786429,1,0,5.23632574
0.0514,0.0257,148.002049,1,0,5.36373138
0.0524,0.0262,148.195047,1,0,5.49941134
0.0534,0.0267,148.37126,1,0,5.6263001
0.0544,0.0272,148.536479,1,0,5.75551391
0.0554,0.0277,148.690868,1,0,5.8790338
0.0564,0.0282,148.834288,1,0,6.02167153
0.0574,0.0287,148.962983,1,0,6.13982916
0.0584,0.0292,149.079683,1,0,6.27689219
0.0594,0.0297,149.188743,1,0,6.40508866
0.0604,0.0302,149.29062,1,0,6.53125429
0.0614,0.0307,149.385701,1,0,6.66790199
0.0624,0.0312,149.474558,1,0,6.79843044
0.0634,0.0317,149.550986,1,0,6.93746805
0.0644,0.0322,149.624031,1,0,7.0939157
0.0654,0.0327,149.690452,1,0,7.21435881
0.0664,0.0332,149.754694,1,0,7.35083914
0.0674,0.0337,149.813128,1,0,7.49155855
0.0684,0.0342,149.869234,1,0,7.64519143
0.0694,0.0347,149.921137,1,0,7.78158975
0.0704,0.0352,149.967314,1,0,7.92465711
0.0714,0.0357,150.007653,1,0,8.06130433
0.0724,0.0362,150.04475,1,0,8.20242453
0.0734,0.0367,150.079027,1,0,8.31837082
0.0744,0.0372,150.112322,1,0,8.44356608
0.0754,0.0377,150.143332,1,0,8.58903623
0.0764,0.0382,150.172224,1,0,8.71580148
0.0774,0.0387,150.199772,1,0,8.85700512
0.0784,0.0392,150.224363,1,0,8.9760251
0.0794,0.0397,150.249688,1,0,9.11367702
0.0804,0.0402,150.272777,1,0,9.24692726
0.0814,0.0407,150.293314,1,0,9.39771819
0.0824,0.0412,150.313869,1,0,9.52645278
0.0834,0.0417,150.333263,1,0,9.64154696
0.0844,0.0422,150.351023,1,0,9.75810075
0.0854,0.0427,150.368135,1,0,9.91687751
0.0864,0.0432,150.385461,1,0,10.0595143
0.0874,0.0437,150.399591,1,0,10.2080173
0.0884,0.0442,150.411676,1,0,10.3512273
0.0894,0.0447,150.423201,1,0,10.4903464
0.0904,0.0452,150.433789,1,0,10.6536522
0.0914,0.0457,150.444713,1,0,10.8158929
0.0924,0.0462,150.454762,1,0,10.9551435
0.0934,0.0467,150.464002,1,0,11.0834932
0.0944,0.0472,150.473461,1,0,11.2054963
0.0954,0.0477,150.483424,1,0,11.3374109
0.0964,0.0482,150.490699,1,0,11.4949684
0.0974,0.0487,150.498531,1,0,11.6491134
0.0984,0.0492,150.505994,1,0,11.791019
0.0994,0.0497,150.513163,1,0,11.934294
0.1004,0.0502,150.521223,1,0,12.0684209
0.1014,0.0507,150.526778,1,0,12.196563
0.1024,0.0512,150.532967,1,0,12.3488264
0.1034,0.0517,150.539009,1,0,12.4782038
0.1044,0.0522,150.544624,1,0,12.6165078
0.1054,0.0527,150.550913,1,0,12.733187
0.1064,0.0532,150.555402,1,0,12.8742535
0.1074,0.0537,150.560369,1,0,13.0192013
0.1084,0.0542,150.565332,1,0,13.1473298
0.1094,0.0547,150.569289,1,0,13.2790504
0.1104,0.0552,150.574733,1,0,13.4092546
0.1114,0.0557,150.57898,1,0,13.532409
0.1124,0.0562,150.58248,1,0,13.6797657
0.1134,0.0567,150.586447,1,0,13.8034778
0.1144,0.0572,150.590031,1,0,13.9460745
0.1154,0.0577,150.594277,1,0,14.0691926
0.1164,0.0582,150.596798,1,0,14.2066162
0.1174,0.0587,150.600401,1,0,14.3533757
0.1184,0.0592,150.603671,1,0,14.4898062
0.1194,0.0597,150.606255,1,0,14.6277702
0.1204,0.0602,150.609606,1,0,14.7816527
0.1214,0.0607,150.612477,1,0,14.9418211
0.1224,0.0612,150.615278,1,0,15.0953867
0.1234,0.0617,150.617962,1,0,15.2337759
0.1244,0.0622,150.62056,1,0,15.4027641
0.1254,0.0627,150.624047,1,0,15.534616
0.1264,0.0632,150.625645,1,0,15.6920412
0.1274,0.0637,150.628102,1,0,15.8141949
0.1284,0.0642,150.630473,1,0,15.9550722
0.1294,0.0647,150.632602,1,0,16.1220422
0.1304,0.0652,150.634584,1,0,16.2751107
0.1314,0.0657,150.637425,1,0,16.4056008
0.1324,0.0662,150.63873,1,0,16.5456786
0.1334,0.0667,150.640597,1,0,16.7085564
0.1344,0.0672,150.641618,1,0,16.8340766
0.1354,0.0677,150.643,1,0,16.9591248
0.1364,0.0682,150.642978,1,0,17.1015513
0.1374,0.0687,150.643944,1,0,17.2499101
0.1384,0.0692,150.644815,1,0,17.4236217
0.1394,0.0697,150.646075,1,0,17.5625117
0.1404,0.0702,150.64727,1,0,17.6779497
0.1414,0.0707,150.647684,1,0,17.839586
0.1424,0.0712,150.649026,1,0,17.9789374
0.1434,0.0717,150.650014,1,0,18.094837
0.1444,0.0722,150.651126,1,0,18.2387531
0.1454,0.0727,150.65162,1,0,18.3845348
0.1464,0.0732,150.652718,1,0,18.5402107
0.1474,0.0737,150.653226,1,0,18.7086389
0.1484,0.0742,150.655113,1,0,18.822819
0.1494,0.0747,150.656055,1,0,18.9533651
0.1504,0.0752,150.656857,1,0,19.0799065
0.1514,0.0757,150.657474,1,0,19.2285826
0.1524,0.0762,150.658298,1,0,19.389143
0.1534,0.0767,150.659211,1,0,19.5265269
0.1544,0.0772,150.659923,1,0,19.665422
0.1554,0.0777,150.660791,1,0,19.8165338
0.1564,0.0782,150.661549,1,0,19.9632642
0.1574,0.0787,150.661909,1,0,20.1282334
0.1584,0.0792,150.663064,1,0,20.267108
0.1594,0.0797,150.663888,1,0,20.424258
0.1604,0.0802,150.664512,1,0,20.5849109
0.1614,0.0807,150.664916,1,0,20.7370381
0.1624,0.0812,150.66528,1,0,20.876363
0.1634,0.0817,150.666142,1,0,20.9934506
0.1644,0.0822,150.666014,1,0,21.154551
0.1654,0.0827,150.666623,1,0,21.2722695
0.1664,0.0832,150.667368,1,0,21.4121478
0.1674,0.0837,150.667648,1,0,21.5536013
0.1684,0.0842,150.668068,1,0,21.7055676
0.1694,0.0847,150.668629,1,0,21.8601377
0.1704,0.0852,150.669194,1,0,22.0188251
0.1714,0.0857,150.669637,1,0,22.1788578
0.1724,0.0862,150.670283,1,0,22.3210747
0.1734,0.0867,150.670922,1,0,22.4508054
0.1744,0.0872,150.671259,1,0,22.5991118
0.1754,0.0877,150.671595,1,0,22.727999
0.1764,0.0882,150.672359,1,0,22.8674755
0.1774,0.0887,150.673248,1,0,22.9826095
0.1784,0.0892,150.673365,1,0,23.134212
0.1794,0.0897,150.673812,1,0,23.2848599
0.1804,0.0902,150.674371,1,0,23.4077833
0.1814,0.0907,150.674888,1,0,23.5554631
0.1824,0.0912,150.675284,1,0,23.6718302
0.1834,0.0917,150.675793,1,0,23.8150489
0.1844,0.0922,150.676403,1,0,23.9545026
0.1854,0.0927,150.676812,1,0,24.0934925
0.1864,0.0932,150.677355,1,0,24.2481771
0.1874,0.0937,150.677347,1,0,24.4084041
0.1884,0.0942,150.678504,1,0,24.5357337
0.1894,0.0947,150.678805,1,0,24.685524
0.1904,0.0952,150.6791,1,0,24.8350198
0.1914,0.0957,150.68012,1,0,24.9603043
0.1924,0.0962,150.681088,1,0,25.0799031
0.1934,0.0967,150.680952,1,0,25.2223015
0.1944,0.0972,150.681325,1,0,25.3661046
0.1954,0.0977,150.68165,1,0,25.5059261
0.1964,0.0982,150.681699,1,0,25.6643784
0.1974,0.0987,150.682679,1,0,25.797991
0.1984,0.0992,150.683087,1,0,25.9205594
0.1994,0.0997,150.683369,1,0,26.0652356
0.2004,0.1002,150.684582,1,0,26.1814923
0.2014,0.1007,150.684578,1,0,26.3383367
0.2024,0.1012,150.684482,1,0,26.4899442
0.2034,0.1017,150.685321,1,0,26.6455362
0.2044,0.1022,150.686192,1,0,26.7682879
0.2054,0.1027,150.686417,1,0,26.8834474
0.2064,0.1032,150.68674,1,0,27.0399542
0.2074,0.1037,150.686746,1,0,27.1968594
0.2084,0.1042,150.688139,1,0,27.3236563
0.2094,0.1047,150.688296,1,0,27.4904559
0.2104,0.1052,150.688514,1,0,27.6514294
0.2114,0.1057,150.688887,1,0,27.825906
0.2124,0.1062,150.689283,1,0,27.9721875
0.2134,0.1067,150.68963,1,0,28.1161351
0.2144,0.1072,150.689742,1,0,28.2603607
0.2154,0.1077,150.690535,1,0,28.3970942
0.2164,0.1082,150.69082,1,0,28.5560784
0.2174,0.1087,150.691231,1,0,28.7010546
0.2184,0.1092,150.691636,1,0,28.8415618
0.2194,0.1097,150.69203,1,0,28.9918623
0.2204,0.1102,150.692489,1,0,29.1322188
