s_m,s_meas_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.02635,0.02635,8580.73073,2145.18268,0.125,1,5285.02154
0.02638125,0.02638125,8591.41759,2147.8544,0.03125,1,5558.41157
0.0264125,0.0264125,8599.28908,2149.82227,0.03125,1,5629.50026
0.0264203125,0.0264203125,8600.0557,2150.01392,0.0078125,1,5920.92075
0.026428125,0.026428125,8601.27667,2150.31917,0.0078125,1,5990.14332
0.0264359375,0.0264359375,8602.68774,2150.67193,0.0078125,1,6064.51705
0.02644375,0.02644375,8604.26652,2151.06663,0.0078125,1,6129.80268
0.0264515625,0.0264515625,8605.99955,2151.49989,0.0078125,1,6180.52009
0.026459375,0.026459375,8607.81195,2151.95299,0.015625,1,6237.48769
0.026475,0.026475,8613.30666,2153.32666,0.015625,1,6296.0396
0.026490625,0.026490625,8617.04674,2154.26168,0.015625,1,6353.70968
0.0264984375,0.0264984375,8618.80305,2154.70076,0.0078125,1,6497.94714
