s_m,s_over_B,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.057275,0.0286375,158.618847,158.618847,0.025,0,1717.1038
0.0573,0.02865,158.618873,158.618873,0.025,0,1717.69865
0.057325,0.0286625,158.618998,158.618998,0.025,0,1718.29244
0.05735,0.028675,158.619077,158.619077,0.05,0,1718.76949
0.057375,0.0286875,158.61915,158.61915,0.025,0,1721.29143
0.0574,0.0287,158.619256,158.619256,0.025,0,1721.82955
0.057425,0.0287125,158.619331,158.619331,0.025,0,1722.38289
0.05745,0.028725,158.619371,158.619371,0.025,0,1722.95117
0.057475,0.0287375,158.619461,158.619461,0.025,0,1723.50946
0.0575,0.02875,158.619523,158.619523,0.05,0,1724.10354
0.057525,0.0287625,158.619898,158.619898,0.025,0,1726.94946
0.05755,0.028775,158.619725,158.619725,0.025,0,1727.48803
0.057575,0.0287875,158.619759,158.619759,0.025,0,1728.06287
0.0576,0.0288,158.61989,158.61989,0.025,0,1728.59415
0.057625,0.0288125,158.619955,158.619955,0.025,0,1729.13695
0.05765,0.028825,158.619983,158.619983,0.05,0,1729.70871
0.057675,0.0288375,158.620076,158.620076,0.025,0,1732.43627
0.0577,0.02885,158.620136,158.620136,0.025,0,1733.01221
0.057725,0.0288625,158.62026,158.62026,0.025,0,1733.62337
0.05775,0.028875,158.62026,158.62026,0.025,0,1734.23161
0.057775,0.0288875,158.620289,158.620289,0.025,0,1734.81693
0.0578,0.0289,158.620441,158.620441,0.05,0,1735.41386
0.057825,0.0289125,158.620518,158.620518,0.025,0,1738.04375
0.05785,0.028925,158.620599,158.620599,0.025,0,1738.4707
0.057875,0.0289375,158.620721,158.620721,0.025,0,1739.05101
0.0579,0.02895,158.620749,158.620749,0.025,0,1739.5384
0.057925,0.0289625,158.620791,158.620791,0.025,0,1740.07348
0.05795,0.028975,158.620866,158.620866,0.05,0,1740.669
0.057975,0.0289875,158.620907,158.620907,0.025,0,1743.24193
0.058,0.029,158.62102,158.62102,0.025,0,1743.71638
0.058025,0.0290125,158.621129,158.621129,0.025,0,1744.28109
0.05805,0.029025,158.621244,158.621244,0.025,0,1744.8514
0.058075,0.0290375,158.62133,158.62133,0.025,0,1745.37801
0.0581,0.02905,158.621396,158.621396,0.05,0,1745.91655
0.058125,0.0290625,158.621433,158.621433,0.025,0,1748.69052
0.05815,0.029075,158.621473,158.621473,0.025,0,1749.30162
0.058175,0.0290875,158.621597,158.621597,0.025,0,1749.79849
0.0582,0.0291,158.621629,158.621629,0.025,0,1750.26001
0.058225,0.0291125,158.621702,158.621702,0.025,0,1750.7249
0.05825,0.029125,158.621813,158.621813,0.05,0,1751.19387
0.058275,0.0291375,158.621888,158.621888,0.025,0,1753.86867
0.0583,0.02915,158.621935,158.621935,0.025,0,1754.4596
0.058325,0.0291625,158.622007,158.622007,0.025,0,1755.00379
0.05835,0.029175,158.622082,158.622082,0.025,0,1755.46559
0.058375,0.0291875,158.622159,158.622159,0.025,0,1755.9768
0.0584,0.0292,158.622315,158.622315,0.05,0,1756.57934
0.058425,0.0292125,158.622313,158.622313,0.025,0,1759.58341
0.05845,0.029225,158.622383,158.622383,0.025,0,1760.12231
0.058475,0.0292375,158.622532,158.622532,0.025,0,1760.71474
0.0585,0.02925,158.622607,158.622607,0.025,0,1761.24169
0.058525,0.0292625,158.622612,158.622612,0.025,0,1761.80887
0.05855,0.029275,158.622687,158.622687,0.05,0,1762.43816
0.058575,0.0292875,158.622762,158.622762,0.025,0,1765.17868
0.0586,0.0293,158.622835,158.622835,0.025,0,1765.51672
0.058625,0.0293125,158.622913,158.622913,0.025,0,1766.14675
0.05865,0.029325,158.623036,158.623036,0.025,0,1766.72165
0.058675,0.0293375,158.623061,158.623061,0.025,0,1767.37417
0.0587,0.02935,158.623136,158.623136,0.05,0,1767.9904
0.058725,0.0293625,158.623292,158.623292,0.025,0,1770.8618
0.05875,0.029375,158.623284,158.623284,0.025,0,1771.39245
0.058775,0.0293875,158.623359,158.623359,0.025,0,1771.92009
0.0588,0.0294,158.623467,158.623467,0.025,0,1772.45522
0.058825,0.0294125,158.623559,158.623559,0.025,0,1772.98203
0.05885,0.029425,158.623592,158.623592,0.05,0,1773.61066
0.058875,0.0294375,158.623662,158.623662,0.025,0,1776.36953
0.0589,0.02945,158.623733,158.623733,0.025,0,1776.95623
0.058925,0.0294625,158.623809,158.623809,0.025,0,1777.46654
0.05895,0.029475,158.623956,158.623956,0.025,0,1778.04771
0.058975,0.0294875,158.62396,158.62396,0.025,0,1778.64477
0.059,0.0295,158.624116,158.624116,0.05,0,1779.14719
0.059025,0.0295125,158.624109,158.624109,0.025,0,1781.99087
0.05905,0.029525,158.624182,158.624182,0.025,0,1782.55705
0.059075,0.0295375,158.624259,158.624259,0.025,0,1783.18083
0.0591,0.02955,158.624332,158.624332,0.025,0,1783.80365
0.059125,0.0295625,158.624406,158.624406,0.025,0,1784.39766
0.05915,0.029575,158.624482,158.624482,0.05,0,1785.00952
0.059175,0.0295875,158.624637,158.624637,0.025,0,1788.04595
0.0592,0.0296,158.624663,158.624663,0.025,0,1788.61276
0.059225,0.0296125,158.624754,158.624754,0.025,0,1789.09517
0.05925,0.029625,158.624778,158.624778,0.025,0,1789.67812
0.059275,0.0296375,158.624783,158.624783,0.025,0,1790.23348
0.0593,0.02965,158.625018,158.625018,0.05,0,1790.81389
0.059325,0.0296625,158.625003,158.625003,0.025,0,1793.58774
