s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.1019,0.1019,6367.97741,1591.99435,2.49733476,0.2,7680.1752
0.1021,0.1021,6372.98627,1593.24657,2.49929909,0.2,7692.5472
0.1022,0.1022,6375.48563,1593.87141,2.50027927,0.1,7731.77238
0.1023,0.1023,6377.98257,1594.49564,2.5012585,0.1,7746.22153
0.1024,0.1024,6380.47677,1595.11919,2.50223665,0.1,7762.22055
0.1025,0.1025,6382.96812,1595.74203,2.50321368,0.1,7776.40049
0.1026,0.1026,6385.45557,1596.36389,2.50418919,0.2,7793.1654
0.1027,0.1027,6387.94077,1596.98519,2.50516381,0.1,7834.64025
0.1028,0.1028,6390.42212,1597.60553,2.50613692,0.1,7849.5256
0.1029,0.1029,6392.89969,1598.22492,2.50710855,0.1,7866.11704
0.103,0.103,6395.37386,1598.84347,2.50807885,0.1,7881.14055
0.1031,0.1031,6397.84646,1599.46161,2.50904853,0.2,7892.12911
0.1032,0.1032,6400.31666,1600.07917,2.51001727,0.1,7937.84005
0.1033,0.1033,6402.78387,1600.69597,2.51098484,0.1,7950.9612
0.1034,0.1034,6405.24937,1601.31234,2.51195174,0.1,7965.85128
0.1035,0.1035,6407.71299,1601.92825,2.5129179,0.1,7974.91645
0.1036,0.1036,6410.17318,1602.5433,2.51388271,0.2,7989.15832
0.1037,0.1037,6412.63047,1603.15762,2.51484639,0.1,8010.72259
0.1038,0.1038,6415.08485,1603.77121,2.51580893,0.1,8024.14693
0.1039,0.1039,6417.53663,1604.38416,2.51677044,0.1,8040.57491
0.104,0.104,6419.98539,1604.99635,2.51773077,0.1,8055.74206
0.1041,0.1041,6422.43247,1605.60812,2.51869045,0.2,8068.29682
0.1042,0.1042,6424.87721,1606.2193,2.5196492,0.1,8086.8196
0.1043,0.1043,6427.31892,1606.82973,2.52060677,0.1,8099.96609
0.1044,0.1044,6429.75892,1607.43973,2.52156367,0.1,8109.72305
0.1045,0.1045,6432.19622,1608.04906,2.52251951,0.1,8123.89513
0.1046,0.1046,6434.63135,1608.65784,2.52347449,0.2,8134.95855
0.1047,0.1047,6437.06346,1609.26587,2.52442829,0.1,8174.99201
0.1048,0.1048,6439.49029,1609.87257,2.52538003,0.1,8186.92849
0.1049,0.1049,6441.91397,1610.47849,2.52633052,0.1,8198.9267
0.105,0.105,6444.33473,1611.08368,2.52727987,0.1,8208.73853
0.1051,0.1051,6446.75557,1611.68889,2.52822925,0.2,8223.04163
0.1052,0.1052,6449.17199,1612.293,2.5291769,0.1,8272.90429
0.1053,0.1053,6451.58533,1612.89633,2.53012335,0.1,8291.66875
0.1054,0.1054,6453.99533,1613.49883,2.53106848,0.1,8314.65451
0.1055,0.1055,6456.40162,1614.1004,2.53201215,0.1,8343.59894
0.1056,0.1056,6458.80532,1614.70133,2.53295482,0.2,8364.86566
0.1058,0.1058,6463.59949,1615.89987,2.53483495,0.2,8383.75031
0.1059,0.1059,6465.99628,1616.49907,2.5357749,0.1,8456.31629
0.106,0.106,6468.39052,1617.09763,2.53671385,0.1,8471.23002
0.1061,0.1061,6470.77973,1617.69493,2.53765083,0.1,8488.60457
0.1062,0.1062,6473.16393,1618.29098,2.53858585,0.1,8507.61963
0.1063,0.1063,6475.54534,1618.88634,2.53951976,0.2,8540.79648
0.1064,0.1064,6477.92369,1619.48092,2.54045248,0.1,8610.47546
0.1065,0.1065,6480.30001,1620.075,2.54138441,0.1,8637.76985
0.1066,0.1066,6482.67206,1620.66802,2.54231466,0.1,8652.83713
0.1067,0.1067,6485.04332,1621.26083,2.54324459,0.1,8669.055
0.1068,0.1068,6487.41163,1621.85291,2.54417338,0.2,8683.86686
0.1069,0.1069,6489.77801,1622.4445,2.5451014,0.1,8706.95892
0.107,0.107,6492.14128,1623.03532,2.54602821,0.1,8722.56036
0.1071,0.1071,6494.50071,1623.62518,2.5469535,0.1,8738.77694
0.1072,0.1072,6496.85869,1624.21467,2.54787824,0.1,8752.92467
0.1073,0.1073,6499.21337,1624.80334,2.54880167,0.2,8769.38332
0.1074,0.1074,6501.56534,1625.39133,2.54972405,0.1,8804.57924
0.1075,0.1075,6503.91439,1625.9786,2.55064528,0.1,8819.72557
0.1076,0.1076,6506.2598,1626.56495,2.55156508,0.1,8836.62017
0.1077,0.1077,6508.60187,1627.15047,2.55248357,0.1,8855.27009
0.1078,0.1078,6510.94155,1627.73539,2.55340112,0.2,8868.56631
0.108,0.108,6515.60646,1628.90162,2.55523057,0.2,8885.90896
0.1081,0.1081,6517.9306,1629.48265,2.55614203,0.1,8937.01979
0.1082,0.1082,6520.25187,1630.06297,2.55705236,0.1,8953.33135
0.1083,0.1083,6522.57022,1630.64255,2.55796155,0.1,8968.2656
0.1084,0.1084,6524.88627,1631.22157,2.55886984,0.1,8982.9093
0.1085,0.1085,6527.19789,1631.79947,2.55977638,0.2,8998.09765
0.1086,0.1086,6529.50645,1632.37661,2.56068173,0.1,9049.74275
0.1087,0.1087,6531.81236,1632.95309,2.56158604,0.1,9065.77446
0.1088,0.1088,6534.11541,1633.52885,2.56248924,0.1,9081.27441
0.1089,0.1089,6536.41707,1634.10427,2.56339188,0.1,9096.84791
0.109,0.109,6538.71515,1634.67879,2.56429312,0.2,9114.46426
0.1091,0.1091,6541.01024,1635.25256,2.56519319,0.1,9158.54775
