s_m,s_over_B,R_kN,q_kPa,dr_iters,settled,ke,res_kN,dR_kN,wall_s
0.002,0.001,47.2448908,47.2448908,1000,0,0.000558841841,0.497791931,nan,28.9590693
0.004,0.002,56.0186631,56.0186631,1000,0,2.22417429e-05,0.434041434,nan,59.7914841
0.006,0.003,65.279029,65.279029,1000,0,5.05843208e-05,0.396857247,nan,91.1969972
0.008,0.004,73.4541867,73.4541867,1000,0,0.00098949805,0.377914093,nan,139.02988
