settlement_m,R_kN,q_kPa,q_over_qVesic
0.0025,664.8297570232075,166.2074392558019,0.26072681428714567
0.005,1877.055962520388,469.263990630097,0.7361265288995614
0.007499999999999999,3657.6495534459896,914.4123883614974,1.43442333285254
0.01,5973.913325372878,1493.4783313432195,2.3427943374947766
0.0125,8841.905916638523,2210.476479159631,3.4675372717881423
0.014999999999999998,12284.850646691184,3071.212661672796,4.817759643380952
0.0175,16309.46355337041,4077.3658883426024,6.396095286171343
0.02,20921.22576559303,5230.306441398257,8.204693738843597
0.0225,26125.716392912007,6531.429098228002,10.245742965225949
0.025,31930.376622874555,7982.594155718639,12.522161181753816
0.0275,38312.08735032442,9578.021837581106,15.024881750580617
0.029999999999999995,45295.2506026523,11323.812650663074,17.76347443418541
0.0325,52865.685199827996,13216.421299956999,20.7323777879231
0.035,61037.854836283965,15259.463709070991,23.93726405033648
0.0375,69815.09641972824,17453.77410493206,27.379441859173948
0.04,79200.13336858437,19800.033342146093,31.059979259603505
0.042499999999999996,89196.37297227303,22299.09324306826,34.98021249102573
0.045,99803.96965389239,24950.992413473097,39.14020211366979
0.0475,111010.4142088279,27752.603552206976,43.53504238281838
