s_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.1264,1958.55382,1958.55382,1,0,218.470215
0.1274,1973.51233,1973.51233,1,0,219.590674
0.1284,1988.44473,1988.44473,1,0,226.482068
0.1294,2003.28976,2003.28976,1,0,228.470964
0.1304,2018.2409,2018.2409,1,0,229.62756
0.1314,2033.07589,2033.07589,1,0,232.487846
0.1324,2048.00698,2048.00698,1,0,234.50992
0.1334,2062.92214,2062.92214,1,0,241.732455
0.1344,2077.84446,2077.84446,1,1,259.029597
0.1349,2085.28811,2085.28811,0.5,0,281.403664
0.1354,2092.73697,2092.73697,0.5,0,282.146099
0.1359,2100.18322,2100.18322,0.5,0,283.194973
0.1364,2107.6284,2107.6284,0.5,0,284.190016
0.1369,2115.07214,2115.07214,0.5,0,285.278882
0.1374,2122.51462,2122.51462,1,0,286.331516
0.1384,2137.47686,2137.47686,1,1,308.721307
0.1389,2144.75199,2144.75199,0.5,0,338.160293
0.1394,2152.19358,2152.19358,0.5,0,339.165174
0.1399,2159.63222,2159.63222,0.5,0,340.10154
0.1404,2167.06071,2167.06071,0.5,0,341.094242
0.1409,2174.4906,2174.4906,0.5,0,342.566463
0.1414,2181.91835,2181.91835,1,0,344.49044
0.1424,2196.63697,2196.63697,1,0,352.750124
0.1434,2211.39605,2211.39605,1,0,358.283774
0.1439,2218.82099,2218.82099,0.5,0,386.570861
0.1444,2226.24788,2226.24788,0.5,0,387.445944
0.1449,2233.66983,2233.66983,0.5,0,388.594688
0.1454,2241.09348,2241.09348,0.5,0,390.382871
0.1459,2248.51432,2248.51432,0.5,0,391.624245
0.1464,2255.93367,2255.93367,1,0,392.692875
0.1469,2263.35161,2263.35161,0.5,0,419.489476
0.1474,2270.76806,2270.76806,0.5,0,420.542928
0.1479,2278.182,2278.182,0.5,0,421.460907
0.1484,2285.59065,2285.59065,0.5,0,422.676887
0.1489,2292.99932,2292.99932,0.5,0,423.923971
0.1494,2300.41164,2300.41164,1,0,424.731644
0.1504,2314.77346,2314.77346,1,1,444.530581
0.1509,2322.14722,2322.14722,0.5,0,474.501737
0.1514,2329.56295,2329.56295,0.5,0,475.786207
0.1519,2336.97284,2336.97284,0.5,0,477.245603
0.1524,2344.3834,2344.3834,0.5,0,478.444507
0.1529,2351.79432,2351.79432,0.5,0,480.056678
0.1534,2359.20006,2359.20006,1,0,481.254512
0.1544,2373.90467,2373.90467,1,0,482.757383
0.1554,2388.59969,2388.59969,1,0,484.360709
0.1564,2403.26431,2403.26431,1,0,486.196755
0.1574,2417.97391,2417.97391,1,0,488.398824
0.1584,2432.73352,2432.73352,1,0,489.824372
0.1594,2447.43137,2447.43137,1,0,492.263911
0.1604,2462.2379,2462.2379,1,0,493.768484
0.1614,2477.03869,2477.03869,1,0,495.407979
0.1624,2491.69509,2491.69509,1,0,498.852754
0.1634,2506.49843,2506.49843,1,0,500.389781
0.1644,2521.2833,2521.2833,1,0,506.561069
0.1654,2535.98234,2535.98234,1,0,509.970412
0.1664,2550.71976,2550.71976,1,0,512.386512
0.1674,2565.41572,2565.41572,1,0,516.138438
0.1684,2580.13714,2580.13714,1,0,517.774803
0.1694,2594.85681,2594.85681,1,0,519.729218
0.1704,2609.6297,2609.6297,1,0,521.660366
0.1714,2624.41255,2624.41255,1,0,522.60517
0.1724,2639.06831,2639.06831,1,1,541.113878
0.1734,2653.73353,2653.73353,1,0,542.352638
0.1744,2668.50569,2668.50569,1,0,544.296627
0.1754,2683.21709,2683.21709,1,0,546.615244
0.1764,2697.98449,2697.98449,1,1,563.954154
0.1769,2705.3488,2705.3488,0.5,0,596.628536
0.1774,2712.72555,2712.72555,0.5,0,598.166485
