s_m,s_over_B,q_kPa,ds_mm,relaxed,wall_s
0.00988,0.00494,73.5472402,0.08,1,421.514879
0.00996,0.00498,73.7603662,0.08,1,426.504093
0.01004,0.00502,73.9915613,0.16,1,431.314098
0.01012,0.00506,74.2019391,0.08,1,444.956933
0.01016,0.00508,74.3064052,0.04,0,456.961451
0.0102,0.0051,74.4071792,0.04,0,457.877321
0.01024,0.00512,74.5060193,0.04,0,459.080638
0.01028,0.00514,74.6022831,0.04,0,460.476869
0.01032,0.00516,74.6969693,0.04,0,462.557822
0.01036,0.00518,74.7907697,0.08,0,464.104779
0.0104,0.0052,74.8838179,0.04,0,482.313449
0.01044,0.00522,74.974162,0.04,0,482.971282
0.01048,0.00524,75.0619856,0.04,0,483.685177
0.01052,0.00526,75.1489712,0.04,0,484.876276
0.01056,0.00528,75.2349952,0.04,0,485.518232
0.0106,0.0053,75.3196884,0.08,0,486.1188
0.01068,0.00534,75.4899349,0.08,0,487.064413
0.01076,0.00538,75.6585319,0.08,0,488.454583
0.01084,0.00542,75.8257254,0.08,0,490.302506
0.01092,0.00546,75.9917869,0.08,0,491.065856
0.011,0.0055,76.1561347,0.08,0,492.785835
0.01108,0.00554,76.3218753,0.16,0,493.588078
0.01112,0.00556,76.4045014,0.04,0,508.773699
0.01116,0.00558,76.4879831,0.04,0,509.253034
0.0112,0.0056,76.5729383,0.04,0,509.648659
0.01124,0.00562,76.6586612,0.04,0,510.098286
0.01128,0.00564,76.744391,0.04,0,510.635425
0.01132,0.00566,76.8306002,0.08,0,511.26489
0.0114,0.0057,77.0028272,0.08,0,512.738594
0.01148,0.00574,77.1778266,0.08,0,513.838107
0.01152,0.00576,77.2665481,0.04,0,521.127793
0.01156,0.00578,77.3537803,0.04,0,522.073668
0.0116,0.0058,77.4409991,0.04,0,522.492787
0.01164,0.00582,77.5281686,0.04,0,522.978151
0.01168,0.00584,77.615854,0.04,0,523.442965
0.01172,0.00586,77.7031343,0.08,0,523.86895
0.01176,0.00588,77.790286,0.04,0,531.715032
0.0118,0.0059,77.8790037,0.04,0,532.521532
0.01184,0.00592,77.9758209,0.04,0,533.423878
0.01188,0.00594,78.0818635,0.04,0,534.174183
0.01192,0.00596,78.1908,0.04,0,535.208512
0.01196,0.00598,78.2990623,0.08,0,536.33166
0.01204,0.00602,78.5011268,0.08,1,540.73608
0.01208,0.00604,78.6100499,0.04,0,547.252197
0.01212,0.00606,78.7193985,0.04,0,547.816875
0.01216,0.00608,78.8291706,0.04,0,548.440351
0.0122,0.0061,78.937633,0.04,0,549.089588
0.01224,0.00612,79.0463864,0.04,0,549.683307
0.01228,0.00614,79.1528183,0.08,0,550.187242
0.01236,0.00618,79.3668089,0.08,0,551.362044
0.01244,0.00622,79.5744748,0.08,0,552.536946
0.01252,0.00626,79.7769604,0.08,0,553.734149
0.0126,0.0063,79.9732386,0.08,0,554.871791
0.01268,0.00634,80.1653779,0.08,1,558.914074
0.01276,0.00638,80.343056,0.16,1,563.368122
0.0128,0.0064,80.4364812,0.04,0,576.728586
0.01284,0.00642,80.5263465,0.04,0,577.504847
0.01288,0.00644,80.6211926,0.04,0,578.113833
0.01292,0.00646,80.7123838,0.04,0,578.905282
0.01296,0.00648,80.8027579,0.04,0,579.602963
0.013,0.0065,80.8944551,0.08,0,580.311318
0.01308,0.00654,81.0736635,0.08,1,584.395499
0.01316,0.00658,81.2496669,0.08,0,585.649546
0.01324,0.00662,81.4298344,0.08,0,586.851573
0.01332,0.00666,81.6049672,0.08,0,588.229741
0.0134,0.0067,81.7877857,0.08,0,589.014499
0.01348,0.00674,81.9603043,0.16,0,590.490684
0.01356,0.00678,82.1280063,0.08,0,597.075001
0.01364,0.00682,82.294538,0.08,0,598.193455
0.01372,0.00686,82.4589348,0.08,0,599.697665
0.0138,0.0069,82.6170415,0.08,0,600.783353
0.01388,0.00694,82.7764161,0.08,0,601.968704
0.01396,0.00698,82.9363756,0.16,0,603.218294
0.01404,0.00702,83.0991479,0.08,0,610.603725
0.01412,0.00706,83.2692992,0.08,0,611.173455
0.0142,0.0071,83.4739089,0.08,0,612.860894
0.01428,0.00714,83.6519646,0.08,1,616.363022
0.01436,0.00718,83.8577795,0.08,0,617.426834
0.0144,0.0072,83.9594007,0.04,0,623.518369
0.01444,0.00722,84.060823,0.04,0,624.065732
0.01448,0.00724,84.1613553,0.04,0,624.70965
0.01452,0.00726,84.2618244,0.04,0,625.280142
0.01456,0.00728,84.3616141,0.04,0,625.837739
0.0146,0.0073,84.4602682,0.08,0,626.494635
0.01464,0.00732,84.5594131,0.04,0,631.834748
0.01468,0.00734,84.6572089,0.04,0,632.807655
0.01472,0.00736,84.7559117,0.04,0,633.814459
0.01476,0.00738,84.8532015,0.04,0,634.813015
0.0148,0.0074,84.9508031,0.04,0,635.84784
0.01484,0.00742,85.0501053,0.08,0,636.935567
0.01488,0.00744,85.1652798,0.04,0,642.481168
0.01492,0.00746,85.275542,0.04,0,643.218267
0.01496,0.00748,85.3898409,0.04,0,643.678173
0.015,0.0075,85.4986506,0.04,0,644.03834
0.01504,0.00752,85.6090896,0.04,0,645.173588
0.01508,0.00754,85.7160962,0.08,0,645.769717
0.01512,0.00756,85.8228458,0.04,0,651.517055
0.01516,0.00758,85.9258218,0.04,0,652.128187
0.0152,0.0076,86.0275641,0.04,0,653.29205
0.01524,0.00762,86.12628,0.04,0,654.469707
0.01528,0.00764,86.2215677,0.04,0,655.698956
0.01532,0.00766,86.3130148,0.08,0,656.86074
0.01536,0.00768,86.3985419,0.04,0,663.3385
0.0154,0.0077,86.4831873,0.04,0,664.531879
0.01544,0.00772,86.571287,0.04,1,668.262305
0.01548,0.00774,86.7222697,0.04,1,671.818746
0.01552,0.00776,86.797321,0.04,1,675.396789
0.01556,0.00778,86.7856174,0.08,0,676.675966
0.0156,0.0078,86.8338106,0.04,0,683.378366
0.01564,0.00782,86.8795259,0.04,0,684.9112
0.01568,0.00784,86.9243619,0.04,0,686.140338
0.01572,0.00786,86.9658661,0.04,0,687.255425
0.01576,0.00788,87.0133426,0.04,0,688.391559
0.0158,0.0079,87.0682657,0.08,0,689.441787
0.01584,0.00792,87.1300808,0.04,0,695.78813
0.01588,0.00794,87.1997643,0.04,0,696.841102
0.01592,0.00796,87.2784177,0.04,0,697.905524
0.01596,0.00798,87.3838797,0.04,0,698.402278
0.016,0.008,87.4699397,0.04,0,699.011624
0.01604,0.00802,87.5686125,0.08,0,699.571811
0.01608,0.00804,87.6502926,0.04,0,705.773673
0.01612,0.00806,87.7384491,0.04,0,706.831894
0.01616,0.00808,87.8042897,0.04,0,707.88096
0.0162,0.0081,87.86357,0.04,0,709.04128
0.01622,0.00811,87.8894584,0.02,0,715.354003
0.01624,0.00812,87.9147502,0.02,0,716.357943
0.01626,0.00813,87.9442666,0.02,0,717.045819
0.01628,0.00814,87.971453,0.02,0,717.983618
0.0163,0.00815,88.0026889,0.02,0,718.564875
0.01632,0.00816,88.0332668,0.04,0,719.619292
0.01636,0.00818,88.1386055,0.04,1,723.608791
0.0164,0.0082,88.2187784,0.04,0,724.673509
0.01644,0.00822,88.3129729,0.04,1,728.75735
0.01648,0.00824,88.3955436,0.04,0,729.814107
0.01652,0.00826,88.4948611,0.04,0,730.36385
0.01656,0.00828,88.605227,0.08,0,731.565331
0.0166,0.0083,88.7211571,0.04,0,737.906639
0.01664,0.00832,88.8290088,0.04,0,738.579992
0.01668,0.00834,88.9302432,0.04,0,741.177689
0.01672,0.00836,89.0295221,0.04,0,742.256904
0.01676,0.00838,89.1221574,0.04,0,743.243002
0.0168,0.0084,89.2086915,0.08,0,745.220318
0.01684,0.00842,89.3007004,0.04,0,754.662576
0.01688,0.00844,89.4071719,0.04,0,757.373339
0.01692,0.00846,89.5091655,0.04,0,758.548322
0.01696,0.00848,89.6083801,0.04,0,760.246398
0.017,0.0085,89.7054589,0.04,0,761.300712
0.01704,0.00852,89.7996037,0.08,0,762.761728
0.01706,0.00853,89.8464658,0.02,0,779.35652
0.01708,0.00854,89.8927762,0.02,0,779.859811
0.0171,0.00855,89.9390552,0.02,0,780.438219
0.01712,0.00856,89.9839048,0.02,0,780.73754
0.01714,0.00857,90.0296447,0.02,0,781.032263
0.01716,0.00858,90.0769158,0.04,0,781.385918
0.0172,0.0086,90.1673705,0.04,0,782.503608
0.01722,0.00861,90.2120194,0.02,0,788.648666
0.01724,0.00862,90.2565242,0.02,0,789.0393
0.01726,0.00863,90.3008259,0.02,0,789.431436
0.01728,0.00864,90.3449251,0.02,0,789.808527
0.0173,0.00865,90.3885723,0.02,0,790.270874
0.01732,0.00866,90.4315445,0.04,0,790.731539
0.01734,0.00867,90.4742691,0.02,0,795.644703
0.01736,0.00868,90.5167293,0.02,0,796.071979
0.01738,0.00869,90.5589099,0.02,0,796.636934
0.0174,0.0087,90.6013674,0.02,0,796.977971
0.01742,0.00871,90.6432029,0.02,0,797.344164
0.01744,0.00872,90.6847484,0.04,0,797.685656
0.01746,0.00873,90.7260951,0.02,0,803.794984
0.01748,0.00874,90.7667544,0.02,0,804.273177
0.0175,0.00875,90.8083268,0.02,0,804.831566
0.01752,0.00876,90.8490127,0.02,0,805.222888
0.01754,0.00877,90.8903128,0.02,0,805.881425
0.01756,0.00878,90.9307822,0.04,0,806.362243
0.0176,0.0088,91.013198,0.04,0,807.436303
0.01764,0.00882,91.0947595,0.04,0,808.418352
0.01766,0.00883,91.1352296,0.02,0,813.406359
0.01768,0.00884,91.1749034,0.02,0,813.916817
0.0177,0.00885,91.2142818,0.02,0,814.491105
0.01772,0.00886,91.2539936,0.02,0,815.439611
0.01774,0.00887,91.293182,0.02,0,815.801053
0.01776,0.00888,91.3315783,0.04,0,816.372553
0.0178,0.0089,91.4087299,0.04,0,816.849808
0.01784,0.00892,91.4856573,0.04,0,817.931018
0.01788,0.00894,91.5622312,0.04,0,819.190243
0.01792,0.00896,91.6390596,0.04,1,823.262903
0.01794,0.00897,91.6759877,0.02,0,828.344448
0.01796,0.00898,91.7137502,0.02,0,829.276426
0.01798,0.00899,91.7509438,0.02,0,829.849363
0.018,0.009,91.7883287,0.02,0,830.498962
0.01802,0.00901,91.8257532,0.02,0,831.439167
0.01804,0.00902,91.8627287,0.04,0,832.091846
0.01808,0.00904,91.8756489,0.04,0,834.041172
0.01812,0.00906,91.8737856,0.04,0,834.872111
0.01814,0.00907,91.8663491,0.02,0,841.079544
0.01816,0.00908,91.8618146,0.02,0,841.620509
0.01818,0.00909,91.8574929,0.02,0,842.545639
0.0182,0.0091,91.8572526,0.02,0,843.093451
0.01822,0.00911,91.858887,0.02,0,843.614492
0.01824,0.00912,91.8653238,0.04,0,844.077588
0.01828,0.00914,91.8930129,0.04,0,844.763647
0.0183,0.00915,91.9090912,0.02,0,849.68917
0.01832,0.00916,91.9290346,0.02,0,850.135283
0.01834,0.00917,91.952262,0.02,0,850.578583
0.01836,0.00918,91.977445,0.02,0,851.165359
0.01838,0.00919,92.006574,0.02,0,851.734618
0.0184,0.0092,92.0427871,0.04,0,852.190593
0.01842,0.00921,92.0825008,0.02,0,857.252648
0.01844,0.00922,92.1203075,0.02,0,857.729302
0.01846,0.00923,92.1581644,0.02,0,858.193214
0.01848,0.00924,92.1973073,0.02,0,858.574428
0.0185,0.00925,92.2346613,0.02,0,858.957678
0.01852,0.00926,92.2731598,0.04,0,859.301675
0.01856,0.00928,92.3507475,0.04,0,860.407039
0.0186,0.0093,92.4319959,0.04,0,861.480614
0.01864,0.00932,92.514557,0.04,0,862.556333
0.01868,0.00934,92.6019623,0.04,0,863.709321
0.0187,0.00935,92.6480062,0.02,0,869.46818
0.01872,0.00936,92.735555,0.02,1,872.484853
0.01874,0.00937,92.7247287,0.02,0,874.029682
0.01876,0.00938,92.7543379,0.02,0,875.009155
0.01878,0.00939,92.7781228,0.02,0,876.060182
0.0188,0.0094,92.7957574,0.04,0,877.06481
0.01884,0.00942,92.8208382,0.04,0,878.327857
0.01888,0.00944,92.8330428,0.04,0,879.682267
0.01892,0.00946,92.8584482,0.04,1,883.459025
0.01896,0.00948,92.851127,0.04,1,886.85614
0.019,0.0095,92.8772764,0.04,1,891.08193
0.01904,0.00952,92.9018506,0.08,1,894.426879
0.01906,0.00953,92.9106953,0.02,0,904.827895
0.01908,0.00954,92.9226925,0.02,0,905.197358
0.0191,0.00955,92.9384225,0.02,0,905.655853
0.01912,0.00956,92.9570669,0.02,0,906.189385
0.01914,0.00957,92.9789919,0.02,0,907.117892
0.01916,0.00958,93.0047325,0.04,0,907.495586
0.0192,0.0096,93.071492,0.04,0,908.146132
0.01924,0.00962,93.1461382,0.04,0,910.351354
0.01928,0.00964,93.2235421,0.04,0,911.528414
0.01932,0.00966,93.3086177,0.04,0,912.670261
0.01936,0.00968,93.3958636,0.04,0,913.131369
0.0194,0.0097,93.4880338,0.08,0,913.673295
0.01942,0.00971,93.5312929,0.02,0,924.053206
0.01944,0.00972,93.5693676,0.02,0,924.425232
0.01946,0.00973,93.6114749,0.02,0,924.789898
0.01948,0.00974,93.6478505,0.02,0,925.252733
0.0195,0.00975,93.6857646,0.02,0,925.603799
0.01952,0.00976,93.7236391,0.04,0,925.980693
0.01956,0.00978,93.7979873,0.04,0,926.547876
0.0196,0.0098,93.8734671,0.04,0,927.221468
0.01964,0.00982,93.9493853,0.04,0,927.79523
0.01968,0.00984,94.0327138,0.04,0,928.348024
0.01972,0.00986,94.1118249,0.04,0,928.840268
0.01976,0.00988,94.1808889,0.08,1,932.166363
0.0198,0.0099,94.2681998,0.04,1,940.969505
0.01984,0.00992,94.336233,0.04,1,944.432295
0.01988,0.00994,94.438988,0.04,1,948.208673
0.0199,0.00995,94.480128,0.02,1,955.831065
0.01992,0.00996,94.5139359,0.02,1,959.015229
0.01994,0.00997,94.5452479,0.02,1,962.145503
0.01996,0.00998,94.6188035,0.02,1,965.305278
0.01998,0.00999,94.6671681,0.02,1,969.301021
0.019985,0.0099925,94.6780764,0.005,1,980.326306
0.01999,0.009995,94.7249982,0.005,1,983.409846
0.019995,0.0099975,94.753889,0.005,1,986.543558
0.02,0.01,94.7053485,0.005,1,989.753724
0.020005,0.0100025,94.7511475,0.005,1,992.809721
0.02001,0.010005,94.7658894,0.01,1,995.840107
0.02002,0.01001,94.7428325,0.01,1,999.079419
0.02003,0.010015,94.8400889,0.01,1,1002.12364
0.02004,0.01002,94.8390193,0.01,1,1005.1695
0.02005,0.010025,94.8148214,0.01,1,1008.58942
0.02006,0.01003,94.835157,0.01,1,1012.0574
0.020065,0.0100325,94.8460441,0.005,1,1019.75069
0.02007,0.010035,94.8543274,0.005,1,1023.13715
0.020075,0.0100375,94.8567812,0.005,1,1026.40937
0.02008,0.01004,94.9037661,0.005,1,1029.57357
0.020085,0.0100425,94.9550946,0.005,1,1032.34146
