s_m,s_over_B,R_kN,q_kPa,dr_iters,settled,ke,res_kN,wall_s
0.066,0.033,121.282242,121.282242,1250,1,2.87835811e-17,2.13965504e-07,2471.98093
0.067,0.0335,121.800173,121.800173,1250,1,5.40540632e-15,1.32993452e-06,2510.36048
0.068,0.034,122.217404,122.217404,1250,1,1.88503604e-16,1.88423416e-07,2543.85894
0.069,0.0345,122.603843,122.603843,1250,1,3.03676448e-16,4.08321083e-07,2577.15911
0.07,0.035,122.94802,122.94802,1250,1,2.30253382e-16,7.28467849e-07,2611.64306
0.071,0.0355,123.282487,123.282487,1250,1,2.31136372e-17,4.06721284e-07,2645.79736
0.072,0.036,123.603503,123.603503,1250,1,1.56408629e-15,1.26361853e-06,2679.76197
0.073,0.0365,123.912918,123.912918,1250,1,3.93422698e-15,2.36140213e-07,2711.86477
0.074,0.037,124.184712,124.184712,1250,1,8.63073301e-17,1.0987394e-06,2745.70593
0.075,0.0375,124.469132,124.469132,1250,1,8.69337705e-15,1.80493952e-06,2784.27581
0.076,0.038,124.743547,124.743547,1250,1,2.67132397e-16,1.76609266e-07,2822.29796
0.077,0.0385,125.005018,125.005018,1000,1,4.80311119e-13,1.09533173e-05,2848.52759
0.078,0.039,125.251491,125.251491,1000,1,5.69038304e-13,7.16765278e-06,2874.51815
0.079,0.0395,125.467074,125.467074,1000,1,9.10090583e-16,7.26129751e-06,2900.76106
0.08,0.04,125.682798,125.682798,1000,1,3.33124316e-15,7.65217521e-06,2926.92229
0.081,0.0405,125.888028,125.888028,1250,1,2.24637485e-16,4.51266468e-07,2961.37022
0.082,0.041,126.019417,126.019417,1250,1,1.92859226e-16,3.7546827e-07,2996.11722
0.083,0.0415,126.195289,126.195289,1250,1,2.63546704e-17,1.28287405e-07,3032.72875
0.084,0.042,126.359211,126.359211,1250,1,5.07018089e-17,1.63243226e-06,3069.80081
0.085,0.0425,126.529851,126.529851,1250,1,2.0687225e-17,8.42672401e-07,3112.16239
0.086,0.043,126.648821,126.648821,1250,1,1.30920037e-16,1.46397728e-07,3146.12755
0.087,0.0435,126.768873,126.768873,1250,1,1.64983413e-15,3.20829196e-07,3182.48154
0.088,0.044,126.908165,126.908165,1250,1,2.29153003e-16,1.77467196e-07,3216.75383
0.089,0.0445,127.050495,127.050495,1250,1,3.48896161e-17,1.52420746e-07,3251.55182
0.09,0.045,127.188973,127.188973,1250,1,3.62635024e-14,5.66230292e-06,3286.1786
0.091,0.0455,127.296292,127.296292,1250,1,1.75918332e-16,1.45859078e-07,3319.61959
0.092,0.046,127.397303,127.397303,1250,1,1.13366712e-15,2.68151408e-07,3354.41209
0.093,0.0465,127.412296,127.412296,1250,1,4.69270851e-15,1.56753731e-06,3395.97096
0.094,0.047,127.490936,127.490936,1250,1,3.02969993e-14,4.45167645e-06,3435.11473
0.095,0.0475,127.803801,127.803801,1250,1,2.50794987e-16,2.9890527e-07,3470.69456
0.096,0.048,128.029089,128.029089,1250,1,1.28563642e-16,4.72355981e-07,3508.45027
0.097,0.0485,127.834366,127.834366,1250,1,3.2026968e-17,2.18644804e-07,3547.27054
0.098,0.049,128.026922,128.026922,1250,1,9.33823277e-15,1.14805051e-06,3586.60553
0.099,0.0495,128.313371,128.313371,1250,1,1.53481021e-15,1.07206228e-06,3623.59474
0.1,0.05,128.106058,128.106058,1250,1,1.62083024e-15,4.85028814e-07,3659.71125
0.101,0.0505,128.289289,128.289289,1250,1,8.10226744e-17,2.18921962e-07,3704.03559
0.102,0.051,128.227094,128.227094,1250,1,2.96597636e-15,6.72736697e-07,3750.70738
0.103,0.0515,128.242592,128.242592,1250,1,8.41127674e-17,2.68026315e-07,3786.60167
0.104,0.052,128.270929,128.270929,1250,1,4.58669327e-17,1.80851409e-07,3818.71251
0.105,0.0525,128.314299,128.314299,1250,1,1.26424688e-15,2.9340976e-07,3850.82688
0.106,0.053,128.367924,128.367924,1250,1,1.30497108e-15,1.22079298e-07,3884.2289
0.107,0.0535,128.424181,128.424181,1250,1,8.05595553e-18,3.39232179e-07,3911.24976
0.108,0.054,128.479208,128.479208,1250,1,8.42955937e-18,3.46303184e-07,3935.42077
0.109,0.0545,128.532835,128.532835,1250,1,1.80932899e-17,1.82619175e-07,3958.02151
0.11,0.055,128.59121,128.59121,1250,1,1.29120826e-16,6.79085e-07,3986.40609
0.111,0.0555,128.644301,128.644301,1250,1,5.68627571e-14,1.46159099e-06,4011.80574
0.112,0.056,128.69342,128.69342,1250,1,2.62800305e-16,1.90937311e-06,4033.35963
0.113,0.0565,128.73938,128.73938,1250,1,6.97511367e-15,4.94143475e-07,4053.81541
0.114,0.057,128.791006,128.791006,1250,1,9.66054001e-16,2.31782392e-06,4074.6309
0.115,0.0575,128.831779,128.831779,1250,1,2.33883624e-15,1.35197359e-07,4094.74498
0.116,0.058,128.868642,128.868642,1500,1,1.4924751e-17,6.58960779e-08,4117.72511
0.117,0.0585,128.907425,128.907425,1250,1,1.86733882e-15,1.97427105e-07,4137.50622
0.118,0.059,128.94912,128.94912,1250,1,5.4921116e-17,5.72423247e-07,4157.52192
0.119,0.0595,128.983639,128.983639,1250,1,2.48944056e-15,7.42043128e-07,4177.75743
0.12,0.06,129.020904,129.020904,1250,1,5.35646684e-18,3.34255782e-07,4202.10114
