s_m,s_meas_m,R_kN,q_kPa,ds_mm,wall_s
0.0253,0.0253,3208.79783,802.199458,0.2,1877.17564
0.0255,0.0255,3218.51591,804.628977,0.2,1882.87451
0.0257,0.0257,3227.54444,806.886109,0.2,1888.39082
0.0259,0.0259,3236.35865,809.089662,0.2,1894.85347
0.026,0.026,3240.82541,810.206353,0.1,1924.48619
0.0261,0.0261,3245.14517,811.286292,0.1,1931.72466
0.0262,0.0262,3249.6518,812.41295,0.1,1938.30448
0.0263,0.0263,3253.9741,813.493525,0.1,1943.95973
0.0264,0.0264,3258.42517,814.606292,0.1,1949.38822
0.0265,0.0265,3262.72733,815.681834,0.2,1955.01279
0.0267,0.0267,3271.13875,817.784689,0.2,1960.51597
0.0269,0.0269,3280.33337,820.083343,0.2,1967.09884
0.0271,0.0271,3288.76239,822.190596,0.2,1973.66121
0.0272,0.0272,3293.00359,823.250897,0.1,2002.69851
0.0273,0.0273,3296.84298,824.210745,0.1,2008.07037
0.0274,0.0274,3301.11275,825.278187,0.1,2014.18244
0.0275,0.0275,3305.16807,826.292018,0.1,2019.96229
0.0276,0.0276,3309.37215,827.343037,0.1,2026.38697
0.0277,0.0277,3313.4242,828.35605,0.2,2031.40035
0.0279,0.0279,3321.35162,830.337904,0.2,2038.25814
0.0281,0.0281,3330.16914,832.542286,0.2,2044.6138
0.0283,0.0283,3337.66417,834.416043,0.2,2052.8186
0.0284,0.0284,3342.07646,835.519116,0.1,2081.68583
0.0285,0.0285,3345.63978,836.409944,0.1,2087.0316
0.0286,0.0286,3349.70437,837.426092,0.1,2094.12532
0.0287,0.0287,3353.55262,838.388154,0.1,2100.87902
0.0288,0.0288,3357.56385,839.390963,0.1,2106.93956
0.0289,0.0289,3361.41007,840.352519,0.2,2113.22652
0.0291,0.0291,3368.94333,842.235833,0.2,2118.61095
0.0293,0.0293,3377.34581,844.336453,0.2,2124.49419
0.0295,0.0295,3384.51847,846.129616,0.2,2130.5084
0.0297,0.0297,3392.19288,848.048221,0.2,2136.35962
0.0299,0.0299,3400.16508,850.041269,0.2,2141.77818
0.0301,0.0301,3407.05365,851.763412,0.4,2148.28105
0.0303,0.0303,3414.45281,853.613202,0.2,2178.19328
0.0305,0.0305,3422.20525,855.551312,0.2,2184.9335
0.0307,0.0307,3429.22284,857.305711,0.2,2192.11226
0.0309,0.0309,3436.87359,859.218397,0.2,2200.28673
0.0311,0.0311,3443.87642,860.969105,0.2,2207.60597
0.0313,0.0313,3451.35587,862.838968,0.4,2214.05271
0.0315,0.0315,3457.77118,864.442794,0.2,2244.76616
0.0317,0.0317,3465.14517,866.286293,0.2,2251.12349
0.0319,0.0319,3472.1148,868.028699,0.2,2258.09605
0.0321,0.0321,3479.13766,869.784415,0.2,2265.06053
0.0323,0.0323,3485.87838,871.469596,0.2,2272.44431
0.0325,0.0325,3493.05192,873.26298,0.4,2278.82158
0.0327,0.0327,3499.18893,874.797232,0.2,2309.34485
0.0329,0.0329,3507.262,876.815499,0.2,2316.74942
0.0331,0.0331,3512.56258,878.140644,0.2,2323.66389
0.0332,0.0332,3516.47985,879.119963,0.1,2353.53191
0.0333,0.0333,3519.1814,879.795349,0.1,2359.47098
0.0334,0.0334,3522.59038,880.647596,0.1,2364.72588
0.0335,0.0335,3525.73687,881.434217,0.1,2370.63222
0.0336,0.0336,3529.09769,882.274422,0.1,2377.02866
0.0337,0.0337,3532.25332,883.063331,0.2,2382.0161
0.0339,0.0339,3539.3163,884.829074,0.2,2387.70856
0.0341,0.0341,3545.05386,886.263465,0.2,2394.83442
0.0343,0.0343,3551.73303,887.933258,0.2,2401.37568
0.0345,0.0345,3557.73042,889.432605,0.2,2408.70694
0.0347,0.0347,3564.23568,891.058919,0.2,2415.53386
0.0349,0.0349,3570.01833,892.504581,0.4,2422.38672
0.0351,0.0351,3576.19919,894.049798,0.2,2455.25949
0.0353,0.0353,3582.4748,895.618701,0.2,2461.93544
0.0355,0.0355,3588.237,897.059251,0.2,2468.70396
0.0357,0.0357,3594.54691,898.636728,0.2,2475.64905
0.0359,0.0359,3600.20214,900.050536,0.2,2482.64305
0.0361,0.0361,3606.44309,901.610771,0.4,2490.70356
0.0363,0.0363,3612.10237,903.025593,0.2,2520.15127
0.0365,0.0365,3618.25069,904.562672,0.2,2526.45546
0.0367,0.0367,3623.63945,905.909863,0.2,2531.85499
0.0369,0.0369,3629.90056,907.475141,0.2,2538.12199
0.0371,0.0371,3635.10304,908.77576,0.2,2544.77699
0.0373,0.0373,3641.58071,910.395177,0.4,2550.62895
0.0375,0.0375,3646.4579,911.614476,0.2,2577.93854
0.0377,0.0377,3652.24116,913.06029,0.2,2585.53394
0.0379,0.0379,3658.06559,914.516398,0.2,2591.97717
0.0381,0.0381,3663.09838,915.774594,0.2,2597.35808
0.0383,0.0383,3669.45803,917.364508,0.2,2603.03872
0.0385,0.0385,3673.88412,918.471031,0.4,2608.73455
0.0387,0.0387,3679.53943,919.884857,0.2,2634.19735
0.0389,0.0389,3684.74401,921.186004,0.2,2639.60498
0.0391,0.0391,3690.25021,922.562551,0.2,2644.75187
0.0393,0.0393,3695.36068,923.84017,0.2,2650.89477
0.0395,0.0395,3701.06076,925.26519,0.2,2657.08506
0.0397,0.0397,3705.79759,926.449397,0.4,2662.84357
0.0399,0.0399,3711.08592,927.771479,0.2,2686.8085
0.0401,0.0401,3716.13957,929.034892,0.2,2692.63423
0.0403,0.0403,3721.39429,930.348572,0.2,2699.21708
0.0405,0.0405,3726.4126,931.603149,0.2,2704.37314
0.0407,0.0407,3731.88927,932.972317,0.2,2711.34587
0.0409,0.0409,3736.37378,934.093445,0.4,2716.8892
0.0411,0.0411,3741.42782,935.356955,0.2,2741.51244
0.0413,0.0413,3746.55499,936.638748,0.2,2747.51283
0.0415,0.0415,3751.13716,937.784289,0.2,2753.46345
0.0417,0.0417,3756.42136,939.10534,0.2,2758.94245
0.0419,0.0419,3760.84173,940.210433,0.2,2765.35283
0.0421,0.0421,3766.37091,941.592728,0.4,2771.14297
0.0423,0.0423,3770.48233,942.620581,0.2,2799.93638
0.0425,0.0425,3776.20265,944.050662,0.2,2805.26298
0.0427,0.0427,3779.78274,944.945685,0.2,2810.86513
0.0429,0.0429,3786.25913,946.564783,0.2,2817.28357
0.0431,0.0431,3789.13069,947.282674,0.2,2823.20081
0.0432,0.0432,3791.37281,947.843202,0.1,2849.22518
0.0433,0.0433,3794.06612,948.516529,0.1,2854.01259
0.0434,0.0434,3796.16681,949.041702,0.1,2859.0559
0.0435,0.0435,3798.65916,949.66479,0.1,2864.19056
0.0436,0.0436,3800.75611,950.189028,0.1,2869.33279
0.0437,0.0437,3803.22677,950.806693,0.2,2877.95646
0.0439,0.0439,3808.71478,952.178694,0.2,2883.31146
0.0441,0.0441,3811.943,952.98575,0.2,2891.49385
0.0443,0.0443,3816.85679,954.214198,0.2,2898.11894
0.0445,0.0445,3820.94819,955.237047,0.2,2905.0465
0.0447,0.0447,3825.82123,956.455308,0.2,2911.67792
0.0449,0.0449,3829.7871,957.446776,0.4,2918.06908
0.0451,0.0451,3834.36892,958.592231,0.2,2947.18064
0.0453,0.0453,3838.75904,959.68976,0.2,2953.89854
0.0455,0.0455,3843.10052,960.77513,0.2,2961.05206
0.0457,0.0457,3847.72074,961.930184,0.2,2968.30608
0.0459,0.0459,3851.48771,962.871927,0.2,2974.86057
0.0461,0.0461,3856.31059,964.077649,0.4,2981.89899
0.0463,0.0463,3860.15952,965.039879,0.2,3012.98162
0.0465,0.0465,3864.73037,966.182593,0.2,3020.71298
0.0467,0.0467,3868.33889,967.084723,0.2,3027.6222
0.0469,0.0469,3873.05857,968.264642,0.2,3034.69427
0.0471,0.0471,3876.67915,969.169787,0.2,3041.17012
0.0473,0.0473,3881.31601,970.329003,0.4,3048.4026
