# ladrunoBranch census, one row per sampling station (tet10 family, ADR-95 P3). SAME column layout as quad_path_diag.py's qpd_<tag>_branch.csv.
# station = cadence (every 50 converged steps once ds < 5 mm).
s_over_B,q_kPa,s_min_rel,cond,lam_min_sym_rel,n_gp_seen,n_gp_empty,n_branch0,n_branch1,n_branch2,n_branch3,n_forced,detAmin_min,n_detAmin_nonpos,I1_min,gamma0_max,gamma1_max,lowdet1_ele,lowdet1_gp,lowdet1_val,lowdet1_x,lowdet1_z,lowdet2_ele,lowdet2_gp,lowdet2_val,lowdet2_x,lowdet2_z,lowdet3_ele,lowdet3_gp,lowdet3_val,lowdet3_x,lowdet3_z,lowdet4_ele,lowdet4_gp,lowdet4_val,lowdet4_x,lowdet4_z,lowdet5_ele,lowdet5_gp,lowdet5_val,lowdet5_x,lowdet5_z,corner1_ele,corner1_gp,corner1_x,corner1_z,corner2_ele,corner2_gp,corner2_x,corner2_z,corner3_ele,corner3_gp,corner3_x,corner3_z,corner4_ele,corner4_gp,corner4_x,corner4_z,corner5_ele,corner5_gp,corner5_x,corner5_z
0.0535,160.993652,8.41108922e-05,116973.715,-0.00182603667,4800,0,3900,851,0,49,0,-0.0748572886,766,-826.364701,2.5780846e-09,8.28977804e-10,432,4,-0.0748572886,-1.25,-2.25,534,1,-0.0734446914,-2.31926708,-0.25,538,1,-0.0728410382,-1.74999999,-0.25,1152,2,-0.0709977614,1.75000003,-0.25,1148,3,-0.0700752606,1.50000002,-0.5,376,3,-1.74999999,-3.25,415,4,-4.50024603,-2.75,419,1,-4.09252014,-2.5,426,4,-2.31926708,-2.25,428,1,-1.49999999,-2.5
0.0585,161.219969,8.74819252e-05,113658.548,-0.00132497316,4800,0,3454,1294,0,52,0,-0.0740952079,1148,-854.119884,8.38637616e-08,2.32700843e-08,432,4,-0.0740952079,-1.25,-2.25,538,1,-0.0715576091,-1.74999999,-0.25,377,4,-0.0648340308,-1.49999999,-3.50000001,358,1,-0.0639399114,-6.47005344,-3.25,1063,1,-0.0639296097,7.65570899,-2.75,378,1,-1.25,-3.25,430,3,-1.74999999,-2.25,431,4,-1.49999999,-2.5,432,1,-1.25,-2.25,469,4,-4.50024603,-1.75
0.0635,161.401638,9.29213709e-05,105889.099,-0.00163360418,4800,0,3992,749,0,59,0,-0.0763231364,693,-875.666324,6.42733666e-09,2.01139748e-09,534,1,-0.0763231364,-2.31926708,-0.25,1152,2,-0.0728828236,1.75000003,-0.25,528,3,-0.0728261552,-3.68479425,-0.25,1148,3,-0.0705462231,1.50000002,-0.5,538,1,-0.0703423164,-1.74999999,-0.25,321,3,-1.25,-4.96677532,322,3,-1.74999999,-4.32225845,366,4,-3.68479425,-3.25,374,1,-1.49999999,-3.50000001,376,3,-1.74999999,-3.25
0.0685,161.555442,8.74399633e-05,113162.625,-0.00155647759,4800,0,3811,924,0,65,0,-0.0773746085,832,-893.163966,6.88657938e-09,2.21535437e-09,534,1,-0.0773746085,-2.31926708,-0.25,1152,2,-0.0735029814,1.75000003,-0.25,528,3,-0.0724749288,-3.68479425,-0.25,1148,3,-0.0704295278,1.50000002,-0.5,538,1,-0.0692230232,-1.74999999,-0.25,321,3,-1.25,-4.96677532,322,3,-1.74999999,-4.32225845,373,1,-1.74999999,-3.75000001,374,1,-1.49999999,-3.50000001,375,3,-1.25,-3.75000001
0.0735,161.702494,8.42738513e-05,117292.567,-0.00337239673,4800,0,3685,1046,0,69,0,-0.073994027,963,-906.269476,2.609402e-09,5.75980879e-10,1152,2,-0.073994027,1.75000003,-0.25,528,3,-0.0715660451,-3.68479425,-0.25,1148,3,-0.0703578919,1.50000002,-0.5,432,1,-0.068145189,-1.25,-2.25,532,3,-0.0675487773,-2.95780126,-0.25,415,4,-4.50024603,-2.75,419,1,-4.09252014,-2.5,426,4,-2.31926708,-2.25,428,1,-1.49999999,-2.5,428,3,-1.49999999,-2.5
0.0785,161.821437,8.86683557e-05,111619.699,-0.0070466764,4800,0,3687,1030,0,83,0,-0.0744041775,935,-916.393808,2.71132843e-09,5.46369802e-10,1152,2,-0.0744041775,1.75000003,-0.25,432,4,-0.0716079942,-1.25,-2.25,528,3,-0.0706874821,-3.68479425,-0.25,1148,3,-0.0702904195,1.50000002,-0.5,532,3,-0.0688677116,-2.95780126,-0.25,321,3,-1.25,-4.96677532,322,3,-1.74999999,-4.32225845,373,1,-1.74999999,-3.75000001,374,1,-1.49999999,-3.50000001,375,3,-1.25,-3.75000001
0.0835,161.920364,8.44539264e-05,117245.609,-0.0066270634,4800,0,3703,1004,0,93,0,-0.074784329,928,-924.404915,3.15846562e-09,4.56434781e-10,1152,2,-0.074784329,1.75000003,-0.25,432,4,-0.0713935122,-1.25,-2.25,1148,3,-0.0702179334,1.50000002,-0.5,528,3,-0.0700816258,-3.68479425,-0.25,532,3,-0.0697073634,-2.95780126,-0.25,321,3,-1.25,-4.96677532,322,3,-1.74999999,-4.32225845,357,1,-5.42866576,-3.75000001,358,1,-6.47005344,-3.25,373,1,-1.74999999,-3.75000001
0.0885,162.003293,8.32270123e-05,119389.421,-0.00825766538,4800,0,3586,1119,0,95,0,-0.0777461503,1030,-930.870536,5.72440069e-09,1.76608547e-09,534,1,-0.0777461503,-2.31926708,-0.25,950,3,-0.0756312407,5.94935967,-4.64451689,1152,2,-0.0751365139,1.75000003,-0.25,432,4,-0.0712622528,-1.25,-2.25,532,3,-0.0704409502,-2.95780126,-0.25,321,3,-1.25,-4.96677532,322,3,-1.74999999,-4.32225845,357,1,-5.42866576,-3.75000001,358,1,-6.47005344,-3.25,366,4,-3.68479425,-3.25
0.0935,162.075403,8.63647563e-05,114757.872,-0.00783543989,4800,0,3692,1002,0,106,0,-0.0776757763,906,-936.165721,8.96211576e-09,2.82954163e-09,534,1,-0.0776757763,-2.31926708,-0.25,1152,2,-0.0754223354,1.75000003,-0.25,532,3,-0.0709871535,-2.95780126,-0.25,432,4,-0.0706971652,-1.25,-2.25,1148,3,-0.0701041771,1.50000002,-0.5,321,3,-1.25,-4.96677532,322,3,-1.74999999,-4.32225845,357,1,-5.42866576,-3.75000001,358,1,-6.47005344,-3.25,373,1,-1.74999999,-3.75000001
0.0985,162.142924,8.14774115e-05,121854.514,-0.0078610878,4800,0,3543,1160,0,97,0,-0.0775948982,1058,-940.567913,3.75378109e-08,2.44257112e-09,534,1,-0.0775948982,-2.31926708,-0.25,1152,2,-0.0756907712,1.75000003,-0.25,532,3,-0.0713965156,-2.95780126,-0.25,432,4,-0.0704548499,-1.25,-2.25,1148,3,-0.070060459,1.50000002,-0.5,321,3,-1.25,-4.96677532,322,3,-1.74999999,-4.32225845,357,1,-5.42866576,-3.75000001,358,1,-6.47005344,-3.25,373,1,-1.74999999,-3.75000001
