s_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.19915,2863.8402,2863.8402,0.125,0,4062.19873
0.1992125,2864.64474,2864.64474,0.0625,0,4079.23298
0.199275,2865.44882,2865.44882,0.0625,0,4080.57564
0.1993375,2866.2593,2866.2593,0.0625,0,4081.39674
0.1994,2867.05922,2867.05922,0.0625,0,4082.76674
0.1994625,2867.86357,2867.86357,0.0625,0,4083.51949
0.199525,2868.66136,2868.66136,0.125,0,4085.24078
0.1995875,2869.47095,2869.47095,0.0625,0,4101.14585
0.19965,2870.28026,2870.28026,0.0625,0,4102.47946
0.1997125,2871.09009,2871.09009,0.0625,0,4103.29398
0.19974375,2871.49496,2871.49496,0.03125,0,4120.772
0.199775,2871.89978,2871.89978,0.03125,0,4121.65372
0.19980625,2872.30457,2872.30457,0.03125,0,4122.53168
0.1998375,2872.70931,2872.70931,0.03125,0,4123.3821
0.19986875,2873.11402,2873.11402,0.03125,0,4124.43068
0.1999,2873.51869,2873.51869,0.0625,0,4125.79969
0.1999625,2874.30794,2874.30794,0.0625,1,4137.18349
0.200025,2875.09575,2875.09575,0.0625,1,4149.98619
0.20005625,2875.49843,2875.49843,0.03125,0,4167.05006
0.2000875,2875.90304,2875.90304,0.03125,0,4168.38624
0.20011875,2876.30768,2876.30768,0.03125,0,4169.23137
0.20015,2876.71228,2876.71228,0.03125,0,4170.11838
0.20018125,2877.11683,2877.11683,0.03125,0,4171.09294
0.2002125,2877.52133,2877.52133,0.0625,0,4172.33832
0.20024375,2877.9258,2877.9258,0.03125,0,4190.46146
0.200275,2878.33022,2878.33022,0.03125,0,4191.49989
0.20030625,2878.73459,2878.73459,0.03125,0,4192.69199
0.2003375,2879.13893,2879.13893,0.03125,0,4193.87205
0.20036875,2879.54322,2879.54322,0.03125,0,4194.75688
0.2004,2879.94748,2879.94748,0.0625,0,4195.6373
0.20043125,2880.35169,2880.35169,0.03125,0,4213.78841
0.2004625,2880.75587,2880.75587,0.03125,0,4214.791
0.20049375,2881.16002,2881.16002,0.03125,0,4215.87057
0.200525,2881.56412,2881.56412,0.03125,0,4216.7625
0.20055625,2881.96218,2881.96218,0.03125,0,4218.62132
0.2005875,2882.36566,2882.36566,0.0625,0,4220.09251
0.20061875,2882.76963,2882.76963,0.03125,0,4236.47631
0.20065,2883.17367,2883.17367,0.03125,0,4237.22093
0.20068125,2883.57152,2883.57152,0.03125,0,4238.25365
0.2007125,2883.96971,2883.96971,0.03125,0,4239.85592
0.20074375,2884.37024,2884.37024,0.03125,0,4240.91088
0.200775,2884.77421,2884.77421,0.0625,0,4241.89566
0.2008375,2885.56841,2885.56841,0.0625,1,4255.039
0.20086875,2885.96174,2885.96174,0.03125,0,4276.48657
0.2009,2886.36543,2886.36543,0.03125,0,4277.31151
0.20093125,2886.76936,2886.76936,0.03125,0,4278.88591
0.2009625,2887.17323,2887.17323,0.03125,0,4280.01643
0.20099375,2887.57705,2887.57705,0.03125,0,4280.94915
0.201025,2887.97765,2887.97765,0.0625,0,4282.18909
0.20105625,2888.37835,2888.37835,0.03125,0,4299.9227
0.2010875,2888.77875,2888.77875,0.03125,0,4301.40827
0.20111875,2889.18203,2889.18203,0.03125,0,4303.23863
0.20115,2889.58244,2889.58244,0.03125,0,4304.70034
0.20118125,2889.98595,2889.98595,0.03125,0,4306.27463
0.2012125,2890.38631,2890.38631,0.0625,0,4307.27481
0.20124375,2890.78994,2890.78994,0.03125,0,4325.66295
0.201275,2891.1901,2891.1901,0.03125,0,4327.09132
0.20130625,2891.59035,2891.59035,0.03125,0,4328.2489
0.2013375,2891.99067,2891.99067,0.03125,0,4329.84968
0.20136875,2892.39081,2892.39081,0.03125,0,4330.89721
0.2014,2892.79432,2892.79432,0.0625,0,4332.04505
0.20143125,2893.19417,2893.19417,0.03125,0,4349.98354
0.2014625,2893.59402,2893.59402,0.03125,0,4353.88178
0.20149375,2893.99721,2893.99721,0.03125,0,4355.04461
0.201525,2894.3972,2894.3972,0.03125,0,4356.34939
0.20155625,2894.80065,2894.80065,0.03125,0,4357.68895
0.2015875,2895.19777,2895.19777,0.0625,0,4358.87957
0.20161875,2895.5979,2895.5979,0.03125,0,4376.2666
0.20165,2895.99792,2895.99792,0.03125,0,4378.00163
0.20168125,2896.40056,2896.40056,0.03125,0,4378.89077
0.2017125,2896.80368,2896.80368,0.03125,0,4379.88277
0.20174375,2897.19869,2897.19869,0.03125,0,4381.23542
0.201775,2897.59308,2897.59308,0.0625,0,4382.79821
0.20180625,2897.99591,2897.99591,0.03125,0,4401.3472
0.2018375,2898.39909,2898.39909,0.03125,0,4402.26454
0.20186875,2898.79632,2898.79632,0.03125,0,4404.45968
0.2019,2899.19937,2899.19937,0.03125,0,4405.87864
0.20193125,2899.59916,2899.59916,0.03125,0,4407.70551
0.2019625,2899.99893,2899.99893,0.0625,0,4408.81547
0.20199375,2900.39311,2900.39311,0.03125,0,4429.01926
0.202025,2900.79603,2900.79603,0.03125,0,4429.87347
0.20205625,2901.19584,2901.19584,0.03125,0,4431.42325
0.2020875,2901.59843,2901.59843,0.03125,0,4432.54795
0.20211875,2902.00129,2902.00129,0.03125,0,4433.59479
0.20215,2902.40108,2902.40108,0.0625,0,4434.5167
0.20218125,2902.79555,2902.79555,0.03125,0,4453.36241
0.2022125,2903.19496,2903.19496,0.03125,0,4454.29609
0.20224375,2903.58838,2903.58838,0.03125,0,4455.5989
0.202275,2903.99125,2903.99125,0.03125,0,4456.50268
0.20230625,2904.391,2904.391,0.03125,0,4457.74076
0.2023375,2904.78843,2904.78843,0.0625,0,4458.95394
0.20236875,2905.18445,2905.18445,0.03125,0,4478.03959
0.2024,2905.58661,2905.58661,0.03125,0,4479.0359
0.20243125,2905.98938,2905.98938,0.03125,0,4480.0138
0.2024625,2906.39201,2906.39201,0.03125,0,4481.01691
0.20249375,2906.77938,2906.77938,0.03125,0,4482.72812
0.202525,2907.1819,2907.1819,0.0625,0,4484.20726
0.20255625,2907.58448,2907.58448,0.03125,0,4501.36787
0.2025875,2907.98382,2907.98382,0.03125,0,4502.46368
0.20261875,2908.38643,2908.38643,0.03125,0,4504.10124
0.20265,2908.78251,2908.78251,0.03125,0,4505.51335
0.20268125,2909.17914,2909.17914,0.03125,0,4506.74594
0.2027125,2909.58166,2909.58166,0.0625,0,4507.70134
0.20274375,2909.97573,2909.97573,0.03125,0,4528.2634
0.202775,2910.37767,2910.37767,0.03125,0,4529.20071
0.20280625,2910.77677,2910.77677,0.03125,0,4530.33963
0.2028375,2911.28257,2911.28257,0.03125,1,4540.67911
0.202845312,2911.40357,2911.40357,0.0078125,1,4583.03203
0.202849219,2911.46177,2911.46177,0.00390625,1,4610.54344
0.202853125,2911.51638,2911.51638,0.00390625,1,4621.37039
0.202857031,2911.57645,2911.57645,0.00390625,1,4632.6348
