s_m,s_over_B,R_kN,q_kPa,dr_iters,settled,ke,res_kN,dR_kN,wall_s
0.001,0.0005,28.5968825,28.5968825,9460,1,9.78332492e-21,3.92788291e-09,6.66124187e-06,207.529055
0.002,0.001,43.1555784,43.1555784,8960,1,4.64187575e-14,3.83649267e-06,0.000399431467,405.773853
