s_m,R_kN,q_kPa,ds_mm,relaxed,wall_s
0.2454,132.168939,132.168939,0.4,0,10103.5552
0.2456,132.168455,132.168455,0.2,0,10122.311
0.2458,132.1697,132.1697,0.2,0,10126.1932
0.246,132.171373,132.171373,0.2,0,10128.7202
0.2462,132.170964,132.170964,0.2,0,10131.6084
0.2464,132.172679,132.172679,0.2,0,10132.8685
0.2466,132.171735,132.171735,0.4,0,10135.7279
0.2468,132.171523,132.171523,0.2,0,10152.9083
0.247,132.171019,132.171019,0.2,0,10155.8057
0.2472,132.171074,132.171074,0.2,0,10158.629
0.2474,132.170362,132.170362,0.2,0,10163.3013
0.2476,132.170314,132.170314,0.2,0,10166.5541
0.2478,132.171178,132.171178,0.4,0,10167.7721
0.248,132.170654,132.170654,0.2,0,10184.9751
0.2482,132.171616,132.171616,0.2,0,10185.9257
0.2484,132.170669,132.170669,0.2,0,10188.7577
0.2486,132.170163,132.170163,0.2,0,10191.3921
0.2488,132.170875,132.170875,0.2,0,10192.9365
0.249,132.169769,132.169769,0.4,0,10195.3851
0.2492,132.169187,132.169187,0.2,0,10211.1991
0.2494,132.170513,132.170513,0.2,0,10212.3818
0.2496,132.169971,132.169971,0.2,0,10216.5205
0.2498,132.168272,132.168272,0.2,0,10220.59
0.25,132.170223,132.170223,0.2,0,10223.3159
0.2502,132.168336,132.168336,0.4,0,10226.0921
0.2504,132.16985,132.16985,0.2,0,10241.739
0.2506,132.16923,132.16923,0.2,0,10245.3882
0.2508,132.170638,132.170638,0.2,0,10247.0497
0.251,132.169619,132.169619,0.2,0,10249.564
0.2512,132.170896,132.170896,0.2,0,10250.4983
0.2514,132.170997,132.170997,0.4,0,10253.3446
0.2516,132.171321,132.171321,0.2,0,10265.8536
0.2518,132.170347,132.170347,0.2,0,10268.3727
0.252,132.17024,132.17024,0.2,0,10273.0983
0.2522,132.170041,132.170041,0.2,0,10276.0559
0.2524,132.169025,132.169025,0.2,0,10278.4468
0.2526,132.169706,132.169706,0.4,0,10280.4638
0.2528,132.170649,132.170649,0.2,0,10291.7899
0.253,132.169627,132.169627,0.2,0,10294.0003
0.2532,132.170598,132.170598,0.2,0,10295.3005
0.2534,132.169452,132.169452,0.2,0,10297.9492
