s_m,s_meas_m,R_kN,q_kPa,ds_mm,wall_s
0.01955,0.01955,6704.68201,1676.1705,0.05,1191.43877
0.0196,0.0196,6719.18711,1679.79678,0.1,1197.33194
0.0197,0.0197,6744.03946,1686.00986,0.1,1209.56881
0.0198,0.0198,6772.49751,1693.12438,0.1,1215.47408
0.0199,0.0199,6801.17175,1700.29294,0.1,1223.74559
0.02,0.02,6829.40953,1707.35238,0.1,1243.08666
0.0201,0.0201,6857.74263,1714.43566,0.1,1252.02301
0.0202,0.0202,6885.37709,1721.34427,0.2,1267.55225
0.0203,0.0203,6913.89088,1728.47272,0.1,1301.98054
0.0204,0.0204,6942.4447,1735.61118,0.1,1308.73451
0.0205,0.0205,6969.28116,1742.32029,0.1,1326.69959
0.02055,0.02055,6984.15445,1746.03861,0.05,1353.05268
0.0206,0.0206,6998.06304,1749.51576,0.05,1358.32482
0.02065,0.02065,7012.42948,1753.10737,0.05,1364.62867
0.0207,0.0207,7026.78035,1756.69509,0.05,1370.6849
0.02075,0.02075,7041.11506,1760.27876,0.05,1376.12158
0.0208,0.0208,7055.43403,1763.85851,0.1,1381.19211
0.0209,0.0209,7078.61165,1769.65291,0.1,1396.93309
0.021,0.021,7106.96411,1776.74103,0.1,1403.73479
0.0211,0.0211,7135.35105,1783.83776,0.1,1410.2568
0.0212,0.0212,7163.32101,1790.83025,0.1,1417.31649
0.0213,0.0213,7191.55834,1797.88958,0.1,1423.40576
0.02135,0.02135,7206.28923,1801.57231,0.05,1450.78673
0.0214,0.0214,7220.07339,1805.01835,0.05,1455.5603
0.02145,0.02145,7234.31668,1808.57917,0.05,1460.98294
0.0215,0.0215,7248.54583,1812.13646,0.05,1465.22462
0.02155,0.02155,7262.76095,1815.69024,0.05,1468.72256
0.0216,0.0216,7276.96287,1819.24072,0.1,1472.16765
0.0217,0.0217,7301.98736,1825.49684,0.1,1477.98159
0.0218,0.0218,7329.56361,1832.3909,0.1,1482.68244
0.0219,0.0219,7357.79507,1839.44877,0.1,1487.30501
0.022,0.022,7384.49913,1846.12478,0.1,1499.34169
0.0221,0.0221,7411.94572,1852.98643,0.1,1508.75303
0.0222,0.0222,7438.90478,1859.7262,0.2,1520.704
0.0223,0.0223,7466.88799,1866.722,0.1,1543.35537
0.0224,0.0224,7493.7692,1873.4423,0.1,1557.56276
0.02245,0.02245,7508.35426,1877.08857,0.05,1581.44143
0.0225,0.0225,7521.97167,1880.49292,0.05,1586.38631
0.02255,0.02255,7536.06191,1884.01548,0.05,1591.55059
0.0226,0.0226,7550.13277,1887.53319,0.05,1597.75285
0.02265,0.02265,7564.18619,1891.04655,0.05,1603.19195
0.0227,0.0227,7578.22433,1894.55608,0.1,1608.25441
0.0228,0.0228,7602.2634,1900.56585,0.1,1618.70222
0.0229,0.0229,7629.72478,1907.4312,0.1,1626.16483
0.023,0.023,7657.1129,1914.27822,0.1,1640.8268
0.0231,0.0231,7684.32271,1921.08068,0.1,1654.88301
0.0232,0.0232,7711.6334,1927.90835,0.1,1663.94734
0.0233,0.0233,7738.58888,1934.64722,0.2,1681.7469
0.0234,0.0234,7765.91326,1941.47832,0.1,1710.97986
0.0235,0.0235,7791.00116,1947.75029,0.1,1727.50625
0.0236,0.0236,7817.93563,1954.48391,0.1,1738.66924
0.0237,0.0237,7845.53953,1961.38488,0.1,1744.24922
0.0238,0.0238,7872.95016,1968.23754,0.1,1754.98415
0.0239,0.0239,7900.33413,1975.08353,0.2,1763.201
0.024,0.024,7926.71778,1981.67945,0.1,1799.69852
0.02405,0.02405,7940.99777,1985.24944,0.05,1827.71979
0.0241,0.0241,7954.44239,1988.6106,0.05,1833.87185
0.02415,0.02415,7968.31657,1992.07914,0.05,1839.45617
0.0242,0.0242,7982.1748,1995.5437,0.05,1845.12833
0.02425,0.02425,7996.01739,1999.00435,0.05,1849.56607
0.0243,0.0243,8009.84311,2002.46078,0.1,1853.85003
0.0244,0.0244,8033.76336,2008.44084,0.1,1862.11286
0.0245,0.0245,8060.69418,2015.17355,0.1,1867.88938
0.0246,0.0246,8088.1306,2022.03265,0.1,1873.98935
0.0247,0.0247,8114.39826,2028.59957,0.1,1886.65895
0.0248,0.0248,8141.27313,2035.31828,0.1,1895.32611
0.02485,0.02485,8155.51919,2038.8798,0.05,1914.35474
0.0249,0.0249,8168.82312,2042.20578,0.05,1918.17106
0.02495,0.02495,8182.57952,2045.64488,0.05,1920.83329
0.025,0.025,8196.32148,2049.08037,0.05,1923.72275
0.02505,0.02505,8210.04969,2052.51242,0.05,1926.6188
0.0251,0.0251,8223.76536,2055.94134,0.1,1929.52667
0.0252,0.0252,8244.53125,2061.13281,0.1,1938.64303
0.0253,0.0253,8271.54171,2067.88543,0.1,1943.43626
0.0254,0.0254,8298.96098,2074.74025,0.1,1947.06653
0.0255,0.0255,8325.99451,2081.49863,0.1,1949.09448
0.0256,0.0256,8351.9344,2087.9836,0.1,1955.16438
0.0257,0.0257,8379.18078,2094.7952,0.2,1958.64838
0.02575,0.02575,8392.9442,2098.23605,0.05,1990.99649
0.0258,0.0258,8406.45784,2101.61446,0.05,1996.33702
0.02585,0.02585,8420.10561,2105.0264,0.05,2000.62524
0.0259,0.0259,8433.7367,2108.43417,0.05,2005.43635
0.02595,0.02595,8447.35257,2111.83814,0.05,2009.94406
0.026,0.026,8460.95526,2115.23882,0.1,2015.39861
0.0261,0.0261,8481.8334,2120.45835,0.1,2031.95792
0.0262,0.0262,8508.61741,2127.15435,0.1,2039.90312
0.0263,0.0263,8535.76581,2133.94145,0.1,2047.93615
0.0264,0.0264,8562.40796,2140.60199,0.1,2054.92713
0.0265,0.0265,8588.66565,2147.16641,0.1,2064.21148
0.0266,0.0266,8615.17553,2153.79388,0.2,2071.53491
0.0267,0.0267,8641.58422,2160.39606,0.1,2104.53406
0.02675,0.02675,8655.56624,2163.89156,0.05,2134.4637
0.0268,0.0268,8668.63419,2167.15855,0.05,2140.89954
0.02685,0.02685,8682.14503,2170.53626,0.05,2146.26911
0.0269,0.0269,8695.64142,2173.91036,0.05,2151.48875
0.02695,0.02695,8709.12108,2177.28027,0.05,2157.10003
0.027,0.027,8722.57512,2180.64378,0.1,2162.93173
0.02705,0.02705,8736.52753,2184.13188,0.05,2192.16383
0.0271,0.0271,8749.36575,2187.34144,0.05,2199.41615
0.02715,0.02715,8762.74337,2190.68584,0.05,2205.79559
0.0272,0.0272,8775.88487,2193.97122,0.05,2214.41418
0.02725,0.02725,8789.03049,2197.25762,0.05,2223.26201
0.0273,0.0273,8802.24444,2200.56111,0.1,2231.28444
0.0274,0.0274,8820.96345,2205.24086,0.1,2244.85088
0.0275,0.0275,8847.34648,2211.83662,0.1,2251.58457
0.0276,0.0276,8873.9645,2218.49113,0.1,2257.58851
0.0277,0.0277,8898.55667,2224.63917,0.1,2268.93322
0.0278,0.0278,8925.52923,2231.38231,0.1,2275.47364
0.02785,0.02785,8939.18414,2234.79604,0.05,2305.93375
0.0279,0.0279,8952.42207,2238.10552,0.05,2311.28583
0.02795,0.02795,8965.83452,2241.45863,0.05,2317.61414
0.028,0.028,8979.22659,2244.80665,0.05,2324.32212
0.02805,0.02805,8992.59522,2248.14881,0.05,2330.56474
0.0281,0.0281,9005.94548,2251.48637,0.1,2336.27156
0.0282,0.0282,9024.82759,2256.2069,0.1,2356.0781
0.0283,0.0283,9051.51736,2262.87934,0.1,2363.62157
0.0284,0.0284,9077.97753,2269.49438,0.1,2370.61562
0.0285,0.0285,9104.06738,2276.01685,0.1,2382.28627
0.0286,0.0286,9130.31385,2282.57846,0.1,2389.1776
0.0287,0.0287,9156.31946,2289.07986,0.2,2396.65314
0.0288,0.0288,9181.91688,2295.47922,0.1,2434.45982
0.0289,0.0289,9207.68031,2301.92008,0.1,2443.96614
0.02895,0.02895,9221.21981,2305.30495,0.05,2475.34953
0.029,0.029,9234.15956,2308.53989,0.05,2481.31095
0.02905,0.02905,9247.38133,2311.84533,0.05,2487.24034
0.0291,0.0291,9260.58651,2315.14663,0.05,2493.08336
0.02915,0.02915,9273.77519,2318.4438,0.05,2499.12027
0.0292,0.0292,9286.94798,2321.737,0.1,2505.23189
0.0293,0.0293,9304.29579,2326.07395,0.1,2519.68884
0.0294,0.0294,9330.45043,2332.61261,0.1,2526.87745
0.0295,0.0295,9356.77774,2339.19444,0.1,2533.60636
0.0296,0.0296,9382.75039,2345.6876,0.1,2540.51645
0.0297,0.0297,9407.98096,2351.99524,0.1,2552.89266
0.0298,0.0298,9433.80132,2358.45033,0.2,2563.45833
0.0299,0.0299,9459.85025,2364.96256,0.1,2594.59875
0.03,0.03,9484.25635,2371.06409,0.1,2611.58035
0.0301,0.0301,9510.15484,2377.53871,0.1,2618.22462
0.03015,0.03015,9523.52885,2380.88221,0.05,2647.75514
0.0302,0.0302,9536.30187,2384.07547,0.05,2653.20555
0.03025,0.03025,9549.35096,2387.33774,0.05,2657.87696
0.0303,0.0303,9562.38173,2390.59543,0.05,2663.02106
0.03035,0.03035,9575.39761,2393.8494,0.05,2667.85807
0.0304,0.0304,9588.39907,2397.09977,0.1,2673.59386
0.03045,0.03045,9601.41763,2400.35441,0.05,2702.13687
0.0305,0.0305,9614.16723,2403.54181,0.05,2707.96391
0.03055,0.03055,9626.99528,2406.74882,0.05,2713.47944
0.0306,0.0306,9639.8238,2409.95595,0.05,2718.72869
0.03065,0.03065,9652.51222,2413.12806,0.05,2724.52871
0.0307,0.0307,9665.17997,2416.29499,0.1,2730.47333
0.03075,0.03075,9677.80753,2419.45188,0.05,2757.85114
0.0308,0.0308,9690.25157,2422.56289,0.05,2769.9002
0.03085,0.03085,9702.83803,2425.70951,0.05,2778.75253
0.0309,0.0309,9715.42489,2428.85622,0.05,2786.63249
0.03095,0.03095,9728.15562,2432.0389,0.05,2792.15656
0.031,0.031,9740.70632,2435.17658,0.1,2797.8006
0.03105,0.03105,9753.25775,2438.31444,0.05,2827.57337
0.0311,0.0311,9765.93265,2441.48316,0.05,2834.39544
0.03115,0.03115,9778.44354,2444.61088,0.05,2841.12798
0.031175,0.031175,9785.25651,2446.31413,0.025,2865.99356
0.0312,0.0312,9791.20508,2447.80127,0.025,2870.41532
0.031225,0.031225,9798.24145,2449.56036,0.025,2874.02461
0.03125,0.03125,9804.59822,2451.14955,0.025,2877.23365
