s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.23795,0.23795,11820.9228,2955.2307,4.63582069,0.1,27209.4055
0.23805,0.23805,11823.738,2955.93449,4.63692472,0.2,27224.3814
0.23815,0.23815,11826.5527,2956.63818,4.63802858,0.1,27283.593
0.23825,0.23825,11829.3665,2957.34162,4.63913206,0.1,27297.8659
0.23835,0.23835,11832.1804,2958.04509,4.64023558,0.1,27311.2601
0.23845,0.23845,11834.9942,2958.74855,4.64133909,0.1,27327.1077
0.23855,0.23855,11837.8077,2959.45193,4.64244247,0.2,27341.7816
0.23865,0.23865,11840.6228,2960.1557,4.64354646,0.1,27398.1174
0.23875,0.23875,11843.4405,2960.86013,4.64465149,0.1,27410.9423
0.23885,0.23885,11846.2583,2961.56458,4.64575654,0.1,27424.7407
0.23895,0.23895,11849.0748,2962.2687,4.64686109,0.1,27440.4979
0.23905,0.23905,11851.8919,2962.97298,4.64796588,0.2,27458.167
0.23915,0.23915,11854.7088,2963.6772,4.64907057,0.1,27518.6325
0.23925,0.23925,11857.5254,2964.38134,4.65017514,0.1,27535.1205
0.23935,0.23935,11860.3421,2965.08554,4.65127981,0.1,27550.4615
0.23945,0.23945,11863.1577,2965.78941,4.65238397,0.1,27567.0026
0.23955,0.23955,11865.9741,2966.49353,4.6534885,0.2,27579.1027
0.23965,0.23965,11868.7904,2967.19761,4.65459297,0.1,27639.9623
0.23975,0.23975,11871.6068,2967.90171,4.65569749,0.1,27654.9002
0.23985,0.23985,11874.4227,2968.60568,4.65680179,0.1,27672.6485
0.23995,0.23995,11877.2388,2969.3097,4.65790618,0.1,27688.6794
0.24005,0.24005,11880.0527,2970.01317,4.6590097,0.2,27702.7731
0.24015,0.24015,11882.866,2970.7165,4.66011301,0.1,27760.8535
0.24025,0.24025,11885.6796,2971.4199,4.66121642,0.1,27775.8433
0.24035,0.24035,11888.4931,2972.12328,4.6623198,0.1,27790.0441
0.24045,0.24045,11891.3065,2972.82662,4.66342311,0.1,27804.6109
0.24055,0.24055,11894.1196,2973.5299,4.66452634,0.2,27817.6798
0.24065,0.24065,11896.9316,2974.23289,4.66562911,0.1,27879.8574
0.24075,0.24075,11899.743,2974.93574,4.66673166,0.1,27896.7163
0.24085,0.24085,11902.5529,2975.63822,4.66783363,0.1,27910.5587
0.24095,0.24095,11905.3631,2976.34077,4.6689357,0.1,27926.3578
0.24105,0.24105,11908.1713,2977.04283,4.67003701,0.2,27940.3518
0.24115,0.24115,11910.9813,2977.74532,4.67113899,0.1,27996.9593
0.24125,0.24125,11913.791,2978.44775,4.67224089,0.1,28012.6065
0.24135,0.24135,11916.6011,2979.15027,4.67334291,0.1,28027.017
0.24145,0.24145,11919.4107,2979.85269,4.67444479,0.1,28040.8805
0.24155,0.24155,11922.2205,2980.55513,4.67554671,0.2,28054.9603
0.24165,0.24165,11925.0292,2981.25729,4.67664816,0.1,28113.1717
0.24175,0.24175,11927.8368,2981.9592,4.67774923,0.1,28127.1939
0.24185,0.24185,11930.6443,2982.66108,4.67885027,0.1,28142.1305
0.24195,0.24195,11933.4522,2983.36304,4.67995142,0.1,28158.0104
0.24205,0.24205,11936.2597,2984.06494,4.68105247,0.2,28172.5269
0.24225,0.24225,11941.8678,2985.46695,4.68325178,0.2,28186.2449
0.24235,0.24235,11944.674,2986.1685,4.6843523,0.1,28224.7084
0.24245,0.24245,11947.4812,2986.87031,4.68545322,0.1,28239.3026
0.24255,0.24255,11950.2872,2987.57181,4.68655364,0.1,28253.8111
0.24265,0.24265,11953.0955,2988.27386,4.68765495,0.1,28269.0096
0.24275,0.24275,11955.9023,2988.97558,4.68875572,0.2,28284.8577
0.24285,0.24285,11958.7089,2989.67723,4.68985638,0.1,28335.4343
0.24295,0.24295,11961.5161,2990.37901,4.69095726,0.1,28348.3869
