s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.24905,0.24905,12132.3501,3033.08752,4.75795337,0.1,29469.5037
0.24915,0.24915,12135.1467,3033.78666,4.75905011,0.1,29485.7941
0.24925,0.24925,12137.9445,3034.48612,4.76014734,0.1,29500.9087
0.24935,0.24935,12140.7415,3035.18537,4.76124424,0.2,29517.6973
0.24945,0.24945,12143.5386,3035.88465,4.76234119,0.1,29557.6577
0.24955,0.24955,12146.3358,3036.58394,4.76343815,0.1,29574.3676
0.24965,0.24965,12149.1331,3037.28327,4.76453518,0.1,29589.1537
0.24975,0.24975,12151.9294,3037.98235,4.76563181,0.1,29605.4632
0.24985,0.24985,12154.7264,3038.68159,4.76672871,0.2,29619.5803
0.24995,0.24995,12157.5234,3039.38086,4.76782563,0.1,29660.0787
0.25005,0.25005,12160.3197,3040.07992,4.76892224,0.1,29674.9838
0.25015,0.25015,12163.1141,3040.77854,4.77001814,0.1,29688.9413
0.25025,0.25025,12165.9077,3041.47693,4.7711137,0.1,29703.3762
0.25035,0.25035,12168.7008,3042.17521,4.77220908,0.2,29720.6144
0.25045,0.25045,12171.4934,3042.87336,4.77330425,0.1,29760.8017
0.25055,0.25055,12174.2863,3043.57156,4.77439952,0.1,29776.7545
0.25065,0.25065,12177.079,3044.26974,4.77549474,0.1,29792.7875
0.25075,0.25075,12179.8702,3044.96756,4.77658939,0.1,29808.7228
0.25085,0.25085,12182.6608,3045.66521,4.77768378,0.2,29825.5654
0.25095,0.25095,12185.453,3046.36326,4.77877881,0.1,29865.2793
0.25105,0.25105,12188.2455,3047.06138,4.77987393,0.1,29881.1111
0.25115,0.25115,12191.0376,3047.75939,4.78096889,0.1,29894.1371
0.25125,0.25125,12193.8302,3048.45755,4.78206408,0.1,29909.8792
0.25135,0.25135,12196.6207,3049.15517,4.78315843,0.2,29925.1402
0.25145,0.25145,12199.4114,3049.85284,4.78425286,0.1,29965.0517
0.25155,0.25155,12202.2019,3050.55049,4.78534724,0.1,29979.2491
0.25165,0.25165,12204.9935,3051.24837,4.786442,0.1,29993.7889
0.25175,0.25175,12207.7847,3051.94618,4.78753664,0.1,30009.1046
0.25185,0.25185,12210.5747,3052.64368,4.7886308,0.2,30025.4829
0.25195,0.25195,12213.365,3053.34125,4.78972506,0.1,30066.1865
0.25205,0.25205,12216.1528,3054.03821,4.79081837,0.1,30081.3329
0.25215,0.25215,12218.94,3054.735,4.79191141,0.1,30098.392
0.25225,0.25225,12221.7262,3055.43156,4.7930041,0.1,30117.2349
0.25235,0.25235,12224.5127,3056.12818,4.79409687,0.2,30133.1816
0.25255,0.25255,12230.0802,3057.52006,4.79628028,0.2,30148.2652
0.25265,0.25265,12232.866,3058.21651,4.7973728,0.1,30211.2636
0.25275,0.25275,12235.6516,3058.91289,4.7984652,0.1,30229.5789
0.25285,0.25285,12238.4378,3059.60946,4.79955789,0.1,30243.6859
0.25295,0.25295,12241.2245,3060.30613,4.80065076,0.1,30258.2215
0.25305,0.25305,12244.0111,3061.00276,4.80174355,0.2,30272.7104
0.25325,0.25325,12249.5786,3062.39464,4.80392697,0.2,30289.3933
0.25345,0.25345,12255.1431,3063.78576,4.80610919,0.2,30303.6367
0.25365,0.25365,12260.7081,3065.17703,4.80829165,0.2,30318.899
0.25375,0.25375,12263.4939,3065.87348,4.80938415,0.1,30359.7332
0.25385,0.25385,12266.28,3066.57,4.81047677,0.1,30374.8802
0.2539,0.2539,12267.674,3066.9185,4.81102347,0.05,30402.6461
0.25395,0.25395,12269.0679,3067.26698,4.81157012,0.05,30417.0626
0.254,0.254,12270.4616,3067.61539,4.81211667,0.05,30430.8618
0.25405,0.25405,12271.8555,3067.96388,4.81266333,0.05,30443.9024
0.2541,0.2541,12273.2497,3068.31242,4.81321009,0.1,30460.8996
0.2542,0.2542,12276.0358,3069.00896,4.81430273,0.1,30475.8765
0.2543,0.2543,12278.8213,3069.70531,4.81539509,0.1,30496.3143
0.2544,0.2544,12281.6059,3070.40149,4.81648717,0.1,30510.8724
0.2545,0.2545,12284.3899,3071.09747,4.81757895,0.1,30527.3832
0.2546,0.2546,12287.1729,3071.79321,4.81867035,0.2,30540.9128
0.2547,0.2547,12289.9569,3072.48921,4.81976215,0.1,30600.7039
0.2548,0.2548,12292.7397,3073.18491,4.82085348,0.1,30615.0238
0.2549,0.2549,12295.5221,3073.88053,4.82194469,0.1,30629.0273
0.255,0.255,12298.305,3074.57625,4.82303605,0.1,30645.7394
0.2551,0.2551,12301.0878,3075.27194,4.82412737,0.2,30661.5349
0.2552,0.2552,12303.8695,3075.96737,4.82521828,0.1,30684.7457
0.2553,0.2553,12306.6526,3076.66315,4.82630973,0.1,30699.1767
0.2554,0.2554,12309.4343,3077.35857,4.82740063,0.1,30712.8425
0.2555,0.2555,12312.2161,3078.05403,4.82849159,0.1,30726.5185
0.2556,0.2556,12314.9981,3078.74954,4.82958261,0.2,30739.3527
0.2558,0.2558,12320.557,3080.13924,4.83176261,0.2,30758.4863
0.2559,0.2559,12323.3385,3080.83463,4.83285346,0.1,30800.1494
0.256,0.256,12326.1208,3081.53021,4.8339446,0.1,30814.1037
0.2561,0.2561,12328.9033,3082.22581,4.83503579,0.1,30827.563
0.2562,0.2562,12331.686,3082.9215,4.8361271,0.1,30843.7273
0.2563,0.2563,12334.4698,3083.61746,4.83721884,0.2,30857.8421
0.2565,0.2565,12340.03,3085.00751,4.83939939,0.2,30874.063
0.2567,0.2567,12345.5897,3086.39742,4.84157971,0.2,30887.4468
0.2569,0.2569,12351.1445,3087.78612,4.84375816,0.2,30901.5054
0.2571,0.2571,12356.6967,3089.17417,4.84593556,0.2,30913.0364
0.2572,0.2572,12359.4743,3089.86858,4.84702486,0.1,30974.6415
0.2573,0.2573,12362.2522,3090.56304,4.84811426,0.1,30989.3539
0.2574,0.2574,12365.0294,3091.25736,4.84920342,0.1,31005.4436
0.2575,0.2575,12367.8062,3091.95155,4.85029238,0.1,31020.2055
0.2576,0.2576,12370.5826,3092.64566,4.85138123,0.2,31034.5095
0.2577,0.2577,12373.3594,3093.33986,4.85247021,0.1,31054.9001
0.2578,0.2578,12376.1351,3094.03378,4.85355875,0.1,31067.645
0.2579,0.2579,12378.9107,3094.72767,4.85464724,0.1,31082.9657
0.258,0.258,12381.6863,3095.42157,4.85573576,0.1,31099.4691
0.2581,0.2581,12384.462,3096.11549,4.8568243,0.2,31113.9366
0.2582,0.2582,12387.2363,3096.80907,4.8579123,0.1,31154.1492
0.2583,0.2583,12390.011,3097.50275,4.85900046,0.1,31170.9333
0.2584,0.2584,12392.7853,3098.19633,4.86008847,0.1,31188.0005
0.2585,0.2585,12395.5591,3098.88978,4.86117628,0.1,31203.2234
0.2586,0.2586,12398.3312,3099.58279,4.86226339,0.2,31216.3662
0.2588,0.2588,12403.8669,3100.96672,4.86443433,0.2,31230.3276
0.259,0.259,12409.4018,3102.35045,4.86660497,0.2,31244.9843
0.2591,0.2591,12412.1717,3103.04292,4.86769123,0.1,31284.1023
0.2592,0.2592,12414.9426,3103.73565,4.86877791,0.1,31300.306
0.2593,0.2593,12417.711,3104.42776,4.86986361,0.1,31317.0688
0.2594,0.2594,12420.4789,3105.11974,4.8709491,0.1,31331.1026
0.2595,0.2595,12423.2474,3105.81185,4.8720348,0.2,31346.8479
0.2597,0.2597,12428.7782,3107.19455,4.87420383,0.2,31360.8644
0.2599,0.2599,12434.3057,3108.57643,4.87637155,0.2,31376.3492
0.26,0.26,12437.0722,3109.26805,4.87745649,0.1,31413.6015
0.2601,0.2601,12439.8386,3109.95966,4.8785414,0.1,31428.0929
0.2602,0.2602,12442.6051,3110.65128,4.87962634,0.1,31441.815
0.2603,0.2603,12445.371,3111.34274,4.88071103,0.1,31458.2021
0.2604,0.2604,12448.1384,3112.03461,4.88179635,0.2,31473.5358
0.2606,0.2606,12453.6675,3113.41688,4.88396469,0.2,31489.3409
0.2607,0.2607,12456.4353,3114.10883,4.88505014,0.1,31548.167
0.2608,0.2608,12459.2027,3114.80068,4.88613544,0.1,31563.1581
0.2609,0.2609,12461.9712,3115.49279,4.88722114,0.1,31577.9309
0.261,0.261,12464.7382,3116.18456,4.8883063,0.1,31591.9853
0.2611,0.2611,12467.5074,3116.87685,4.88939229,0.2,31606.452
0.2612,0.2612,12470.2752,3117.5688,4.89047775,0.1,31663.7462
0.2613,0.2613,12473.0432,3118.26079,4.89156325,0.1,31678.2012
0.2614,0.2614,12475.8119,3118.95297,4.89264906,0.1,31694.1583
0.2615,0.2615,12478.5801,3119.64503,4.89373468,0.1,31711.2829
0.2616,0.2616,12481.3474,3120.33686,4.89481995,0.2,31728.7788
0.2618,0.2618,12486.8752,3121.71879,4.89698776,0.2,31740.7085
0.2619,0.2619,12489.6441,3122.41102,4.89807365,0.1,31779.3337
0.262,0.262,12492.4126,3123.10315,4.89915938,0.1,31794.3259
0.2621,0.2621,12495.1813,3123.79533,4.90024519,0.1,31808.2611
0.2622,0.2622,12497.9508,3124.4877,4.90133129,0.1,31822.3274
0.2623,0.2623,12500.7214,3125.18035,4.90241784,0.2,31841.3155
