s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.0315,0.0315,3395.03463,848.758657,1.33143343,0.2,1633.76372
0.0317,0.0317,3408.89661,852.224153,1.33686969,0.2,1644.85562
0.0319,0.0319,3422.7152,855.678801,1.34228894,0.2,1656.85089
0.0321,0.0321,3436.49169,859.122923,1.34769168,0.4,1668.11018
0.0325,0.0325,3463.75744,865.939359,1.35838451,0.4,1685.13029
0.0327,0.0327,3477.31463,869.328658,1.36370124,0.2,1735.17365
0.0329,0.0329,3490.82646,872.706615,1.36900019,0.2,1752.42494
0.0331,0.0331,3504.29637,876.074094,1.37428269,0.2,1770.3884
0.0333,0.0333,3517.70085,879.425213,1.37953954,0.2,1787.93024
0.0335,0.0335,3531.04874,882.762186,1.38477419,0.4,1803.79089
0.0337,0.0337,3544.35281,886.088203,1.38999166,0.2,1862.7841
0.0339,0.0339,3557.61392,889.40348,1.39519228,0.2,1878.76735
0.0341,0.0341,3570.82573,892.706433,1.40037357,0.2,1895.66654
0.0343,0.0343,3584.00135,896.000337,1.40554066,0.2,1908.7395
0.0345,0.0345,3597.14387,899.285967,1.41069477,0.4,1919.83607
0.0349,0.0349,3623.21649,905.804121,1.42091969,0.4,1948.73523
0.0351,0.0351,3636.21569,909.053922,1.4260176,0.2,2003.48658
0.0353,0.0353,3649.15401,912.288502,1.43109163,0.2,2019.65206
0.0355,0.0355,3662.04051,915.510127,1.43614534,0.2,2035.53649
0.0357,0.0357,3674.88765,918.721913,1.44118361,0.2,2100.89079
0.0359,0.0359,3687.69925,921.924812,1.44620795,0.4,2117.66222
0.0361,0.0361,3700.47418,925.118545,1.4512179,0.2,2162.29835
0.0363,0.0363,3713.20725,928.301812,1.45621144,0.2,2174.98935
0.0365,0.0365,3725.89855,931.474637,1.46118859,0.2,2190.82549
0.0367,0.0367,3738.54589,934.636472,1.46614851,0.2,2206.27289
0.0369,0.0369,3751.1448,937.7862,1.47108944,0.4,2220.76815
0.0371,0.0371,3763.71047,940.927618,1.47601733,0.2,2270.99095
0.0373,0.0373,3776.2233,944.055826,1.48092449,0.2,2284.6032
0.0375,0.0375,3788.69432,947.17358,1.48581526,0.2,2295.39673
0.0377,0.0377,3801.12035,950.280086,1.49068839,0.2,2311.55487
0.0379,0.0379,3813.47147,953.367867,1.49553214,0.4,2328.40168
0.0383,0.0383,3837.95076,959.487689,1.5051322,0.4,2363.16618
0.0387,0.0387,3862.27742,965.569355,1.51467241,0.4,2381.48863
0.0391,0.0391,3886.46373,971.615932,1.52415757,0.4,2400.76928
0.0393,0.0393,3898.53935,974.634838,1.52889328,0.2,2461.52598
0.0395,0.0395,3910.58147,977.645368,1.53361584,0.2,2478.7298
0.0397,0.0397,3922.56082,980.640204,1.53831379,0.2,2489.03944
0.0399,0.0399,3934.50302,983.625756,1.54299718,0.2,2504.99303
0.0401,0.0401,3946.41789,986.604473,1.54766984,0.4,2519.75201
0.0403,0.0403,3958.29177,989.572944,1.55232643,0.2,2572.9749
0.0405,0.0405,3970.13114,992.532785,1.55696948,0.2,2584.15565
0.0407,0.0407,3981.94054,995.485134,1.56160079,0.2,2595.63893
0.0409,0.0409,3993.71884,998.42971,1.56621989,0.2,2613.93022
0.0411,0.0411,4005.45844,1001.36461,1.57082382,0.4,2628.36925
0.0413,0.0413,4017.16444,1004.29111,1.57541457,0.2,2682.82615
0.0415,0.0415,4028.84087,1007.21022,1.57999373,0.2,2696.41676
0.0417,0.0417,4040.48623,1010.12156,1.5845607,0.2,2711.79684
0.0419,0.0419,4052.09292,1013.02323,1.5891125,0.2,2723.49866
0.0421,0.0421,4063.66594,1015.91648,1.5936511,0.4,2739.88239
0.0425,0.0425,4086.64745,1021.66186,1.60266378,0.4,2769.03555
0.0427,0.0427,4098.08191,1024.52048,1.60714804,0.2,2827.92202
0.0429,0.0429,4109.4732,1027.3683,1.61161537,0.2,2847.68113
0.0431,0.0431,4120.83231,1030.20808,1.61607008,0.2,2865.7337
0.0433,0.0433,4132.16424,1033.04106,1.62051413,0.2,2880.43222
0.0435,0.0435,4143.46035,1035.86509,1.62494414,0.4,2896.45932
0.0437,0.0437,4154.72115,1038.68029,1.62936029,0.2,2950.8605
0.0439,0.0439,4165.95647,1041.48912,1.63376646,0.2,2966.27933
0.0441,0.0441,4177.16152,1044.29038,1.63816075,0.2,2981.25325
0.0443,0.0443,4188.32993,1047.08248,1.64254068,0.2,2998.0228
0.0445,0.0445,4199.46084,1049.86521,1.64690589,0.4,3015.12573
