s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
0.03855,0.03855,3934.92492,983.73123,1.54316263,0.2,898.809899
0.03875,0.03875,3947.80942,986.952354,1.54821556,0.2,905.520856
0.03895,0.03895,3960.66638,990.166596,1.55325768,0.2,911.113103
0.03915,0.03915,3973.49256,993.37314,1.55828774,0.2,916.130095
0.03935,0.03935,3986.28796,996.571991,1.56330572,0.4,920.842591
0.03955,0.03955,3999.03971,999.759927,1.56830658,0.2,942.60817
0.03975,0.03975,4011.74381,1002.93595,1.57328876,0.2,948.185407
0.03995,0.03995,4024.4036,1006.1009,1.57825356,0.2,953.686857
0.04015,0.04015,4037.04288,1009.26072,1.58321031,0.2,958.685567
0.04035,0.04035,4049.64116,1012.41029,1.58815099,0.4,965.769531
0.04055,0.04055,4062.20844,1015.55211,1.59307951,0.2,989.045004
0.04075,0.04075,4074.74956,1018.68739,1.59799778,0.2,994.623469
0.04095,0.04095,4087.26003,1021.81501,1.60290401,0.2,1000.56028
0.04115,0.04115,4099.73452,1024.93363,1.60779615,0.2,1006.66874
0.04135,0.04135,4112.17401,1028.0435,1.61267455,0.4,1012.22301
0.04155,0.04155,4124.58398,1031.14599,1.61754138,0.2,1032.67094
0.04175,0.04175,4136.96814,1034.24203,1.62239808,0.2,1038.34891
0.04195,0.04195,4149.31331,1037.32833,1.6272395,0.2,1044.369
0.04215,0.04215,4161.61952,1040.40488,1.63206563,0.2,1049.86559
0.04235,0.04235,4173.89742,1043.47436,1.63688067,0.4,1055.87797
0.04255,0.04255,4186.10833,1046.52708,1.64166943,0.2,1076.40036
0.04275,0.04275,4198.28422,1049.57105,1.64644446,0.2,1081.97212
0.04295,0.04295,4210.41728,1052.60432,1.65120269,0.2,1087.52196
0.04315,0.04315,4222.51209,1055.62802,1.65594592,0.2,1093.55049
0.04335,0.04335,4234.56852,1058.64213,1.6606741,0.4,1099.73146
0.04355,0.04355,4246.59875,1061.64969,1.66539201,0.2,1120.14252
0.04375,0.04375,4258.60505,1064.65126,1.67010053,0.2,1127.41886
0.04395,0.04395,4270.5836,1067.6459,1.67479816,0.2,1133.57609
0.04415,0.04415,4282.53631,1070.63408,1.67948567,0.2,1140.73809
0.04435,0.04435,4294.47292,1073.61823,1.68416686,0.4,1146.23341
0.04475,0.04475,4318.22219,1079.55555,1.69348063,0.4,1153.05211
0.04495,0.04495,4330.07569,1082.51892,1.69812923,0.2,1174.88797
0.04515,0.04515,4341.90682,1085.47671,1.70276905,0.2,1182.09688
0.04535,0.04535,4353.70584,1088.42646,1.70739628,0.2,1187.62285
0.04555,0.04555,4365.47661,1091.36915,1.71201243,0.2,1193.19726
0.04575,0.04575,4377.23219,1094.30805,1.71662263,0.4,1200.56954
0.04615,0.04615,4400.60688,1100.15172,1.7257895,0.4,1211.57787
0.04655,0.04655,4423.78062,1105.94515,1.73487756,0.4,1222.88972
0.04695,0.04695,4446.82533,1111.70633,1.74391502,0.4,1233.5612
0.04735,0.04735,4469.67989,1117.41997,1.75287791,0.4,1245.5934
0.04775,0.04775,4492.42905,1123.10726,1.76179947,0.4,1257.42004
0.04815,0.04815,4515.06821,1128.76705,1.77067789,0.4,1269.23624
0.04835,0.04835,4526.33897,1131.58474,1.77509795,0.2,1290.55316
0.04855,0.04855,4537.57453,1134.39363,1.77950421,0.2,1296.63398
0.04875,0.04875,4548.78374,1137.19593,1.78390013,0.2,1302.73027
0.04895,0.04895,4559.96756,1139.99189,1.7882861,0.2,1308.39556
0.04915,0.04915,4571.13258,1142.78314,1.7926647,0.4,1314.54172
0.04935,0.04935,4582.28099,1145.57025,1.79703678,0.2,1335.049
0.04955,0.04955,4593.41293,1148.35323,1.8014024,0.2,1341.14305
0.04975,0.04975,4604.52615,1151.13154,1.80576068,0.2,1346.64724
0.04995,0.04995,4615.60509,1153.90127,1.81010552,0.2,1355.51896
0.05015,0.05015,4626.60966,1156.65242,1.81442119,0.4,1361.6801
0.05055,0.05055,4648.43728,1162.10932,1.82298134,0.4,1372.35833
0.05095,0.05095,4670.14739,1167.53685,1.83149541,0.4,1386.51281
0.05135,0.05135,4691.67673,1172.91918,1.83993859,0.4,1394.51862
0.05175,0.05175,4713.09756,1178.27439,1.84833922,0.4,1408.58594
0.05195,0.05195,4723.79265,1180.94816,1.85253352,0.2,1430.53077
0.05215,0.05215,4734.47254,1183.61813,1.85672186,0.2,1436.69566
0.05235,0.05235,4745.12647,1186.28162,1.86090002,0.2,1441.96711
0.05255,0.05255,4755.7432,1188.9358,1.86506359,0.2,1447.719
0.05275,0.05275,4766.33491,1191.58373,1.86921735,0.4,1453.90874
0.05295,0.05295,4776.88574,1194.22143,1.87335508,0.2,1476.91708
0.05315,0.05315,4787.40685,1196.85171,1.87748115,0.2,1483.62034
0.05335,0.05335,4797.90372,1199.47593,1.88159771,0.2,1489.74496
0.05355,0.05355,4808.37393,1202.09348,1.88570383,0.2,1495.73018
0.05375,0.05375,4818.82246,1204.70562,1.88980144,0.4,1501.41608
0.05395,0.05395,4829.25437,1207.31359,1.89389252,0.2,1522.07915
0.05415,0.05415,4839.65678,1209.91419,1.89797205,0.2,1528.01581
0.05435,0.05435,4850.02278,1212.50569,1.90203729,0.2,1533.87415
0.05455,0.05455,4860.36091,1215.09023,1.9060916,0.2,1539.30117
0.05475,0.05475,4870.67837,1217.66959,1.91013781,0.4,1545.83061
0.05515,0.05515,4891.22095,1222.80524,1.91819401,0.4,1555.23665
0.05525,0.05525,4896.35433,1224.08858,1.92020717,0.1,1593.64254
0.05535,0.05535,4901.48539,1225.37135,1.92221942,0.1,1599.57576
0.05545,0.05545,4906.61184,1226.65296,1.92422987,0.1,1605.61632
0.05555,0.05555,4911.73326,1227.93331,1.92623834,0.1,1612.13059
0.05565,0.05565,4916.8496,1229.2124,1.92824481,0.2,1619.20242
0.05575,0.05575,4921.95742,1230.48935,1.93024795,0.1,1642.09189
0.05585,0.05585,4927.06207,1231.76552,1.93224985,0.1,1648.69634
0.05595,0.05595,4932.16336,1233.04084,1.93425043,0.1,1655.26402
0.05605,0.05605,4937.26202,1234.31551,1.93624997,0.1,1661.28703
0.05615,0.05615,4942.35658,1235.58915,1.93824791,0.2,1666.69765
0.05635,0.05635,4952.51745,1238.12936,1.94223271,0.2,1672.64562
0.05655,0.05655,4962.62262,1240.65566,1.94619566,0.2,1678.77451
0.05675,0.05675,4972.68528,1243.17132,1.95014194,0.2,1685.94809
0.05695,0.05695,4982.72495,1245.68124,1.95407921,0.2,1692.48832
0.05715,0.05715,4992.742,1248.1855,1.9580076,0.4,1699.05873
0.05735,0.05735,5002.74134,1250.68533,1.96192905,0.2,1719.71906
0.05755,0.05755,5012.71813,1253.17953,1.96584165,0.2,1725.67257
0.05775,0.05775,5022.66734,1255.66683,1.96974344,0.2,1733.38147
0.05795,0.05795,5032.59544,1258.14886,1.97363696,0.2,1739.37551
0.05815,0.05815,5042.49352,1260.62338,1.97751869,0.4,1745.30522
0.05835,0.05835,5052.36313,1263.09078,1.98138927,0.2,1765.83289
0.05855,0.05855,5062.20329,1265.55082,1.98524829,0.2,1770.78254
0.05875,0.05875,5072.01996,1268.00499,1.9890981,0.2,1776.71405
0.05895,0.05895,5081.81945,1270.45486,1.99294117,0.2,1783.32062
0.05915,0.05915,5091.59941,1272.89985,1.99677659,0.4,1789.74115
0.05935,0.05935,5101.35629,1275.33907,2.00060295,0.2,1811.54067
0.05955,0.05955,5111.09386,1277.77346,2.00442174,0.2,1817.03412
0.05975,0.05975,5120.80955,1280.20239,2.00823195,0.2,1822.37745
0.05995,0.05995,5130.50782,1282.62695,2.01203533,0.2,1828.3485
0.06015,0.06015,5140.17052,1285.04263,2.01582476,0.4,1833.78088
0.06055,0.06055,5159.35355,1289.83839,2.02334778,0.4,1844.26464
0.06095,0.06095,5178.44864,1294.61216,2.03083632,0.4,1856.56627
0.06115,0.06115,5187.98348,1296.99587,2.03457561,0.2,1878.49041
0.06135,0.06135,5197.50327,1299.37582,2.03830899,0.2,1885.55593
0.06155,0.06155,5206.99023,1301.74756,2.0420295,0.2,1892.70859
0.06175,0.06175,5216.4447,1304.11117,2.04573726,0.2,1899.35737
0.06195,0.06195,5225.88543,1306.47136,2.04943964,0.4,1906.46264
0.06215,0.06215,5235.29216,1308.82304,2.05312869,0.2,1926.45267
0.06235,0.06235,5244.67934,1311.16984,2.05681007,0.2,1932.44443
0.06255,0.06255,5254.05112,1313.51278,2.0604854,0.2,1938.59322
0.06275,0.06275,5263.39996,1315.84999,2.06415175,0.2,1945.0805
0.06295,0.06295,5272.72788,1318.18197,2.06780988,0.4,1952.1674
0.06335,0.06335,5291.30431,1322.82608,2.07509502,0.4,1964.96608
0.06355,0.06355,5300.56707,1325.14177,2.0787276,0.2,1986.9219
0.06375,0.06375,5309.80295,1327.45074,2.08234964,0.2,1992.40402
0.06395,0.06395,5319.01664,1329.75416,2.08596299,0.2,1998.39788
0.06415,0.06415,5328.21339,1332.05335,2.08956968,0.2,2006.00061
0.06435,0.06435,5337.38876,1334.34719,2.09316799,0.4,2012.82895
0.06455,0.06455,5346.54765,1336.63691,2.09675984,0.2,2040.21575
