s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s,p_exc_kPa
0.1526125,0.1526125,10209.8138,2552.45346,4.00399081,0.1,48018.0045,-224.872733
0.1527125,0.1527125,10217.1076,2554.27691,4.00685122,0.2,48032.8457,-225.033739
0.1528125,0.1528125,10224.4021,2556.10053,4.00971191,0.1,48113.5635,-225.194752
0.1529125,0.1529125,10231.6976,2557.92439,4.01257297,0.1,48127.3846,-225.355738
0.1529625,0.1529625,10235.3462,2558.83655,4.01400386,0.05,48199.1731,-225.436248
0.1530125,0.1530125,10238.9951,2559.74878,4.01543485,0.05,48212.2368,-225.516752
0.1530625,0.1530625,10242.6444,2560.66109,4.01686598,0.05,48226.8147,-225.59724
0.1531125,0.1531125,10246.2939,2561.57348,4.01829723,0.05,48240.6389,-225.677718
0.1531625,0.1531625,10249.9437,2562.48592,4.01972856,0.1,48254.2395,-225.7582
0.1532625,0.1532625,10257.2423,2564.31057,4.02259086,0.1,48268.0267,-225.919131
0.1533625,0.1533625,10264.5415,2566.13538,4.02545341,0.1,48281.4329,-226.080059
0.1534625,0.1534625,10271.8419,2567.96047,4.0283164,0.1,48297.7857,-226.240953
0.1535625,0.1535625,10279.1433,2569.78583,4.0311798,0.1,48311.9968,-226.401817
0.1536625,0.1536625,10286.4458,2571.61144,4.03404361,0.2,48326.6142,-226.56264
0.1537625,0.1537625,10293.7494,2573.43735,4.03690789,0.1,48406.2725,-226.723419
0.1538625,0.1538625,10301.0538,2575.26346,4.03977247,0.1,48419.5804,-226.884197
0.1539125,0.1539125,10304.7072,2576.17679,4.0412052,0.05,48494.0907,-226.964604
0.1539625,0.1539625,10308.3609,2577.09022,4.04263808,0.05,48507.7453,-227.045002
0.1540125,0.1540125,10312.0148,2578.0037,4.04407104,0.05,48520.8831,-227.125401
0.1540625,0.1540625,10315.669,2578.91725,4.04550411,0.05,48533.7398,-227.205789
0.1541125,0.1541125,10319.3232,2579.83081,4.0469372,0.1,48547.4854,-227.28618
0.1542125,0.1542125,10326.6317,2581.65793,4.04980336,0.1,48562.4638,-227.446865
0.1543125,0.1543125,10333.9414,2583.48535,4.05267001,0.1,48576.5021,-227.60753
0.1544125,0.1544125,10341.2518,2585.31295,4.05553694,0.1,48590.9564,-227.768191
0.1545125,0.1545125,10348.5632,2587.14079,4.05840424,0.1,48604.4462,-227.928834
0.1545625,0.1545625,10352.2199,2588.05497,4.0598383,0.05,48674.8233,-228.009157
0.1546125,0.1546125,10355.8769,2588.96921,4.06127246,0.05,48687.9877,-228.089478
0.1546625,0.1546625,10359.5342,2589.88355,4.06270677,0.05,48701.7036,-228.169782
0.1547125,0.1547125,10363.1919,2590.79799,4.06414122,0.05,48715.3363,-228.250069
0.1547625,0.1547625,10366.8499,2591.71249,4.06557578,0.1,48730.2372,-228.330354
0.1548625,0.1548625,10374.1657,2593.54143,4.06844482,0.1,48742.8509,-228.490833
0.1549125,0.1549125,10377.8245,2594.45613,4.06987969,0.05,48815.3579,-228.571087
0.1549625,0.1549625,10381.4837,2595.37091,4.0713147,0.05,48828.9536,-228.651324
0.1550125,0.1550125,10385.143,2596.28576,4.0727498,0.05,48842.1663,-228.731554
0.1550625,0.1550625,10388.8027,2597.20068,4.07418503,0.05,48855.2563,-228.811768
0.1551125,0.1551125,10392.4627,2598.11568,4.07562037,0.1,48868.8098,-228.891972
0.1552125,0.1552125,10399.7827,2599.94567,4.07849104,0.1,48882.215,-229.052292
0.1553125,0.1553125,10407.1038,2601.77595,4.08136218,0.1,48896.5171,-229.21257
0.1554125,0.1554125,10414.426,2603.60651,4.08423374,0.1,48910.0227,-229.372823
0.1555125,0.1555125,10421.7491,2605.43728,4.08710564,0.1,48925.6251,-229.533063
0.1556125,0.1556125,10429.0736,2607.26841,4.08997809,0.2,48939.4,-229.693227
0.1556625,0.1556625,10432.737,2608.18424,4.09141474,0.05,49078.8014,-229.773306
0.1557125,0.1557125,10436.4005,2609.10014,4.0928515,0.05,49090.6772,-229.853378
0.1557625,0.1557625,10440.0644,2610.01609,4.09428834,0.05,49102.0649,-229.933441
0.1558125,0.1558125,10443.7282,2610.93206,4.0957252,0.05,49116.7559,-230.0135
0.1558625,0.1558625,10447.3923,2611.84807,4.09716214,0.1,49130.6572,-230.093578
0.1559625,0.1559625,10454.7203,2613.68007,4.10003597,0.1,49145.5964,-230.253645
0.1560625,0.1560625,10462.0493,2615.51233,4.1029102,0.1,49158.2394,-230.41369
0.1561625,0.1561625,10469.3792,2617.34479,4.10578475,0.1,49175.3635,-230.573754
0.1562625,0.1562625,10476.7101,2619.17753,4.10865974,0.1,49190.0561,-230.733792
0.1563625,0.1563625,10484.0417,2621.01043,4.11153497,0.2,49205.6662,-230.893868
0.1564625,0.1564625,10491.3745,2622.84363,4.11441068,0.1,49287.3727,-231.053905
0.1565625,0.1565625,10498.7086,2624.67714,4.11728689,0.1,49300.0253,-231.213887
