s_m,s_over_B,R_kN,q_kPa,dr_iters,settled,ke,res_kN,dR_kN,wall_s
0.001,0.0005,26.4199254,26.4199254,7400,1,1.21656242e-11,1.59384446e-05,0.000404732957,176.113127
0.002,0.001,38.709586,38.709586,6900,1,1.82467532e-10,9.91229253e-05,0.00656809215,336.148474
0.003,0.0015,46.0434934,46.0434934,6900,1,1.85672321e-12,2.30989887e-05,0.00342950515,503.698936
