s_m,s_over_B,R_kN,q_kPa,dr_iters,settled,ke,res_kN,wall_s
0.001,0.0005,25.1519398,25.1519398,1500,1,4.22732849e-23,7.98955568e-10,20.4493065
0.002,0.001,33.9340593,33.9340593,1250,1,2.83382406e-19,1.57689461e-08,38.0457146
0.003,0.0015,41.8194444,41.8194444,1250,1,5.42019718e-20,6.49066934e-09,55.4787619
0.004,0.002,48.4218628,48.4218628,1250,1,1.78459224e-22,6.24575947e-10,71.3787384
0.005,0.0025,54.2643613,54.2643613,1250,1,3.23872474e-19,8.92963214e-09,87.2600827
0.006,0.003,59.2189954,59.2189954,1250,1,7.80460422e-21,4.61216043e-09,103.186416
