# ADR90 WP-A2 plastic field at CHECKPOINT s/B=0.01 (actual 0.010180), build any, leg h1.0_e0.6944, q_foot=328.0355 kPa
ele,xc,zc,hx,hz,vol,eps_q_p,eta_grav
1,-26.4626081,-17.706199,7.07478378,4.58760194,16.2281459,1.34710462e-06,0.855053698
2,-26.4626081,-13.6329249,7.07478378,3.55894634,12.5893879,6.1255885e-06,0.855053698
3,-26.4626081,-10.4729811,7.07478378,2.76094116,9.76653089,1.1599098e-05,0.855053698
4,-26.4626081,-8.02157615,7.07478378,2.1418688,7.57662931,1.63366496e-05,0.855053698
5,-26.4626081,-6.11983775,7.07478378,1.66160801,5.87775869,2.03346815e-05,0.855053698
6,-26.4626081,-4.64451687,7.07478378,1.28903375,4.55981753,2.36678634e-05,0.855053698
7,-26.4626081,-3.5,7.07478378,1,3.53739189,2.66374331e-05,0.855053698
8,-26.4626081,-2.5,7.07478378,1,3.53739189,2.98726606e-05,0.855053698
9,-26.4626081,-1.5,7.07478378,1,3.53739189,3.33967645e-05,0.855053698
10,-26.4626081,-0.5,7.07478378,1,3.53739189,3.87619716e-05,0.855053698
11,-20.1552847,-17.706199,5.539863,4.58760194,12.7073431,6.03565326e-06,0.855053698
12,-20.1552847,-13.6329249,5.539863,3.55894634,9.85803758,1.13367092e-05,0.855053698
13,-20.1552847,-10.4729811,5.539863,2.76094116,7.64761791,1.7127674e-05,0.855053698
14,-20.1552847,-8.02157615,5.539863,2.1418688,5.93282985,2.21605334e-05,0.855053698
15,-20.1552847,-6.11983775,5.539863,1.66160801,4.60254036,2.59009054e-05,0.855053698
16,-20.1552847,-4.64451687,5.539863,1.28903375,3.57053519,2.8927333e-05,0.855053698
17,-20.1552847,-3.5,5.539863,1,2.7699315,3.13482213e-05,0.855053698
18,-20.1552847,-2.5,5.539863,1,2.7699315,3.39604808e-05,0.855053698
19,-20.1552847,-1.5,5.539863,1,2.7699315,3.73652996e-05,0.855053698
20,-20.1552847,-0.5,5.539863,1,2.7699315,4.29211971e-05,0.855053698
21,-15.2163765,-17.706199,4.33795336,4.58760194,9.95040164,1.41716856e-05,0.855053698
22,-15.2163765,-13.6329249,4.33795336,3.55894634,7.71927162,2.03058688e-05,0.855053698
23,-15.2163765,-10.4729811,4.33795336,2.76094116,5.98841701,2.95467363e-05,0.855053698
24,-15.2163765,-8.02157615,4.33795336,2.1418688,4.64566348,3.64168827e-05,0.855053698
25,-15.2163765,-6.11983775,4.33795336,1.66160801,3.60398902,4.05914731e-05,0.855053698
26,-15.2163765,-4.64451687,4.33795336,1.28903375,2.79588414,4.1773082e-05,0.855053698
27,-15.2163765,-3.5,4.33795336,1,2.16897668,4.20735655e-05,0.855053698
28,-15.2163765,-2.5,4.33795336,1,2.16897668,4.26397311e-05,0.855053698
29,-15.2163765,-1.5,4.33795336,1,2.16897668,4.3322683e-05,0.855053698
30,-15.2163765,-0.5,4.33795336,1,2.16897668,4.44766473e-05,0.855053698
31,-11.3489969,-17.706199,3.39680591,4.58760194,7.79159669,2.0208464e-05,0.855053698
32,-11.3489969,-13.6329249,3.39680591,3.55894634,6.04452498,3.18927307e-05,0.855053698
33,-11.3489969,-10.4729811,3.39680591,2.76094116,4.68919063,5.08798018e-05,0.855053698
34,-11.3489969,-8.02157615,3.39680591,2.1418688,3.63775629,6.53773853e-05,0.855053698
35,-11.3489969,-6.11983775,3.39680591,1.66160801,2.82207995,7.19562049e-05,0.855053698
36,-11.3489969,-4.64451687,3.39680591,1.28903375,2.18929873,7.25595259e-05,0.855053698
37,-11.3489969,-3.5,3.39680591,1,1.69840295,6.78896253e-05,0.855053698
38,-11.3489969,-2.5,3.39680591,1,1.69840295,5.88367342e-05,0.855053698
39,-11.3489969,-1.5,3.39680591,1,1.69840295,4.69357329e-05,0.855053698
40,-11.3489969,-0.5,3.39680591,1,1.69840295,3.80441265e-05,0.855053698
41,-8.32067065,-17.706199,2.65984657,4.58760194,6.10115865,2.29384699e-05,0.855053698
42,-8.32067065,-13.6329249,2.65984657,3.55894634,4.73312561,4.36004299e-05,0.855053698
43,-8.32067065,-10.4729811,2.65984657,2.76094116,3.67183995,7.35084321e-05,0.855053698
44,-8.32067065,-8.02157615,2.65984657,2.1418688,2.84852119,0.000113958864,0.855053698
45,-8.32067065,-6.11983775,2.65984657,1.66160801,2.20981118,0.000135724269,0.855053698
46,-8.32067065,-4.64451687,2.65984657,1.28903375,1.714316,0.00013146153,0.855053698
47,-8.32067065,-3.5,2.65984657,1,1.32992329,0.000113337208,0.855053698
48,-8.32067065,-2.5,2.65984657,1,1.32992329,9.10347654e-05,0.855053698
49,-8.32067065,-1.5,2.65984657,1,1.32992329,6.00084913e-05,0.855053698
50,-8.32067065,-0.5,2.65984657,1,1.32992329,2.20201174e-05,0.855053698
51,-5.94935967,-17.706199,2.0827754,4.58760194,4.77747223,2.3455273e-05,0.855053698
52,-5.94935967,-13.6329249,2.0827754,3.55894634,3.70624294,4.56160745e-05,0.855053698
53,-5.94935967,-10.4729811,2.0827754,2.76094116,2.87521017,7.7395615e-05,0.855053698
54,-5.94935967,-8.02157615,2.0827754,2.1418688,2.23051582,0.000150927938,0.855053698
55,-5.94935967,-6.11983775,2.0827754,1.66160801,1.73037814,0.000236861103,0.855053698
56,-5.94935967,-4.64451687,2.0827754,1.28903375,1.34238389,0.000261674607,0.855053698
57,-5.94935967,-3.5,2.0827754,1,1.0413877,0.000241416736,0.855053698
