# ADR90 WP-A2 tau=0 band, build 2473ce46c2ae44412246ca305f3843463f389cad (expected 2473ce46c2ae44412246ca305f3843463f389cad), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals
0.1506,0.0753,1716.13507,-1719.45042,5,0,49.7204375,0.00120589804,0
0.1556,0.0778,1769.55424,-1773.30428,5,0,51.0945268,0.00124334452,0
0.1606,0.0803,1822.56907,-1826.61603,5,0,52.3734777,0.00129062241,0
0.1656,0.0828,1875.08921,-1879.51278,5,0,53.7509418,0.00134343975,0
0.1706,0.0853,1927.093,-1931.75904,5,0,55.1461823,0.00139599219,0
0.1756,0.0878,1978.6138,-1983.48855,5,0,56.5275831,0.00143836049,0
0.1806,0.0903,2029.5508,-2034.59802,5,0,57.7952535,0.00146749449,0
0.1856,0.0928,2080.00251,-2085.15033,5,0,59.0702753,0.00148770002,0
0.1906,0.0953,2129.89256,-2135.15664,5,0,60.3900692,0.00149373326,0
0.1956,0.0978,2179.2942,-2184.48861,5,0,61.7366304,0.0014876993,0
0.2006,0.1003,2228.21761,-2233.33436,5,0,63.0225239,0.0014767248,0
0.2056,0.1028,2276.53228,-2281.54698,5,0,64.2971709,0.00144771958,0
0.2106,0.1053,2324.40592,-2329.23183,5,0,65.5171449,0.00140877371,0
0.2156,0.1078,2371.66778,-2376.38296,5,0,66.7271671,0.00136467631,0
0.2206,0.1103,2418.46871,-2422.88953,5,0,67.970243,0.0013177238,0
0.2256,0.1128,2464.76034,-2468.91783,5,0,69.2480614,0.00126071222,0
0.2306,0.1153,2510.55329,-2514.41825,5,0,70.4367459,0.00121879779,0
0.2356,0.1178,2555.83056,-2559.3752,5,0,71.6831658,0.00117208453,0
0.2406,0.1203,2600.57085,-2603.74122,5,0,72.9075537,0.00114748444,0
0.2456,0.1228,2644.85072,-2647.71329,5,0,74.01615,0.0011337641,0
0.2506,0.1253,2688.60716,-2691.11524,5,0,75.1446712,0.00113073014,0
0.2556,0.1278,2731.94955,-2734.0058,5,0,76.3026338,0.00112171051,0
0.2606,0.1303,2774.7676,-2776.50072,5,0,77.4306564,0.00111574129,0
0.2656,0.1328,2817.20898,-2818.55919,5,0,78.5309057,0.00111170723,0
0.2706,0.1353,2859.1705,-2860.24575,5,0,79.6527157,0.00110438224,0
0.2756,0.1378,2900.69525,-2901.41191,5,0,80.7455904,0.00110185334,0
0.2806,0.1403,2941.76473,-2942.14784,5,0,81.8239677,0.00110124872,0
0.2856,0.1428,2982.42304,-2982.49354,5,0,82.8762851,0.00110096201,0
0.2906,0.1453,3022.64814,-3022.48044,5,0,83.9772525,0.00110059849,0
