step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
61,0.00162,0.00108,24.9456,0.02,0,193,193,0,0,0,1207,0,279121,292,0,0,28.6
62,0.00164,0.00109333333,25.2203,0.04,0,193,193,0,0,0,1228,0,281361,292,0,0,28.8
63,0.00166,0.00110666667,25.494,0.02,0,200,200,0,0,0,1308,0,297161,292,0,0,29.4
64,0.00168,0.00112,25.767,0.02,0,200,200,0,0,0,1333,0,299401,292,0,0,29.5
65,0.0017,0.00113333333,26.0395,0.02,0,200,200,0,0,0,1361,0,301641,292,0,0,29.7
66,0.00172,0.00114666667,26.3173,0.02,0,201,201,0,0,0,1389,0,303883,292,0,0,29.9
67,0.00174,0.00116,26.5927,0.02,0,201,201,0,0,0,1428,0,306123,292,0,0,30.2
68,0.00176,0.00117333333,26.8721,0.04,0,202,202,0,0,0,1450,0,308363,292,0,0,30.4
69,0.0018,0.0012,27.4234,0.04,0,203,203,0,0,0,1471,0,310603,292,0,0,30.7
70,0.00184,0.00122666667,27.9713,0.04,0,204,204,0,0,0,1489,0,312843,292,0,0,31.0
71,0.00188,0.00125333333,28.5229,0.04,0,204,204,0,0,0,1506,0,315083,292,0,0,31.2
72,0.00192,0.00128,29.0645,0.04,0,204,204,0,0,0,1522,0,317323,292,0,0,31.5
73,0.00196,0.00130666667,29.6086,0.04,0,204,204,0,0,0,1538,0,319563,292,0,0,31.8
74,0.002,0.00133333333,30.1494,0.08,0,204,204,0,0,0,1554,0,321803,292,0,0,32.0
75,0.00208,0.00138666667,31.5777,0.08,0,208,208,0,0,0,1570,0,324043,328,0,0,32.4
76,0.00216,0.00144,32.6718,0.08,0,212,212,0,0,0,1590,0,326283,328,0,0,32.8
77,0.00224,0.00149333333,33.7396,0.08,0,216,216,0,0,0,1608,0,328523,328,0,0,33.3
78,0.00228,0.00152,34.2487,0.04,0,240,240,0,0,0,1672,0,344363,340,0,0,34.5
79,0.00232,0.00154666667,34.7485,0.04,0,240,240,0,0,0,1688,0,346605,340,0,0,34.9
80,0.00234,0.00156,34.9875,0.02,0,250,250,0,0,0,1768,0,362435,358,0,0,37.0
81,0.00236,0.00157333333,35.1828,0.02,0,250,250,0,0,0,1804,0,364675,358,0,0,37.9
82,0.00238,0.00158666667,35.3855,0.02,0,250,250,0,0,0,1878,0,366919,358,0,0,38.6
83,0.0024,0.0016,35.6243,0.02,0,250,250,0,0,0,1917,0,369163,362,0,0,39.1
84,0.00242,0.00161333333,35.7899,0.02,0,250,250,0,0,0,1946,0,371403,362,0,0,39.5
85,0.00244,0.00162666667,36.0174,0.04,0,250,250,0,0,0,1970,0,373643,362,0,0,40.0
86,0.00248,0.00165333333,36.9398,0.04,0,250,250,0,0,0,1998,0,375883,394,0,0,40.2
87,0.00252,0.00168,37.3424,0.04,0,250,250,0,0,0,2076,0,378123,394,0,0,40.5
88,0.00256,0.00170666667,37.9203,0.04,0,250,250,0,0,0,2110,0,380363,394,0,0,40.8
89,0.0026,0.00173333333,38.4375,0.04,0,250,250,0,0,0,2130,0,382603,394,0,0,41.0
90,0.00264,0.00176,39.0025,0.04,0,250,250,0,0,0,2157,0,384849,394,0,0,41.3
91,0.00268,0.00178666667,39.4764,0.08,0,254,254,0,0,0,2193,0,387093,406,0,0,41.5
92,0.00276,0.00184,41.2694,0.08,0,258,258,0,0,0,2221,0,389333,430,0,0,41.9
93,0.00284,0.00189333333,42.1244,0.08,0,263,263,0,0,0,2239,0,391577,430,0,0,42.3
94,0.00288,0.00192,42.6103,0.04,0,281,281,0,0,0,2303,0,407413,460,0,0,43.4
95,0.00292,0.00194666667,43.1033,0.04,0,281,281,0,0,0,2321,0,409661,460,0,0,43.8
96,0.00296,0.00197333333,43.4357,0.04,0,285,285,0,0,0,2349,0,411908,476,0,0,44.3
97,0.003,0.002,44.0679,0.04,0,287,287,0,0,0,2388,0,414156,476,0,0,44.8
98,0.00304,0.00202666667,44.6136,0.04,0,289,289,0,0,0,2417,0,416404,476,0,0,45.1
99,0.00306,0.00204,44.8422,0.02,0,307,307,0,0,0,2543,0,432248,506,0,0,46.2
100,0.00308,0.00205333333,45.0689,0.02,0,307,307,0,0,0,2588,0,434492,506,0,0,46.4
101,0.0031,0.00206666667,45.3396,0.02,0,307,307,0,0,0,2646,0,436736,514,0,0,46.6
102,0.00312,0.00208,45.4885,0.02,0,307,307,0,0,0,2704,0,438980,514,0,0,46.9
103,0.00314,0.00209333333,45.7427,0.02,0,307,307,0,0,0,2733,0,441228,514,0,0,47.1
104,0.00316,0.00210666667,45.9821,0.04,0,307,307,0,0,0,2756,0,443472,514,0,0,47.3
105,0.0032,0.00213333333,46.6203,0.04,0,312,312,0,0,0,2784,0,445712,538,0,0,47.7
106,0.00324,0.00216,47.1272,0.04,0,312,312,0,0,0,2858,0,447952,538,0,0,48.0
107,0.00328,0.00218666667,47.6688,0.04,0,312,312,0,0,0,2882,0,450192,538,0,0,48.3
108,0.00332,0.00221333333,48.1937,0.04,0,312,312,0,0,0,2902,0,452432,538,0,0,48.9
109,0.00336,0.00224,48.6747,0.04,0,313,313,0,0,0,2938,0,454676,545,0,0,49.3
110,0.0034,0.00226666667,49.2857,0.08,0,314,314,0,0,0,2982,0,456922,545,0,0,49.7
111,0.00348,0.00232,50.7916,0.08,0,319,319,0,0,0,3012,0,459162,577,0,0,50.2
112,0.00356,0.00237333333,51.7988,0.08,0,323,323,0,0,0,3033,0,461402,577,0,0,50.6
113,0.00364,0.00242666667,52.9169,0.08,0,327,327,0,0,0,3047,0,463642,577,0,0,51.1
114,0.00368,0.00245333333,53.4037,0.04,0,351,351,0,0,0,3107,0,479510,601,0,0,51.7
115,0.0037,0.00246666667,53.6626,0.02,0,366,366,0,0,0,3187,0,495368,613,0,0,52.2
116,0.00372,0.00248,53.8752,0.02,0,366,366,0,0,0,3234,0,497608,613,0,0,52.4
117,0.00374,0.00249333333,54.1407,0.02,0,366,366,0,0,0,3308,0,499848,621,0,0,52.6
118,0.00376,0.00250666667,54.2129,0.02,0,366,366,0,0,0,3366,0,502088,621,0,0,52.8
119,0.00378,0.00252,54.4414,0.02,0,366,366,0,0,0,3398,0,504332,621,0,0,53.1
120,0.0038,0.00253333333,54.6998,0.04,0,366,366,0,0,0,3430,0,506576,629,0,0,53.3
121,0.00384,0.00256,55.4346,0.04,0,368,368,0,0,0,3484,0,508816,661,0,0,53.5
122,0.00388,0.00258666667,55.8927,0.04,0,368,368,0,0,0,3554,0,511056,661,0,0,53.8
123,0.00392,0.00261333333,56.425,0.04,0,368,368,0,0,0,3582,0,513296,661,0,0,54.1
124,0.00396,0.00264,56.9249,0.04,0,368,368,0,0,0,3610,0,515536,661,0,0,54.4
125,0.004,0.00266666667,57.3655,0.04,0,368,368,0,0,0,3656,0,517778,677,0,0,54.6
126,0.00404,0.00269333333,57.9911,0.08,0,368,368,0,0,0,3704,0,520018,677,0,0,54.9
127,0.00408,0.00272,58.5885,0.04,0,392,392,0,0,0,3768,0,535822,761,0,0,56.0
128,0.0041,0.00273333333,58.8596,0.02,0,404,404,0,0,0,3864,0,551670,773,0,0,56.7
129,0.00412,0.00274666667,59.1016,0.02,0,404,404,0,0,0,3893,0,553910,773,0,0,56.9
130,0.00414,0.00276,59.3275,0.02,0,404,404,0,0,0,3916,0,556150,773,0,0,57.1
131,0.00416,0.00277333333,59.5562,0.02,0,404,404,0,0,0,3936,0,558390,777,0,0,57.3
132,0.00418,0.00278666667,59.7568,0.02,0,404,404,0,0,0,3980,0,560636,777,0,0,57.5
133,0.0042,0.0028,60.0064,0.04,0,404,404,0,0,0,4020,0,562876,777,0,0,57.7
134,0.00424,0.00282666667,60.5026,0.04,0,404,404,0,0,0,4034,0,565116,797,0,0,58.0
135,0.00428,0.00285333333,61.0877,0.04,0,404,404,0,0,0,4082,0,567356,797,0,0,58.3
136,0.00432,0.00288,61.6647,0.04,0,404,404,0,0,0,4108,0,569596,797,0,0,58.6
137,0.00436,0.00290666667,62.2,0.04,0,404,404,0,0,0,4127,0,571836,797,0,0,58.8
138,0.0044,0.00293333333,62.7219,0.04,0,404,404,0,0,0,4163,0,574088,797,0,0,59.1
139,0.00444,0.00296,63.2438,0.08,0,404,404,0,0,0,4195,0,576344,809,0,0,59.3
140,0.00452,0.00301333333,64.5514,0.08,0,404,404,0,0,0,4237,0,578584,817,0,0,59.7
141,0.00456,0.00304,65.0284,0.04,0,422,422,0,0,0,4357,0,594412,823,0,0,60.7
142,0.0046,0.00306666667,65.5498,0.04,0,422,422,0,0,0,4385,0,596656,823,0,0,61.0
143,0.00464,0.00309333333,66.087,0.04,0,422,422,0,0,0,4403,0,598906,827,0,0,61.2
144,0.00468,0.00312,66.5718,0.04,0,422,422,0,0,0,4426,0,601154,827,0,0,61.5
145,0.00472,0.00314666667,67.04,0.04,0,422,422,0,0,0,4443,0,603400,829,0,0,61.7
146,0.00476,0.00317333333,67.5696,0.08,0,422,422,0,0,0,4467,0,605646,837,0,0,62.0
