step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
62,0.00124,0.000826666667,19.6877,0.02,0,0,0,0,0,0,883,0,0,0,0,0,6.2
63,0.00126,0.00084,19.9722,0.02,0,0,0,0,0,0,892,0,0,0,0,0,6.3
64,0.00128,0.000853333333,20.2543,0.02,0,0,0,0,0,0,901,0,0,0,0,0,6.4
65,0.0013,0.000866666667,20.5369,0.02,0,0,0,0,0,0,909,0,0,0,0,0,6.5
66,0.00132,0.00088,20.8198,0.02,0,0,0,0,0,0,921,0,0,0,0,0,6.6
67,0.00134,0.000893333333,21.1028,0.02,0,0,0,0,0,0,933,0,0,0,0,0,6.7
68,0.00136,0.000906666667,21.3844,0.02,0,0,0,0,0,0,946,0,0,0,0,0,6.8
69,0.00138,0.00092,21.6663,0.02,0,0,0,0,0,0,958,0,0,0,0,0,6.8
70,0.0014,0.000933333333,21.9482,0.02,0,0,0,0,0,0,974,0,0,0,0,0,6.9
71,0.00142,0.000946666667,22.2266,0.02,0,0,0,0,0,0,990,0,0,0,0,0,7.0
72,0.00144,0.00096,22.5092,0.02,0,0,0,0,0,0,1010,0,0,0,0,0,7.1
73,0.00146,0.000973333333,22.7867,0.02,0,0,0,0,0,0,1030,0,0,0,0,0,7.2
74,0.00148,0.000986666667,23.0685,0.02,0,0,0,0,0,0,1046,0,0,0,0,0,7.3
75,0.0015,0.001,23.3479,0.02,0,0,0,0,0,0,1062,0,0,0,0,0,7.3
76,0.00152,0.00101333333,23.6263,0.02,0,0,0,0,0,0,1080,0,0,0,0,0,7.4
77,0.00154,0.00102666667,23.9037,0.02,0,0,0,0,0,0,1098,0,0,0,0,0,7.5
78,0.00156,0.00104,24.1809,0.02,0,0,0,0,0,0,1114,0,0,0,0,0,7.6
79,0.00158,0.00105333333,24.4587,0.02,0,0,0,0,0,0,1131,0,0,0,0,0,7.7
80,0.0016,0.00106666667,24.736,0.02,0,0,0,0,0,0,1155,0,0,0,0,0,7.8
81,0.00162,0.00108,25.015,0.02,0,0,0,0,0,0,1179,0,0,0,0,0,7.9
82,0.00164,0.00109333333,25.2919,0.02,0,0,0,0,0,0,1207,0,0,0,0,0,7.9
83,0.00166,0.00110666667,25.5671,0.02,0,0,0,0,0,0,1235,0,0,0,0,0,8.0
84,0.00168,0.00112,25.8443,0.02,0,0,0,0,0,0,1263,0,0,0,0,0,8.1
85,0.0017,0.00113333333,26.1206,0.02,0,0,0,0,0,0,1291,0,0,0,0,0,8.2
86,0.00172,0.00114666667,26.396,0.02,0,0,0,0,0,0,1323,0,0,0,0,0,8.3
87,0.00174,0.00116,26.6708,0.02,0,0,0,0,0,0,1355,0,0,0,0,0,8.4
88,0.00176,0.00117333333,26.9483,0.02,0,0,0,0,0,0,1392,0,0,0,0,0,8.5
89,0.00178,0.00118666667,27.2236,0.02,0,0,0,0,0,0,1429,0,0,0,0,0,8.5
90,0.0018,0.0012,27.4976,0.02,0,0,0,0,0,0,1454,0,0,0,0,0,8.6
91,0.00182,0.00121333333,27.7722,0.02,0,0,0,0,0,0,1480,0,0,0,0,0,8.7
92,0.00184,0.00122666667,28.0471,0.02,0,0,0,0,0,0,1505,0,0,0,0,0,8.8
93,0.00186,0.00124,28.3194,0.02,0,0,0,0,0,0,1525,0,0,0,0,0,8.9
94,0.00188,0.00125333333,28.5921,0.02,0,0,0,0,0,0,1547,0,0,0,0,0,9.0
95,0.0019,0.00126666667,28.8652,0.02,0,0,0,0,0,0,1568,0,0,0,0,0,9.1
96,0.00192,0.00128,29.1357,0.02,0,0,0,0,0,0,1589,0,0,0,0,0,9.2
97,0.00194,0.00129333333,29.4087,0.02,0,0,0,0,0,0,1610,0,0,0,0,0,9.2
98,0.00196,0.00130666667,29.6828,0.02,0,0,0,0,0,0,1631,0,0,0,0,0,9.3
99,0.00198,0.00132,29.952,0.02,0,0,0,0,0,0,1652,0,0,0,0,0,9.4
100,0.002,0.00133333333,30.2224,0.02,0,0,0,0,0,0,1672,0,0,0,0,0,9.5
101,0.00202,0.00134666667,30.4942,0.02,0,0,0,0,0,0,1692,0,0,0,0,0,9.6
102,0.00204,0.00136,30.765,0.02,0,0,0,0,0,0,1713,0,0,0,0,0,9.7
103,0.00206,0.00137333333,31.0358,0.02,0,0,0,0,0,0,1733,0,0,0,0,0,9.8
104,0.00208,0.00138666667,31.306,0.02,0,0,0,0,0,0,1754,0,0,0,0,0,9.8
105,0.0021,0.0014,31.5744,0.02,0,0,0,0,0,0,1775,0,0,0,0,0,9.9
106,0.00212,0.00141333333,31.8454,0.02,0,0,0,0,0,0,1795,0,0,0,0,0,10.0
107,0.00214,0.00142666667,32.1143,0.02,0,0,0,0,0,0,1815,0,0,0,0,0,10.1
108,0.00216,0.00144,32.3859,0.02,0,0,0,0,0,0,1835,0,0,0,0,0,10.2
