ele,gp,x,z,dx,p,q,eta,psi,Mb,Md,eta_over_Md,err,err_dev,err_vol,f
1,1,-9.95139,-16.1423,9.20139,106.081,90.7532,0.855511,-0.10894,1.94867,0.711379,1.20261,0,0,0,1
1,2,-9.95139,-16.1423,9.20139,106.081,90.73,0.855293,-0.10894,1.94867,0.711379,1.2023,0,0,0,1
1,3,-9.95139,-16.1423,9.20139,106.081,90.7532,0.855511,-0.10894,1.94867,0.711379,1.20261,0,0,0,1
1,4,-9.95139,-16.1423,9.20139,106.081,90.73,0.855293,-0.10894,1.94867,0.711379,1.2023,0,0,0,1
1,5,-9.95139,-16.1423,9.20139,106.081,90.7638,0.855612,-0.10894,1.94867,0.711379,1.20275,0,0,0,1
1,6,-9.95139,-16.1423,9.20139,106.081,90.7406,0.855393,-0.10894,1.94867,0.711379,1.20244,0,0,0,1
1,7,-9.95139,-16.1423,9.20139,106.081,90.7638,0.855612,-0.10894,1.94867,0.711379,1.20275,0,0,0,1
1,8,-9.95139,-16.1423,9.20139,106.081,90.7406,0.855393,-0.10894,1.94867,0.711379,1.20244,0,0,0,1
2,1,-9.95139,-12.839,9.20139,85.4492,72.9852,0.854135,-0.111317,1.96494,0.701724,1.21719,0,0,0,1
2,2,-9.95139,-12.839,9.20139,85.4492,72.9689,0.853944,-0.111317,1.96494,0.701724,1.21692,0,0,0,1
2,3,-9.95139,-12.839,9.20139,85.4492,72.9852,0.854135,-0.111317,1.96494,0.701724,1.21719,0,0,0,1
2,4,-9.95139,-12.839,9.20139,85.4492,72.9689,0.853944,-0.111317,1.96494,0.701724,1.21692,0,0,0,1
2,5,-9.95139,-12.839,9.20139,85.4492,73.0027,0.85434,-0.111317,1.96494,0.701724,1.21749,0,0,0,1
2,6,-9.95139,-12.839,9.20139,85.4492,72.9864,0.854149,-0.111317,1.96494,0.701724,1.21721,0,0,0,1
2,7,-9.95139,-12.839,9.20139,85.4492,73.0027,0.85434,-0.111317,1.96494,0.701724,1.21749,0,0,0,1
2,8,-9.95139,-12.839,9.20139,85.4492,72.9864,0.854149,-0.111317,1.96494,0.701724,1.21721,0,0,0,1
3,1,-9.95139,-10.2681,9.20139,69.3727,59.1391,0.852484,-0.113416,1.97943,0.693305,1.22959,0,0,0,1
3,2,-9.95139,-10.2681,9.20139,69.3727,59.123,0.852251,-0.113416,1.97943,0.693305,1.22926,0,0,0,1
3,3,-9.95139,-10.2681,9.20139,69.3727,59.1391,0.852484,-0.113416,1.97943,0.693305,1.22959,0,0,0,1
3,4,-9.95139,-10.2681,9.20139,69.3727,59.123,0.852251,-0.113416,1.97943,0.693305,1.22926,0,0,0,1
3,5,-9.95139,-10.2681,9.20139,69.3727,59.1637,0.852838,-0.113416,1.97943,0.693305,1.23011,0,0,0,1
3,6,-9.95139,-10.2681,9.20139,69.3727,59.1475,0.852605,-0.113416,1.97943,0.693305,1.22977,0,0,0,1
3,7,-9.95139,-10.2681,9.20139,69.3727,59.1637,0.852838,-0.113416,1.97943,0.693305,1.23011,0,0,0,1
3,8,-9.95139,-10.2681,9.20139,69.3727,59.1475,0.852605,-0.113416,1.97943,0.693305,1.22977,0,0,0,1
4,1,-9.95139,-8.26731,9.20139,56.8455,48.3399,0.850372,-0.115259,1.99224,0.685996,1.23962,0,0,0,1
4,2,-9.95139,-8.26731,9.20139,56.8455,48.3257,0.850123,-0.115259,1.99224,0.685996,1.23925,0,0,0,1
4,3,-9.95139,-8.26731,9.20139,56.8455,48.3399,0.850372,-0.115259,1.99224,0.685996,1.23962,0,0,0,1
4,4,-9.95139,-8.26731,9.20139,56.8455,48.3257,0.850123,-0.115259,1.99224,0.685996,1.23925,0,0,0,1
4,5,-9.95139,-8.26731,9.20139,56.8455,48.3669,0.850848,-0.115259,1.99224,0.685996,1.24031,0,0,0,1
4,6,-9.95139,-8.26731,9.20139,56.8455,48.3528,0.850599,-0.115259,1.99224,0.685996,1.23995,0,0,0,1
4,7,-9.95139,-8.26731,9.20139,56.8455,48.3669,0.850848,-0.115259,1.99224,0.685996,1.24031,0,0,0,1
4,8,-9.95139,-8.26731,9.20139,56.8455,48.3528,0.850599,-0.115259,1.99224,0.685996,1.23995,0,0,0,1
5,1,-9.95139,-6.71019,9.20139,47.0817,39.9321,0.848144,-0.116867,2.00349,0.679681,1.24786,0,0,0,1
5,2,-9.95139,-6.71019,9.20139,47.0817,39.924,0.847972,-0.116867,2.00349,0.679681,1.2476,0,0,0,1
5,3,-9.95139,-6.71019,9.20139,47.0817,39.9321,0.848144,-0.116867,2.00349,0.679681,1.24786,0,0,0,1
5,4,-9.95139,-6.71019,9.20139,47.0817,39.924,0.847972,-0.116867,2.00349,0.679681,1.2476,0,0,0,1
5,5,-9.95139,-6.71019,9.20139,47.0817,39.952,0.848567,-0.116867,2.00349,0.679681,1.24848,0,0,0,1
5,6,-9.95139,-6.71019,9.20139,47.0817,39.9439,0.848395,-0.116867,2.00349,0.679681,1.24823,0,0,0,1
5,7,-9.95139,-6.71019,9.20139,47.0817,39.952,0.848567,-0.116867,2.00349,0.679681,1.24848,0,0,0,1
5,8,-9.95139,-6.71019,9.20139,47.0817,39.9439,0.848395,-0.116867,2.00349,0.679681,1.24823,0,0,0,1
6,1,-9.95139,-5.49834,9.20139,39.4723,33.3997,0.846154,-0.11826,2.01328,0.674259,1.25494,4.35141e-07,4.33241e-07,4.06189e-08,1
6,2,-9.95139,-5.49834,9.20139,39.4723,33.3982,0.846116,-0.11826,2.01328,0.674259,1.25488,9.03717e-07,8.99824e-07,8.37871e-08,1
6,3,-9.95139,-5.49834,9.20139,39.4723,33.3997,0.846154,-0.11826,2.01328,0.674259,1.25494,4.35141e-07,4.33241e-07,4.06189e-08,1
6,4,-9.95139,-5.49834,9.20139,39.4723,33.3982,0.846116,-0.11826,2.01328,0.674259,1.25488,9.03717e-07,8.99824e-07,8.37871e-08,1
6,5,-9.95139,-5.49834,9.20139,39.4723,33.4187,0.846635,-0.11826,2.01328,0.674259,1.25565,3.04212e-07,3.0293e-07,2.78984e-08,1
6,6,-9.95139,-5.49834,9.20139,39.4723,33.4171,0.846596,-0.11826,2.01328,0.674259,1.2556,7.2311e-07,7.20101e-07,6.58967e-08,1
6,7,-9.95139,-5.49834,9.20139,39.4723,33.4187,0.846635,-0.11826,2.01328,0.674259,1.25565,3.04212e-07,3.0293e-07,2.78984e-08,1
6,8,-9.95139,-5.49834,9.20139,39.4723,33.4171,0.846596,-0.11826,2.01328,0.674259,1.2556,7.2311e-07,7.20101e-07,6.58967e-08,1
7,1,-9.95139,-4.55522,9.20139,33.5392,28.3429,0.845068,-0.119458,2.02174,0.669631,1.26199,4.64465e-06,4.62497e-06,4.27077e-07,1
7,2,-9.95139,-4.55522,9.20139,33.5392,28.3462,0.845165,-0.119458,2.02174,0.669631,1.26213,5.16993e-06,5.14803e-06,4.75312e-07,1
7,3,-9.95139,-4.55522,9.20139,33.5392,28.3429,0.845068,-0.119458,2.02174,0.669631,1.26199,4.64465e-06,4.62497e-06,4.27077e-07,1
7,4,-9.95139,-4.55522,9.20139,33.5392,28.3462,0.845165,-0.119458,2.02174,0.669631,1.26213,5.16993e-06,5.14803e-06,4.75312e-07,1
7,5,-9.95139,-4.55522,9.20139,33.5392,28.3422,0.845048,-0.119458,2.02174,0.669631,1.26196,6.18092e-06,6.15508e-06,5.64543e-07,1
7,6,-9.95139,-4.55522,9.20139,33.5392,28.3455,0.845145,-0.119458,2.02174,0.669631,1.2621,6.75205e-06,6.72383e-06,6.16735e-07,1
7,7,-9.95139,-4.55522,9.20139,33.5392,28.3422,0.845048,-0.119458,2.02174,0.669631,1.26196,6.18092e-06,6.15508e-06,5.64543e-07,1
7,8,-9.95139,-4.55522,9.20139,33.5392,28.3455,0.845145,-0.119458,2.02174,0.669631,1.2621,6.75205e-06,6.72383e-06,6.16735e-07,1
8,1,-9.95139,-3.82123,9.20139,28.9177,24.4214,0.844512,-0.120478,2.02897,0.665715,1.26858,1.13312e-05,1.12834e-05,1.03991e-06,1
8,2,-9.95139,-3.82123,9.20139,28.9177,24.4277,0.844733,-0.120478,2.02897,0.665715,1.26891,1.10952e-05,1.10483e-05,1.01898e-06,1
8,3,-9.95139,-3.82123,9.20139,28.9177,24.4214,0.844512,-0.120478,2.02897,0.665715,1.26858,1.13312e-05,1.12834e-05,1.03991e-06,1
8,4,-9.95139,-3.82123,9.20139,28.9177,24.4277,0.844733,-0.120478,2.02897,0.665715,1.26891,1.10952e-05,1.10483e-05,1.01898e-06,1
8,5,-9.95139,-3.82123,9.20139,28.9177,24.419,0.844429,-0.120478,2.02897,0.665715,1.26845,1.24313e-05,1.23789e-05,1.14092e-06,1
8,6,-9.95139,-3.82123,9.20139,28.9177,24.4254,0.84465,-0.120478,2.02897,0.665715,1.26879,1.21875e-05,1.2136e-05,1.11945e-06,1
8,7,-9.95139,-3.82123,9.20139,28.9177,24.419,0.844429,-0.120478,2.02897,0.665715,1.26845,1.24313e-05,1.23789e-05,1.14092e-06,1
8,8,-9.95139,-3.82123,9.20139,28.9177,24.4254,0.84465,-0.120478,2.02897,0.665715,1.26879,1.21875e-05,1.2136e-05,1.11945e-06,1
9,1,-9.95139,-3.25,9.20139,25.3179,21.3825,0.844562,-0.121339,2.03509,0.662427,1.27495,1.73978e-05,1.73245e-05,1.59486e-06,1
9,2,-9.95139,-3.25,9.20139,25.3179,21.3897,0.844844,-0.121339,2.03509,0.662427,1.27538,1.65931e-05,1.65232e-05,1.52185e-06,1
9,3,-9.95139,-3.25,9.20139,25.3179,21.3825,0.844562,-0.121339,2.03509,0.662427,1.27495,1.73978e-05,1.73245e-05,1.59486e-06,1
9,4,-9.95139,-3.25,9.20139,25.3179,21.3897,0.844844,-0.121339,2.03509,0.662427,1.27538,1.65931e-05,1.65232e-05,1.52185e-06,1
