ele,gp,x,z,dx,p,q,eta,psi,Mb,Md,eta_over_Md,err,err_dev,err_vol,f
44,1,-5.78924,-0.75,5.03924,9.60383,8.11736,0.845221,-0.126321,2.07089,0.643719,1.31303,0.000252355,0.00025127,2.33722e-05,0
44,2,-5.78924,-0.75,5.03924,9.604,8.15311,0.848928,-0.126321,2.07089,0.643719,1.31879,0.000132356,0.000131789,1.22467e-05,0
44,3,-5.78924,-0.75,5.03924,9.60383,8.11736,0.845221,-0.126321,2.07089,0.643719,1.31303,0.000252355,0.00025127,2.33722e-05,0
44,4,-5.78924,-0.75,5.03924,9.604,8.15311,0.848928,-0.126321,2.07089,0.643719,1.31879,0.000132356,0.000131789,1.22467e-05,0
44,5,-5.78924,-0.75,5.03924,9.60401,8.13211,0.846741,-0.126321,2.07089,0.643719,1.31539,0.000273002,0.000272087,2.23373e-05,1
44,6,-5.78924,-0.75,5.03924,9.60414,8.17112,0.850792,-0.126321,2.07089,0.64372,1.32168,0.000140942,0.000140452,1.17456e-05,0
44,7,-5.78924,-0.75,5.03924,9.60401,8.13211,0.846741,-0.126321,2.07089,0.643719,1.31539,0.000273002,0.000272087,2.23373e-05,1
44,8,-5.78924,-0.75,5.03924,9.60414,8.17112,0.850792,-0.126321,2.07089,0.64372,1.32168,0.000140942,0.000140452,1.17456e-05,0
45,1,-5.78924,-0.25,5.03924,6.37557,5.55329,0.871027,-0.12787,2.08215,0.638014,1.36522,1.84429e-05,1.8367e-05,1.67152e-06,1
45,2,-5.78924,-0.25,5.03924,6.3759,5.58101,0.875329,-0.127869,2.08214,0.638015,1.37196,2.51681e-05,2.50574e-05,2.35794e-06,1
45,3,-5.78924,-0.25,5.03924,6.37557,5.55329,0.871027,-0.12787,2.08215,0.638014,1.36522,1.84428e-05,1.83669e-05,1.67151e-06,1
45,4,-5.78924,-0.25,5.03924,6.3759,5.58101,0.875329,-0.127869,2.08214,0.638015,1.37196,2.51679e-05,2.50572e-05,2.35793e-06,1
45,5,-5.78924,-0.25,5.03924,6.37527,5.50989,0.864259,-0.12787,2.08215,0.638013,1.35461,0.000201247,0.000200451,1.78862e-05,0
45,6,-5.78924,-0.25,5.03924,6.37562,5.53707,0.868476,-0.12787,2.08215,0.638014,1.36122,0.000167395,0.000166767,1.4489e-05,0
45,7,-5.78924,-0.25,5.03924,6.37527,5.50989,0.864259,-0.12787,2.08215,0.638013,1.35461,0.000201249,0.000200453,1.78863e-05,0
45,8,-5.78924,-0.25,5.03924,6.37562,5.53707,0.868476,-0.12787,2.08215,0.638014,1.36122,0.000167397,0.000166769,1.44891e-05,0
46,1,-4.33726,-16.1423,3.58726,106.282,90.9878,0.856101,-0.108918,1.94852,0.711468,1.20329,0,0,0,1
46,2,-4.33726,-16.1423,3.58726,106.282,90.9977,0.856194,-0.108918,1.94852,0.711468,1.20342,0,0,0,1
46,3,-4.33726,-16.1423,3.58726,106.282,90.9878,0.856101,-0.108918,1.94852,0.711468,1.20329,0,0,0,1
46,4,-4.33726,-16.1423,3.58726,106.282,90.9977,0.856194,-0.108918,1.94852,0.711468,1.20342,0,0,0,1
46,5,-4.33726,-16.1423,3.58726,106.282,91.0121,0.856329,-0.108918,1.94852,0.711468,1.20361,0,0,0,1
46,6,-4.33726,-16.1423,3.58726,106.282,91.022,0.856423,-0.108918,1.94852,0.711468,1.20374,0,0,0,1
46,7,-4.33726,-16.1423,3.58726,106.282,91.0121,0.856329,-0.108918,1.94852,0.711468,1.20361,0,0,0,1
46,8,-4.33726,-16.1423,3.58726,106.282,91.022,0.856423,-0.108918,1.94852,0.711468,1.20374,0,0,0,1
47,1,-4.33726,-12.839,3.58726,85.6385,73.3633,0.856662,-0.111293,1.96478,0.701818,1.22063,0,0,0,1
47,2,-4.33726,-12.839,3.58726,85.6385,73.3786,0.856841,-0.111293,1.96478,0.701818,1.22089,0,0,0,1
47,3,-4.33726,-12.839,3.58726,85.6385,73.3633,0.856662,-0.111293,1.96478,0.701818,1.22063,0,0,0,1
47,4,-4.33726,-12.839,3.58726,85.6385,73.3786,0.856841,-0.111293,1.96478,0.701818,1.22089,0,0,0,1
47,5,-4.33726,-12.839,3.58726,85.6385,73.4169,0.857289,-0.111293,1.96478,0.701818,1.22153,0,0,0,1
47,6,-4.33726,-12.839,3.58726,85.6385,73.4322,0.857468,-0.111293,1.96478,0.701818,1.22178,0,0,0,1
47,7,-4.33726,-12.839,3.58726,85.6385,73.4169,0.857289,-0.111293,1.96478,0.701818,1.22153,0,0,0,1
47,8,-4.33726,-12.839,3.58726,85.6385,73.4322,0.857468,-0.111293,1.96478,0.701818,1.22178,0,0,0,1
