step,s_m,s_over_B,q_kPa,ds_mm,relaxed,ref_total,ref_control,ref_companion,ref_sign,g_floor,g_guard,g_hold,g_rev,g_trial,g_flip,g_backoff,wall_s
194,0.0069445169,0.00462967793,94.5134,0.0631089,0,158,125,33,0,0,4208,0,559460,322,0,0,55.8
195,0.00697607134,0.00465071422,94.9,0.0315544,0,164,128,36,0,0,4320,0,575290,325,0,0,56.7
196,0.00700762577,0.00467175052,95.2778,0.0315544,0,164,128,36,0,0,4352,0,577546,325,0,0,56.9
197,0.00703918021,0.00469278681,95.6624,0.0315544,0,164,128,36,0,0,4381,0,579791,325,0,0,57.2
198,0.00707073465,0.0047138231,96.0672,0.0315544,0,165,129,36,0,0,4416,0,582033,325,0,0,57.5
199,0.00710228908,0.00473485939,96.3931,0.0315544,0,165,129,36,0,0,4452,0,584275,325,0,0,57.7
200,0.00713384352,0.00475589568,96.7347,0.039443,0,165,129,36,0,0,4492,0,586515,325,0,0,57.9
201,0.00717328656,0.00478219104,97.0926,0.039443,0,165,129,36,0,0,4523,0,588755,340,0,0,58.1
202,0.00721272961,0.00480848641,97.6143,0.039443,0,166,129,37,0,0,4598,0,590995,340,0,0,58.4
203,0.00725217265,0.00483478177,98.1911,0.039443,0,166,129,37,0,0,4627,0,593237,340,0,0,58.7
204,0.0072916157,0.00486107713,98.6579,0.039443,0,166,129,37,0,0,4657,0,595477,340,0,0,59.0
205,0.00733105874,0.0048873725,99.1396,0.039443,0,166,129,37,0,0,4697,0,597723,340,0,0,59.2
206,0.00737050179,0.00491366786,99.644,0.0493038,0,167,130,37,0,0,4740,0,599967,340,0,0,59.4
207,0.0074198056,0.00494653706,100.102,0.0493038,0,167,130,37,0,0,4779,0,602207,350,0,0,59.7
208,0.0074691094,0.00497940627,100.89,0.0493038,0,167,130,37,0,0,4827,0,604447,350,0,0,60.0
209,0.00751841321,0.00501227547,101.542,0.0493038,0,167,130,37,0,0,4862,0,606689,350,0,0,60.3
210,0.00756771702,0.00504514468,102.159,0.0493038,0,167,130,37,0,0,4893,0,608935,350,0,0,60.6
211,0.00761702082,0.00507801388,102.775,0.0493038,0,167,130,37,0,0,4927,0,611185,350,0,0,60.8
212,0.00766632463,0.00511088309,103.381,0.0616298,0,167,130,37,0,0,4961,0,613427,350,0,0,61.1
213,0.00772795439,0.00515196959,103.966,0.0616298,0,167,130,37,0,0,4993,0,615669,362,0,0,61.4
214,0.00778958415,0.0051930561,104.958,0.0616298,0,167,130,37,0,0,5034,0,617909,362,0,0,61.7
215,0.0078512139,0.0052341426,105.751,0.0616298,0,167,130,37,0,0,5066,0,620149,362,0,0,62.0
216,0.00791284366,0.00527522911,106.521,0.0616298,0,167,130,37,0,0,5096,0,622393,362,0,0,62.3
217,0.00797447342,0.00531631561,107.292,0.0616298,0,167,130,37,0,0,5127,0,624644,362,0,0,62.6
218,0.00803610318,0.00535740212,107.945,0.0770372,0,167,130,37,0,0,5161,0,626894,368,0,0,63.0
219,0.00811314038,0.00540876025,109.21,0.0770372,0,167,130,37,0,0,5193,0,629136,382,0,0,63.3
220,0.00819017757,0.00546011838,110.209,0.0770372,0,167,130,37,0,0,5226,0,631382,382,0,0,63.6
221,0.00826721477,0.00551147651,111.145,0.0770372,0,167,130,37,0,0,5252,0,633624,390,0,0,64.0
222,0.00834425197,0.00556283465,112.211,0.0770372,0,167,130,37,0,0,5284,0,635866,390,0,0,64.3
223,0.00842128917,0.00561419278,113.168,0.0770372,0,167,130,37,0,0,5314,0,638116,390,0,0,64.7
224,0.00849832637,0.00566555091,113.971,0.0962965,0,167,130,37,0,0,5344,0,640364,396,0,0,65.0
225,0.00859462286,0.00572974858,115.473,0.0962965,0,167,130,37,0,0,5376,0,642606,408,0,0,65.4
226,0.00864277111,0.00576184741,116.115,0.0481482,0,173,136,37,0,0,5504,0,658456,438,0,0,66.5
227,0.00869091936,0.00579394624,116.721,0.0481482,0,173,136,37,0,0,5528,0,660696,438,0,0,66.8
228,0.00873906761,0.00582604507,117.1,0.0481482,0,173,136,37,0,0,5557,0,662947,444,0,0,67.1
229,0.00878721586,0.0058581439,117.777,0.0481482,0,173,136,37,0,0,5591,0,665191,444,0,0,67.3
230,0.00883536411,0.00589024274,118.305,0.0481482,0,173,136,37,0,0,5623,0,667439,444,0,0,67.6
231,0.00888351235,0.00592234157,118.777,0.0601853,0,174,136,38,0,0,5663,0,669683,462,0,0,67.9
232,0.00894369767,0.00596246511,119.581,0.0601853,0,175,136,39,0,0,5710,0,671925,462,0,0,68.3
233,0.00900388298,0.00600258865,120.365,0.0601853,0,175,136,39,0,0,5738,0,674171,462,0,0,68.6
234,0.00906406829,0.00604271219,120.958,0.0601853,0,175,136,39,0,0,5766,0,676413,472,0,0,68.9
235,0.00909416094,0.00606277396,121.455,0.0300927,0,181,142,39,0,0,5930,0,692272,478,0,0,69.7
236,0.0091242536,0.00608283573,121.765,0.0300927,0,181,142,39,0,0,5963,0,694522,478,0,0,70.0
237,0.00915434625,0.0061028975,122.08,0.0300927,0,181,142,39,0,0,6000,0,696764,478,0,0,70.2
238,0.00918443891,0.00612295927,122.454,0.0300927,0,181,142,39,0,0,6036,0,699004,482,0,0,70.4
239,0.00921453156,0.00614302104,122.755,0.0300927,0,181,142,39,0,0,6081,0,701244,486,0,0,70.6
240,0.00924462422,0.00616308281,123.037,0.0376158,0,181,142,39,0,0,6134,0,703486,486,0,0,70.8
241,0.00928224004,0.00618816003,123.368,0.0376158,0,181,142,39,0,0,6172,0,705726,494,0,0,71.0
242,0.00931985586,0.00621323724,123.945,0.0376158,0,181,142,39,0,0,6238,0,707970,494,0,0,71.3
243,0.00935747168,0.00623831445,124.428,0.0376158,0,181,142,39,0,0,6272,0,710211,498,0,0,71.5
244,0.0093950875,0.00626339166,124.788,0.0376158,0,181,142,39,0,0,6323,0,712455,498,0,0,71.8
245,0.00943270332,0.00628846888,125.262,0.0376158,0,181,142,39,0,0,6362,0,714697,498,0,0,72.0
246,0.00947031913,0.00631354609,125.765,0.0470198,0,181,142,39,0,0,6399,0,716941,502,0,0,72.3
247,0.00951733891,0.00634489261,126.302,0.0470198,0,182,142,40,0,0,6448,0,719185,506,0,0,72.6
248,0.00956435868,0.00637623912,126.82,0.0470198,0,182,142,40,0,0,6491,0,721435,506,0,0,72.9
249,0.00961137846,0.00640758564,127.442,0.0470198,0,182,142,40,0,0,6523,0,723684,506,0,0,73.2
250,0.00965839823,0.00643893215,128.044,0.0470198,0,183,142,41,0,0,6553,0,725932,512,0,0,73.5
251,0.009705418,0.00647027867,128.595,0.0470198,0,184,142,42,0,0,6597,0,728178,512,0,0,73.8
252,0.00975243778,0.00650162519,129.218,0.0587747,0,184,142,42,0,0,6633,0,730422,512,0,0,74.0
253,0.0098112125,0.00654080833,129.852,0.0587747,0,184,142,42,0,0,6669,0,732668,520,0,0,74.3
254,0.00986998721,0.00657999148,130.705,0.0587747,0,184,142,42,0,0,6715,0,734914,522,0,0,74.6
255,0.00992876193,0.00661917462,131.455,0.0587747,0,184,142,42,0,0,6745,0,737160,522,0,0,74.9
256,0.00998753665,0.00665835777,132.208,0.0587747,0,184,142,42,0,0,6777,0,739409,522,0,0,75.2
257,0.0100463114,0.00669754091,132.93,0.0587747,0,184,142,42,0,0,6811,0,741657,524,0,0,75.5
258,0.0101050861,0.00673672406,133.678,0.0734684,0,184,142,42,0,0,6851,0,743905,524,0,0,75.7
259,0.0101785545,0.00678570299,134.555,0.0734684,0,184,142,42,0,0,6886,0,746145,536,0,0,76.1
260,0.0102520229,0.00683468192,135.598,0.0734684,0,184,142,42,0,0,6924,0,748385,536,0,0,76.4
261,0.0103254913,0.00688366085,136.559,0.0734684,0,184,142,42,0,0,6960,0,750629,536,0,0,76.7
262,0.0103989597,0.00693263978,137.485,0.0734684,0,184,142,42,0,0,6992,0,752873,536,0,0,77.0
263,0.0104724281,0.00698161871,138.22,0.0734684,0,184,142,42,0,0,7026,0,755123,542,0,0,77.4
264,0.0105091623,0.00700610818,138.908,0.0367342,0,190,148,42,0,0,7178,0,770943,548,0,0,78.4
265,0.0105458965,0.00703059764,139.357,0.0367342,0,190,148,42,0,0,7211,0,773185,548,0,0,78.6
266,0.0105826307,0.00705508711,139.809,0.0367342,0,190,148,42,0,0,7251,0,775433,548,0,0,78.8
267,0.0106193649,0.00707957657,140.236,0.0367342,0,190,148,42,0,0,7290,0,777678,548,0,0,79.1
268,0.0106560991,0.00710406604,140.667,0.0367342,0,190,148,42,0,0,7329,0,779918,548,0,0,79.3
269,0.0106928333,0.00712855551,141.093,0.0459177,0,190,148,42,0,0,7363,0,782160,550,0,0,79.5
270,0.010738751,0.00715916734,141.665,0.0459177,0,190,148,42,0,0,7413,0,784403,554,0,0,79.8
271,0.0107846688,0.00718977917,142.098,0.0459177,0,190,148,42,0,0,7467,0,786645,554,0,0,80.0
272,0.0108305865,0.007220391,142.687,0.0459177,0,190,148,42,0,0,7503,0,788885,554,0,0,80.2
273,0.0108765043,0.00725100283,143.211,0.0459177,0,190,148,42,0,0,7537,0,791129,554,0,0,80.5
274,0.010922422,0.00728161467,143.734,0.0459177,0,190,148,42,0,0,7577,0,793376,556,0,0,80.7
275,0.0109683397,0.0073122265,144.224,0.0573972,0,190,148,42,0,0,7619,0,795624,556,0,0,80.9
