# ADR90 WP-A2 tau=0 band, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.60
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,1.34314292,-1.30472123,0.02,0,0.321310043
4e-05,2e-05,2.00957801,-1.88375588,0.02,0,0.461019039
6e-05,3e-05,2.56608513,-2.42044115,0.02,0,0.601587057
8e-05,4e-05,3.07044388,-2.93057175,0.02,0,0.734833002
0.0001,5e-05,3.54688274,-3.43919166,0.02,0,0.857377291
0.00012,6e-05,4.1440482,-3.9046735,0.04,0,0.966722012
0.00016,8e-05,4.98889833,-4.88215223,0.04,0,1.16606641
0.0002,0.0001,5.94383576,-5.80669849,0.04,0,1.35897875
0.00024,0.00012,6.75876072,-6.73225436,0.04,0,1.66832638
0.00028,0.00014,7.73500356,-7.62156351,0.04,0,1.88675427
0.00032,0.00016,8.62017422,-8.5047837,0.04,0,2.0953033
0.00036,0.00018,9.51928694,-9.38467237,0.08,0,2.31461954
0.00044,0.00022,11.2524491,-11.1351621,0.08,0,2.69658613
0.00052,0.00026,12.9646505,-12.8427662,0.08,0,3.08006334
0.0006,0.0003,14.6586681,-14.5277598,0.08,0,3.47689509
0.00068,0.00034,16.3476843,-16.2001358,0.08,0,3.88278365
0.00076,0.00038,17.9990339,-17.8634406,0.08,0,4.29007053
0.00084,0.00042,19.5493959,-19.5228813,0.16,0,4.86275649
0.001,0.0005,22.8246208,-22.8204453,0.16,0,5.85705304
0.00116,0.00058,26.1265828,-26.0953347,0.16,0,6.62937999
0.00132,0.00066,29.3458041,-29.3445826,0.16,0,7.52321243
0.00148,0.00074,32.5506273,-32.5818161,0.16,0,8.59753633
0.00164,0.00082,35.7510198,-35.6552011,0.16,0,13.6582069
0.0018,0.0009,38.9772382,-39.0062014,0.32,0,14.7036355
0.00212,0.00106,45.3497773,-45.3704593,0.32,0,17.1188664
0.00244,0.00122,51.7053996,-51.7202907,0.32,0,19.6971793
0.00276,0.00138,58.0495165,-58.0648521,0.32,0,22.2560642
0.00308,0.00154,64.3889579,-64.4028902,0.32,0,24.807457
0.0034,0.0017,70.7218982,-70.7333473,0.32,0,27.6518764
0.00372,0.00186,77.0582313,-77.0702639,0.64,0,30.5127199
0.00436,0.00218,89.7000893,-89.7005906,0.64,0,37.9500394
0.005,0.0025,102.372685,-102.377157,0.64,0,44.5260162
0.00564,0.00282,114.996345,-115.042099,0.64,0,57.1103046
0.00628,0.00314,127.813733,-127.825475,0.64,0,64.3018029
0.00692,0.00346,140.560742,-140.607783,0.64,0,77.1113212
0.00756,0.00378,153.397528,-153.380135,1.28,0,90.2370605
0.00884,0.00442,179.131567,-179.140632,1.28,0,130.920633
0.01012,0.00506,205.087295,-205.012818,1.28,0,158.897574
0.0114,0.0057,231.219784,-231.220009,1.28,0,189.205498
0.01268,0.00634,257.579539,-257.59611,1.28,0,213.022177
0.01396,0.00698,284.154015,-284.166696,1.28,0,236.598753
0.01524,0.00762,310.902999,-310.942502,2.56,0,263.259619
0.0178,0.0089,365.737721,-365.956376,2.56,1,330.649541
0.02036,0.01018,420.604591,-420.845303,2.56,1,367.484208
0.02292,0.01146,476.018719,-476.301591,2.56,1,382.378237
0.02548,0.01274,532.068856,-532.455313,2.56,1,405.10296
0.02612,0.01306,550.052179,-549.946478,0.64,1,465.42489
0.02676,0.01338,559.997926,-560.007829,0.64,0,482.057265
0.0274,0.0137,577.973623,-577.824059,0.64,1,503.290431
0.02804,0.01402,589.13685,-589.142336,0.64,0,518.68172
0.02868,0.01434,607.182344,-607.283204,0.64,1,535.795819
0.02932,0.01466,618.588629,-618.60022,1.28,0,551.744563
0.0306,0.0153,649.166356,-648.830505,1.28,1,590.482268
0.03188,0.01594,678.199765,-678.244172,1.28,1,615.107619
0.03316,0.01658,707.442488,-707.60238,1.28,1,636.046024
0.03444,0.01722,737.728662,-737.445066,1.28,1,650.963184
0.03572,0.01786,766.858343,-767.10442,1.28,1,660.252044
0.037,0.0185,797.420197,-797.366918,2.56,1,668.541661
0.03828,0.01914,827.548921,-827.56674,1.28,1,685.543006
0.03956,0.01978,857.855797,-857.959337,1.28,1,721.501022
0.04084,0.02042,888.107177,-888.287931,1.28,1,751.7413
0.04212,0.02106,919.029574,-919.664736,1.28,1,778.893621
0.0434,0.0217,950.683725,-950.871497,1.28,1,799.326054
0.04468,0.02234,980.828024,-981.044101,2.56,1,822.339115
0.04724,0.02362,1043.66438,-1043.89383,2.56,1,862.694219
0.04852,0.02426,1074.97817,-1075.57395,1.28,1,932.516581
0.04916,0.02458,1091.6171,-1092.37485,0.64,1,960.380875
0.0498,0.0249,1106.96458,-1107.28331,0.64,1,971.424528
0.05044,0.02522,1122.67984,-1123.10035,0.64,1,989.293101
0.05108,0.02554,1138.4698,-1139.23446,0.64,1,1001.37044
0.05172,0.02586,1155.69831,-1156.26589,0.64,1,1015.70714
0.05236,0.02618,1170.24196,-1170.30869,1.28,1,1023.70544
0.05364,0.02682,1204.10683,-1204.32147,1.28,1,1034.65528
0.05492,0.02746,1236.055,-1236.43662,1.28,1,1049.89022
0.0562,0.0281,1269.78363,-1270.2602,1.28,1,1061.91025
0.05748,0.02874,1301.42705,-1301.88589,1.28,1,1084.84857
0.05876,0.02938,1334.69858,-1334.83838,1.28,1,1104.02613
0.0594,0.0297,1350.31812,-1350.60085,0.64,1,1133.50764
0.06004,0.03002,1367.628,-1367.87346,0.64,1,1147.2839
0.06036,0.03018,1379.13791,-1379.23589,0.32,1,1175.20211
0.06068,0.03034,1389.18751,-1389.13935,0.32,1,1180.9337
0.061,0.0305,1391.16757,-1391.35341,0.32,1,1193.3178
0.06132,0.03066,1400.80391,-1401.0528,0.32,1,1200.2919
0.06164,0.03082,1411.94262,-1412.52545,0.32,1,1208.02352
0.06196,0.03098,1422.81877,-1422.122,0.64,1,1218.55372
0.0626,0.0313,1434.24783,-1434.78245,0.64,1,1232.59042
0.06324,0.03162,1452.30247,-1452.62834,0.64,1,1248.48526
0.06388,0.03194,1467.36171,-1467.40317,0.64,1,1260.84676
0.06452,0.03226,1484.95996,-1485.43881,0.64,1,1279.80445
0.06516,0.03258,1502.75586,-1502.64741,0.64,1,1289.52526
0.0658,0.0329,1517.91483,-1518.36192,1.28,1,1303.47544
0.06708,0.03354,1552.19969,-1552.51185,1.28,1,1345.94926
0.06836,0.03418,1586.12843,-1586.35154,1.28,1,1380.43724
0.069,0.0345,1604.78715,-1605.5939,0.64,1,1428.01422
0.06964,0.03482,1620.22573,-1620.38913,0.64,1,1449.49474
0.06996,0.03498,1628.73452,-1629.19117,0.32,1,1502.01727
0.07028,0.03514,1640.95522,-1641.32056,0.32,1,1511.42255
0.0706,0.0353,1652.09931,-1651.21898,0.32,1,1514.49907
0.07092,0.03546,1656.04274,-1656.4179,0.32,1,1532.70822
0.07124,0.03562,1669.50656,-1669.23804,0.32,1,1544.00015
