# ADR90 WP-A2 tau=0 band, build 9e73060a90e81a35ebd842bcd10a315a980ffac4 (expected 9e73060a90e81a35ebd842bcd10a315a980ffac4), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res,guard_ctlf
0.01332,0.00666,173.296793,-173.368056,1.28,0,54.5201092,0.000215313737,84,0,0,0,1572,668
0.01396,0.00698,180.878216,-180.947374,0.64,0,58.3266673,0.000195893246,108,0,0,0,11076,2946
0.0146,0.0073,188.395521,-188.453766,0.64,0,61.7649088,0.000184626145,108,0,0,0,1572,680
0.01524,0.00762,195.941579,-195.998337,0.64,0,65.2092822,0.000156928018,108,0,0,0,1572,680
0.01588,0.00794,203.48249,-203.553144,0.64,0,68.5389667,0.000151347269,108,0,0,0,1572,684
0.01652,0.00826,210.970428,-211.024786,0.64,0,71.8555384,0.000155343225,108,0,0,0,1574,683
0.01716,0.00858,218.483433,-218.545307,1.28,0,75.1691408,0.000138605855,108,0,0,0,1572,684
0.0178,0.0089,225.997839,-226.10442,0.64,0,79.0661702,0.000144110877,132,0,0,0,11076,3004
0.01844,0.00922,233.440559,-233.448515,0.64,0,82.441879,0.000145591335,132,0,0,0,1572,692
0.01908,0.00954,240.904407,-240.907451,0.64,0,85.9051316,0.000138738363,132,0,0,0,1572,692
0.01972,0.00986,248.322086,-248.331745,0.64,0,89.5285072,0.000129655254,132,0,0,0,1572,680
0.02036,0.01018,255.777536,-255.800283,0.64,0,93.2107961,0.000129440313,132,0,0,0,1574,698
0.021,0.0105,263.236454,-263.271056,1.28,0,96.8360653,0.000129990703,132,0,0,0,1572,690
0.02228,0.01114,278.195484,-278.238161,1.28,0,104.682819,0.000180846897,136,0,0,0,1572,799
0.02292,0.01146,285.687368,-285.729085,0.64,0,110.368379,0.000179421265,160,0,0,0,11146,3070
0.02356,0.01178,293.066279,-293.106356,0.64,0,114.104733,0.000172633406,160,0,0,0,1572,702
0.0242,0.0121,300.379062,-300.436925,0.64,0,118.048417,0.000151643666,160,0,0,0,1572,702
0.02484,0.01242,307.70812,-307.741151,0.64,0,122.126787,0.00013171509,160,0,0,0,1574,708
0.02548,0.01274,315.093106,-315.129475,0.64,0,126.102087,0.00011968522,160,0,0,0,1572,714
0.02612,0.01306,322.501277,-322.526176,1.28,0,130.145097,0.000113345365,160,0,0,0,1572,718
0.02676,0.01338,329.902647,-329.944667,0.64,0,136.588614,0.000107637465,184,0,0,0,11076,3212
0.0274,0.0137,337.265749,-337.293768,0.64,0,140.927075,0.000108482466,184,0,0,0,1572,720
0.02804,0.01402,344.638863,-344.674948,0.64,0,145.044565,8.74038583e-05,184,0,0,0,1572,726
0.02868,0.01434,351.970499,-351.995994,0.64,0,149.437545,8.92887396e-05,184,0,0,0,1572,724
0.02932,0.01466,359.34441,-359.384122,0.64,0,153.821637,7.34950593e-05,184,0,0,0,1572,732
0.02996,0.01498,366.713375,-366.744742,1.28,0,158.396653,7.21259453e-05,184,0,0,0,1572,732
0.0306,0.0153,374.084084,-374.120476,0.64,0,164.919252,7.35576312e-05,220,0,0,0,11076,3277
0.03124,0.01562,381.404107,-381.440478,0.64,0,169.569622,8.12595046e-05,220,0,0,0,1572,744
0.03188,0.01594,388.762898,-388.806034,0.64,0,174.176628,7.31848365e-05,220,0,0,0,1572,741
0.03252,0.01626,396.12037,-396.163104,0.64,0,178.795051,7.48946922e-05,220,0,0,0,1572,743
0.03316,0.01658,403.48046,-403.523858,0.64,0,183.537943,7.70361828e-05,220,0,0,0,1572,749
0.0338,0.0169,410.832642,-410.874826,1.28,0,187.975592,7.84403954e-05,220,0,0,0,1572,756
0.03444,0.01722,418.184637,-418.231679,0.64,0,194.57924,7.95436356e-05,256,0,0,0,11076,3373
0.03508,0.01754,425.489455,-425.52548,0.64,0,199.434005,8.43383026e-05,256,0,0,0,1572,760
0.03572,0.01786,432.825964,-432.877905,0.64,0,204.284964,7.63893572e-05,256,0,0,0,1572,761
0.03636,0.01818,440.174414,-440.203818,0.64,0,209.186259,7.34952909e-05,256,0,0,0,1572,765
0.037,0.0185,447.525877,-447.559333,0.64,0,214.023999,7.2087297e-05,256,0,0,0,1572,763
0.03764,0.01882,454.855398,-454.880281,1.28,0,218.472575,7.20832925e-05,256,0,0,0,1572,762
0.03828,0.01914,462.153591,-462.176359,0.64,0,224.890996,8.04679381e-05,280,0,0,0,11076,3456
0.03892,0.01946,471.577485,-471.751566,0.64,1,233.257207,0.000611552979,312,0,0,0,7916,2298
0.03956,0.01978,479.088009,-479.617921,0.64,0,236.350797,0.000797457222,312,0,4,0,1572,760
0.0402,0.0201,486.134523,-486.542987,0.64,0,239.66219,0.000511350616,312,0,0,0,1572,767
0.04084,0.02042,492.902915,-493.234742,0.64,0,242.715219,0.000318239741,312,0,0,0,1572,805
0.04148,0.02074,499.890329,-500.102776,1.28,0,246.078362,0.000334141576,312,0,0,0,1572,820
0.04212,0.02106,507.097909,-507.302126,0.64,0,250.716617,0.000328408823,336,0,0,0,11076,3317
0.04276,0.02138,514.411311,-514.614908,0.64,0,254.072565,0.000295590394,336,0,0,0,1572,821
0.0434,0.0217,521.726259,-521.959497,0.64,0,257.286126,0.000243951716,336,0,0,0,1572,797
0.04404,0.02202,528.989303,-529.222199,0.64,0,260.721741,0.000213542246,336,0,0,0,1572,786
0.04468,0.02234,536.172817,-536.396427,0.64,0,264.106198,0.000199390253,336,0,0,0,1572,776
0.04532,0.02266,543.30585,-543.507662,1.28,0,267.598513,0.000191726642,336,0,0,0,1572,777
0.04596,0.02298,550.434264,-550.610707,0.64,0,272.116273,0.000184946947,348,0,0,0,11076,3137
0.0466,0.0233,557.559941,-557.687027,0.64,0,276.73757,0.000178461664,348,0,0,0,1568,774
0.04724,0.02362,564.675101,-564.782854,0.64,0,281.804361,0.000161339077,348,0,0,0,1568,773
0.04788,0.02394,575.194308,-575.42657,0.64,1,289.405445,0.000832965606,384,0,0,0,7904,2326
0.04852,0.02426,582.780369,-583.534739,0.64,0,292.005395,0.00106559805,384,0,4,0,1572,742
0.04916,0.02458,589.5023,-590.072476,1.28,0,294.69538,0.000687531547,384,0,0,0,1568,770
0.0498,0.0249,595.678094,-596.154026,0.64,0,298.326697,0.000398848449,396,0,0,0,11076,3362
0.05044,0.02522,602.264067,-602.565924,0.64,0,301.620312,0.000406079737,396,0,0,0,1572,854
0.05108,0.02554,609.306631,-609.515461,0.64,0,305.34693,0.000394900172,396,0,0,0,1572,849
0.05172,0.02586,616.506812,-616.69236,0.64,0,308.998515,0.000345246238,396,0,0,0,1572,842
0.05236,0.02618,623.665766,-623.833414,0.64,0,312.540747,0.000273068994,396,0,0,0,1576,827
0.053,0.0265,630.731235,-630.901603,1.28,0,316.175732,0.000198953648,396,0,0,0,1568,818
0.05364,0.02682,637.762545,-637.932554,0.64,0,320.685195,0.00016928695,408,0,0,0,11072,3254
0.05428,0.02714,644.819865,-644.951598,0.64,0,325.041024,0.000166156125,408,0,0,0,1568,790
0.05492,0.02746,651.894784,-651.989181,0.64,0,329.827851,0.000169452805,408,0,0,0,1568,793
0.05556,0.02778,662.970532,-663.168183,0.64,1,336.844864,0.000880870757,440,0,0,0,7904,2373
0.0562,0.0281,670.746939,-671.508064,0.64,0,339.028085,0.00113213619,440,0,4,0,1568,749
0.05684,0.02842,677.30748,-677.98816,1.28,0,341.649481,0.000762035909,440,0,0,0,1568,797
0.05748,0.02874,683.312005,-683.826128,0.64,0,345.255584,0.000455422564,452,0,0,0,11072,3479
0.05812,0.02906,689.669293,-690.043506,0.64,0,348.473081,0.000441854939,452,0,4,0,1572,896
0.05876,0.02938,696.620009,-696.923437,0.64,0,351.841459,0.000424903102,452,0,4,0,1580,878
0.0594,0.0297,703.79745,-704.083825,0.64,0,355.421962,0.000364773062,452,0,0,0,1576,874
0.06004,0.03002,710.931608,-711.216078,0.64,0,359.193462,0.00029522467,452,0,0,0,1572,857
0.06068,0.03034,717.981807,-718.242759,1.28,0,362.972972,0.000242880819,452,0,0,0,1568,849
0.06132,0.03066,724.973316,-725.222856,0.64,0,367.17183,0.00020668206,464,0,0,0,11072,3369
0.06196,0.03098,731.982237,-732.170954,0.64,0,371.43792,0.000195835675,464,0,0,0,1568,840
0.0626,0.0313,739.008993,-739.14263,0.64,0,376.307933,0.000193075841,464,0,0,0,1568,827
0.06324,0.03162,750.209076,-750.465278,0.64,1,383.880226,0.000865389328,496,0,0,0,7904,2466
0.06388,0.03194,758.061628,-758.837961,0.64,0,386.317766,0.0011114273,496,0,4,0,1568,768
0.06452,0.03226,764.527232,-765.225181,1.28,0,389.02165,0.000737520204,496,0,0,0,1568,822
0.06516,0.03258,770.37912,-770.919301,0.64,0,392.78159,0.000436333482,508,0,0,0,11072,3557
0.0658,0.0329,776.556836,-776.976011,0.64,0,396.182882,0.000440466788,508,0,0,0,1572,904
0.06644,0.03322,783.514727,-783.80555,0.64,0,399.797782,0.000446801265,508,0,0,0,1576,895
0.06708,0.03354,790.623182,-790.86984,0.64,0,403.326825,0.000375876667,508,0,4,0,1580,886
0.06772,0.03386,797.6403,-797.917483,0.64,0,407.209832,0.000300109738,508,0,0,0,1576,860
0.06836,0.03418,804.643528,-804.854985,1.28,0,411.658136,0.000240328271,508,0,0,0,1573,854
0.069,0.0345,811.514042,-811.750477,0.64,0,417.313228,0.00019784419,520,0,0,0,11080,3406
0.06964,0.03482,818.44999,-818.63859,0.64,0,422.014322,0.000181113677,520,0,0,0,1572,849
0.07028,0.03514,825.404508,-825.553947,0.64,0,426.768977,0.000177485566,520,0,0,0,1572,841
0.07092,0.03546,837.020985,-837.293679,0.64,1,433.703496,0.000920998787,552,0,0,0,7928,2520
0.07156,0.03578,845.027656,-845.865342,0.64,0,436.108149,0.0011940091,552,0,4,0,1568,797
0.0722,0.0361,851.397095,-852.154459,1.28,0,438.887102,0.000811780931,552,0,0,0,1568,830
0.07284,0.03642,856.998901,-857.641486,0.64,0,442.438915,0.000482373636,564,0,0,0,11072,3614
0.07348,0.03674,863.091906,-863.504677,0.64,0,445.923767,0.000459290858,564,0,0,0,1572,923
0.07412,0.03706,869.851598,-870.208553,0.64,0,449.585691,0.000462916535,564,0,0,0,1584,912
0.07476,0.03738,876.919934,-877.218554,0.64,0,453.167649,0.000395415063,564,0,4,0,1584,908
0.0754,0.0377,884.007745,-884.292731,0.64,0,457.002806,0.000330449568,564,0,0,0,1581,898
0.07604,0.03802,890.987639,-891.26953,1.28,0,461.157042,0.000265513845,564,0,0,0,1580,882
