step,rc,settlement_m,footing_load_kN_per_m
1,0,0.002,-15.041538461538103
2,0,0.004,146.49692307692482
3,0,0.006,308.03538461538415
4,0,0.008,469.57384615384075
5,0,0.01,631.1123076923
6,0,0.012,792.6507692307607
7,0,0.014,954.1892307692208
8,0,0.016,1115.7276923076809
9,0,0.018000000000000002,1277.2661538461455
10,0,0.020000000000000004,1438.8046153846074
11,0,0.022000000000000006,1600.3430769230658
12,0,0.024000000000000007,1761.8815384615307
