# ADR90 WP-A2 tau=0 band, build 5c01bb5f7a580be9f73568a2e8f98b3a2b263c39, leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,0.957685814,-0.962578624,0.02,0,0.300666809
4e-05,2e-05,1.53352856,-1.32383439,0.02,0,0.368559361
6e-05,3e-05,1.83975245,-1.68045093,0.02,0,0.461049795
8e-05,4e-05,2.16869992,-2.03648234,0.02,0,0.581823349
0.0001,5e-05,2.52080509,-2.36164702,0.02,0,0.685122728
0.00012,6e-05,2.84749516,-2.69507676,0.04,0,0.782765865
0.00016,8e-05,3.51203499,-3.34727337,0.04,0,0.96655035
0.0002,0.0001,4.13984525,-3.96768917,0.04,0,1.16194773
0.00024,0.00012,4.73800252,-4.57477754,0.04,0,1.56194401
0.00028,0.00014,5.36822356,-5.16643691,0.04,0,2.04235983
0.00032,0.00016,5.9296621,-5.76558874,0.04,0,2.51784468
0.00036,0.00018,6.54221338,-6.3427603,0.08,0,3.16393447
0.00044,0.00022,7.61029972,-7.51316753,0.08,0,4.1379261
0.00052,0.00026,8.7429986,-8.63783355,0.08,0,5.10950017
0.0006,0.0003,9.8515617,-9.74953192,0.08,0,6.06065392
0.00068,0.00034,10.9906513,-10.8560602,0.08,0,7.03148437
0.00076,0.00038,12.066618,-11.9533172,0.08,0,8.06700945
0.00084,0.00042,13.1291658,-13.0313047,0.16,0,9.11915851
0.001,0.0005,15.1776215,-15.1652978,0.16,0,11.3767653
0.00116,0.00058,17.2445053,-17.2462657,0.16,0,14.2703383
0.00132,0.00066,19.2781684,-19.2820094,0.16,0,21.7738938
0.00148,0.00074,21.3846134,-21.3613764,0.16,0,24.9614275
0.00164,0.00082,23.388668,-23.3776902,0.16,0,28.0586035
0.0018,0.0009,25.3367077,-25.4095893,0.32,0,33.8035264
0.00212,0.00106,29.2949607,-29.3153632,0.32,0,42.7633755
0.00244,0.00122,33.1805683,-33.208775,0.32,0,50.3323612
0.00276,0.00138,37.0222211,-37.0390934,0.32,0,59.9568634
0.00308,0.00154,40.7646352,-40.7998799,0.32,0,73.0300951
0.0034,0.0017,44.6344054,-44.640369,0.32,0,81.4555809
0.00372,0.00186,48.3850583,-48.3966271,0.64,0,90.4840949
0.00436,0.00218,55.7562782,-55.8722142,0.64,0,108.636516
0.005,0.0025,63.2062889,-63.1792675,0.64,0,126.188136
0.00564,0.00282,70.428538,-70.5032942,0.64,0,143.98378
0.00628,0.00314,77.8766194,-77.8102151,0.64,0,160.360753
0.00692,0.00346,84.8858756,-84.9677556,0.64,0,176.523989
0.00756,0.00378,94.1533987,-94.6332879,1.28,1,180.535378
0.00884,0.00442,106.687973,-106.613346,1.28,0,232.334117
0.01012,0.00506,120.941313,-120.898524,1.28,0,273.507332
0.0114,0.0057,135.100285,-135.058444,1.28,0,316.654219
0.01268,0.00634,149.137317,-149.175819,1.28,0,357.501926
0.01396,0.00698,163.233091,-163.262374,1.28,0,397.992699
0.01524,0.00762,177.3075,-177.313686,2.56,0,448.706399
0.0178,0.0089,205.854213,-206.158998,2.56,1,556.984017
0.02036,0.01018,233.730373,-234.036787,2.56,1,657.041523
0.02292,0.01146,260.753321,-260.808757,2.56,0,724.42499
0.02548,0.01274,289.309853,-289.568882,2.56,1,806.724113
0.02804,0.01402,316.992616,-317.343148,2.56,1,894.092031
0.0306,0.0153,344.931743,-345.246318,5,1,985.844434
0.0356,0.0178,398.064387,-398.373225,5,1,1165.37909
0.0406,0.0203,451.569607,-452.155272,5,1,1339.78194
0.0456,0.0228,505.439937,-505.965521,5,1,1543.94233
0.0506,0.0253,559.262862,-559.207416,5,1,1640.25328
0.0556,0.0278,612.612022,-612.562284,5,1,1781.79826
0.0606,0.0303,666.17802,-666.468441,5,1,1862.12595
0.0656,0.0328,719.028817,-719.239002,5,1,1950.0142
0.0706,0.0353,771.823115,-771.696364,5,1,1991.48981
0.0756,0.0378,824.57452,-824.833039,5,1,2147.69812
0.0781,0.03905,851.752257,-851.910868,2.5,1,2211.7712
0.0806,0.0403,877.464126,-877.544931,2.5,1,2273.99387
0.0831,0.04155,904.422535,-904.55612,2.5,1,2347.9555
0.0856,0.0428,931.003339,-931.284954,2.5,1,2414.30656
0.0881,0.04405,956.729393,-956.898734,2.5,1,2476.41631
0.0906,0.0453,983.157155,-983.380723,5,1,2541.51508
0.0931,0.04655,1008.60176,-1008.82702,2.5,1,2683.82962
0.0956,0.0478,1035.25306,-1035.68416,2.5,1,2736.78273
