# build=c162833edc6059a2e5122e3a8e8dfb0a46a3e9f3 driver=Tries/response-curve-matrix/model/harness/drive.py cell=D-L scale=coarse date=2026-09-07 push_driver=sp-loadcontrol
# ONE ROW PER COMMITTED STEP WHOSE `implex_err_max` EXCEEDED THE THRESHOLD, naming THE POINT THAT HELD THE MAXIMUM.  The threshold is 0.01, or the declared `-implexControl` tolerance if that is smaller, so every row the control could have refused is here whatever the tolerance was.  `curve.csv` carries the maximum on every row; this file carries WHERE it was and what the point looked like.  The columns are the argmax point's own: the six `implexDetail` slots, its mean stress, its `substeps` pair, its committed stress 6-vector and the packed `state` (ManzariDafalias::getState, 26 slots: epsE, alpha, z fabric, alpha_in, e, dgamma)
# THIS IS NOT THE ZERO-INCREMENT CENSUS.  These rows are read at the commit of a step that was actually TAKEN, so the error on them mixes the extrapolation over a real strain increment with whatever inconsistency the committed state already carried.  The census files separate the two by taking a step of nothing
step,s_over_B,ds_m,implex_err_max,ele,gp,x,y,z,err,err_dev,err_vol,clamp_fired,clamp_count,f,p_kPa,substeps,substep_cap_hit,sig11,sig22,sig33,sig12,sig23,sig13,epsE_1,epsE_2,epsE_3,epsE_4,epsE_5,epsE_6,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,z_1,z_2,z_3,z_4,z_5,z_6,alpha_in_1,alpha_in_2,alpha_in_3,alpha_in_4,alpha_in_5,alpha_in_6,e_void,dgamma
106,0.0053,0.0001,0.016446433824,3832,5,1.6056624327,1.6056624327,-0.605662432703,0.016446433824,0.0164371020613,0.000553950677585,0,0,1,-15.7506470478,64,0,-14.2741151218,-14.2751801009,-18.7026459208,-6.26322048477,3.85023374707,3.84931898566,4.84962439434e-05,4.85111501268e-05,2.03877259289e-05,0.000202866305885,-0.000129036658083,-0.000129010987141,-0.0877522698697,-0.0876745108528,0.175426780722,0.372710134909,-0.2278379652,-0.227799642702,-0.00180545113877,-0.00182409991675,0.00362955105552,-0.0174691085316,0.0169132064946,0.0169043029539,-0.262566582282,-0.262566617151,0.525133199433,-0.00407363266805,0.0145348612516,0.0145348473281,0.62690847901,4.0961858389e-08
107,0.00536666666667,0.0001,0.021646696534,4113,1,-1.8943375673,1.8943375673,-0.105662432703,0.021646696534,0.0216313761359,0.000814271024047,0,0,1,-12.1475723962,171,0,-8.6788291519,-8.69133494947,-19.0725530871,-0.195619246102,2.39232203602,-2.37117220641,1.59881937296e-06,1.79970389135e-06,0.000101390469333,7.58232404999e-06,-8.58474557282e-05,8.51700158377e-05,-0.262023373224,-0.26109478633,0.523118159553,0.0148138449949,-0.182449489676,0.180749731021,0.0034037077322,0.00340317535804,-0.00680688309025,-0.000702459426201,0.00397871783392,-0.00398427760137,-0.257332182504,-0.257332191247,0.514664373751,-0.0159131492439,0.00587211911341,-0.00587210007596,0.626930879574,1.7876155549e-07
108,0.00543333333333,0.0001,0.0297071256052,4113,1,-1.8943375673,1.8943375673,-0.105662432703,0.0297071256052,0.0295032779575,0.0034741763752,0,0,1,-12.1983823841,400,0,-8.95704958167,-8.92835834201,-18.7097392287,-0.210971856497,2.87576084934,-2.56765421455,5.47106719949e-06,5.01246315531e-06,9.50009408342e-05,8.07385798756e-06,-0.000101325382763,9.14606447691e-05,-0.245035013198,-0.248321644443,0.493096845312,0.0151829206652,-0.220369959187,0.193808569298,0.00390499601652,0.00386774356965,-0.00777283461016,-0.000735304535719,0.00372898306912,-0.00394802397843,-0.257332182504,-0.257332191247,0.514664373751,-0.0159131492439,0.00587211911341,-0.00587210007596,0.626931030217,0
109,0.0055,0.0001,0.0399939334485,4113,1,-1.8943375673,1.8943375673,-0.105662432703,0.0399939334485,0.0398925529791,0.00284586181952,0,0,1,-12.2263769453,126,0,-8.7699036579,-8.76687606096,-19.1423511171,-0.298072268318,3.06557139435,-2.75816596307,2.16170708218e-06,2.11307410785e-06,0.000101592075982,1.08566779792e-05,-0.000107389746504,9.75474116549e-05,-0.261007257287,-0.2633959517,0.523561037025,0.0220163655539,-0.233934520089,0.208368961594,0.00390499601652,0.00386774356965,-0.00777283461016,-0.000735304535719,0.00372898306912,-0.00394802397843,-0.257332182504,-0.257332191247,0.514664373751,-0.0159131492439,0.00587211911341,-0.00587210007596,0.62693082908,0
110,0.00556666666667,0.0001,0.0224847449698,4120,2,1.8943375673,1.8943375673,-0.105662432703,0.0224847449698,0.0224494611915,0.00125914596858,0,0,1,-12.2189926353,32,0,-8.76672948248,-8.7701998014,-19.1200486219,0.353643721043,2.93584661221,2.99935711819,2.20681677968e-06,2.26240608902e-06,0.00010126679454,-1.26169999098e-05,-0.000103177803482,-0.000105212545525,-0.260251948767,-0.260166606973,0.520226106987,-0.0266171858204,-0.222513677821,-0.22928524035,0.00415743301016,0.00419955410344,-0.00838626322732,0.000760806908384,0.00391773840703,0.00362431754371,-0.257332182435,-0.257332191263,0.514664373697,0.0159131492517,0.00587211910388,0.00587210006283,0.626930338866,0
111,0.00563333333333,0.0001,0.0103169605583,3832,5,1.6056624327,1.6056624327,-0.605662432703,0.0103169605583,0.01031493559,0.000204398959985,0,0,1,-16.7486458884,48,0,-15.0198442219,-15.0233292068,-20.2027642364,-6.76342402821,4.99035467097,4.98714376241,4.89382534066e-05,4.89867265573e-05,3.13192925629e-05,0.000216756421597,-0.00016072169422,-0.000160632163379,-0.0970362533274,-0.0967967282999,0.193832981627,0.379837378354,-0.279125236229,-0.278981497353,0.00267919846421,0.00261071224222,-0.00528991070643,-0.0272372054154,0.0365840673677,0.0365437611369,-0.262566582282,-0.262566617151,0.525133199433,-0.00407363266805,0.0145348612516,0.0145348473281,0.626894326924,8.15017571159e-08
283,0.0171,0.0001,0.0165056761328,4115,1,-0.894337567297,1.8943375673,-0.105662432703,0.0165056761328,0.0165056526517,2.78413340393e-05,0,0,1,-5.63615945179,19,0,-3.3363343462,-8.55078586565,-5.0213581435,1.25655384323,4.45639050156,-0.605668682491,-1.08860380578e-05,0.000111778739782,-0.000104118543102,-5.71497050625e-05,-0.00025096448408,3.36076180388e-05,-0.348640555235,0.438565232827,-0.0899246775916,-0.19007486015,-0.669763072934,0.0912835840871,0.116371895624,-0.220985271999,0.104613376376,0.0865617079547,0.368748896498,-0.0554247089225,-0.350125258608,0.0267062487725,0.323419009836,-0.0968149427981,0.266373323064,-0.0288717483214,0.627172128997,2.00667522988e-07
284,0.0171083333333,1.25e-05,0.0231460674089,4091,1,-0.894337567297,1.3943375673,-0.105662432703,0.0231460674089,0.0209984818609,0.0097367446322,0,0,0.125,-181.656130855,6,0,-109.357279424,-268.533163291,-167.077949851,26.9157361051,197.287939277,-12.9365844759,-0.000147298939227,0.000920377445825,0.000326540926128,-0.000348651355543,-0.00274799152509,0.000159025256924,-0.392526175729,0.473872854791,-0.0813466790618,-0.147520285119,-1.08043297092,0.0704776275605,1.1809192256,-1.38913993579,0.208220710191,0.396927737804,3.04073223701,-0.203341906656,-0.442139312194,0.501144438386,-0.0590051261925,-0.151467719027,-1.09517426196,0.0703960574478,0.626027562209,9.52089824117e-07
285,0.0171166666667,1.25e-05,0.0374382275669,4115,5,-0.894337567297,1.6056624327,-0.105662432703,0.0374382275669,0.0374014272035,0.00165955611349,0,0,1,-6.67239920519,30,0,-5.67764870054,-12.6005953423,-1.73895357276,3.03570590179,2.84310849241,-1.01145483146,3.1537531159e-05,0.000188392526662,-0.000203193079479,-0.000140412959626,-0.000142012048519,5.23808821495e-05,-0.127665739053,0.770206757732,-0.642541018679,-0.393534460949,-0.368678895159,0.130668903844,0.0719221632146,-0.469431423586,0.397509260371,0.23541247451,0.310078428871,-0.100056517463,-0.21555225183,0.363932884935,-0.148380633105,-0.192443135278,0.405421777016,-0.0380982908476,0.62717701871,2.82112397263e-07
286,0.017125,1.25e-05,0.0350076497761,4115,5,-0.894337567297,1.6056624327,-0.105662432703,0.0350076497761,0.0349505200246,0.00199917304395,0,0,1,-6.67504733547,9,0,-5.63211146198,-12.5294460854,-1.86358445903,3.09478133548,2.8528818214,-1.06518102354,3.05130506999e-05,0.000186814837727,-0.000200542002327,-0.000142964967062,-0.000142434247844,5.47018069924e-05,-0.1344917471,0.761696945292,-0.627205198193,-0.400720830238,-0.370183838902,0.137208786285,0.0719427610248,-0.469434088106,0.397491327081,0.235444591045,0.310094225295,-0.100078201292,-0.127665739053,0.770206757732,-0.642541018679,-0.393534460949,-0.368678895159,0.130668903844,0.627176947618,8.96051801546e-08
290,0.0171583333333,1.25e-05,0.0178805380285,4119,5,1.1056624327,1.6056624327,-0.105662432703,0.0178805380285,0.017878101544,0.000295170073123,0,0,1,-8.04917457188,1,0,-7.79905433833,-11.2001361718,-5.14833320552,-1.70412178586,2.8787565481,4.88310781516,4.8038761339e-05,0.000121289202236,-0.000127767748218,6.19687738319e-05,-0.00011684003877,-0.000203877834593,-0.0275700230892,0.34669916835,-0.319129145261,0.187218443448,-0.316628526433,-0.536783759931,-0.00976273845281,-0.138636743043,0.148399481496,-0.121762031575,0.243958695398,0.307394404307,-0.0218254852601,0.359895143251,-0.338069657991,0.199831633765,-0.324796253278,-0.515397515527,0.627099987272,0
291,0.0171666666667,1.25e-05,0.013977937401,4096,5,1.6056624327,1.1056624327,-0.105662432703,0.013977937401,0.0139760424717,0.00023015389137,0,0,1,-7.97279999344,1,0,-11.1086756585,-7.80728388586,-5.00244043593,-1.72082828878,4.79533082669,2.81066550793,0.000120380235806,4.93253197894e-05,-0.000129438665735,6.25559305243e-05,-0.000200435002013,-0.000113940276942,0.347745328968,-0.0182692378424,-0.329476091125,0.190734868085,-0.531574738983,-0.311952000907,-0.136433407358,-0.0109609892562,0.147394396614,-0.119834519725,0.306162853136,0.241162731264,0.358602932973,-0.0160354440228,-0.34256748895,0.196242183551,-0.517545377802,-0.320741437944,0.627101420269,0
306,0.0172833333333,2.5e-05,0.0196206190335,4066,3,-1.3943375673,0.894337567297,-0.394337567297,0.0196206190335,0.0190440090324,0.00472169580008,0,0,1,-123.951437534,87,0,-138.495283281,-76.9930037751,-156.366025547,23.1116021083,14.5012342811,-134.135930952,0.000415268253076,-6.82335831304e-05,0.000528168138803,-0.000383268833536,-0.000222974344814,0.00207538959113,0.117832479374,-0.37895066203,0.261118182655,-0.185706826107,-0.116002696767,1.07388319213,-0.248935781249,0.608469250581,-0.359533469333,0.30825365523,0.227866906745,-1.82822108318,0.0697139427685,-0.342408669625,0.272694726857,-0.163967143792,-0.0889810625622,0.700876426837,0.626033609655,7.00673688169e-08
307,0.0173,2.5e-05,0.012603571323,4066,7,-1.3943375673,0.605662432703,-0.394337567297,0.012603571323,0.0121723639933,0.00326857230437,0,0,1,-123.278750005,19,0,-129.370203784,-85.6545761654,-154.811470067,25.3340770156,36.1293650371,-127.729726024,0.000362764404479,-1.4196382256e-05,0.000523590027885,-0.000386818317056,-0.000525577272797,0.00200611828215,0.0492918425929,-0.30466848012,0.255376637528,-0.205908970134,-0.290348818907,1.02843568353,-0.15846096177,0.505652810363,-0.347191848594,0.333922679048,0.462243126792,-1.73548642282,0.0687018683876,-0.336994350711,0.268292482323,-0.127145578042,-0.1131082297,0.716488268109,0.626028673435,7.74200166409e-07
308,0.0173166666667,2.5e-05,0.0101809631373,4066,7,-1.3943375673,0.605662432703,-0.394337567297,0.0101809631373,0.00991748707154,0.00230118677823,0,0,1,-123.024679239,24,0,-129.469337858,-82.9171009022,-156.687598957,27.748808737,36.3422975605,-130.267884739,0.000364175393875,-2.70395469448e-05,0.000533930536614,-0.000411086698029,-0.000527717273508,0.00203162712114,0.0522972738161,-0.325468863912,0.273171590207,-0.225750833824,-0.292813012208,1.0508103681,-0.15846096177,0.505652810363,-0.347191848594,0.333922679048,0.462243126792,-1.73548642282,0.0687018683876,-0.336994350711,0.268292482323,-0.127145578042,-0.1131082297,0.716488268109,0.62602364253,7.97300119148e-07
328,0.0175583333333,5e-05,0.0150936441052,4091,4,-0.605662432703,1.3943375673,-0.394337567297,0.0150936441052,0.0147609832473,0.00315142284444,0,0,1,-132.615588098,15,0,-84.5657161811,-140.51110579,-172.769942323,34.4408408753,146.958437369,-39.0727046201,-5.1754203952e-05,0.00038464209567,0.000578817657457,-0.000476368201077,-0.00219491491749,0.000554951392591,-0.362117944562,0.0600533977179,0.302208793605,-0.259383148986,-1.10037717676,0.292024993058,0.496004762526,-0.150957848005,-0.345046914521,0.332297786158,1.71135133282,-0.461700454483,-0.336981365116,0.0686604308248,0.268320934291,-0.127150993222,-0.716494279707,0.113080589659,0.625917741446,7.78146475334e-07
331,0.01757578125,3.90625e-07,0.530859827507,4095,8,1.3943375673,1.1056624327,-0.394337567297,0.530859827507,0.524191549848,0.0838771454524,0,0,0.499999999998,-56.6995455552,240,0,-51.4281793308,-56.3951264871,-62.2753308477,-20.534614381,28.0591257875,25.2668681542,0.000140150933063,0.000158569321463,0.000213241148833,0.000545544325561,-0.000709927719914,-0.000759719933599,-0.0930838241522,-0.00580139871099,0.0957788458169,0.355173723951,-0.484997258117,-0.435725150802,0.18452044402,0.0492771956737,-0.233921688381,-1.2771143845,1.87065826532,1.95338802368,-0.030639861698,-0.228963881486,0.259603743184,0.37789768894,-0.341969785801,-0.640392147043,0.626824073581,0
332,0.0175760416667,3.90625e-07,0.462499730329,4095,8,1.3943375673,1.1056624327,-0.394337567297,0.462499730329,0.455639979711,0.0793612590878,0,0,1,-57.4700830465,43,0,-52.0396805058,-56.4164018844,-63.9541667491,-22.1171334585,30.7868346281,27.123011963,0.000140599813057,0.000154644849636,0.000221598579156,0.000568996072165,-0.000750350320467,-0.000787226593633,-0.0925738290176,-0.0177058855573,0.110279714575,0.376917526921,-0.524472240779,-0.462214412272,0.185067259598,0.0502775518978,-0.235467685357,-1.279815653,1.87495668054,1.95619976348,-0.0930838241522,-0.00580139871099,0.0957788458169,0.355173723951,-0.484997258117,-0.435725150802,0.626817825182,6.77319696483e-07
333,0.0175763020833,3.90625e-07,0.149291642422,3807,2,1.3943375673,1.3943375673,-0.605662432703,0.149291642422,0.145558230488,0.0331782463996,0,0,1,-64.1869036061,1,0,-70.2901826558,-40.4950197496,-81.775508413,-38.4599716369,62.3347377208,59.1128906519,0.000187753843634,-1.47479199467e-05,0.00033780077579,0.00077517679492,-0.00117909005085,-0.00113580299012,0.0950089610307,-0.362632424206,0.267623463175,0.588981803182,-0.955278689372,-0.904885821885,0.602960993273,0.605892208929,-1.2088532022,-1.58591421564,2.4658739962,2.46797779697,0.130659681964,-0.385530621651,0.254870939687,0.592731306406,-0.977885677433,-0.909387454114,0.627139281244,0
334,0.0175765625,3.90625e-07,0.404484269191,4118,8,0.894337567297,1.6056624327,-0.394337567297,0.404484269191,0.404475206821,0.00270759861484,0,0,1,-15.8436555558,100,0,-10.4082675722,-26.5919801612,-10.5307189339,-2.73375346267,6.21742330714,1.33180254196,-3.9081203263e-05,0.000361803803857,-0.000172444574685,0.000137595343929,-0.000301662842357,-5.30919902023e-05,-0.319754709133,0.635529778881,-0.315775069748,0.161149090205,-0.368849017149,-0.0799362013091,0.700850501525,-1.49244335793,0.79159285641,-0.38903796031,0.992972240005,0.154314709648,-0.60814744275,1.18433568281,-0.576188240058,0.324078701121,-0.656910804822,-0.113241930349,0.627164047866,0
335,0.0175768229167,3.90625e-07,0.394257363804,4118,8,0.894337567297,1.6056624327,-0.394337567297,0.394257363804,0.394248285948,0.00267543284768,0,0,1,-15.9305619317,1,0,-10.1788305466,-27.1087471266,-10.5041081218,-2.98915650545,6.74795244868,1.33161214091,-4.31682201205e-05,0.000368176406922,-0.000173688555149,0.000144755366621,-0.000316535808045,-5.30866524592e-05,-0.337831603485,0.657202382612,-0.319370779126,0.175628574251,-0.396845103347,-0.0783460573208,0.700850501841,-1.49244335815,0.79159285631,-0.389037960426,0.992972239972,0.154314709527,-0.319754709133,0.635529778881,-0.315775069748,0.161149090205,-0.368849017149,-0.0799362013091,0.627162521939,0
336,0.0175770833333,3.90625e-07,0.0212959049397,4118,2,0.894337567297,1.8943375673,-0.105662432703,0.0212959049397,0.0212202162718,0.00179387529599,0,0,1,-5.95407237615,6,0,-3.71457883089,-8.61524092447,-5.53239737309,-1.1982349307,5.59717431767,0.690827606809,-7.20938122563e-06,0.000107695401896,-9.74021147618e-05,5.44108285969e-05,-0.000303814721457,-3.7414280343e-05,-0.32055946365,0.380718516257,-0.0601590526067,0.171175046941,-0.801385607467,-0.0984874816013,0.120095920882,-0.225652619776,0.105556698894,-0.0893317389322,0.385101455186,0.0579614893296,-0.318942643322,0.376867795978,-0.0579251526562,0.167192542411,-0.795934419932,-0.0942847934694,0.627165339511,3.83448970992e-08
337,0.0175776041667,7.8125e-07,0.0188711337079,4119,5,1.1056624327,1.6056624327,-0.105662432703,0.0188711337079,0.0188325623918,0.0012059358104,0,0,2.00000000001,-8.52272571035,7,0,-8.51410940413,-11.6360379151,-5.41802981182,-1.3660353782,3.26084528952,6.18229739844,5.54061419761e-05,0.000123344481849,-0.00012924284181,4.86292629295e-05,-0.000131464015437,-0.000253890999733,-0.00165390497022,0.325762104329,-0.324108199359,0.141680584153,-0.343135276809,-0.65017737899,-0.00959926141714,-0.142722090828,0.152321352245,-0.122738441396,0.250341324273,0.320707128916,-0.00534945603437,0.325545808623,-0.320196352588,0.13553276594,-0.350096847134,-0.662217014801,0.627090224371,5.09255702935e-09
339,0.0175786458333,7.8125e-07,0.0131469613626,3804,4,-0.105662432703,1.3943375673,-0.894337567297,0.0131469613626,0.0114027500979,0.00654369034082,0,0,1,-129.752205722,1,0,-62.6909212792,-88.7965463818,-237.769149504,2.19004087011,134.319541896,-10.0380959588,-0.000219313291365,2.31778014302e-05,0.00103581767253,-4.94918875402e-05,-0.00197779012723,0.000142017014071,-0.510359720813,-0.315486243497,0.82584596431,-0.0156343430198,-1.02717897784,0.0779382180933,1.34751468535,0.686447779906,-2.03396246526,0.0744107338573,2.71751966143,-0.182062933296,-0.536651050731,-0.303379331102,0.840030381833,-0.0247532102721,-1.0421817061,0.0714424590069,0.626427521102,0
340,0.01757890625,3.90625e-07,0.363319625485,3804,2,-0.105662432703,1.3943375673,-0.605662432703,0.363319625485,0.363319547226,0.000238466649168,0,0,0.499999999998,-144.375414139,220,0,-100.144103402,-118.3791999,-214.602939113,-0.432306931312,91.6431804554,-3.37793657711,-8.2973224686e-05,0.00011729886964,0.000865178219393,-1.995635238e-06,-0.00161840093041,5.08076693552e-05,-0.302438210841,-0.178397753447,0.480835964288,0.00333350772595,-0.62833337763,0.0231100636565,1.38919904061,0.798580588578,-2.18777962919,0.00880444219079,3.09084781522,-0.105552720163,-0.510778379435,-0.302690067639,0.813468447073,0.00642385749161,-1.06325571954,0.0396222750753,0.626428243237,5.55042471216e-07
