# ADR90 WP-A2 tau=0 band, build dee04dbe39117d16835f7caa52a6b71aab72f1ba (expected dee04dbe39117d16835f7caa52a6b71aab72f1ba), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res,guard_ctlf,substeps_tot,substeps_max,substeps_max_ele,substeps_ring_tot,substeps_ring_max,wall_step_s
2e-05,1e-05,1.33696317,-1.20170854,0.02,0,0.0902020931,0,0,0,0,0,0,0,844,39,90,300,39,0.0902020931
4e-05,2e-05,1.93914025,-1.88003218,0.02,0,0.157239199,0,0,0,0,0,0,0,732,17,90,234,17,0.0670371056
6e-05,3e-05,2.6178063,-2.5165304,0.02,0,0.205868244,0,0,0,0,0,0,0,664,15,90,196,15,0.0486290455
8e-05,4e-05,3.21582855,-3.14515235,0.02,0,0.273773432,0,0,0,0,0,0,0,756,17,90,212,17,0.0679051876
0.0001,5e-05,3.88870152,-3.7666035,0.02,0,0.324450731,0,0,0,0,0,0,0,744,14,90,186,14,0.0506772995
0.00012,6e-05,4.46345607,-4.37116671,0.04,0,0.397005558,0,0,0,0,0,0,0,880,19,90,238,19,0.0725548267
0.00016,8e-05,5.6528592,-5.56891443,0.04,0,0.501485825,0,0,0,0,0,0,0,1348,32,90,378,32,0.104480267
0.0002,0.0001,6.82429735,-6.73804855,0.04,0,0.609026194,0,0,0,0,0,0,0,1438,33,90,394,33,0.107540369
0.00024,0.00012,7.97445976,-7.88740989,0.04,0,0.71647501,0,0,0,0,0,0,0,1554,32,90,400,32,0.107448816
0.00028,0.00014,9.10639912,-9.01897022,0.04,0,0.830037594,0,0,0,0,0,0,0,1670,33,120,430,33,0.113562584
0.00032,0.00016,10.2197412,-10.130497,0.04,0,0.941491127,0,0,0,0,0,0,0,1702,33,90,423,33,0.111453533
0.00036,0.00018,11.3506722,-11.2287833,0.08,0,1.05261397,0,0,0,0,0,0,0,1749,33,90,444,33,0.111122847
0.00044,0.00022,13.4788105,-13.3808947,0.08,0,1.23138809,0,0,0,0,0,0,0,2994,65,90,867,65,0.178774118
0.00052,0.00026,15.5906693,-15.4841737,0.08,0,1.42091751,0,0,0,0,0,0,0,3142,64,90,898,64,0.189529419
0.0006,0.0003,17.633915,-17.5542356,0.08,0,1.65172768,0,0,0,0,0,0,0,3362,65,120,927,65,0.230810165
0.00068,0.00034,19.708832,-19.5837561,0.08,0,1.84360337,0,0,0,0,0,0,0,3416,62,120,938,62,0.191875696
0.00076,0.00038,21.710373,-21.5786361,0.08,0,2.03945518,0,0,0,0,0,0,0,3515,63,90,949,62,0.195851803
0.00084,0.00042,23.6809697,-23.5521698,0.16,0,2.24130225,0,0,0,0,0,0,0,3678,62,90,968,62,0.201847076
0.001,0.0005,27.4715551,-27.4321233,0.16,0,2.69999528,0,0,0,0,0,0,0,6638,120,120,1860,120,0.458693027
0.00116,0.00058,31.2411245,-31.2094051,0.16,0,3.17905545,0,0,0,0,0,0,0,6817,116,90,1890,115,0.479060173
0.00132,0.00066,34.9269994,-34.9252984,0.16,0,3.7211504,0,0,0,0,0,0,0,6993,115,120,1895,115,0.542094946
0.00148,0.00074,38.5933939,-38.5904457,0.16,0,4.25734282,0,0,0,0,0,0,0,7068,111,120,1903,111,0.536192417
0.00164,0.00082,42.1811087,-42.187122,0.16,0,4.87936449,0,0,0,0,0,0,0,7222,111,120,1920,111,0.622021675
0.0018,0.0009,45.7361201,-45.7456143,0.32,0,5.51365876,0,0,0,0,0,0,0,7233,108,120,1937,108,0.634294271
0.00212,0.00106,52.6941705,-52.7009105,0.32,0,7.03475094,0,0,0,0,0,0,0,13092,206,90,3700,205,1.52109218
0.00244,0.00122,59.5351107,-59.5416011,0.32,0,8.70734143,0,0,0,0,0,0,0,13091,199,90,3643,199,1.67259049
0.00276,0.00138,66.2626513,-66.2717175,0.32,0,10.3694785,0,0,0,0,0,0,0,13181,193,90,3697,193,1.66213703
0.00308,0.00154,72.9017546,-72.9071914,0.32,0,12.0802228,0,0,0,0,0,0,0,13227,188,90,3673,187,1.71074438
0.0034,0.0017,79.4502759,-79.4593232,0.32,0,13.9163709,0,0,0,0,0,0,0,13275,184,90,3652,183,1.83614802
0.00372,0.00186,85.9395668,-85.9544537,0.64,0,15.4941666,0,0,0,0,0,0,0,13306,179,90,3653,177,1.57779574
0.00436,0.00218,98.6889167,-98.6998833,0.64,0,19.1614385,0,0,0,0,0,0,0,24904,340,120,6967,340,3.66727185
0.005,0.0025,111.223575,-111.23049,0.64,0,23.9653976,0,0,0,0,0,0,0,24893,327,90,6891,327,4.80395913
0.00564,0.00282,123.407215,-123.397677,0.64,0,31.1758411,0,0,0,0,0,0,0,25076,319,120,6893,319,7.2104435
0.00628,0.00314,135.902837,-135.90723,0.64,0,35.2188876,0,0,0,0,0,0,0,24562,295,120,6626,295,4.04304647
0.00692,0.00346,148.013806,-148.018645,0.64,0,39.7384403,0,0,0,0,0,0,0,24822,294,120,6665,294,4.51955271
0.00756,0.00378,160.028972,-160.034236,1.28,0,44.4995158,0,0,0,0,0,0,0,24684,283,120,6540,283,4.7610755
0.00884,0.00442,183.674412,-183.602491,1.28,0,57.4051034,0,0,0,0,0,0,0,47204,538,90,12673,537,12.9055877
0.01012,0.00506,207.006869,-207.069623,1.28,0,71.3314748,0,0,0,0,0,0,0,46715,508,120,12347,508,13.9263713
0.0114,0.0057,230.14581,-230.22032,1.28,0,84.9593897,0,0,0,0,0,0,0,46508,487,90,12130,484,13.6279149
0.01268,0.00634,253.826503,-254.075724,1.28,1,100.343865,0,0,0,0,0,0,0,46316,426,90,11328,425,15.3844755
0.01396,0.00698,277.040831,-277.379269,1.28,1,124.967575,0,0,0,0,0,0,0,46038,460,90,11309,399,24.6237102
0.01524,0.00762,299.357045,-299.729217,2.56,1,150.297189,0,0,0,0,0,0,0,46133,496,120,12059,496,25.3296134
0.0178,0.0089,342.733354,-342.601906,2.56,0,181.895412,0,0,0,0,0,0,0,88957,854,90,23516,839,31.598223
0.02036,0.01018,386.81812,-386.897353,2.56,0,209.252315,0,0,0,0,0,0,0,87499,759,90,21925,759,27.3569036
0.02292,0.01146,430.479721,-430.541162,2.56,0,239.450767,0,0,0,0,0,0,0,86819,727,90,21566,723,30.198452
0.024,0.012,448.886776,-448.814211,1.08,0,251.86003,0,0,0,0,0,0,0,38096,300,90,9134,298,12.4092624
