element,gp,x_m,y_m,p_kPa,eta,eta_over_Mb_compression,e,psi,sigma_0,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_in_0,alpha_in_1,alpha_in_2,alpha_in_3,alpha_in_4,alpha_in_5,z_0,z_1,z_2,z_3,z_4,z_5
1950,3,0.8438,-0.0937,0.351864,12.8744,6.13427,0.69774297,-0.130142,-0.7130928156,1.516256497,0.2524269495,-2.364427573,0,0,-3.025994776,3.307353032,-0.2813582561,-6.717355839,0,0,0,0,0,0,0,0,-0.4774822996,-2.288702146,2.766184445,6.992437139,0,0
1950,2,0.8438,-0.0937,0.353,12.0595,5.74603,0.69774297,-0.130139,0.09690310673,0.7096234126,0.2524738429,-2.437057701,0,0,-0.7257497932,1.009284047,-0.283534254,-6.901189265,0,0,0,0,0,0,0,0,-0.4658345608,-2.038424983,2.503882275,6.453102622,0,0
1950,4,0.8438,-0.0937,7.70721,1.80311,0.878486,0.69774297,-0.123775,4.109068935,14.41466395,4.597896569,-5.52924626,0,0,-0.4665110409,0.8689704965,-0.4024594556,-0.7147772346,0,0,-0.1592386286,0.5193832048,-0.3601445763,-0.5121277351,0,0,0.2178620151,-3.092909277,2.875047262,6.986159311,0,0
1898,4,0.0938,-0.8438,2.2861,1.58034,0.743589,0.69136187,-0.133729,0.9345000305,4.593729047,1.330077474,0.5637744495,0,0,-0.5922427832,1.007197668,-0.4149548844,0.2462569659,0,0,0,0,0,0,0,0,1.26396592,-1.877962843,0.6139971115,0.1377030734,0,0
1950,1,0.8438,-0.0937,0.349049,1.54416,0.735726,0.69774297,-0.13015,0.3804703261,0.4332984367,0.2333796112,-0.2934349809,0,0,0.0891225302,0.2412558158,-0.330378346,-0.8379450023,0,0,-0.494453179,0.8287928486,-0.3343396697,0.4810109091,0,0,0.3910749126,-3.147963241,2.757742641,6.070763688,0,0
1859,2,-0.4688,-1.4062,0.930808,1.56762,0.732853,0.69114817,-0.135575,0.5324787671,1.895634164,0.3643115196,-0.06688593036,0,0,-0.4243181348,1.034750279,-0.6081675276,-0.07159931752,0,0,0,0,0,0,0,0,1.875130242,-2.879854658,1.004724415,-0.9181155408,0,0
1962,2,1.0312,-0.0937,1.74967,1.47754,0.702147,0.69475187,-0.130896,1.268348766,2.986814578,0.9938385177,1.030054081,0,0,-0.2731054492,0.7039393892,-0.43083394,0.5878303867,0,0,0.1062324952,0.3115993116,-0.4178318067,0.4944737206,0,0,-0.5811082553,-0.3130242633,0.8941325186,0.9674879768,0,0
1962,3,1.0312,-0.0937,1.08018,1.42957,0.677335,0.69475187,-0.131745,0.699757219,1.904307252,0.6364830889,0.5333470149,0,0,-0.3501225663,0.7597206502,-0.4095980839,0.4943153371,0,0,-0.002270648702,0.3700528726,-0.3677822239,0.5323330617,0,0,-0.04037077725,-0.7041562442,0.744527018,0.7832864709,0,0
1842,2,-0.8438,-0.0937,9.06225,1.3357,0.650167,0.69683918,-0.124037,4.247768369,16.80888459,6.130084465,1.716374791,0,0,-0.5298388625,0.8523045032,-0.3224656407,0.1875173095,0,0,-0.3689810823,0.682527001,-0.3135459187,0.2582367083,0,0,0.08643901278,-2.799188956,2.713153008,-6.815166683,0,0
1962,1,1.0312,-0.0937,3.10732,1.34774,0.643347,0.69475187,-0.129612,2.235257026,5.33841231,1.748289344,1.432969676,0,0,-0.2785049688,0.714752922,-0.4362479532,0.4608375447,0,0,0.1052767459,0.3105472547,-0.4158240006,0.4454355881,0,0,-0.4679418714,-0.5872085408,1.055150412,0.5424514386,0,0
