element,gp,x_m,y_m,p_kPa,eta,eta_over_Mb_compression,e,psi,sigma_0,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_in_0,alpha_in_1,alpha_in_2,alpha_in_3,alpha_in_4,alpha_in_5,z_0,z_1,z_2,z_3,z_4,z_5
5016,1,-0.7969,-0.0469,1.57312,1.57251,0.751528,0.69657485,-0.129276,1.106651858,2.640342598,0.9723803113,1.086786461,0,0,-0.2960393212,0.6768375102,-0.3807981889,0.6883159123,0,0,-0.02918833687,0.3568959462,-0.3277076094,0.4344210767,0,0,-0.3637599264,-2.080585873,2.446012452,-6.226390537,0,0
4992,2,-0.8906,-0.0469,5.03555,1.56675,0.750973,0.69455804,-0.128438,2.042581316,10.2067232,2.857338948,0.7252668767,0,0,-0.5923655691,1.023917922,-0.431552353,0.1429039269,0,0,-0.5724822704,1.006549874,-0.434067604,-0.1047622017,0,0,-1.188182993,0.3510825328,0.8371004603,-1.059019582,0,0
4920,2,-1.1719,-0.0469,4.58317,1.54243,0.738029,0.6943514,-0.128935,2.813573354,8.322225428,2.61372615,-2.482447602,0,0,-0.3853851124,0.8139196678,-0.4285345555,-0.5392835133,0,0,-0.3204154628,0.750859086,-0.4304436232,-0.2883897217,0,0,0.08055535418,-0.1642611852,0.08370583105,0.08699324646,0,0
5496,3,1.0781,-0.0469,3.48747,1.52897,0.7298,0.69442875,-0.129634,1.41254918,7.024498318,2.025374117,0.02756624204,0,0,-0.5978181003,1.017126546,-0.4193084457,0.007953886418,0,0,-0.5972081133,1.015573905,-0.4183657917,0.1415629173,0,0,0.161187699,-0.2702793945,0.1090917042,0.02239031715,0,0
5471,3,0.9844,-0.1406,4.1397,1.46511,0.700918,0.69460469,-0.128982,2.723507551,7.146690028,2.548888359,2.339381957,0,0,-0.3430115052,0.7263818364,-0.3833703312,0.5678487932,0,0,-0.0004932990882,0.443173105,-0.4426798059,0.1006752579,0,0,-1.118428915,0.4529356124,0.6654933029,0.8100344942,0,0
4920,3,-1.1719,-0.0469,4.29688,1.45134,0.693981,0.6943514,-0.129127,2.178129813,8.252209621,2.460307491,-1.100122944,0,0,-0.4913536835,0.9175835038,-0.4262298203,-0.2546749875,0,0,-0.2131524201,0.654155824,-0.441003404,-0.05329701088,0,0,0.1571048992,-0.2467553727,0.08965047356,0.03997065172,0,0
4992,1,-0.8906,-0.0469,3.28217,1.45113,0.692576,0.69455804,-0.129665,1.659352323,6.256615126,1.930543234,0.952765876,0,0,-0.4928263176,0.9035415648,-0.4107152472,0.2886142551,0,0,-0.4009182249,0.8001751512,-0.3992569263,-0.0651990612,0,0,-0.847531488,0.07154040994,0.7759910781,-1.30500069,0,0
4992,3,-0.8906,-0.0469,4.76843,1.4424,0.690962,0.69455804,-0.128608,2.22213168,9.302644042,2.780522344,-0.5212902644,0,0,-0.5317977317,0.9476665986,-0.4158688669,-0.109811984,0,0,-0.2740787258,0.6889913421,-0.4149126163,-0.002405468389,0,0,-0.526528623,-0.2627709805,0.7892996034,-0.5826486564,0,0
5520,4,1.1719,-0.0469,5.62015,1.39379,0.668289,0.69429733,-0.128344,2.755489163,10.83230717,3.272644244,0.1078069062,0,0,-0.5075221273,0.9242410741,-0.4167189467,0.01851158498,0,0,-0.5302365219,0.9435687747,-0.4133322528,-0.06630142889,0,0,0.1729961874,-0.2644095798,0.09141339242,-0.01545498504,0,0
4992,4,-0.8906,-0.0469,2.94815,1.39329,0.664334,0.69455804,-0.129937,1.445709762,5.65676585,1.741966798,0.3158794614,0,0,-0.5076762489,0.9157225858,-0.4080463369,0.1060213944,0,0,-0.1450536088,0.5393596311,-0.3943060222,-0.006941295207,0,0,-0.207050226,-0.4522555099,0.6593057359,-0.8529525143,0,0
5496,2,1.0781,-0.0469,3.15409,1.37703,0.656673,0.69442875,-0.129897,1.515417178,6.029350376,1.917508435,0.2173399923,0,0,-0.5227774913,0.9139000875,-0.3911225962,0.06891818769,0,0,-0.2503040252,0.6622143915,-0.4119103662,0.3032330428,0,0,0.05930180583,-0.1816910121,0.1223892063,0.0463481348,0,0
5520,1,1.1719,-0.0469,5.78225,1.36782,0.656056,0.69429733,-0.128249,2.991815807,10.89390609,3.461022762,1.09515384,0,0,-0.481934332,0.8824458906,-0.4005115585,0.186861283,0,0,-0.5113805189,0.9172737122,-0.4058931932,0.1554208381,0,0,0.09019183803,-0.1599079162,0.06971607818,-0.05617202404,0,0
4944,4,-1.0781,-0.0469,3.64846,1.37157,0.654827,0.69437436,-0.129567,2.245185718,6.614844841,2.085356291,-1.319515323,0,0,-0.3871006085,0.814527747,-0.4274271385,-0.3597485497,0,0,-0.5213302416,0.9472196897,-0.4258894481,0.0616569422,0,0,0.09005987571,-0.1566360627,0.06657618701,-0.00969091331,0,0
4968,4,-0.9844,-0.0469,6.07188,1.35547,0.65069,0.69437544,-0.128005,3.193227132,11.51271427,3.509689014,-0.5933576851,0,0,-0.4721302498,0.8931830298,-0.42105278,-0.09637940725,0,0,-0.5841736033,1.008336142,-0.4241625388,0.3497205453,0,0,0.187028605,-0.4141329683,0.2277134123,-0.3166090905,0,0
5447,2,0.8906,-0.1406,7.7725,1.32188,0.636936,0.69454667,-0.126939,5.186401827,13.79224733,4.338845784,-2.79812532,0,0,-0.331045108,0.7716313668,-0.4405862588,-0.3585444703,0,0,-0.2298312825,0.6761965712,-0.4463652887,-0.1935942605,0,0,-0.6115736112,-0.168933726,0.7803994342,1.890969366,0,0
4920,4,-1.1719,-0.0469,4.2218,1.32023,0.631175,0.6943514,-0.129179,2.321805435,7.831955776,2.511634362,-0.7560940975,0,0,-0.4480152739,0.8519255297,-0.4039102557,-0.1783995305,0,0,-0.1264218173,0.5382970167,-0.4118751994,-0.1408328447,0,0,0.1079016813,-0.180343221,0.07244153966,-0.04638983462,0,0
5496,4,1.0781,-0.0469,2.58995,1.32366,0.630161,0.69442875,-0.130378,1.493820919,4.782279728,1.49375338,-0.5593042089,0,0,-0.4257286345,0.8480968875,-0.4223682529,-0.2178205268,0,0,-0.3541087867,0.7723804758,-0.4182716892,-0.06261023888,0,0,0.1222526039,-0.2021222421,0.07986963821,0.0221203643,0,0
4920,1,-1.1719,-0.0469,4.27084,1.29729,0.62028,0.6943514,-0.129145,2.631405351,7.703136748,2.477978247,-1.179452614,0,0,-0.3830645167,0.8016278773,-0.4185633605,-0.2738846606,0,0,-0.2864817241,0.6993337594,-0.4128520353,-0.02419937978,0,0,0.0140432075,-0.07289299211,0.05884978461,-0.02667047204,0,0
5496,1,1.0781,-0.0469,3.50517,1.29596,0.618612,0.69442875,-0.129621,1.972128286,6.446819602,2.096576919,-0.6200576816,0,0,-0.4399017064,0.8409067581,-0.4010050517,-0.1787267847,0,0,-0.09855133883,0.5099269474,-0.4113756086,0.2825014263,0,0,-0.03157693757,-0.09952009343,0.1326575125,0.01399435185,0,0
4896,4,-1.2656,-0.0469,4.1732,1.28066,0.612153,0.69433749,-0.129226,2.585125991,7.542900987,2.391571043,-0.9977387578,0,0,-0.3815719273,0.8074995882,-0.4259276609,-0.2363792367,0,0,-0.1627495357,0.5871082979,-0.4243587623,-0.0275382292,0,0,0.08430564045,-0.1305016487,0.04619600823,0.001707433772,0,0
4896,1,-1.2656,-0.0469,4.49334,1.26068,0.603064,0.69433749,-0.129009,2.791822158,8.100884055,2.587308771,-0.9617294967,0,0,-0.3791283437,0.8024961636,-0.4233678199,-0.2112372878,0,0,-0.08776817155,0.5088726774,-0.4211045059,-0.1295804522,0,0,0.05095064612,-0.08610511405,0.03515446794,-0.002710800792,0,0
4944,2,-1.0781,-0.0469,3.71852,1.25769,0.600568,0.69437436,-0.129515,2.328028601,6.700307729,2.12722267,-0.7824916628,0,0,-0.3720036205,0.7996783139,-0.4276746935,-0.2124352965,0,0,-0.341958746,0.7708866983,-0.4289279523,-0.2192355888,0,0,-0.08620567736,-0.001354599962,0.08756027732,-0.009816687239,0,0
4896,2,-1.2656,-0.0469,4.42249,1.25396,0.599749,0.69433749,-0.129056,2.904657095,7.826100524,2.536727229,-1.236577346,0,0,-0.3459620282,0.7714482449,-0.4254862167,-0.2780500776,0,0,-0.4147069464,0.8412044223,-0.4264974759,-0.207908763,0,0,0.04437192482,-0.0712307307,0.02685880588,0.02664202027,0,0
